[0:00:00.00]-[0:00:01.00]  en el año.
[0:16:25.00]-[0:16:26.00]  Siempre que…
[0:16:26.00]-[0:16:31.00]  Cállate que tú no lo sabes, ya lo sé que no lo sé, pero mi hijo, un poco de…
[0:16:31.00]-[0:16:32.00]  Sí, sí.
[0:16:32.00]-[0:16:33.00]  Yo, yo, yo…
[0:16:33.00]-[0:16:35.00]  Malo te enseñaré.
[0:16:35.00]-[0:16:39.00]  ¿Y recuerda usted alguna vez que desobedeciera a sus padres?
[0:16:39.00]-[0:16:40.00]  Ah, eso sí.
[0:16:40.00]-[0:16:41.00]  Sí, muchos meses.
[0:16:41.00]-[0:16:44.00]  A las doce a dormir y vamos de regalas a las seis de la mañana.
[0:16:44.00]-[0:16:45.00]  Sí, claro.
[0:16:45.00]-[0:16:48.00]  Pero es muy normal, porque la que está mayor duro se pasa a hacer un poquito más.
[0:16:48.00]-[0:16:52.00]  Bebes un poco de vino, entonces se bebe a vino y vas a hablar con los amigos,
[0:16:52.00]-[0:16:56.00]  a la que te comías la morcilla, lo que sea, y cosas que se hacían.
[0:16:56.00]-[0:16:57.00]  Bueno, pero eso no.
[0:16:57.00]-[0:17:01.00]  O cuando salíamos del colegio, a lo mejor, o tiempo de la fruta, íbamos a coger fruta.
[0:17:01.00]-[0:17:04.00]  ¡Ay, qué tan… qué te como a la itera!
[0:17:04.00]-[0:17:06.00]  Pero cosas de críos, ¿no?
[0:17:06.00]-[0:17:08.00]  O a lo mejor te decían, no vayas al río.
[0:17:08.00]-[0:17:11.00]  Yo creo que te dijeron que iban al río a pescar o a nadar.
[0:17:11.00]-[0:17:14.00]  Pero eso son travesuras, no pasaban de aquí.
[0:17:14.00]-[0:17:19.00]  Y en la mayoría de edad, en las fiestas que se suele ingerir alcohol,
[0:17:19.00]-[0:17:25.00]  alguna vez les ha pillado vuestros padres y os han dicho, hijo, ¿qué haces?
[0:17:25.00]-[0:17:32.00]  Hombre, normalmente era una fiesta de Navidad, pero ya sabía que era una cosa…
[0:17:32.00]-[0:17:37.00]  Además de amigos, te reunías en la casa de un amigo, pues comías torrón,
[0:17:37.00]-[0:17:42.00]  una botella de cava y después salías a cantar por el pueblo y a llamar jaleo,
[0:17:42.00]-[0:17:44.00]  pero no pasaba de aquí.
[0:17:44.00]-[0:17:48.00]  Nos ha dicho una señora que aquí hubo una epidemia, ¿se acuerda usted?
[0:17:48.00]-[0:17:51.00]  Sí, ¿cuál era? Yo la he ido a nombrar.
[0:17:51.00]-[0:17:53.00]  Sí, también, pero no…
[0:17:53.00]-[0:17:57.00]  Mi abuela murió, que tenía casi 90 y pico de años, ya me lo contaba.
[0:17:57.00]-[0:18:02.00]  Y una de las cosas que a mí me meto mucho es que incluso entraron a vivos.
[0:18:02.00]-[0:18:08.00]  Porque iban por las calles, iban con un carro y este está muerto, lo cargaban.
[0:18:08.00]-[0:18:12.00]  Este está muerto y a lo mejor aún vivía y los morían 7 u 8.
[0:18:12.00]-[0:18:15.00]  En un carro, lo llevaron al cemeterio, hubo un melaposa.
[0:18:15.00]-[0:18:20.00]  Y después las casas, que aún hay un vestigio, la casa que entraba el culera,
[0:18:20.00]-[0:18:25.00]  después la presintaban, le ponían sofre dentro y después la tapeaban.
[0:18:25.00]-[0:18:27.00]  Para desinfectar.
[0:18:27.00]-[0:18:33.00]  Para desinfectar, pero eso ya a lo menos 250 años, que es la última vez que hubo el culero.
[0:18:33.00]-[0:18:39.00]  Pero quitando las epidemias, ¿la calidad de vida de antes era más que la de hoy en día?
[0:18:39.00]-[0:18:41.00]  O al revés, mucho peor.
[0:18:41.00]-[0:18:45.00]  Aquí la gente, los veías a la puerta de la iglesia con una ropita así,
[0:18:45.00]-[0:18:48.00]  la de plátano de fío, una judía, casi no.
[0:18:48.00]-[0:18:50.00]  Y lo que decimos, en Vietnam es el mal vestido.
[0:18:50.00]-[0:18:53.00]  Y a cinco de la tarde cuando ya se ponía el sol, para acá a casa.
[0:18:53.00]-[0:18:57.00]  Eso va a decirme que ahora tanto se habla, entonces también estaba.
[0:18:57.00]-[0:19:00.00]  Lo que pasa es que la gente se murió antes.
[0:19:00.00]-[0:19:06.00]  La gente a los 65, 66 años normalmente ya, tú vas al cementerio,
[0:19:06.00]-[0:19:09.00]  a los 65, es el hecho, a los 70 casi nunca van a venir.
[0:19:09.00]-[0:19:12.00]  Me vengo a repetir que claro, entonces el enfermer me va a decir,
[0:19:12.00]-[0:19:17.00]  yo creo que ha estado siempre, lo que pasa es que no se manifestaba porque te había muerto.
[0:19:17.00]-[0:19:23.00]  O si se manifestaba, pierdes la memoria, pero ya no sé, porque ya se muría.
[0:19:23.00]-[0:19:25.00]  No sé.
[0:19:25.00]-[0:19:33.00]  Bien, los niños de hoy en día dicen que se aburren mucho.
[0:19:33.00]-[0:19:35.00]  En aquella época se podía, se aburrían.
[0:19:35.00]-[0:19:39.00]  Yo no lo comprendo con lo que tienen.
[0:19:39.00]-[0:19:43.00]  Aparte otra cosa, yo creo que está perdiendo el hablar.
[0:19:43.00]-[0:19:46.00]  Porque todo el día con la maquinita, yo no comprendo esto.
[0:19:46.00]-[0:19:50.00]  Se está perdiendo el contacto directo con las personas.
[0:19:50.00]-[0:19:52.00]  No hay diálogo entre personas.
[0:19:52.00]-[0:19:55.00]  No hay diálogo, no.
[0:19:55.00]-[0:20:00.00]  Porque están comiendo, y mueve, y pasa.
[0:20:00.00]-[0:20:03.00]  A lo mejor no sepa mal lo que decimos, pero es así.
[0:20:03.00]-[0:20:05.00]  Porque vosotros no lo ves.
[0:20:05.00]-[0:20:06.00]  No, no, no.
[0:20:06.00]-[0:20:08.00]  Pero me vengo a decir que...
[0:20:08.00]-[0:20:10.00]  ¿Tienen ustedes nietos?
[0:20:10.00]-[0:20:11.00]  Sí, yo dos.
[0:20:11.00]-[0:20:12.00]  Y una.
[0:20:12.00]-[0:20:16.00]  Y alguna vez te han dicho, es que antes se vivía mejor,
[0:20:16.00]-[0:20:18.00]  tenías que haber nacido en mi época.
[0:20:18.00]-[0:20:20.00]  No, no lo decimos de esa manera.
[0:20:20.00]-[0:20:23.00]  Que vivíamos diferente, no es que viviéramos mejor,
[0:20:23.00]-[0:20:25.00]  porque a la dios que vivimos tiene muchas privaciones.
[0:20:25.00]-[0:20:29.00]  Aparte otra cosa, al invierno, hacer leña por nuestras montañas,
[0:20:29.00]-[0:20:31.00]  en parte es un delobrasa.
[0:20:31.00]-[0:20:33.00]  Y esta es otra cosa.
[0:20:33.00]-[0:20:36.00]  O sea que los domingos por la mañana, por la tarde íbamos a la tibia,
[0:20:36.00]-[0:20:38.00]  pero por la mañana por la montaña vos te apeteñas.
[0:20:38.00]-[0:20:40.00]  Si no, no se haciendía el pueblo de Nodo.
[0:20:40.00]-[0:20:42.00]  Y los jóvenes ya se trabajaban.
[0:20:42.00]-[0:20:44.00]  Y no nos quejamos, ¿eh?
[0:20:44.00]-[0:20:45.00]  Había cine en la época.
[0:20:45.00]-[0:20:47.00]  ¿Y cada cuánto se retransmitía?
[0:20:47.00]-[0:20:48.00]  Cada domingo.
[0:20:48.00]-[0:20:49.00]  Cada domingo había una peli.
[0:20:49.00]-[0:20:51.00]  Por la tarde y por la noche.
[0:20:51.00]-[0:20:54.00]  Y la gente, pues en Nodo no se enterábamos de lo que pasaba.
[0:20:54.00]-[0:20:57.00]  El documental que hacía Franco.
[0:20:57.00]-[0:20:59.00]  Es verdad.
[0:20:59.00]-[0:21:01.00]  No te enterabas de nada.
[0:21:01.00]-[0:21:04.00]  ¿Y el cine era a la Ida libre o era una sala?
[0:21:04.00]-[0:21:05.00]  No, no, no, un solo.
[0:21:05.00]-[0:21:06.00]  Un solo.
[0:21:06.00]-[0:21:07.00]  No, es que para esta cara tan ruidosa,
[0:21:07.00]-[0:21:09.00]  si está en la carretera, un solo, un poquito que era.
[0:21:13.00]-[0:21:14.00]  El médico.
[0:21:14.00]-[0:21:18.00]  Hablemos ahora de pasar al tema de la salud.
[0:21:18.00]-[0:21:20.00]  ¿Quién era el médico del pueblo?
[0:21:20.00]-[0:21:22.00]  Pues uno que iría de fuera.
[0:21:22.00]-[0:21:23.00]  ¿Y vivía aquí o...?
[0:21:23.00]-[0:21:24.00]  Sí, sí, vivía aquí.
[0:21:24.00]-[0:21:26.00]  Tenía una consulta en una casa y vivía.
[0:21:26.00]-[0:21:32.00]  hasta que hace unos 20 años hicieron el consultorio, hicieron el GAP, que se decimos.
[0:21:32.00]-[0:21:34.00]  ¿Atenía todo el mundo?
[0:21:34.00]-[0:21:38.00]  Sí, sí, bueno, atendía la iguala, o sea, aquí la costumbre era...
[0:21:38.00]-[0:21:39.00]  Se pagaba.
[0:21:39.00]-[0:21:43.00]  Se pagaba el que tenía el seguro, pero aparte había una iguala que pagaban
[0:21:43.00]-[0:21:48.00]  al médico un tanto cada mes, 20, 30, 40, y el médico te atendía.
[0:21:48.00]-[0:21:51.00]  Por el que el dinero pagaba, el médico no lo tenía, el que lo tenía seguro.
[0:21:51.00]-[0:21:53.00]  Y entonces hacían como una iguala.
[0:21:53.00]-[0:21:58.00]  Y pasaban un poco cada mes, y cada casa, si habían dos, tres, pagaban 15 pesetas,
[0:21:58.00]-[0:22:00.00]  20, 25, según los miembros que veían a la casa.
[0:22:00.00]-[0:22:02.00]  Y así el médico te atendía.
[0:22:03.00]-[0:22:05.00]  Y esto duró muchos años.
[0:22:05.00]-[0:22:08.00]  Cuando alguien estaba enfermo, ¿cómo se avisaba el médico?
[0:22:08.00]-[0:22:09.00]  ¿Ahora?
[0:22:09.00]-[0:22:11.00]  ¿Cómo se avisaba el médico?
[0:22:11.00]-[0:22:13.00]  Pues al sereno, si era de noche tenías que ir al sereno.
[0:22:13.00]-[0:22:16.00]  El sereno, si no acompañaba al médico no podía.
[0:22:16.00]-[0:22:20.00]  ¿Y llevabas, tenía alguna enfermera que lo ayudase o...?
[0:22:20.00]-[0:22:21.00]  No, no, entonces no había.
[0:22:21.00]-[0:22:22.00]  Era él solo.
[0:22:22.00]-[0:22:24.00]  Lo único que había en el pueblo eran comatronas, lo que se llamaba,
[0:22:24.00]-[0:22:27.00]  las casietas de parto, que se llamaban comatronas.
[0:22:27.00]-[0:22:29.00]  No sé si te habéis oído esta palabra.
[0:22:29.00]-[0:22:30.00]  ¿Los partos eran?
[0:22:30.00]-[0:22:31.00]  Sí, sí.
[0:22:31.00]-[0:22:32.00]  ¿Los partos dónde se producían?
[0:22:32.00]-[0:22:33.00]  ¿No había una sala...?
[0:22:33.00]-[0:22:34.00]  No, no, la casa del médico.
[0:22:34.00]-[0:22:35.00]  ¿No era una casa particular?
[0:22:35.00]-[0:22:37.00]  No, no, la casa particular.
[0:22:37.00]-[0:22:41.00]  Alguno moría, y he visto morir dos mujeres de parto.
[0:22:44.00]-[0:22:48.00]  ¿Recuerdas en aquellos casos cuando alguien se ponía de parto
[0:22:48.00]-[0:22:50.00]  que el marido estuviese muy asustado?
[0:22:50.00]-[0:22:52.00]  Uy, eso sí, siempre.
[0:22:52.00]-[0:22:53.00]  A mí no me ha tocado.
[0:22:53.00]-[0:22:56.00]  Bueno, yo lo vi bien porque mi hija nació en Tortosa,
[0:22:56.00]-[0:22:59.00]  en la primera, pero pasas un rato mal, ¿eh?
[0:22:59.00]-[0:23:00.00]  Claro.
[0:23:00.00]-[0:23:01.00]  Un día...
[0:23:02.00]-[0:23:05.00]  Por ejemplo, si a algunos te cae, si te haces un rasguño,
[0:23:05.00]-[0:23:08.00]  pero un rasguño un poco no leve,
[0:23:10.00]-[0:23:14.00]  ¿tú esperabas a que intentas cicatrizar ellos solo
[0:23:14.00]-[0:23:15.00]  o ibas rápidamente al médico?
[0:23:15.00]-[0:23:17.00]  Lo primero que iba es a la fuente,
[0:23:17.00]-[0:23:20.00]  y luego el médico lo llevaba a un parque,
[0:23:20.00]-[0:23:22.00]  y era como coger un poco de barro,
[0:23:22.00]-[0:23:24.00]  y hasta ahora si era más grave,
[0:23:24.00]-[0:23:26.00]  pues te llevas al médico, o a la formación,
[0:23:26.00]-[0:23:29.00]  y te voy a decir que no, que era muy diferente.
[0:23:31.00]-[0:23:33.00]  ¿Tiene algún nombre especial
[0:23:33.00]-[0:23:37.00]  denominado de una forma especial al cordón umbilical?
[0:23:37.00]-[0:23:38.00]  Sí.
[0:23:40.00]-[0:23:41.00]  ¿Qué quiere que le digas?
[0:23:41.00]-[0:23:42.00]  ¿Qué quiere?
[0:23:42.00]-[0:23:44.00]  ¿Cómo se lo denominaban aquí? ¿De alguna forma especial?
[0:23:44.00]-[0:23:45.00]  No, no.
[0:23:45.00]-[0:23:47.00]  El cordón umbilical.
[0:23:49.00]-[0:23:50.00]  No hay uno.
[0:23:50.00]-[0:23:51.00]  Sí, sí, sí.
[0:23:51.00]-[0:23:52.00]  No hay uno.
[0:23:52.00]-[0:23:56.00]  ¿Y recuerda algún caso en el que el médico se negó a atender a alguien?
[0:23:56.00]-[0:23:57.00]  No.
[0:23:58.00]-[0:24:01.00]  Alguna vez, como se queja de que le había atendido mal,
[0:24:01.00]-[0:24:02.00]  porque esto...
[0:24:02.00]-[0:24:03.00]  Sí, bueno.
[0:24:03.00]-[0:24:05.00] ...también me pareciera que este médico me ha atendido bien,
[0:24:05.00]-[0:24:07.00]  y el audio de trasfoto a mí, pues...
[0:24:07.00]-[0:24:09.00]  Pero eso no ha llegado, no ha pasado de aquí.
[0:24:10.00]-[0:24:11.00]  No ha pasado de aquí.
[0:24:11.00]-[0:24:14.00]  La gente del pueblo se ayudaba más que ahora o ha cambiado?
[0:24:14.00]-[0:24:15.00]  Sí, ha sido muy solidario.
[0:24:15.00]-[0:24:16.00]  ¿Era más familiar?
[0:24:16.00]-[0:24:17.00]  No, no, en todo, ¿eh?
[0:24:17.00]-[0:24:21.00]  Porque entonces aquí, pues claro, como se cocinaba en leña o fuego,
[0:24:21.00]-[0:24:23.00]  pues alguna chimenea se quemaba.
[0:24:23.00]-[0:24:25.00]  Aquello que se ponía el orín por dentro y claro,
[0:24:25.00]-[0:24:27.00]  y entonces los pueblos tocaban las campanas
[0:24:27.00]-[0:24:28.00]  y los pueblos cuidaban más.
[0:24:28.00]-[0:24:29.00]  ¿Todos apagaban el fuego?
[0:24:29.00]-[0:24:30.00]  Todo el pueblo, ¿eh?
[0:24:30.00]-[0:24:31.00]  Podía.
[0:24:31.00]-[0:24:34.00]  Y después otra cosa, cuando el río crecido y eso y eso,
[0:24:34.00]-[0:24:38.00]  la gente, barcas rectícolas, la gente en esto es muy solidaria.
[0:24:38.00]-[0:24:39.00]  No, no, no, no.
[0:24:39.00]-[0:24:43.00]  Aquí, yo creo que en toda España la gente sí se lembra lo que se lembra,
[0:24:43.00]-[0:24:46.00]  pero cuando hay un problema la gente es solidaria, es verdad o no.
[0:24:47.00]-[0:24:49.00]  Y aquí es solidaria la gente, no...
[0:24:51.00]-[0:24:53.00]  ¿Había matanzas aquí en el pueblo?
[0:24:53.00]-[0:24:54.00]  ¿Matanzas de cerdo?
[0:24:54.00]-[0:24:55.00]  Sí, la matanza de cerdo.
[0:24:56.00]-[0:24:58.00]  ¿Y la matanza qué suponía?
[0:24:59.00]-[0:25:03.00]  Pues bueno, pues los carniceros lo mataban en la calle.
[0:25:04.00]-[0:25:07.00]  Allí lo mataban, después lo quemaban con una...
[0:25:07.00]-[0:25:14.00]  Y después se acababan la estómago y a nosotros los jóvenes nos daban la bolsa aquella
[0:25:14.00]-[0:25:17.00]  y aquí los lechamoros no servían de pelota.
[0:25:17.00]-[0:25:18.00]  Sí, sí, sí.
[0:25:19.00]-[0:25:20.00]  Cursos de críos.
[0:25:20.00]-[0:25:22.00]  Igual que jugaban con los...
[0:25:23.00]-[0:25:25.00]  ¿Tenéis mucha reserva de bajos?
[0:25:25.00]-[0:25:27.00]  Sí, ¿tenéis mucha feina?
[0:25:27.00]-[0:25:29.00]  Hemos visto que hay más de 6.000.
[0:25:29.00]-[0:25:30.00]  ¿En qué hora?
[0:25:30.00]-[0:25:32.00]  ¿Tenéis más reserva de todos los dissabtes?
[0:25:33.00]-[0:25:35.00]  Pues no tenemos nada de puesto.
[0:25:35.00]-[0:25:37.00]  No sé, es que estamos...
[0:25:37.00]-[0:25:39.00]  ¿No sabíamos que todos los dissabtes?
[0:25:40.00]-[0:25:41.00]  Es que no...
[0:25:41.00]-[0:25:42.00]  ¿Es que no son las barras?
[0:25:42.00]-[0:25:43.00]  Vale.
[0:25:43.00]-[0:25:46.00]  Pero tenemos que partir a los críos y a trabajar.
[0:25:46.00]-[0:25:47.00]  No, no, vale, vale.
[0:25:48.00]-[0:25:50.00]  No, yo no tengo nada de puesto.
[0:25:50.00]-[0:25:53.00]  Está la salada para otro punto, que es la vacuidad.
[0:25:53.00]-[0:25:54.00]  Vale, vale.
[0:25:54.00]-[0:25:55.00]  Venga, pues muchas gracias.
[0:25:55.00]-[0:25:57.00]  No, no, continuaremos.
[0:25:57.00]-[0:25:58.00]  Continuaremos, si cae.
[0:25:58.00]-[0:26:01.00]  A ver si baja mi mujer y aclarimos algo.
[0:26:01.00]-[0:26:02.00]  Vale.
[0:26:02.00]-[0:26:05.00]  Vamos a ver si nos queda algo.
[0:26:12.00]-[0:26:13.00]  ¿Un casamiento?
[0:26:13.00]-[0:26:15.00]  Este es en un febrero.
[0:26:18.00]-[0:26:21.00]  ¿Y este es el casamiento del señor...
[0:26:21.00]-[0:26:24.00]  Ah, sí, pero no es todo.
[0:26:24.00]-[0:26:27.00]  Este es el dueño de una torre que hay acá.
[0:26:27.00]-[0:26:30.00]  La torre es el que tiene el villarito que es de señor.
[0:26:30.00]-[0:26:33.00]  Era el señor que había emigrado a América y servido dinero.
[0:26:33.00]-[0:26:34.00]  Uy.
[0:26:34.00]-[0:26:36.00]  Vinieron aquí y se hicieron este torreón.
[0:26:36.00]-[0:26:39.00]  Y trasplantaron todos los árboles tropicales que tenían por allí
[0:26:39.00]-[0:26:40.00]  y los abandonaron aquí.
[0:26:40.00]-[0:26:41.00]  Es precioso.
[0:26:41.00]-[0:26:42.00]  Y es un pastillo...
[0:26:42.00]-[0:26:43.00]  Vamos a ir a la secareta.
[0:26:43.00]-[0:26:45.00]  Y en este pastillo he hecho lo teu.
[0:26:45.00]-[0:26:46.00]  Bueno, gracias.
[0:26:48.00]-[0:26:50.00]  ¿Estos son todas fotos repetidas de...
[0:26:50.00]-[0:26:52.00]  Ah, ¿los toros que decía la torre? ¿Los toros?
[0:26:52.00]-[0:26:53.00]  Sí.
[0:26:53.00]-[0:26:54.00]  ¿Los toros en la plaza?
[0:26:54.00]-[0:26:56.00]  Esto es la plaza, ¿ves?
[0:26:56.00]-[0:26:58.00]  Es de donde los encerraban.
[0:26:58.00]-[0:27:00.00]  Aquí es cuando se iban a esperar, ¿ves? Los toros como bajan.
[0:27:00.00]-[0:27:03.00]  Sí, estos de allá arriba de la sud que van cabrando.
[0:27:03.00]-[0:27:06.00]  Y ve aquí, cuando... ¿ves en la calle que hemos subido?
[0:27:06.00]-[0:27:07.00]  Sí.
[0:27:07.00]-[0:27:08.00]  ¿Ves? ¿Ves los toros aquí?
[0:27:08.00]-[0:27:09.00]  ¿Lo ves?
[0:27:09.00]-[0:27:11.00]  La gente como ya corren, ¿ves?
[0:27:11.00]-[0:27:12.00]  Y aquí abajo...
[0:27:12.00]-[0:27:14.00]  Mira, aquí es cuando llegan a la plaza, ¿lo veis?
[0:27:14.00]-[0:27:16.00]  Bueno, pues se torreaban, ¿ves?
[0:27:16.00]-[0:27:18.00]  Y ven a la plaza, la farola, ¿ves?
[0:27:18.00]-[0:27:20.00]  Aquí, ven la gente con carros.
[0:27:20.00]-[0:27:22.00]  La gente en carro y decían, pues los...
[0:27:22.00]-[0:27:24.00]  Ponían los traveseros, ¿ves?
[0:27:24.00]-[0:27:28.00]  Sí, sí, es lo que pasa.
[0:27:28.00]-[0:27:30.00]  ¿Y estas copias cómo las han recopilado?
[0:27:30.00]-[0:27:32.00]  Pues del pueblo, gente del pueblo que las tiene.
[0:27:32.00]-[0:27:35.00]  Y nosotros, mi mujer, más bien dicho,
[0:27:35.00]-[0:27:38.00]  a lo mejor tú tienes una o dos,
[0:27:38.00]-[0:27:41.00]  se la dejas, ella te la copia, te la devuelve
[0:27:41.00]-[0:27:43.00]  y se queda hechicado, ¿ves?
[0:27:43.00]-[0:27:46.00]  Pero ahora tú dos, el cuatro, lo otro tanto, pues...
[0:27:46.00]-[0:27:48.00]  Ahí hay un montón.
[0:27:48.00]-[0:27:49.00]  ¿Y eso era la escuela?
[0:27:49.00]-[0:27:51.00]  Y aquí no hay que tener la copia.
[0:27:51.00]-[0:27:54.00]  ¿Y esto es el cielo joven de la escuela?
[0:27:59.00]-[0:28:01.00]  Esto es que no es el suelo.
[0:28:01.00]-[0:28:03.00]  Esto ya te digo que no son jodas.
[0:28:03.00]-[0:28:05.00]  Aquí están las regetidas.
[0:28:17.00]-[0:28:18.00]  Son de fiestas.
[0:28:18.00]-[0:28:21.00]  Sí, estos de fiestas, ¿ves? Los jóvenes.
[0:28:24.00]-[0:28:26.00]  Más elegantes para la fiesta, ¿no?
[0:28:26.00]-[0:28:28.00]  Con brindlas, ¿no?
[0:28:30.00]-[0:28:32.00]  Obre, antes de San Martín,
[0:28:32.00]-[0:28:34.00]  ¿quién más quien menos estrenada traje?
[0:28:34.00]-[0:28:37.00]  Ahora en todo el año nada más.
[0:28:39.00]-[0:28:41.00]  Se me ríe de la fiesta grande, por así decirlo.
[0:28:41.00]-[0:28:42.00]  Sí, muy bien, sí, sí.
[0:28:42.00]-[0:28:48.00]  El río, jugando al río.
[0:28:51.00]-[0:28:54.00]  Esos disfraces, disfraces en carnaval.
[0:28:54.00]-[0:28:57.00]  Esto eran las modistas, las que...
[0:28:57.00]-[0:28:58.00]  Las fiestas de Santa Lucía.
[0:28:58.00]-[0:29:01.00]  Las fiestas de Santa Lucía, las modistas tienen una fiesta.
[0:29:01.00]-[0:29:03.00]  Y aquí las portas de ella.
[0:29:03.00]-[0:29:06.00]  Y esto pues ya también es el bailarés.
[0:29:06.00]-[0:29:13.00]  Esto eran las fiestas de... salían unos jóvenes a refrescar o bailar.
[0:29:13.00]-[0:29:17.00]  En la media parte del baile salía esa represa que decíamos.
[0:29:17.00]-[0:29:20.00]  Si pagaba a Escote, una buena botella de cable,
[0:29:20.00]-[0:29:22.00]  queríamos diez, valía treinta pesos.
[0:29:22.00]-[0:29:24.00]  Tres pesos cada uno, lo que se hacía.
[0:29:24.00]-[0:29:25.00]  A Escote, que decíamos.
[0:29:25.00]-[0:29:27.00]  ¿Y al santo le vestían?
[0:29:27.00]-[0:29:28.00]  No.
[0:29:30.00]-[0:29:32.00]  Aquí estamos en plan.
[0:29:32.00]-[0:29:34.00]  Y este es la fuga.
[0:29:34.00]-[0:29:36.00]  Aquí es donde ha nacido el canal.
