[0:00:00.00]-[0:00:02.00]  Hola, buenas tardes.
[1:22:42.00]-[1:22:48.00]  Aquí lo mejor que te puedo explicar es si se acuerda de algo porque...
[1:22:48.00]-[1:22:52.00]  Se sabe todo, el silbo y todo.
[1:22:52.00]-[1:23:03.00]  Ella ya que va, ya se le olvida la cosa y mucho.
[1:23:03.00]-[1:23:10.00]  Pues no sé si tenéis alguna pregunta más.
[1:23:10.00]-[1:23:17.00]  El silbo explica bien que él se acuerda de la cosa, pero ella ya se le olvida...
[1:23:17.00]-[1:23:19.00]  A mí se me olvida ya todo, mi niña.
[1:23:19.00]-[1:23:21.00]  Señor, tengo un montón de años.
[1:23:21.00]-[1:23:27.00]  Está ocupado hoy, estaba trabajando.
[1:23:27.00]-[1:23:29.00]  Puede decir que sabe cosas.
[1:23:29.00]-[1:23:36.00]  Sí, nos ha dicho que él sabía, pero que hoy tenía trabajo.
[1:23:36.00]-[1:23:44.00]  Igual sale que él suele irse en Aruri y por ahí también vos explicabas...
[1:23:44.00]-[1:23:46.00]  O mejor alguien del cercado.
[1:23:46.00]-[1:23:49.00]  Alguien del cercado que haga cerámica, alguna señora que haga cerámica.
[1:23:49.00]-[1:23:51.00]  Usted sabe quién podría...
[1:23:51.00]-[1:23:55.00]  Ahí están, ellas tienen sus carteles ahí.
[1:23:55.00]-[1:23:57.00]  Y son mayores las señoras?
[1:23:57.00]-[1:24:07.00]  Ahora están las nietas, las sobrinas, pero sí, ellas han aprendido todas.
[1:24:07.00]-[1:24:10.00]  Antes había más en el cercado.
[1:24:10.00]-[1:24:14.00]  Antes se hacían todo porque era obligación.
[1:24:14.00]-[1:24:17.00]  Esa muchachita que se murió que era amiga mía.
[1:24:17.00]-[1:24:19.00]  Y sus maridos y sus hijos.
[1:24:19.00]-[1:24:23.00]  Los maridos se iban a Venezuela y ellas tenían que sacar su casa.
[1:24:23.00]-[1:24:25.00]  O era como fuera.
[1:24:25.00]-[1:24:31.00]  Y aquí nos han contado también que para pasar los barrancos utilizaban hastias.
[1:24:31.00]-[1:24:32.00]  Sí.
[1:24:32.00]-[1:24:37.00]  Usted ha utilizado las hastias para cruzar el barranco?
[1:24:37.00]-[1:24:44.00]  Nosotras teníamos ahí bajo las vacas en un pajarín, donde llaman...
[1:24:44.00]-[1:24:45.00]  Zamora.
[1:24:45.00]-[1:24:46.00]  ¿Eh?
[1:24:46.00]-[1:24:47.00]  Zamora.
[1:24:47.00]-[1:24:50.00]  Zamora.
[1:24:50.00]-[1:24:58.00]  Y las queríamos llevar para la de abajo, que es donde tenemos el pajar, donde está el santo.
[1:24:58.00]-[1:25:06.00]  Allí tenemos un pajar grande y allí teníamos las vacas y un terreno que empezamos en el barranco y salimos arriba de la loma.
[1:25:06.00]-[1:25:10.00]  Y íbamos a pasar las vacas para allá.
[1:25:10.00]-[1:25:16.00]  Y estaba un temporal que no podíamos pasar los barrancos y estábamos amargos.
[1:25:16.00]-[1:25:36.00]  Y después, como Dios ayudó a él, pasó con un regatón como este más grande, pasó para allá y me dio así el regatón para que ellos me agarraran para él pasarme.
[1:25:36.00]-[1:25:47.00]  Me puse en una piedra y él allá en otra y me dio eso para pasarme.
[1:25:47.00]-[1:25:50.00]  Me agarré del palo ese y brinqué a la otra parte.
[1:25:50.00]-[1:25:53.00]  Y entonces ya fuimos por el camino.
[1:25:53.00]-[1:25:58.00]  Fuimos lloviendo hasta abajo, pero por lo menos pasamos.
[1:25:58.00]-[1:26:08.00]  Y fuimos a dar por un sitio que llaman Guarquico a la dejeza y de la dejeza para abajo para la de abajo.
[1:26:08.00]-[1:26:09.00]  Y después llegamos ya abajo.
[1:26:09.00]-[1:26:23.00]  Todavía tenemos, a la de abajo el pajar y por la otra parte y por encima de la joya del diablo, tenemos también otro pajar y otro terreno para abajo.
[1:26:23.00]-[1:26:30.00]  Y ahí nos vamos ya porque no tenemos ni vaca ni nada de eso.
[1:26:30.00]-[1:26:37.00]  Ni podemos, y aunque lo tuviera todavía no puedo pasar para ningún lado.
[1:26:37.00]-[1:26:43.00]  Antes y cuando ella dijo que los hombres no iban por el silbo, que los hombres con la atia pasaban.
[1:26:43.00]-[1:26:47.00]  Porque ya no podían pasarlo, sólo de tan grande que iba.
[1:26:47.00]-[1:26:57.00]  Y ahí debajo el camino ese mismo que da para el cercado, cuando iban llamaban a los maridos de la del cercado para que las pasaran.
[1:26:57.00]-[1:26:58.00]  ¿Y cómo las pasaban?
[1:26:58.00]-[1:27:00.00]  Con rejadas grandes.
[1:27:00.00]-[1:27:02.00]  Ellos ponían la atia y las pasaban.
[1:27:02.00]-[1:27:04.00]  ¿Pero cómo ponían las astias?
[1:27:04.00]-[1:27:05.00]  Yo no sé cómo las ponían.
[1:27:05.00]-[1:27:08.00]  Las ponían de una punta a otra.
[1:27:08.00]-[1:27:21.00]  Por ejemplo, este pajar lo voy a coger y ponerlo así virado y en la punta del palo, agarrarse uno y brincar a la otra parte, donde estaba la persona.
[1:27:21.00]-[1:27:25.00]  Tenían que ponerse yo al centro del barranco aguantada con eso para que ella pasara.
[1:27:25.00]-[1:27:28.00]  ¿Y no les daba miedo?
[1:27:28.00]-[1:27:32.00]  Uy, miedo, pero no hay más remedio.
[1:27:32.00]-[1:27:43.00]  Y del monte, cuando vinía uno, que si iba para que fueran a pasarnos, brezo para las cabras.
[1:27:43.00]-[1:27:50.00]  Y entonces tener que venir también a con rejadas, a pasarnos los hombres.
[1:27:50.00]-[1:27:53.00]  Y la carga que traíamos.
[1:27:53.00]-[1:27:55.00]  ¿La carga de...
[1:27:55.00]-[1:27:56.00]  De brezo.
[1:27:56.00]-[1:27:57.00]  De brezo.
[1:27:57.00]-[1:28:00.00]  Para que allá le comían los animales.
[1:28:00.00]-[1:28:03.00]  Tormentos sí se pasaron muchos.
[1:28:03.00]-[1:28:05.00]  Pero bonanzas también.
[1:28:05.00]-[1:28:07.00]  Porque teníamos salud.
[1:28:13.00]-[1:28:21.00]  ¿Y aquí utilizaban hierbas para curarse en vez de medicamentos cuando usted era joven?
[1:28:21.00]-[1:28:23.00]  Uy, hierbas sí.
[1:28:23.00]-[1:28:24.00]  Muchos se usaban.
[1:28:24.00]-[1:28:33.00]  Usábamos agua de hortelana, de magdalena y de mucha.
[1:28:33.00]-[1:28:37.00]  Pasote, que bien se curaba.
[1:28:37.00]-[1:28:38.00]  Pasote.
[1:28:38.00]-[1:28:39.00]  De esta salvia.
[1:28:39.00]-[1:28:41.00]  Ah, esta salvia, sí.
[1:28:41.00]-[1:28:43.00]  ¿Para qué usaban la salvia?
[1:28:43.00]-[1:28:44.00]  Para el aire.
[1:28:44.00]-[1:28:45.00]  ¿Para qué?
[1:28:45.00]-[1:28:46.00]  El aire.
[1:28:46.00]-[1:28:47.00]  ¿Para qué aire?
[1:28:47.00]-[1:28:52.00]  El aire es una enfermedad que te duele la cabeza.
[1:28:52.00]-[1:28:54.00]  Que te levantas por la mañana y coges corriente.
[1:28:54.00]-[1:28:55.00]  Coge corriente.
[1:28:55.00]-[1:28:59.00]  Luego te tomas lo que te tomas y no se te quita el dolor de cabeza.
[1:28:59.00]-[1:29:00.00]  Y no se te quita el dolor de cabeza.
[1:29:00.00]-[1:29:04.00]  Después coge esto y te haces una taza de agua de esto y se te quita.
[1:29:04.00]-[1:29:05.00]  ¿Ah sí?
[1:29:05.00]-[1:29:09.00]  Empieza a devolver y entonces te toma el agua y se quita.
[1:29:09.00]-[1:29:11.00]  Y la mostaza es para...
[1:29:11.00]-[1:29:12.00]  Y mostaza.
[1:29:12.00]-[1:29:14.00]  También aire que coges tú.
[1:29:14.00]-[1:29:15.00]  Para aire.
[1:29:15.00]-[1:29:18.00]  Y mueles la mostaza, la hueles.
[1:29:18.00]-[1:29:19.00]  Con agua.
[1:29:19.00]-[1:29:20.00]  Si picas es que tienes aire.
[1:29:20.00]-[1:29:23.00]  Si no picas es que no tienes aire.
[1:29:23.00]-[1:29:24.00]  Para el dolor de cabeza.
[1:29:24.00]-[1:29:25.00]  Sí.
[1:29:25.00]-[1:29:27.00]  ¿Y eso por qué uno ha cogido frío?
[1:29:27.00]-[1:29:30.00]  No, es que a lo mejor tú te levantas por la mañana, ¿no?
[1:29:30.00]-[1:29:32.00]  Abre la puerta así y te viene aquello.
[1:29:32.00]-[1:29:36.00]  Y coge ese aire y te duele la cabeza.
[1:29:36.00]-[1:29:38.00]  Después estás todo el día con dolor de cabeza.
[1:29:38.00]-[1:29:42.00]  Sí, como por ejemplo tú vas en un barco y sales para afuera y te viene ese aire fuerte.
[1:29:42.00]-[1:29:45.00]  Mucho coge una aspirina, una aspirina ahí.
[1:29:45.00]-[1:29:48.00]  Entonces cogías, morrías mostaza.
[1:29:48.00]-[1:29:51.00]  Colías la mostaza, si te picas es que tienes aire.
[1:29:51.00]-[1:29:53.00]  Si no te picas no tienes aire.
[1:29:53.00]-[1:29:56.00]  Y se te quita el dolor de cabeza porque a mí me ha pasado.
[1:29:56.00]-[1:29:57.00]  Ah, sí.
[1:29:57.00]-[1:30:00.00]  Con el aire acondicionado y con todo eso.
[1:30:00.00]-[1:30:03.00]  Con el aire acondicionado también.
[1:30:03.00]-[1:30:05.00]  Y ¿qué ha dicho también?
[1:30:05.00]-[1:30:07.00]  Pazote.
[1:30:07.00]-[1:30:08.00]  ¿Paz?
[1:30:08.00]-[1:30:09.00]  ¿Qué otras hierbas?
[1:30:09.00]-[1:30:11.00]  El pazote era para la...
[1:30:11.00]-[1:30:12.00]  ¿Pazote?
[1:30:12.00]-[1:30:13.00]  Sí.
[1:30:13.00]-[1:30:14.00]  Ah, la pazote, sí, también para eso.
[1:30:14.00]-[1:30:15.00]  Pazote.
[1:30:15.00]-[1:30:18.00]  Pazote y cub altered.
[1:30:18.00]-[1:30:21.00]  Que la humanidad tuve que Sakura.
[1:30:21.00]-[1:30:32.00]  Tú crees que algún día te van aколocar.
[1:30:32.00]-[1:30:39.00] ité con el agua, con el agua.
[1:30:39.00]-[1:30:41.00]  ¿Qué ramas son esas?
[1:30:41.00]-[1:30:45.00]  Las ramas del campo, con eso curaba a María Jesús.
[1:30:51.00]-[1:30:55.00]  Ellas tenían cada una su plantazo,
[1:30:55.00]-[1:30:57.00]  sí lo que le iba bien,
[1:30:57.00]-[1:31:00.00]  para el dolor de cabeza, para la venia, para todo.
[1:31:00.00]-[1:31:02.00]  Cuando la venía María.
[1:31:02.00]-[1:31:04.00]  Para la gripe, la borraja.
[1:31:04.00]-[1:31:08.00]  Ella iba huyendo con Jesús,
[1:31:08.00]-[1:31:10.00]  porque se lo quería matar.
[1:31:10.00]-[1:31:12.00]  El rey Heroy,
[1:31:16.00]-[1:31:19.00]  llevaba a su hijo y iba huyendo con él.
[1:31:20.00]-[1:31:25.00]  Y entonces había una gente que estaban sembrando.
[1:31:25.00]-[1:31:27.00]  Y le preguntó,
[1:31:30.00]-[1:31:32.00]  Señor, ¿qué estás sembrando?
[1:31:32.00]-[1:31:35.00]  Dice, ¿tierra?
[1:31:36.00]-[1:31:38.00]  Pues tierra siembra,
[1:31:38.00]-[1:31:41.00]  tierra coja, vete mañana a cogerla.
[1:31:41.00]-[1:31:43.00]  No cogió ni fisco.
[1:31:43.00]-[1:31:45.00]  Llegó donde estaba otro,
[1:31:46.00]-[1:31:48.00]  que es sembrador que siembra ahí,
[1:31:48.00]-[1:31:50.00]  sembrador que está sembrando.
[1:31:51.00]-[1:31:53.00]  ¿Trigo siembro?
[1:31:53.00]-[1:31:55.00]  Señor,
[1:31:55.00]-[1:32:02.00]  Siembra el trigo y sigo sembrando.
[1:32:04.00]-[1:32:08.00]  Siembra trigo sembrador y ven mañana a cogerlo.
[1:32:08.00]-[1:32:12.00]  Eso sí, lo cogió, que el Señor se lo dio y lo cogió.
[1:32:13.00]-[1:32:15.00]  Y cogió su trigo.
[1:32:16.00]-[1:32:18.00]  Y después ya cuando la Virgen,
[1:32:20.00]-[1:32:23.00]  se metió a una cueva con el niño,
[1:32:23.00]-[1:32:25.00]  lo escondieron
[1:32:26.00]-[1:32:28.00]  y él se subió a un árbol
[1:32:29.00]-[1:32:31.00]  y asallaba a los judíos
[1:32:32.00]-[1:32:35.00]  que le querían matar a Jesús.
[1:32:37.00]-[1:32:40.00]  Y él siempre lo cuidó hasta que...
[1:32:41.00]-[1:32:46.00]  después es cuando lo pusieron en la iglesia
[1:32:49.00]-[1:32:51.00]  y el Señor está,
[1:32:51.00]-[1:32:53.00]  pero...
[1:32:54.00]-[1:32:56.00]  pero hoy no.
[1:32:57.00]-[1:33:01.00]  Cada uno tiene su creencia, su...
[1:33:01.00]-[1:33:03.00]  ¿Y usted siempre ha sido muy religiosa?
[1:33:03.00]-[1:33:04.00]  Sí.
[1:33:04.00]-[1:33:07.00]  ¿Ahora sigue yendo a misa o ya...?
[1:33:07.00]-[1:33:09.00]  No, antes no se le acababa una.
[1:33:09.00]-[1:33:12.00]  Después del año pasado, cuando la llevan mis hermanos.
[1:33:12.00]-[1:33:14.00]  Yo estaba vestida de hermano al Señor.
[1:33:16.00]-[1:33:18.00]  Ah sí, ¿usted ha vestido...?
[1:33:18.00]-[1:33:20.00]  De hermana al Señor,
[1:33:20.00]-[1:33:22.00]  una ropita...
[1:33:23.00]-[1:33:25.00]  ¿La ha cosido usted?
[1:33:25.00]-[1:33:27.00]  ¿La cosía usted la ropa?
[1:33:27.00]-[1:33:28.00]  No.
[1:33:28.00]-[1:33:30.00]  Una hermana de ella, quien cosía.
[1:33:30.00]-[1:33:32.00]  Eso no, eso la tenía...
[1:33:33.00]-[1:33:35.00]  Me la cosía en las astras y...
[1:33:38.00]-[1:33:41.00]  Ellas compraban las telas y después las llevaban para que se las...
[1:33:41.00]-[1:33:43.00]  Y me han bastado los traseros por ahí para abajo.
[1:33:43.00]-[1:33:45.00]  A Vallaranre o otro sitio.
[1:33:45.00]-[1:33:48.00]  A Vallaranre o otro sitio.
[1:33:48.00]-[1:33:51.00]  Y extranjeros que pasan por ahí a Montoni para abajo.
[1:33:51.00]-[1:33:53.00]  ¿Hay muchos extranjeros aquí?
[1:33:53.00]-[1:33:54.00]  Por aquí sí pasan.
[1:33:54.00]-[1:33:58.00]  Por aquí pasan, caminando, con su morral a lomo.
[1:33:58.00]-[1:34:00.00]  Y pasan todos los días a Montoni.
[1:34:00.00]-[1:34:02.00]  Ya habían pasado tres.
[1:34:02.00]-[1:34:04.00]  Y hablan con ustedes.
[1:34:04.00]-[1:34:05.00]  Con su compañera.
[1:34:05.00]-[1:34:09.00]  Sí, ayer me dijeron que adiós señora, digo adiós mía.
[1:34:09.00]-[1:34:12.00]  No, preguntan, porque a veces llegan ahí...
[1:34:12.00]-[1:34:15.00]  Y preguntan por dónde es el camino Vallaranre.
[1:34:15.00]-[1:34:16.00]  Sí.
[1:34:17.00]-[1:34:19.00]  ¿Y hablan español?
[1:34:19.00]-[1:34:21.00]  ¿Ustedes los entienden cuando hablan con ustedes?
[1:34:21.00]-[1:34:23.00]  No, yo sí, ellas hablan español.
[1:34:23.00]-[1:34:25.00]  No, sí se entienden.
[1:34:25.00]-[1:34:26.00]  Muchos de ellos sí.
[1:34:26.00]-[1:34:29.00]  Yo tuve mucho tiempo trabajando ahí en las Américas con ellos.
[1:34:29.00]-[1:34:30.00]  Muchos de ellos sí.
[1:34:30.00]-[1:34:31.00]  Y algo...
[1:34:31.00]-[1:34:33.00]  Ellos si pasan sí les digo por dónde es.
[1:34:33.00]-[1:34:34.00]  Yo no les voy a...
[1:34:34.00]-[1:34:37.00]  ¿Usted ha trabajado con los turistas?
[1:34:37.00]-[1:34:40.00]  Estuve trabajando primero los tomates.
[1:34:40.00]-[1:34:43.00]  Después los tomates me fui de camarera de piso.
[1:34:43.00]-[1:34:48.00]  Estuve trabajando unos cuantos años y ya se partió ella una cadera y me vine.
[1:34:48.00]-[1:34:51.00]  ¿Usted entonces estuvo en Penerife?
[1:34:51.00]-[1:34:52.00]  Sí.
[1:34:52.00]-[1:34:54.00]  Desde los once años.
[1:34:54.00]-[1:34:56.00]  Y había que ir a trabajar.
[1:34:56.00]-[1:34:57.00]  ¿Ah sí?
[1:34:57.00]-[1:34:59.00]  Antes sí.
[1:34:59.00]-[1:35:01.00]  Que no queda otra.
[1:35:01.00]-[1:35:05.00]  Hoy la vida está muy cambiada y los niños que no quieren estudiar es porque no les da la gana.
[1:35:05.00]-[1:35:09.00]  Pero antes teníamos que salir por obligación.
[1:35:09.00]-[1:35:10.00]  Sí.
[1:35:10.00]-[1:35:15.00]  Y vamos a traer la leche cuando la tenían por ahí todo.
[1:35:15.00]-[1:35:16.00]  Pero que va...
[1:35:16.00]-[1:35:19.00]  Hoy los niños de hoy tienen todo y no lo quieren.
[1:35:19.00]-[1:35:23.00]  Si habían pasado con lo que ha pasado uno...
[1:35:23.00]-[1:35:30.00]  Cuando hacíamos el queso aquí arriba de Ibanayá se atrayó.
[1:35:30.00]-[1:35:35.00]  No te obligaban pero te hace falta tu dinero y tú tienes que buscar de algún sitio.
[1:35:35.00]-[1:35:37.00]  Tú no vas a vivir siempre de los demás.
[1:35:37.00]-[1:35:38.00]  Claro.
[1:35:38.00]-[1:35:41.00]  Y nosotros pues no pudimos todo.
[1:35:41.00]-[1:35:50.00]  Sí, mis hermanas, los varones no han querido irse cuando se fueron al cuartel pero no.
[1:35:50.00]-[1:35:54.00]  A ellos les gusta mucho.
[1:35:54.00]-[1:35:57.00]  Y a mis hermanas sí se han quedado allá.
[1:35:57.00]-[1:35:59.00]  ¿Qué hacías aquí?
[1:35:59.00]-[1:36:01.00]  ¿Qué hacías aquí?
[1:36:01.00]-[1:36:03.00]  Está bien dormido, ¿no?
[1:36:03.00]-[1:36:05.00]  Es su compañera.
[1:36:05.00]-[1:36:08.00]  Ay, tonto.
[1:36:12.00]-[1:36:19.00]  Una pregunta, aquí en las islas antiguamente a la gente los llamaban cristianos.
[1:36:19.00]-[1:36:21.00]  Me decían, ¡hey, cristiano!
[1:36:21.00]-[1:36:22.00]  Sí.
[1:36:22.00]-[1:36:23.00]  ¿Usted se acuerda de eso?
[1:36:23.00]-[1:36:25.00]  Sí, cristianos.
[1:36:25.00]-[1:36:27.00]  ¿Cómo lo usaban?
[1:36:27.00]-[1:36:29.00]  Llamándolos, vea vos.
[1:36:29.00]-[1:36:34.00]  Por cristiano muchas dicen, ¡ah, cristiano!
[1:36:34.00]-[1:36:36.00]  ¡Vamos a la villa!
[1:36:36.00]-[1:36:38.00]  ¡Ah, cristiano!
[1:36:38.00]-[1:36:40.00]  ¿Qué vuelta lleva?
[1:36:40.00]-[1:36:42.00]  Dígame para dónde va.
[1:36:42.00]-[1:36:48.00]  Es que cada pueblo tiene su deje.
[1:36:48.00]-[1:36:55.00]  Y aquí ustedes notaban cuando venía alguien de Tenerife que hablaba distinto.
[1:36:55.00]-[1:36:56.00]  Sí, bueno.
[1:36:56.00]-[1:36:58.00]  Aquí es que se conoce.
[1:36:58.00]-[1:37:01.00]  Más bien venía a Chantus y a muchos de ellos.
[1:37:01.00]-[1:37:03.00]  Aquí nos conocemos todos.
[1:37:03.00]-[1:37:09.00]  Aquí es raro, bueno, ahora eso, pero aquí nos conocemos todo el mundo.
[1:37:09.00]-[1:37:13.00]  Desde que llegue alguien de fuera ya lo sabemos.
[1:37:13.00]-[1:37:17.00]  Y ahora ya no se habla como se hablaba antes.
[1:37:17.00]-[1:37:18.00]  No, claro.
[1:37:18.00]-[1:37:20.00]  ¿Qué es lo que ha cambiado? ¿Usted qué piensa?
[1:37:20.00]-[1:37:22.00]  Ay, compadrito era antes.
[1:37:22.00]-[1:37:23.00]  ¿Compadrito?
[1:37:23.00]-[1:37:25.00]  ¡Compadrito!
[1:37:25.00]-[1:37:28.00]  Ay, compadrito, ¿cómo está hoy?
[1:37:28.00]-[1:37:30.00]  Ay, cómo estamos, qué no me he rengao.
[1:37:30.00]-[1:37:34.00]  Es rengao estamos.
[1:37:34.00]-[1:37:36.00]  Nos suele el cuerpo todo.
[1:37:36.00]-[1:37:40.00]  No nos queda nada que no nos suela.
[1:37:40.00]-[1:37:42.00]  Ustedes allá no, ¿qué va?
[1:37:42.00]-[1:37:44.00]  Ay, señor.
[1:37:44.00]-[1:37:47.00]  No es tanto como nosotros aquí.
[1:37:47.00]-[1:37:53.00]  Es que se nos tiró, no sé qué fue, porque no aguantamos.
[1:37:53.00]-[1:37:58.00]  Vamos a los médicos y nos dicen que son atrasíes.
[1:37:58.00]-[1:38:00.00]  Ay, es duro.
[1:38:00.00]-[1:38:06.00]  Si son atrasíes, atrasíes son, pues las aguantamos.
[1:38:06.00]-[1:38:08.00]  No había desde ahí.
[1:38:08.00]-[1:38:09.00]  Antes hablaban así.
[1:38:09.00]-[1:38:10.00]  Sí.
[1:38:10.00]-[1:38:11.00]  Y ahora.
[1:38:11.00]-[1:38:13.00]  Ahora no, hombre, ya.
[1:38:13.00]-[1:38:16.00]  El pueblo de allá era más, el que les tira, te deje.
[1:38:16.00]-[1:38:17.00]  ¿Cuál es?
[1:38:17.00]-[1:38:18.00]  El cercado.
[1:38:18.00]-[1:38:19.00]  El cercado.
[1:38:19.00]-[1:38:20.00]  El cercado es el que tira más.
[1:38:20.00]-[1:38:25.00]  Sí, pero cada sitio nos separa un lomo y es distinto.
[1:38:25.00]-[1:38:26.00]  Ya hablaba.
[1:38:26.00]-[1:38:27.00]  La de aquí a la de allá.
[1:38:27.00]-[1:38:29.00]  Vale Andrés es distinto.
[1:38:29.00]-[1:38:32.00]  Es que cada pueblo tiene su...
[1:38:32.00]-[1:38:34.00]  Su lejo.
[1:38:34.00]-[1:38:41.00]  O sea que usted puede reconocer a alguien que es del cercado por cómo habla.
[1:38:41.00]-[1:38:42.00]  ¿Quién?
[1:38:42.00]-[1:38:45.00]  Usted, por ejemplo, si escucha a una persona, dice, esto es del cercado.
[1:38:45.00]-[1:38:47.00]  Sí, se conoce.
[1:38:47.00]-[1:38:48.00]  ¿Se conoce?
[1:38:48.00]-[1:38:49.00]  Sí.
[1:38:49.00]-[1:38:50.00]  ¿Tanta diferencia hay?
[1:38:50.00]-[1:38:56.00]  Los de Vale Andrés y los de la parte arriba hablan de una forma y los de la parte abajo,
[1:38:56.00]-[1:38:57.00]  de otra.
[1:38:57.00]-[1:38:58.00]  ¿Y cómo hablan?
[1:38:58.00]-[1:38:59.00]  ¿Cuál es la diferencia?
[1:38:59.00]-[1:39:00.00]  ¿Tienen otro... otro...
[1:39:00.00]-[1:39:08.00]  Los de la planta abajo tienen la voz más fina y los de la parte arriba más correcta.
[1:39:08.00]-[1:39:13.00]  Los de la villa tienen un deje que no...
[1:39:13.00]-[1:39:16.00]  Y los de la villa también, y burleros.
[1:39:16.00]-[1:39:18.00]  Los de la villa están más burleros.
[1:39:18.00]-[1:39:19.00]  Es que cada...
[1:39:19.00]-[1:39:21.00]  Más burjeros, dice usted.
[1:39:21.00]-[1:39:22.00]  Burleros.
[1:39:22.00]-[1:39:23.00]  Burleros.
[1:39:23.00]-[1:39:25.00]  Burleros quiere decir el burla.
[1:39:25.00]-[1:39:26.00]  Sí, sí.
[1:39:26.00]-[1:39:31.00]  Ella tiene su...
[1:39:31.00]-[1:39:33.00]  Y ahora vamos a ir a comer.
[1:39:33.00]-[1:39:35.00]  ¿Ustedes nos recomiendan algún restaurante?
[1:39:35.00]-[1:39:36.00]  Y los de la villa no tienen...
[1:39:36.00]-[1:39:39.00]  Sonia, aquí en Quipú de Sonia.
[1:39:39.00]-[1:39:40.00]  Los de la villa no tienen...
[1:39:40.00]-[1:39:42.00]  Después ya si vas para el cercado...
[1:39:42.00]-[1:39:44.00]  Vergüenza para decir cosas.
[1:39:44.00]-[1:39:45.00]  En la sala...
[1:39:45.00]-[1:39:47.00]  Eso no les da vergüenza para nada.
[1:39:47.00]-[1:39:52.00]  Y a uno le da vergüenza decir coño, carajo y esas cosas.
[1:39:52.00]-[1:39:56.00]  Le parece a uno feo, feo, pero a ellas no.
[1:39:56.00]-[1:40:00.00]  Y se ponen en la fiesta de las nieves.
[1:40:00.00]-[1:40:04.00]  Que iba uno para la fiesta, llevaba sus ventarrillos que vender.
[1:40:04.00]-[1:40:06.00]  A ellas les gustaban muchos brembillos.
[1:40:06.00]-[1:40:11.00]  Y nosotros teníamos brembillos que vender y los llevamos para venderlos allá.
[1:40:11.00]-[1:40:14.00]  En un cerrón con una burra.
[1:40:14.00]-[1:40:19.00]  Y las villas tú, alrededor de la iglesia.
[1:40:19.00]-[1:40:23.00]  Y nos vamos a hacer la villa, la villa, barrenos de eso.
[1:40:23.00]-[1:40:26.00]  Coño y carajo, pico y conejo.
[1:40:31.00]-[1:40:33.00]  ¿Esa serán las de la villa?
[1:40:33.00]-[1:40:36.00]  Sí, las de la villa antes.
[1:40:36.00]-[1:40:39.00]  Sí, que eran mujeres que no, que iban al cachondeo.
[1:40:39.00]-[1:40:40.00]  Ahora no.
[1:40:40.00]-[1:40:45.00]  Esos que estaban en la fiesta, dando vueltas en la plaza.
[1:40:45.00]-[1:40:49.00]  Y todo el mundo yendo y ellas con el citrúano.
[1:40:49.00]-[1:40:51.00]  Y uno riéndose de ellas.
[1:40:51.00]-[1:40:55.00]  De ellas no, porque ellas estaban gozando.
[1:40:55.00]-[1:40:57.00]  Estaban en su fiesta.
[1:40:59.00]-[1:41:01.00]  ¿Y aquí sabían nadar ustedes?
[1:41:01.00]-[1:41:02.00]  ¿Eh?
[1:41:02.00]-[1:41:03.00]  ¿Sabían nadar?
[1:41:03.00]-[1:41:04.00]  Sí, sabían.
[1:41:04.00]-[1:41:08.00]  Todo el mundo de la Gomera, prácticamente, sabía nadar.
[1:41:08.00]-[1:41:09.00]  Sí, todos.
[1:41:09.00]-[1:41:10.00]  Los hombres sí.
[1:41:10.00]-[1:41:12.00]  Yo lo que tenía es miedo.
[1:41:12.00]-[1:41:13.00]  Iban a bañarse.
[1:41:13.00]-[1:41:18.00]  Mi marido se tiraba hasta en un tanque, que está en la dama.
[1:41:18.00]-[1:41:21.00]  Tremendo tanque.
[1:41:21.00]-[1:41:23.00]  Se tiraba mi marido a nadar.
[1:41:23.00]-[1:41:24.00]  En el mar.
[1:41:24.00]-[1:41:26.00]  Mi marido sé que naban todos.
[1:41:26.00]-[1:41:31.00]  Ellos aprendían a nadar en los tanques.
[1:41:31.00]-[1:41:33.00]  ¿Qué eran los tanques?
[1:41:33.00]-[1:41:38.00]  Los tanques, pues decir, una charca de aonde iabas,
[1:41:38.00]-[1:41:40.00]  una charca grande de esas.
[1:41:40.00]-[1:41:41.00]  Sí.
[1:41:41.00]-[1:41:43.00]  Y ahí es donde tú ves tu hueso.
[1:41:43.00]-[1:41:48.00]  Ahí aprendían los niños, las niñas no, pero los niños sí.
[1:41:48.00]-[1:41:51.00]  Y ahí acumulaban el agua para regar.
[1:41:51.00]-[1:41:54.00]  Para regar, agua que se guarda.
[1:41:54.00]-[1:41:58.00]  Y los niños aprendían todo.
[1:41:58.00]-[1:42:04.00]  Ellos cuando salían se tiraban por ahí y aprendieron a nadar así,
[1:42:04.00]-[1:42:08.00]  en los barrancos, los charcos grandes de los barrancos.
[1:42:08.00]-[1:42:09.00]  ¿Y las chicas no?
[1:42:09.00]-[1:42:12.00]  Las chicas no, pero los hombres sí.
[1:42:12.00]-[1:42:13.00]  Las muchachas no, yo digo.
[1:42:13.00]-[1:42:14.00]  ¿Por qué las muchachas no?
[1:42:14.00]-[1:42:17.00]  Porque ellos salían más...
[1:42:17.00]-[1:42:18.00]  Yo me quitaba...
[1:42:18.00]-[1:42:20.00]  Los niños antes era otra cosa.
[1:42:20.00]-[1:42:25.00]  Me quitaba las lonas y llevaba la orilla del agua
[1:42:25.00]-[1:42:27.00]  y me lavaba los pies.
