[0:00:00.00]-[0:00:02.00]  ¿Cuántos años tiene?
[1:30:02.00]-[1:30:09.00]  Entonces, tal es el problema, y nos tenían a nosotros, nos tenían a un poco porque perdían el trabajo mucho, no son responsables,
[1:30:09.00]-[1:30:17.00]  ellos no son responsables de la... hoy no sé, en aquella época no, van a trabajar y entonces un día porque un velorio que se ha muerto uno,
[1:30:17.00]-[1:30:24.00]  lo otro, y a lo mejor es mentira y ha estado toda la noche bebiendo y se han borrachado y no, y el día siguiente,
[1:30:24.00]-[1:30:32.00]  y entonces, hoy uno trabaja en un sitio o el otro hoy y tiene ese trabajo, si es una urgencia que uno mira, ¿qué me pasó esto?
[1:30:32.00]-[1:30:40.00]  Ya lo avisas antes, pero si al avisarlo tú llegas y mañana no te presentas, pues entonces resulta que es una cosa que no puede ser eso,
[1:30:40.00]-[1:30:48.00]  entonces muchos de ellos perdían el trabajo porque eran así y entonces no eran responsables y entonces claro, tenían asco a algunos,
[1:30:48.00]-[1:30:58.00]  no nos podían ver, ¿comprender? Es lo que pasa, pero nada más, y por eso los de los pueblos o los de aquí y de allá,
[1:30:58.00]-[1:31:06.00]  como eran de Alguerri, pues siempre tienes más, más, más, a ritmo y más, a hacerte un favor mejor que allá, ¿sabes?
[1:31:06.00]-[1:31:11.00]  Por eso la cosa no es por nada más. ¿Y su boda cómo fue?
[1:31:11.00]-[1:31:16.00]  Bien, la boda bien, como todas. Pero cuéntenos cómo...
[1:31:16.00]-[1:31:24.00]  No, entonces, ¿qué le voy a contar? La boda pues fue, igual que... entonces no se asian los banquetes como hoy, pero en fin,
[1:31:24.00]-[1:31:33.00]  en un local que había un familiar de mi mujer, pues tenía un local grande, hicimos la boda, y nada,
[1:31:33.00]-[1:31:42.00]  y pasamos, hicimos paella o no sé qué hicimos, y nada, bien, sí, la boda bien, entonces, eso casi no me acuerdo ya, de nada.
[1:31:42.00]-[1:31:45.00]  ¿Ves? Estas son cosas que no me acuerdo.
[1:31:45.00]-[1:31:47.00]  ¿Y su mujer iba de blanco?
[1:31:47.00]-[1:31:57.00]  No, no le fue así, ¿ves? Eso sí que no lo fue así, mira cómo era. Creo que sí. Hace 50 años.
[1:31:57.00]-[1:32:07.00]  Ahora, el 20 del mes que viene hace 20 años, es 50 años. Y allá he pasado yo mucho.
[1:32:07.00]-[1:32:14.00]  Allá dentro de la Cacá me ha sofrido yo mucho, ha sofrido mucho. En Venezuela yo mucho.
[1:32:14.00]-[1:32:23.00]  Sí, sí, allá he sofrido mucho yo. Y muchas cosas, sí, creo que era de blanco, pero ya no, son cosas que no le fue así.
[1:32:23.00]-[1:32:25.00]  Sí, por eso le digo.
[1:32:25.00]-[1:32:28.00]  ¿Y era costumbre regalar algo a la novia?
[1:32:28.00]-[1:32:39.00]  Sí, bueno, el anillo y eso, no el anillo y eso, sí. Del otro yo ya no soy despistado, yo no, ¿sabes? Yo soy despistado, para eso sí que no.
[1:32:39.00]-[1:32:51.00]  Yo tengo un buen corazón, pero claro, todas esas cosas, pues no, yo lo único regalar, pues no lo he regalado casi, pues no tengo espisiones.
[1:32:51.00]-[1:33:00.00]  A mi hijo mismo, a la mujer le regala, vamos a la feria, le compra un sortijo, le compra esto, una cadenita, lo que sea, y yo eso no, yo eso no tengo asidión.
[1:33:00.00]-[1:33:13.00]  Eso sí que, a lo mejor la querrán mezclarla, pero no soy más, no soy tan, cómo decirle, tan saladero, nada de esto, lo otro, siempre así.
[1:33:13.00]-[1:33:21.00]  No, yo no, yo no soy más, no, no, no, eso soy, me despistado.
[1:33:21.00]-[1:33:24.00]  ¿Y cuando se casaron llevaban el ajuar?
[1:33:24.00]-[1:33:37.00]  Sí, ella el ajuar, yo también, bueno, yo, los Muebler y todo lo hicimos después, comprende, allá porque allá no, después allá no, aquí lo hice después, sí.
[1:33:37.00]-[1:33:39.00]  ¿Porque ella qué llevaba?
[1:33:39.00]-[1:33:52.00]  Ella pues, también lo dejó aquí, porque tenía allí, pues las toallas y todo, los hogares, sí, las sábanas y toda la cosa, no, ella lo dejó aquí, no tenía, pero allá no llevamos nada.
[1:33:52.00]-[1:34:10.00]  Comprende, allí, compramos una cama y eso, conforme a donde estamos, ¿sabes?, cuando estamos allí, vivimos primero en mi cuñado, mi cuñada, que ellos ya tenían,
[1:34:10.00]-[1:34:24.00]  agarramos una casa de alquileres, entonces ya vivíamos juntas y compramos la cama, lo mejor, ya, lo justo, y después, pues mira, cuatro toallanas, sí, al ajuar y eso es cuando vinimos, es cuando lo sacó.
[1:34:24.00]-[1:34:34.00]  Ya compré el piso, después compré los muebles y eso, el piso ese, y ya vivimos ahí.
[1:34:34.00]-[1:34:36.00]  ¿Su boda dónde fue? ¿En Muro?
[1:34:36.00]-[1:34:50.00]  En Muro, en Muro mismo, sí, allí es un local, allí, sí, de un familiar de ella que tenía un local, y allí mismo hicimos las paellas y eso, comprende, entonces no se estiraba un banquete como ahora, comprende.
[1:34:50.00]-[1:34:53.00]  ¿Y, bueno, había cura aquí en este pueblo?
[1:34:53.00]-[1:35:02.00]  Sí, aquí son toda la vida curas, ahora que no hay, ahora no hay, sí, aquí curas, sí, siempre, siempre ha habido, siempre.
[1:35:02.00]-[1:35:03.00]  ¿Y se le tenía mucho respeto al cura?
[1:35:03.00]-[1:35:27.00]  Sí, cómo no, bueno, por el cura fui a ver el mar, que si no hubiera tenido 20 años al servicio no hubiera habido el mar, cotizamos el cura, todos, y íbamos ya con autobús, algo, no sé qué, y estuvimos ya, y ya fuimos a Benidorm, al Peñote y Fac, ahí fuimos, me acuerdo eso, me acuerdo, comprende.
[1:35:27.00]-[1:35:28.00]  ¿No?
[1:35:28.00]-[1:35:30.00]  Sí, sí, sí, sí.
[1:35:30.00]-[1:35:33.00]  Bueno, ya estará bien.
[1:35:33.00]-[1:35:35.00]  ¿El cura mandaba mucho en el pueblo?
[1:35:35.00]-[1:35:36.00]  Sí, sí, no, bueno.
[1:35:36.00]-[1:35:37.00]  Era un personaje importante.
[1:35:37.00]-[1:35:52.00]  Sí, en esa época sí, era más importante, era más importante, eso sí, pero que nada, no, se llevaba bien todo, aquí el pueblo este son muy familiares,
[1:35:52.00]-[1:36:11.00]  y además igual como el cura, igual que los médicos esos, llenan la casa de fruta, comprende, de esto, del otro, y lo que hacían, y también igual, a lo mejor el pollo más bonito era para ellos,
[1:36:11.00]-[1:36:19.00]  tenían un favor, bueno, eso, me entienden, eso sí, sí.
[1:36:19.00]-[1:36:21.00]  ¿Y maestro también había?
[1:36:21.00]-[1:36:28.00]  Sí, maestro sí había, maestro y maestra, maestro y maestra, había los dos.
[1:36:28.00]-[1:36:30.00]  ¿En esa había colegio?
[1:36:30.00]-[1:36:42.00]  Sí, allá están, aún están allá, allá, la calle esa, bueno, la calle esa va para allá, la primera calle que cruza la carretera, la casa que viene, ahí están las curvas, ahí están,
[1:36:42.00]-[1:36:47.00]  esos estaban ya entonces, los hicieron y ahí están, ahí fui yo de pequeño.
[1:36:47.00]-[1:36:50.00]  ¿Y los niños y las niñas iban juntos a clase?
[1:36:50.00]-[1:37:02.00]  Entonces no, entonces eran dos, todos igual, el mismo edificio fabricado, uno aquí y otro allá, el patio sí que era todo juntos, pero cada una iba a su escuela,
[1:37:02.00]-[1:37:10.00]  las niñas a su colegio y los niños al otro, sí, sí, sí.
[1:37:10.00]-[1:37:12.00]  ¿Y qué les enseñaban?
[1:37:12.00]-[1:37:22.00]  Eso sí que no le puedo decir, primero por escribir, eso sí que no lo puedo decir ya, eso sí que es una cosa que ya no me acuerdo de eso, porque,
[1:37:22.00]-[1:37:32.00]  por escribir, me escribí y después las primeras reglas, no me entiende, pero ya que yo, ya de eso ya le digo, yo no,
[1:37:32.00]-[1:37:44.00]  eso porque después fui para no perderlo a la señora esa que le he dicho antes, iba ahí por el invierno, que había más tiempo y ya le digo, y practicamos lo mismo que sabíamos.
[1:37:44.00]-[1:37:50.00]  Y ya, para acabar, ¿nota mucha diferencia en cómo se vivía antes a cómo se vive ahora?
[1:37:50.00]-[1:38:06.00]  Bueno, ahora yo, para mí, ahora se vive mucho mejor, pero tienes que trabajar y una cosa más que nada, cuando era la Ciara, es cuando tú tienes que trabajar para pagar la vejez,
[1:38:06.00]-[1:38:18.00]  y el día que tú te retires, como yo estoy retirado, por eso yo vivo bien, yo ahora vivo bien, porque trabajé mucho y resulta que, y otra cosa le voy a decir,
[1:38:18.00]-[1:38:32.00]  que resulta que yo soy autónomo y me pagaba eso trabajando a jornal, y mi mujer trabajaba en la fábrica y al casarse tenía que salir y tenía poco cotizado,
[1:38:32.00]-[1:38:46.00]  y entonces se empleó, o más bien, un hombre que tenía gente para trabajar, la anotaron allí como trabajadora, pero no trabajaba.
[1:38:46.00]-[1:38:59.00]  Y entonces estaba en casa y yo le dije que ella hiciera algo en casa para ayudarme a pagar la seguridad social de ella y la mía, la mía no, yo me la pagaba, y no quiso trabajar,
[1:38:59.00]-[1:39:10.00]  y me costó trabajar a mí, y pagar de jornal la mía y la de ella, y vivir y pagar, mire si he trabajado yo, nada más le voy a decir.
[1:39:10.00]-[1:39:23.00]  Y eso es lo que ahora los jóvenes, eso es lo que tenían que hacer, para estar bien el día de mañana, trabajar, ya ves que muchos ahora si hubieran hecho lo que yo he hecho se hubieran divorciado,
[1:39:23.00]-[1:39:37.00]  porque ella trabajaba lo de casa nada más, nada más, nada más, y no hacía ni para hacerse ganar un poquito, le dije, si ganan que sean mil pesetas ni paguen algo, nada,
[1:39:37.00]-[1:39:49.00]  es que no sé qué, que no pagan nada, es que no tenía ganas de trabajar, lo de casa, lo de casa bien hecho, y ahora me falta un botón, enseguida voy y me lo ponen,
[1:39:49.00]-[1:40:02.00]  pero de lo otro no quería nada, así que así fue, y yo pagué, y por eso ya le digo, y esta juventud de ahora lo tienen mal por eso, porque tampoco no quieren trabajar,
[1:40:02.00]-[1:40:14.00]  y entonces ahí está el problema, y eso es lo que tiene que ser, porque así es cuando se vive bien, un hotel retirito, yo ahora, aún hago algo por ahí, y de los campos míos,
[1:40:14.00]-[1:40:30.00]  hago yo, de primero cerezas para comer, no tengo que comprar ninguna, después melocotones vienen los primeros, vienen de unos u otros, ya no tengo que comprar verduras, aún regalar algo,
[1:40:30.00]-[1:40:43.00]  después tengo prunas ahora, melocotones ahora que al llover me echaron la pereza, se echaron por mucho, y aún tengo para coger la semana que viene, o eso, así que ya le digo,
[1:40:43.00]-[1:40:57.00]  y fruta yo aún vendo algo, o regalo, así que yo ahora pues aceite tengo y vendo aceite, vendo aceite porque eso tengo más, ¿comprende?
[1:40:57.00]-[1:41:08.00]  Así que yo tengo dos campos nada más, pues me las trabajo yo aún y eso si pago, y le ayudo a un familiar mío, le ayudo yo a trabajar, a hacerle alguna cosa y no le cobro,
[1:41:08.00]-[1:41:23.00]  y él me regala algo también, ¿sabes? Por eso le digo que, y nada, y vivo bien ahora, y si quiere la verdad que le diga, ahorro dinero, así que, y eso es lo que hay que hacer,
[1:41:23.00]-[1:41:39.00]  cuando uno es joven, como que es, ahora, hay desgracia que uno pues se enferma o no puede, o se muere antes, pues mala suerte, pero si tú te cuidas y no, otra cosa le mueren,
[1:41:39.00]-[1:41:51.00]  en Venezuela yo era de 26 y 27 años, 28, yo no iba a ninguna discoteca que ya iba me adelantado en esa fecha que aquí, no iba ninguna, a las 9 de la noche a casa,
[1:41:51.00]-[1:42:05.00]  a cenar y a dormir, porque todo lo que, y ahora igual, si son de Madrid aún más, todos los días ves ahora, aquí o allá, una pelea, se ha muerto este o el otro,
[1:42:05.00]-[1:42:16.00]  se van, se empiezan a tomar, y además ahora la droga o lo que sea, los beben, se borrachan, hay personas que tienen mala bebida, y resulta que entonces viene la pelea,
[1:42:16.00]-[1:42:29.00]  y ahora ya en cualquier momento lo matan, ya está muerto, ya te pasó, mira, ya tienes toda la vida amargada, a los padres o lo que sea, y todo así, esas cosas todas son así, y eso yo lo veo,
[1:42:29.00]-[1:42:41.00]  yo estaba aquí, yo no tenía padres, y una vez, le digo, estaba yo por el día de la noche vieja, salimos, porque mi madre me dijo que no saliera,
[1:42:41.00]-[1:42:57.00]  yo estaba haciendo aceite, y terminé, y dicen, no, no, salgan, saldré un rato, y salí, y eso se lo digo, y salimos, y se juntamos todos los jóvenes del pueblo, unos más viejos, otros más jóvenes,
[1:42:57.00]-[1:43:14.00]  y se borrachamos, hicimos así, pero bueno, yo en eso, cuando salía a veces, y si alguna vez mejor por casualidad me borrachaba, yo iba por ahí, si vea la pelea, yo me iba corriendo a casa,
[1:43:14.00]-[1:43:28.00]  yo no quería, yo quería rirse, reírse, cosas, bueno, esa noche, hicimos la noche vieja, hicimos así, pero que salí, y mi madre después, fui y le manché la sábana, no sé qué llevaría,
[1:43:28.00]-[1:43:47.00]  y teníamos la ovejita de esas, y me costó ir, de castigo, me tuvo que ir todo el día, el día nuevo, el día 1 de enero, a pasturar las cabritas por castigo, porque le habían suciado la sábana,
[1:43:47.00]-[1:44:07.00]  eso sí que me acuerdo, y después cuando vine, cerraban casa, ya no pudo salir, vean cómo me acuerdo, así es la vida, por eso le digo yo, y todo esto, y esta juventud, no, así como ustedes,
[1:44:07.00]-[1:44:23.00]  a las 9, a las 10 de la casa, nada, si tiene novio, como si no tiene, porque hoy no puede ser, hay demasiada libertad en mucha gente, y es lo que le digo, tú vas de corazón bueno,
[1:44:23.00]-[1:44:41.00]  pero ahora, usted sabe que pasa, vas conduciendo, vas uno conduciendo, llega uno a lo mejor, y dice a estos jóvenes, si cállate, déjate, si lo has hecho, yo mismo me hago una cosa, me callo, no digo nada,
[1:44:41.00]-[1:44:53.00]  porque allá en Venezuela, a veces iba así, y decía alguna cosa, nada más te expones, no me expones, que venga la pelea, y venga la muerte enseguida, es que enseguida, a ver quién te gana,
[1:44:53.00]-[1:45:04.00]  entonces cuando no, lo que tenga, si no tiene la pistola, te da dos tiros y ya está muerto, ya se termino la vida, por eso le digo, es que no se aguanta nada enseguida,
[1:45:04.00]-[1:45:20.00]  ahora si ellos lo hacen, esos jóvenes se lo hacen y se para ahí, aguanta todo lo que es, si le dices algo, ya se va, y si tú lo haces, enseguida te dicen, ellos, tienes que aguantarlos ahí,
[1:45:20.00]-[1:45:34.00]  no respetan al viejo, de nada, yo sé que viejos hay también malos, pero hay que respetarlos un poquito y así iremos bien, por si no, no puede ser, yo le digo, sí.
[1:45:34.00]-[1:45:50.00]  ¿Ahora no les ve ahora menos respeto? Sí, ahora sí, mucho menos, bueno, si ahora ya le digo, yo mismo voy al banco, porque me ha pasado ya al jefe, oiga usted, háblame de tú,
[1:45:50.00]-[1:46:04.00]  yo tengo un poco de reparo, porque usted tiene la carrera, o está ahí, entonces tengo un poco de respeto yo a usted, ahora mi hijo me habla de tú,
[1:46:04.00]-[1:46:21.00]  claro, porque todos vamos igual, pues todos vamos igual, pues no me pasa eso, yo le digo, a mí no me gusta, es igual, aquí antes la costumbre de la casa y todo era tía esto, tía lo otro, todo era tía de eso,
[1:46:21.00]-[1:46:37.00]  ahora pues yo ni sabía yo cómo es que él quería hablar, yo ahora en otra vez, en otra vez, señora esto, señor, unas palabras buenas y todo eso, ya le digo, por eso igual que todo, y pasa a mí, igual te enseñan todo bien, mal no te enseñan nada,
[1:46:37.00]-[1:46:53.00]  a la, muchos lo critican, mi cuñado, mi cuñado ya se ha muerto, el cura no lo podía ver, él era más bueno que eso, y era un bandido, era un bandido, y era cuñado mío, yo no lo podía ver, se ha muerto, ya se ha muerto,
[1:46:53.00]-[1:47:12.00]  bueno, ya está bien, aquí está bien, aquí hablan valenciano, si, pues no, valenciano, si, más que castellano, claro, claro, yo contesto en castellano, alguna palabra que no me va,
[1:47:12.00]-[1:47:29.00]  pero porque estaba, estaba allá y eso, y muchas veces lo hablan por hablar lo mismo que yo, allá lo hablaba bien ya, el castellano en Venezuela, pero claro aquí al valenciano, ya se va, además le da hasta la memoria también,
[1:47:29.00]-[1:47:45.00]  ahora va, ya va, llévame ya, quíteme, quíteme, ya está bien, mira, si es que ya, no, no, pero si es que no puedo ir ni acá a mi prima, me voy, me voy y me voy, que me tengo que ir a comer a las dos,
[1:47:45.00]-[1:48:00.00]  bueno, muchas gracias, no hay de qué, acá a mi señora que está cuidando a mi cuñada, pues solo a mi casa, pues gracias, muchas gracias, hasta luego, hasta luego.
