[0:00:00.00]-[0:00:02.00]  ¿No hay una silla?
[1:08:46.76]-[1:08:48.76]  digo, mira, esa no es la verdad
[1:08:48.76]-[1:08:50.76]  digo, si no sabes que te cago las manas ahí
[1:08:50.76]-[1:08:52.76]  te pego con esta palma
[1:08:52.76]-[1:08:54.76]  ¿Y si le hablaba usted al cura?
[1:08:54.76]-[1:08:56.76]  Si le hablaba, a ver si lo entro
[1:08:56.76]-[1:08:58.76]  se puso en la puerta y
[1:08:58.76]-[1:09:00.76]  la tía de ellos
[1:09:00.76]-[1:09:02.76]  y mi madrina
[1:09:02.76]-[1:09:04.76]  la boquitó a él y me boquitó a mí
[1:09:04.76]-[1:09:06.76]  la tradición es que respetable
[1:09:06.76]-[1:09:08.76]  yo me caso en el altar
[1:09:08.76]-[1:09:10.76]  digo, si no me da vuelta y me voy
[1:09:10.76]-[1:09:12.76]  no me caso
[1:09:12.76]-[1:09:14.76]  y el cura me dijo
[1:09:14.76]-[1:09:16.76]  hombre, ¿y lo te he dicho que va en la puerta?
[1:09:16.76]-[1:09:18.76]  y yo para dentro me le dije
[1:09:18.76]-[1:09:20.76]  al altar y ahí te voy a...
[1:09:20.76]-[1:09:31.50]  no vas de tu
[1:09:31.50]-[1:09:33.50]  que nos han dicho llegar al
[1:09:33.50]-[1:09:35.50]  campo frío y preguntar
[1:09:35.50]-[1:09:37.50]  en cualquier audición donde está
[1:09:37.50]-[1:09:39.50]  donde está el frío
[1:09:39.50]-[1:09:41.50]  pero pensabamos que lo
[1:09:41.50]-[1:09:43.50]  derramado era el hombre, no a podo
[1:09:43.50]-[1:09:45.50]  eso
[1:09:45.50]-[1:09:47.50]  no
[1:09:47.50]-[1:09:49.50]  eso era mi padre
[1:09:49.50]-[1:09:51.50]  ese era mi padre
[1:09:51.50]-[1:09:53.50]  pero el rato de
[1:09:53.50]-[1:09:55.50]  el rato
[1:09:55.50]-[1:09:57.50]  y de que viene
[1:09:57.50]-[1:09:59.50]  no sé
[1:09:59.50]-[1:10:01.50]  de Zarrález
[1:10:01.50]-[1:10:03.50]  de...
[1:10:03.50]-[1:10:05.50]  de las cosas de los críos
[1:10:05.50]-[1:10:07.50]  porque pusieron bien
[1:10:07.50]-[1:10:09.50]  el tiempo
[1:10:09.50]-[1:10:11.50]  del antiguamente
[1:10:11.50]-[1:10:13.50]  los críos se ponían mal
[1:10:13.50]-[1:10:15.50]  y jugaban
[1:10:15.50]-[1:10:17.50]  ustedes a cosas de pequeño
[1:10:17.50]-[1:10:19.50]  algún huevo así que sacó
[1:10:19.50]-[1:10:21.50]  a las bolas, a los cartones
[1:10:21.50]-[1:10:23.50]  a caliche ese poníamos
[1:10:23.50]-[1:10:25.50]  perras en los caliches, un melón
[1:10:25.50]-[1:10:27.50]  tomamos un melón y unas
[1:10:27.50]-[1:10:29.50]  pesetas que venían todas así de grandes
[1:10:29.50]-[1:10:31.50]  y todos hacemos apuestas a ver
[1:10:31.50]-[1:10:33.50]  que la metía dentro del melón
[1:10:33.50]-[1:10:35.50]  porque vaciaba el reloj o qué
[1:10:35.50]-[1:10:37.50]  el melón se ponía entero
[1:10:37.50]-[1:10:39.50]  a tantos metros
[1:10:39.50]-[1:10:41.50]  y esto no lo poníamos a mí
[1:10:41.50]-[1:10:43.50]  si el que jugaba al video dentro del melón
[1:10:43.50]-[1:10:45.50]  lo comía a vos
[1:10:45.50]-[1:10:47.50]  y jugaba a los retos de perros
[1:10:47.50]-[1:10:49.50]  que están jugando de pedra a la cabra
[1:10:49.50]-[1:10:51.50]  le metía los melónes y los cebollados
[1:10:51.50]-[1:10:53.50]  y los pasaba de la ropa
[1:10:55.50]-[1:10:57.50]  y las niñas que jugaban
[1:10:57.50]-[1:10:59.50]  ella
[1:10:59.50]-[1:11:01.50]  la criaba
[1:11:01.50]-[1:11:03.50]  en este baño teo y cosas de esas
[1:11:03.50]-[1:11:05.50]  ella era un jugador
[1:11:05.50]-[1:11:07.50]  los críos sí
[1:11:07.50]-[1:11:09.50]  ella todavía estaba
[1:11:09.50]-[1:11:11.50]  muy malo ya
[1:11:11.50]-[1:11:13.50]  la madre que tenía, la señora Rosé
[1:11:13.50]-[1:11:15.50]  la verdadera, estaba siempre en el caso
[1:11:15.50]-[1:11:17.50]  salían
[1:11:17.50]-[1:11:19.50]  un rato había dicho
[1:11:19.50]-[1:11:21.50]  a la señora Morena, esa salía
[1:11:21.50]-[1:11:23.50]  un rato a pasearse
[1:11:23.50]-[1:11:25.50]  pero poco a poco sí
[1:11:25.50]-[1:11:27.50]  vamos a hablar de la recorrida
[1:11:27.50]-[1:11:29.50]  a Artini había Artini
[1:11:29.50]-[1:11:31.50]  había cine
[1:11:31.50]-[1:11:33.50]  en el pueblo
[1:11:33.50]-[1:11:35.50]  sí
[1:11:35.50]-[1:11:37.50]  tifo que venían mucho
[1:11:37.50]-[1:11:39.50]  venían
[1:11:39.50]-[1:11:41.50]  mucho tiempo había flulos
[1:11:41.50]-[1:11:43.50]  y todo de tifo, artini
[1:11:43.50]-[1:11:45.50]  pero con animales
[1:11:45.50]-[1:11:47.50]  o... sí, con animales
[1:11:47.50]-[1:11:49.50]  a los
[1:11:49.50]-[1:11:51.50]  en esa zona
[1:11:51.50]-[1:11:53.50]  había personas
[1:11:53.50]-[1:11:55.50]  que
[1:11:55.50]-[1:11:57.50]  hiciesen poesía sobre la marcha
[1:11:57.50]-[1:11:59.50]  hiciesen poesía
[1:11:59.50]-[1:12:01.50]  sobre la marcha
[1:12:01.50]-[1:12:03.50]  roberos
[1:12:03.50]-[1:12:05.50]  y aquí venían
[1:12:05.50]-[1:12:07.50]  leones
[1:12:07.50]-[1:12:09.50]  todos venían
[1:12:09.50]-[1:12:11.50]  tifos, pero bueno
[1:12:11.50]-[1:12:13.50]  aquí venían
[1:12:13.50]-[1:12:15.50]  pero porque era un pueblo importante
[1:12:15.50]-[1:12:17.50]  este
[1:12:17.50]-[1:12:19.50]  importante porque no se ve que
[1:12:19.50]-[1:12:21.50]  venían o la gente o venían
[1:12:21.50]-[1:12:23.50]  mucho tifo aquí
[1:12:23.50]-[1:12:25.50]  ¿cuántos habitantes tenía?
[1:12:25.50]-[1:12:27.50]  cuando estaba en la guerra, 3000
[1:12:27.50]-[1:12:29.50]  ¿y ahora tiene más o menos?
[1:12:29.50]-[1:12:31.50]  no
[1:12:31.50]-[1:12:33.50]  ¿cuántos habitantes hay ahora?
[1:12:33.50]-[1:12:35.50]  ¿cuántos?
[1:12:35.50]-[1:12:37.50]  ¿había entonces?
[1:12:37.50]-[1:12:39.50]  ahora hay 2500
[1:12:39.50]-[1:12:41.50]  entonces había más, lo que pasa es que
[1:12:41.50]-[1:12:43.50]  salió mucha gente por ahí, con la Francia
[1:12:43.50]-[1:12:45.50]  a Gondolona
[1:12:45.50]-[1:12:47.50]  pero si las teneamos, habitantes hay
[1:12:47.50]-[1:12:49.50]  ahora
[1:12:49.50]-[1:12:51.50]  hay muchos
[1:12:51.50]-[1:12:53.50]  que venían
[1:12:53.50]-[1:12:55.50]  y también
[1:12:55.50]-[1:12:57.50]  también
[1:12:57.50]-[1:12:59.50]  y los trajistas
[1:12:59.50]-[1:13:01.50]  venían con cámara
[1:13:01.50]-[1:13:03.50]  ya de a poco
[1:13:03.50]-[1:13:05.50]  y le gustaban
[1:13:05.50]-[1:13:07.50]  ustedes
[1:13:07.50]-[1:13:09.50]  las copas aquellas que vendían los cielos
[1:13:09.50]-[1:13:11.50]  ¿se aprendió usted alguna?
[1:13:11.50]-[1:13:13.50]  no
[1:13:13.50]-[1:13:15.50]  a mí con cantaje no me ha venido
[1:13:15.50]-[1:13:17.50]  cantado, no me he perdido
[1:13:17.50]-[1:13:19.50]  me gustaba
[1:13:19.50]-[1:13:21.50]  me gustaba
[1:13:21.50]-[1:13:23.50]  y ahora los cantadores
[1:13:23.50]-[1:13:25.50]  cantadores me gustan
[1:13:25.50]-[1:13:27.50]  todos los de flamenco
[1:13:27.50]-[1:13:29.50]  ¿te acuerdas de los flamencos?
[1:13:29.50]-[1:13:31.50]  ¿y los toros también?
[1:13:31.50]-[1:13:33.50]  ¿los qué?
[1:13:33.50]-[1:13:35.50]  los toros, no es bien muy corrido
[1:13:35.50]-[1:13:37.50]  el sábado
[1:13:37.50]-[1:13:39.50]  ¿pero hay toros aquí o en Murcia?
[1:13:39.50]-[1:13:41.50]  en Murcia, el sábado
[1:13:41.50]-[1:13:43.50]  hay muchas
[1:13:43.50]-[1:13:45.50]  hay muchas plazas de toros
[1:13:45.50]-[1:13:47.50]  es que hay un pará, hay inyecha
[1:13:51.50]-[1:13:53.50]  que
[1:13:53.50]-[1:13:55.50]  que toreó
[1:13:55.50]-[1:13:57.50]  en blanco
[1:13:57.50]-[1:13:59.50]  el sábado pasado
[1:13:59.50]-[1:14:01.50]  y el de tuvo
[1:14:01.50]-[1:14:03.50]  y el de miro
[1:14:03.50]-[1:14:05.50]  y me dijo que
[1:14:05.50]-[1:14:07.50]  torea el sábado
[1:14:07.50]-[1:14:09.50]  en el mundo
[1:14:09.50]-[1:14:11.50]  y el sábado que viene
[1:14:11.50]-[1:14:13.50]  en Murcia
[1:14:13.50]-[1:14:15.50]  y
[1:14:15.50]-[1:14:17.50]  voy a torear en Murcia
[1:14:17.50]-[1:14:19.50]  ¿te lo viste en Murcia o...?
[1:14:19.50]-[1:14:21.50]  no, en Inyecha
[1:14:21.50]-[1:14:23.50]  tiene un dicchetti
[1:14:23.50]-[1:14:25.50]  ah, no me lo viste
[1:14:25.50]-[1:14:27.50]  es noviejo
[1:14:27.50]-[1:14:29.50]  ¿y hay escuela aquí en Taurina en Murcia?
[1:14:29.50]-[1:14:31.50]  yo vivo a la comatella de Berlín
[1:14:31.50]-[1:14:33.50]  ¿sí?
[1:14:33.50]-[1:14:35.50]  yo soy de Taurina
[1:14:35.50]-[1:14:37.50]  ¿y no usted de noche?
[1:14:37.50]-[1:14:39.50]  si le gusta usted el sol hermoso
[1:14:39.50]-[1:14:41.50]  ¿ha saltado usted a torear
[1:14:41.50]-[1:14:43.50]  con alguna vaquilla de noche?
[1:14:43.50]-[1:14:45.50]  salté a uno
[1:14:45.50]-[1:14:47.50]  en el rompito camisón
[1:14:47.50]-[1:14:49.50]  me arrastró para los barrios
[1:14:49.50]-[1:14:51.50]  y me quedé parado y se llevó el camisón
[1:14:51.50]-[1:14:53.50]  ¿y ahí se acabaron los toros?
[1:14:57.50]-[1:14:59.50]  la veía el papá
[1:14:59.50]-[1:15:01.50]  y se lo dieron
[1:15:01.50]-[1:15:03.50]  teníamos ahí el huevo muy bueno
[1:15:03.50]-[1:15:05.50]  y de tí los veían todos los lajetas
[1:15:05.50]-[1:15:07.50]  ¿se acretó la lajeta?
[1:15:07.50]-[1:15:09.50]  bueno, cuando estaba a la cabeza anterior
[1:15:09.50]-[1:15:11.50]  digamos que era eso
[1:15:11.50]-[1:15:13.50]  y nos acabó el huevo
[1:15:13.50]-[1:15:15.50]  los papás nos acabó el huevo
[1:15:15.50]-[1:15:17.50]  ¿se la arrastraban luego?
[1:15:17.50]-[1:15:19.50]  ¿y hacia el rabo de todo
[1:15:19.50]-[1:15:21.50]  luego con esto o qué?
[1:15:21.50]-[1:15:23.50]  se lo estudiaban con cancheteros
[1:15:23.50]-[1:15:25.50]  pero siempre se quedaban todos
[1:15:25.50]-[1:15:27.50]  cuando se paraba
[1:15:27.50]-[1:15:29.50]  pues uno tenía media pito
[1:15:29.50]-[1:15:31.50]  un poco más de un pito
[1:15:31.50]-[1:15:33.50]  siempre se quedaban todos
[1:15:33.50]-[1:15:35.50]  pero que lo cocinaba
[1:15:35.50]-[1:15:37.50]  para todo el mundo en la plaza
[1:15:37.50]-[1:15:39.50]  ¿cuándo son las fiestas de aquí?
[1:15:41.50]-[1:15:43.50]  ya San Juan
[1:15:43.50]-[1:15:45.50]  ya se ha pasado
[1:15:45.50]-[1:15:47.50]  ¿y hace hueva por San Juan?
[1:15:47.50]-[1:15:49.50]  se cruzca
[1:15:49.50]-[1:15:51.50]  y además
[1:15:51.50]-[1:15:53.50]  todos los restamientos de viña
[1:15:53.50]-[1:15:55.50]  ¿ah sí?
[1:15:55.50]-[1:15:57.50]  ahí hay una zala
[1:15:57.50]-[1:15:59.50]  de huevo
[1:15:59.50]-[1:16:01.50]  en una era que hay grande
[1:16:01.50]-[1:16:03.50]  y ahí se reúne todo el pueblo
[1:16:03.50]-[1:16:05.50]  pero ¿tiene más pueblo en pie?
[1:16:05.50]-[1:16:07.50]  ¿tiene más pueblo en pie?
[1:16:07.50]-[1:16:09.50]  hay viejos por ahí
[1:16:09.50]-[1:16:11.50]  una vez que llevan la reña
[1:16:11.50]-[1:16:13.50]  y después tú lo que te haces
[1:16:13.50]-[1:16:15.50]  es ir a la oveja
[1:16:15.50]-[1:16:17.50]  ¿y qué hacen?
[1:16:17.50]-[1:16:19.50]  ¿llevan la bebida para allá?
[1:16:19.50]-[1:16:21.50]  sí, hay un seguimiento de eso
[1:16:21.50]-[1:16:23.50]  y bueno, está la gente por allí
[1:16:23.50]-[1:16:25.50]  y ahí bebiendo
[1:16:27.50]-[1:16:29.50]  ¿me podría preguntar algo más?
[1:16:29.50]-[1:16:31.50]  si, ¿se acuerdas
[1:16:31.50]-[1:16:33.50]  que hay alguna leyenda
[1:16:33.50]-[1:16:35.50]  que se le acuerde a la gente?
[1:16:35.50]-[1:16:37.50]  por ejemplo en otros pueblos
[1:16:37.50]-[1:16:39.50]  ¿no se me ha hablado de una culebra?
[1:16:39.50]-[1:16:41.50]  que se bebía la leche de las madres
[1:16:41.50]-[1:16:43.50]  ah, sí, claro
[1:16:43.50]-[1:16:45.50]  el día al salir
[1:16:45.50]-[1:16:47.50]  de campo había un morino
[1:16:47.50]-[1:16:49.50]  era un morino
[1:16:49.50]-[1:16:51.50]  luego el morino dejó de morir
[1:16:51.50]-[1:16:53.50]  que era un teniente de la guerrilla
[1:16:53.50]-[1:16:55.50]  ¿pero un morino de trigo?
[1:16:55.50]-[1:16:57.50]  sí, moría ahí
[1:16:57.50]-[1:16:59.50]  te va el trigo y todo eso
[1:16:59.50]-[1:17:01.50]  pero se murió en mis patos
[1:17:01.50]-[1:17:03.50]  y hoy no se quedó conmigo
[1:17:03.50]-[1:17:05.50]  era mi amigo y de mis padres
[1:17:05.50]-[1:17:07.50]  y entonces ahí había que correr
[1:17:07.50]-[1:17:09.50]  y nosotros cuando venimos
[1:17:09.50]-[1:17:11.50]  como nos contábamos con el ganado de ahí
[1:17:11.50]-[1:17:13.50]  cuando venimos
[1:17:13.50]-[1:17:15.50]  nosotros dejábamos ahí al medio día
[1:17:15.50]-[1:17:17.50]  nos veníamos a comer y después
[1:17:17.50]-[1:17:19.50]  y dice mi padre
[1:17:19.50]-[1:17:21.50]  que ahí hay un sagradito
[1:17:21.50]-[1:17:23.50]  por aquí que lo gordeña una cabra
[1:17:23.50]-[1:17:25.50]  ¿lo ves?
[1:17:25.50]-[1:17:27.50]  lo están diciendo
[1:17:27.50]-[1:17:29.50]  cuando nosotros lo vamos
[1:17:29.50]-[1:17:31.50]  y dice mi padre se lleva la leche
[1:17:31.50]-[1:17:33.50]  porque la cabra no tenía la leche
[1:17:33.50]-[1:17:35.50]  estaba ocurrido
[1:17:35.50]-[1:17:37.50]  y dice, lo están quitando
[1:17:37.50]-[1:17:39.50]  lo tengo enganchado
[1:17:39.50]-[1:17:41.50]  un sagrado o un hombre
[1:17:41.50]-[1:17:43.50]  están quitándolo las leches
[1:17:43.50]-[1:17:45.50]  unas veces había una cabra con una teta llena
[1:17:45.50]-[1:17:47.50]  y otras veces era otra
[1:17:47.50]-[1:17:49.50]  y entonces mi padre se lleva
[1:17:49.50]-[1:17:51.50]  y dice, tú vete
[1:17:51.50]-[1:17:53.50]  y come y luego me trae la leche
[1:17:53.50]-[1:17:55.50]  y yo digo, a ver
[1:17:55.50]-[1:17:57.50]  si a mí me piden un micro de leche
[1:17:57.50]-[1:17:59.50]  pero me haces robando
[1:17:59.50]-[1:18:01.50]  no me gusta
[1:18:01.50]-[1:18:03.50]  se quedaba allí
[1:18:03.50]-[1:18:05.50]  y no entraba nadie
[1:18:05.50]-[1:18:07.50]  y así un día
[1:18:07.50]-[1:18:09.50]  salíamos con la cabra
[1:18:09.50]-[1:18:11.50]  y mira
[1:18:11.50]-[1:18:13.50]  y no vino nadie
[1:18:13.50]-[1:18:15.50]  me ha cortado en la puerta
[1:18:15.50]-[1:18:17.50]  y aquí no entraba nadie
[1:18:17.50]-[1:18:19.50]  y aquí loco, la cabeza roja
[1:18:19.50]-[1:18:21.50]  y un día en Chuyú
[1:18:21.50]-[1:18:23.50]  allí con la que estábamos
[1:18:23.50]-[1:18:25.50]  buscando unos pájaros
[1:18:25.50]-[1:18:27.50]  y veníamos y fuimos a coger los pájaros
[1:18:27.50]-[1:18:29.50]  y era un criu de bebé
[1:18:29.50]-[1:18:31.50]  y luego que pega la cabra
[1:18:31.50]-[1:18:33.50]  una espantio
[1:18:33.50]-[1:18:35.50]  y estaba enganchado
[1:18:35.50]-[1:18:37.50]  de la cabra
[1:18:37.50]-[1:18:39.50]  las cabras se acostaban
[1:18:39.50]-[1:18:41.50]  y la culebra salió
[1:18:41.50]-[1:18:43.50]  entre las matas que había
[1:18:43.50]-[1:18:45.50]  y que estaban acostadas, que son tan suaves
[1:18:45.50]-[1:18:47.50]  que se les enganchaban el pez donde se daba la leche
[1:18:47.50]-[1:18:49.50]  y luego
[1:18:49.50]-[1:18:51.50]  y le digo al padre
[1:18:51.50]-[1:18:53.50]  que fue una culebra por la cabra en rocha
[1:18:53.50]-[1:18:55.50]  y dice el padre
[1:18:55.50]-[1:18:57.50]  ¡Monta!
[1:18:57.50]-[1:18:59.50]  y lo ha visto yo en manchar de cabra
[1:18:59.50]-[1:19:01.50]  y había
[1:19:01.50]-[1:19:03.50]  arriba un pájar
[1:19:03.50]-[1:19:05.50]  y nosotros andábamos a ver un río
[1:19:05.50]-[1:19:07.50]  que tenía una fenta
[1:19:07.50]-[1:19:09.50]  y le daba una leche, suco su tenis, vean como la veo
[1:19:09.50]-[1:19:11.50]  y después
[1:19:11.50]-[1:19:13.50]  después de también
[1:19:13.50]-[1:19:15.50]  todo manchar y dije que está con la madre que la parió
[1:19:15.50]-[1:19:17.50]  pero que estuvo el río como el río
[1:19:17.50]-[1:19:19.50]  y por eso por día todo lo había dado
[1:19:19.50]-[1:19:21.50]  a los cabras
[1:19:21.50]-[1:19:23.50]  y le dije al padre, ¿ves como matamos esta culebra?
[1:19:23.50]-[1:19:25.50]  y le dije
[1:19:25.50]-[1:19:27.50]  hay que matarlo
[1:19:27.50]-[1:19:29.50]  porque si para en una cabra se come el bicho
[1:19:29.50]-[1:19:31.50]  y dice
[1:19:31.50]-[1:19:33.50]  si dispara en una cabra
[1:19:33.50]-[1:19:35.50]  que está en la bandida
[1:19:35.50]-[1:19:37.50]  muerde la natura a la cabra
[1:19:37.50]-[1:19:39.50]  y la atrabilla
[1:19:39.50]-[1:19:41.50]  si ve sangre, es todo
[1:19:41.50]-[1:19:43.50]  y entonces llamó a un amigo
[1:19:43.50]-[1:19:45.50]  que era su hijo
[1:19:45.50]-[1:19:47.50]  de la mode
[1:19:47.50]-[1:19:49.50]  que se quedó en un tío
[1:19:49.50]-[1:19:51.50]  y le dijo
[1:19:51.50]-[1:19:53.50]  que tengo una culebra allí en el morirlo
[1:19:53.50]-[1:19:55.50]  y le dije, ¿dónde está el tío?
[1:19:55.50]-[1:19:57.50]  y le dije, yo no la tengo a matar
[1:19:57.50]-[1:19:59.50]  porque es muy grande
[1:19:59.50]-[1:20:01.50]  y le dije, lo mejor es que un palo me se arroja
[1:20:01.50]-[1:20:03.50]  y me guise ahora
[1:20:03.50]-[1:20:05.50]  y eso lo matamos
[1:20:05.50]-[1:20:07.50]  y la echamos allí
[1:20:07.50]-[1:20:09.50]  y la metimos a decharlo
[1:20:09.50]-[1:20:11.50]  y entonces él de de la mitad
[1:20:11.50]-[1:20:13.50]  le pedí un tiro a la
[1:20:13.50]-[1:20:19.50]  y el tío la dejó tiesa
[1:20:19.50]-[1:20:21.50]  y no pasó ni miedo
[1:20:21.50]-[1:20:23.50]  y yo no me asumí a ella
[1:20:23.50]-[1:20:25.50]  lo único que sé era darlo
[1:20:25.50]-[1:20:27.50]  y yo la vi desde allí vivo
[1:20:27.50]-[1:20:29.50]  y yo vi a mi padre
[1:20:29.50]-[1:20:31.50]  y nosotros nos la vimos a ella
[1:20:31.50]-[1:20:33.50]  que era un culebrao
[1:20:33.50]-[1:20:35.50]  pero había muchas culebras por aquí
[1:20:35.50]-[1:20:37.50]  por la zona
[1:20:37.50]-[1:20:39.50]  pues ya no, a mi ya se mató
[1:20:39.50]-[1:20:41.50]  y nosotros seguimos en el terreno del ganado
[1:20:41.50]-[1:20:43.50]  y por aquí que atacaron
[1:20:43.50]-[1:20:45.50]  que atacaron a mi hermana
[1:20:45.50]-[1:20:47.50]  y tenian ustedes
[1:20:47.50]-[1:20:49.50]  que ponerle trampa o armas
[1:20:49.50]-[1:20:51.50]  y como se ponian
[1:20:51.50]-[1:20:53.50]  con un cepo y con tu piso
[1:20:53.50]-[1:20:55.50]  le lanzó una mano
[1:20:55.50]-[1:20:57.50]  o una pata o el cuello
[1:20:57.50]-[1:20:59.50]  un enganche que fue justo
[1:20:59.50]-[1:21:01.50]  el cepo se clavaba con una
[1:21:01.50]-[1:21:03.50]  tarta en la tierra
[1:21:03.50]-[1:21:05.50]  y poniéndolo los cepos
[1:21:05.50]-[1:21:07.50]  por las estradas que ella tenia
[1:21:07.50]-[1:21:09.50]  y era lo que iba como pichada
[1:21:09.50]-[1:21:11.50]  eso se cierra sin devolver
[1:21:11.50]-[1:21:13.50]  como una
[1:21:13.50]-[1:21:15.50]  una ranura que lleva
[1:21:15.50]-[1:21:17.50]  con pinche
[1:21:17.50]-[1:21:19.50]  y desganche, de la desgancha ya no se puede ir
[1:21:19.50]-[1:21:21.50]  no se puede ir por aquí
[1:21:21.50]-[1:21:23.50]  pero tenian que poner comida o algo o no?
[1:21:23.50]-[1:21:25.50]  entraban
[1:21:25.50]-[1:21:27.50]  todos los mis garatos
[1:21:27.50]-[1:21:29.50]  cuando entraban
[1:21:29.50]-[1:21:31.50]  ellos ponian un cabrito de espelito
[1:21:31.50]-[1:21:33.50]  y se lo poniamos al lado del piso
[1:21:33.50]-[1:21:35.50]  y eso como vos enfateando
[1:21:35.50]-[1:21:37.50]  y vos corriendo
[1:21:37.50]-[1:21:39.50]  y cuando iba a ir con vos alguno a gallino
[1:21:39.50]-[1:21:41.50]  eso por eso al gallino le poniamos el rey
[1:21:41.50]-[1:21:43.50]  para que fuera a buscar de comer
[1:21:43.50]-[1:21:45.50]  y cuando pisabas pues se quedaba conchado
[1:21:45.50]-[1:21:47.50]  y de que se morían
[1:21:47.50]-[1:21:49.50]  los cabritos esos que nacían enfermos?
[1:21:49.50]-[1:21:51.50]  no, porque de alguno
[1:21:51.50]-[1:21:53.50]  han nacido esas ovejas sin mutar
[1:21:53.50]-[1:21:55.50]  hay muchos que se
[1:21:55.50]-[1:21:57.50]  y otros que no
[1:21:57.50]-[1:21:59.50]  se empeñan en no mamar
[1:21:59.50]-[1:22:01.50]  otros que salen con defecto
[1:22:01.50]-[1:22:03.50]  que no pueden comar
[1:22:03.50]-[1:22:05.50]  que también salen con defecto
[1:22:05.50]-[1:22:07.50]  porque tienen la garganta
[1:22:07.50]-[1:22:09.50]  o a lo mejor salen
[1:22:09.50]-[1:22:11.50]  con un daño que tiene mal a un coquí
[1:22:11.50]-[1:22:13.50]  hombre, no
[1:22:13.50]-[1:22:15.50]  es muy frecuente
[1:22:15.50]-[1:22:17.50]  pero en las pargueras de muchas por siempre
[1:22:17.50]-[1:22:19.50]  alguno falla
[1:22:19.50]-[1:22:21.50]  o salen tirados a la bolsa
[1:22:21.50]-[1:22:23.50]  y se ahoga
[1:22:23.50]-[1:22:25.50]  y luego se mueren
[1:22:25.50]-[1:22:27.50]  los crostos son muy fuertes
[1:22:27.50]-[1:22:29.50]  y alguno recibe el bien
[1:22:29.50]-[1:22:31.50]  y se muere
[1:22:31.50]-[1:22:33.50]  siempre se muere
[1:22:33.50]-[1:22:35.50]  siempre se muere el mundo
[1:22:35.50]-[1:22:37.50]  y ahora lo opino a usted
[1:22:37.50]-[1:22:39.50]  a tener el delinario o no?
[1:22:39.50]-[1:22:41.50]  si, a tener el delinario
[1:22:41.50]-[1:22:43.50]  pero no creo en el delinario
[1:22:43.50]-[1:22:45.50]  si, pero
[1:22:45.50]-[1:22:47.50]  a usted no le hace falta el tiempo
[1:22:47.50]-[1:22:49.50]  porque está con usted ayudando
[1:22:49.50]-[1:22:51.50]  no, a mi ya ya no va
[1:22:51.50]-[1:22:53.50]  a mi ya no va
[1:22:53.50]-[1:22:55.50]  me voy a meterle el bolo
[1:22:55.50]-[1:22:57.50]  que se me metió ahora a la hora
[1:22:57.50]-[1:22:59.50]  un bolo pa' qué?
[1:22:59.50]-[1:23:01.50]  con un detective
[1:23:01.50]-[1:23:03.50]  en la quita
[1:23:03.50]-[1:23:05.50]  pa' qué se planten bien
[1:23:05.50]-[1:23:07.50]  con los oficiales
[1:23:07.50]-[1:23:09.50]  ponen un chapo en la oreja
[1:23:09.50]-[1:23:11.50]  y un burro dentro de este bolo
[1:23:11.50]-[1:23:13.50]  entonces para eso lo que yo diría
[1:23:13.50]-[1:23:15.50]  lo que se roba mucho la gente
[1:23:15.50]-[1:23:17.50]  lo que se roba mucho la gente
[1:23:17.50]-[1:23:19.50]  si la roban poco
[1:23:19.50]-[1:23:21.50]  si la ven y se pesan bien
[1:23:21.50]-[1:23:23.50]  entonces ponen los directores y los exaluzos
[1:23:23.50]-[1:23:25.50]  bueno señores
[1:23:25.50]-[1:23:27.50]  yo no se si va a faltar algo por preguntar
[1:23:27.50]-[1:23:29.50]  un judista en Bucallá
[1:23:31.50]-[1:23:33.50]  pues tenia un médico antes
[1:23:33.50]-[1:23:35.50]  en el pueblo
[1:23:35.50]-[1:23:37.50]  si, era un médico truco
[1:23:39.50]-[1:23:41.50]  y tenia que pagarle mensualmente
[1:23:41.50]-[1:23:43.50]  no, por cartilla
[1:23:43.50]-[1:23:45.50]  eso era por cartilla
[1:23:45.50]-[1:23:47.50]  vacadora claro
[1:23:47.50]-[1:23:49.50]  preso
[1:23:49.50]-[1:23:51.50]  preso
[1:23:51.50]-[1:23:53.50]  preso
[1:23:53.50]-[1:23:55.50]  al que iba
[1:23:55.50]-[1:23:57.50]  tu te apuntabas al médico
[1:23:57.50]-[1:23:59.50]  no quería irte a otro bolo
[1:23:59.50]-[1:24:01.50]  y eso tu cartilla pagaba
[1:24:01.50]-[1:24:03.50]  todos los meses
[1:24:03.50]-[1:24:05.50]  a quien le pagaba todos los meses algo?
[1:24:05.50]-[1:24:07.50]  a los vacadores
[1:24:07.50]-[1:24:09.50]  a los vacadores
[1:24:09.50]-[1:24:11.50]  por cartilla te apuntabas
[1:24:11.50]-[1:24:13.50]  pero eso no lo pagaba
[1:24:13.50]-[1:24:15.50]  al día que llegaron y entonces dijeron
[1:24:15.50]-[1:24:17.50]  que en el waiting querían poner
[1:24:17.50]-[1:24:21.50]  el médico y el que el cuartel de la Oreni
[1:24:21.50]-[1:24:23.50]  y entonces por ejemplo el cuartel no se había llegado
[1:24:23.50]-[1:24:25.50]  y querían el médico
[1:24:25.50]-[1:24:27.50]  y entonces tenian que ir al médico
[1:24:27.50]-[1:24:29.50]  a tener una casa
[1:24:29.50]-[1:24:31.50]  para que se quedaran aquí
[1:24:31.50]-[1:24:33.50]  entonces al menos no me se va a la casa
