[0:00:00.00]-[0:00:02.00]  ¿La hierba buena, no?
[1:28:43.80]-[1:28:45.80]  ¿Estás enterado?
[1:28:45.80]-[1:28:47.80]  Pero ahora ya no...
[1:28:47.80]-[1:28:51.80]  Pues hay personas de estas mayores que estaban en las masías.
[1:28:51.80]-[1:28:53.80]  Que precisamente hablar...
[1:28:53.80]-[1:28:55.80]  Ayer hablé un ratico con uno.
[1:28:57.80]-[1:28:59.80]  Pobre hombre.
[1:28:59.80]-[1:29:01.80]  Y unas patadas...
[1:29:01.80]-[1:29:03.80]  al pobre ingeniero.
[1:29:03.80]-[1:29:07.80]  Y yo ya dije, voy a mi buen porque me entraba a mi sala.
[1:29:07.80]-[1:29:09.80]  ¿Tú leíste mucho en tu vida?
[1:29:09.80]-[1:29:11.80]  Si te gustan los libros, si lees...
[1:29:11.80]-[1:29:13.80]  No he sido tonto de todo, no he sido.
[1:29:13.80]-[1:29:15.80]  Esto se supone que no.
[1:29:15.80]-[1:29:17.80]  Tonto de todo no he sido.
[1:29:17.80]-[1:29:19.80]  No me alabo.
[1:29:19.80]-[1:29:25.80]  Pero en la escuela más veces he sido el primero que me alabo.
[1:29:25.80]-[1:29:27.80]  Porque yo no me alabo.
[1:29:27.80]-[1:29:29.80]  Yo no me alabo.
[1:29:29.80]-[1:29:31.80]  Yo no me alabo.
[1:29:31.80]-[1:29:33.80]  Yo no me alabo.
[1:29:33.80]-[1:29:35.80]  Porque...
[1:29:35.80]-[1:29:37.80]  Si, de verdad.
[1:29:37.80]-[1:29:39.80]  Cuando crearon dos escuelas...
[1:29:39.80]-[1:29:43.80]  había una mesa de seis, los seis primeros de una mesa.
[1:29:45.80]-[1:29:49.80]  Ya se fue, ya se hizo...
[1:29:49.80]-[1:29:51.80]  entonces...
[1:29:51.80]-[1:29:55.80]  porque aquí estuvimos casi todo el tiempo, en la zona roja que decían...
[1:29:55.80]-[1:29:59.80]  ya se iba revueltos.
[1:29:59.80]-[1:30:01.80]  Madre mía.
[1:30:03.80]-[1:30:05.80]  La bravuría que había.
[1:30:05.80]-[1:30:07.80]  ¡Uy madre!
[1:30:07.80]-[1:30:11.80]  No cabía la menos duda, un chaval de quince años, dieciséis...
[1:30:11.80]-[1:30:15.80]  y ahora si sentan los seis, tres chicas y tres chicos.
[1:30:15.80]-[1:30:19.80]  Al poco que se caía una goma sin querer.
[1:30:19.80]-[1:30:21.80]  El gato.
[1:30:21.80]-[1:30:23.80]  La verdad es.
[1:30:23.80]-[1:30:27.80]  Y además una maestra, pobre maestra, que ella sí que...
[1:30:27.80]-[1:30:31.80]  como nos llevaban pantalones, ahora llevaban pantalonillas, pero antes con las paloricas...
[1:30:33.80]-[1:30:35.80]  Ahí.
[1:30:35.80]-[1:30:37.80]  ¿Y qué hacía la maestra?
[1:30:37.80]-[1:30:39.80]  Pues no te digo yo, que a lo mejor se...
[1:30:39.80]-[1:30:43.80]  tirara la goma al suelo solamente por...
[1:30:43.80]-[1:30:47.80]  por ir a recoger la goma, pero la había limpiado.
[1:30:49.80]-[1:30:51.80]  Travesuras de Dios.
[1:30:51.80]-[1:30:55.80]  Eso es un coche, es muy normal.
[1:30:57.80]-[1:31:01.80]  ¿Y a las niñas también les levantaban las palmas en el colegio?
[1:31:03.80]-[1:31:07.80]  En el colegio no, por fuera, por fuera de los colegios.
[1:31:09.80]-[1:31:13.80]  No, pero es que entonces, entonces de verdad, ¿es ahora?
[1:31:15.80]-[1:31:19.80]  Ahora no pasa nada, todos al mismo colegio, chicos y chicas.
[1:31:19.80]-[1:31:23.80]  Ahora no, y entonces, bueno...
[1:31:25.80]-[1:31:29.80]  Estaban atrás en la cola de lo que es la vida.
[1:31:31.80]-[1:31:33.80]  ¿Cómo que estaban?
[1:31:33.80]-[1:31:35.80]  Muy atrasados, no que... a ver si no.
[1:31:35.80]-[1:31:37.80]  Muy atrasados.
[1:31:37.80]-[1:31:39.80]  No se me instalizaba uno que...
[1:31:39.80]-[1:31:43.80]  que pudiéramos estar aquí estudiando juntos.
[1:31:43.80]-[1:31:49.80]  Ni... uy, uy, uy...
[1:31:49.80]-[1:31:53.80]  ¿Y a las chicas les molestaba esto o no?
[1:31:53.80]-[1:31:55.80]  Esa es la razón.
[1:31:55.80]-[1:31:57.80]  Muy bien.
[1:31:57.80]-[1:31:59.80]  Entonces no, vale las chavales, vale.
[1:31:59.80]-[1:32:01.80]  Es más, es toda.
[1:32:03.80]-[1:32:05.80]  Sois tres, no tenéis el mismo genio.
[1:32:05.80]-[1:32:09.80]  No hay una forma de pensar uno que otro siempre se va por un lado.
[1:32:09.80]-[1:32:13.80]  Y un chico, la hizo los cuatro juntos, pues sí.
[1:32:13.80]-[1:32:15.80]  No pasa nada.
[1:32:17.80]-[1:32:21.80]  Y ante eso, bueno, iban solos.
[1:32:21.80]-[1:32:23.80]  Y que vayan solos, ¿qué?
[1:32:23.80]-[1:32:25.80]  Más vale ir acompañados que nosotros solos.
[1:32:25.80]-[1:32:27.80]  Uno por cada camino.
[1:32:27.80]-[1:32:29.80]  ¿No?
[1:32:31.80]-[1:32:33.80]  No, no, bien, bien.
[1:32:33.80]-[1:32:35.80]  Y que, bueno, si hablamos de una cosa así,
[1:32:35.80]-[1:32:39.80]  como era con una sección...
[1:32:45.80]-[1:32:47.80]  No lo sé.
[1:32:47.80]-[1:32:49.80]  Ahí yo no pienso tanto.
[1:32:49.80]-[1:32:51.80]  Pero ¿era prohibido o no era prohibido?
[1:32:51.80]-[1:32:53.80]  ¿Entendía como era prohibido?
[1:32:53.80]-[1:32:55.80]  ¿Talmente?
[1:32:55.80]-[1:32:57.80]  Sí.
[1:32:57.80]-[1:32:59.80]  Sí, claro.
[1:32:59.80]-[1:33:01.80]  Eso hace pocos años que está...
[1:33:01.80]-[1:33:04.80]  que esa libertad para decir parejas,
[1:33:04.80]-[1:33:08.80]  aún no está clara la cosa porque las parejas de hecho
[1:33:08.80]-[1:33:10.80]  tienen que tener una convivencia ya junta,
[1:33:10.80]-[1:33:12.80]  tienen que demostrar, ¿no es eso?
[1:33:14.80]-[1:33:17.80]  Tú no te quieres casar, pero quieres vivir conmigo.
[1:33:17.80]-[1:33:20.80]  Oye, pues, te vas a demostrar que vives conmigo.
[1:33:20.80]-[1:33:22.80]  Para tener los mismos derechos.
[1:33:22.80]-[1:33:24.80]  Y debes, como debe de ser.
[1:33:24.80]-[1:33:26.80]  Pero los rollo y dicen, no.
[1:33:26.80]-[1:33:28.80]  Ahora estás, eso sí que no nos cabe.
[1:33:28.80]-[1:33:30.80]  La cosa es lo mismo.
[1:33:30.80]-[1:33:32.80]  Que vayan dos hombres juntos,
[1:33:32.80]-[1:33:34.80]  y no me dejo con la madre.
[1:33:34.80]-[1:33:36.80]  Eso no, ahí no me junto yo con ellos.
[1:33:36.80]-[1:33:39.80]  Aquí no ha habido en el pueblo cosas de estas.
[1:33:39.80]-[1:33:41.80]  Porque en todas partes habrá, ¿no?
[1:33:41.80]-[1:33:43.80]  Madre mía.
[1:33:43.80]-[1:33:46.80]  ¿Había en su época casos de chicas
[1:33:46.80]-[1:33:48.80]  que... madres solteras o no?
[1:33:50.80]-[1:33:52.80]  Pues si la Virgen fue la primera.
[1:33:54.80]-[1:33:56.80]  La Virgen fue la primera.
[1:33:56.80]-[1:33:58.80]  ¿No?
[1:33:58.80]-[1:34:00.80]  Yo le pregunté un día, y no era muy...
[1:34:00.80]-[1:34:02.80]  era bastante loco el tío.
[1:34:02.80]-[1:34:04.80]  Alcuras.
[1:34:04.80]-[1:34:06.80]  Y yo, ¿el Espíritu Santo qué era?
[1:34:08.80]-[1:34:10.80]  ¡Cállate, cállate, cállate!
[1:34:10.80]-[1:34:12.80]  ¡Cállate, por favor!
[1:34:12.80]-[1:34:14.80]  Me viene todo así,
[1:34:14.80]-[1:34:16.80]  y digo, hombre,
[1:34:16.80]-[1:34:18.80]  si se posó encima de ella,
[1:34:18.80]-[1:34:20.80]  y salió luego Jesús,
[1:34:20.80]-[1:34:22.80]  le puso los cuernos a San Antonio,
[1:34:22.80]-[1:34:24.80]  a San José.
[1:34:24.80]-[1:34:26.80]  Digo,
[1:34:26.80]-[1:34:28.80]  digo...
[1:34:28.80]-[1:34:30.80]  ¡Ay, ay, ay!
[1:34:30.80]-[1:34:32.80]  ¡La verdad es que es la realidad!
[1:34:32.80]-[1:34:34.80]  Bueno, a ver si no.
[1:34:34.80]-[1:34:36.80]  Hay que creer,
[1:34:36.80]-[1:34:38.80]  es que hay veces...
[1:34:38.80]-[1:34:40.80]  hay que tener fe.
[1:34:40.80]-[1:34:42.80]  ¿Qué es fe?
[1:34:42.80]-[1:34:44.80]  ¿Crees lo que no se ve?
[1:34:44.80]-[1:34:46.80]  Pues ya está.
[1:34:48.80]-[1:34:50.80]  Si preguntas,
[1:34:50.80]-[1:34:52.80]  ¿por qué no?
[1:34:52.80]-[1:34:54.80]  Son asesores.
[1:34:54.80]-[1:34:56.80]  ¿Molestaba a los curas?
[1:34:56.80]-[1:34:58.80]  Hombre, pues no les daba gusto.
[1:35:00.80]-[1:35:02.80]  Si tiene confianza
[1:35:02.80]-[1:35:04.80]  con un señor así,
[1:35:04.80]-[1:35:06.80]  también.
[1:35:08.80]-[1:35:10.80]  Y, por ejemplo,
[1:35:10.80]-[1:35:12.80]  ¿cuánto tiempo
[1:35:12.80]-[1:35:14.80]  conoció a su mujer antes de casarse?
[1:35:14.80]-[1:35:16.80]  Hoy, mucho.
[1:35:16.80]-[1:35:18.80]  ¿Mucho?
[1:35:18.80]-[1:35:20.80]  Yo digo la verdad mucho.
[1:35:20.80]-[1:35:24.80]  Lo que pasa es que...
[1:35:26.80]-[1:35:28.80]  Se le murieron dos o tres hermanos,
[1:35:28.80]-[1:35:30.80]  y siempre iba de luto.
[1:35:30.80]-[1:35:32.80]  ¿De qué?
[1:35:32.80]-[1:35:34.80]  De luto, llevar luto.
[1:35:34.80]-[1:35:36.80]  O sea, ir vestido de negro, los teneros.
[1:35:36.80]-[1:35:38.80]  Estaba como un...
[1:35:38.80]-[1:35:40.80]  Iban seis o siete chicas juntas,
[1:35:40.80]-[1:35:42.80]  siempre.
[1:35:42.80]-[1:35:44.80]  Solo iba de chicorrión.
[1:35:44.80]-[1:35:46.80]  ¿Sabes?
[1:35:46.80]-[1:35:48.80]  Y ellos no llevaban ni con toda.
[1:35:48.80]-[1:35:50.80]  ¿Sí?
[1:35:50.80]-[1:35:52.80]  Si lo llevaban ni con toda.
[1:35:52.80]-[1:35:54.80]  Si, así.
[1:35:56.80]-[1:35:58.80]  Para decirle a una
[1:35:58.80]-[1:36:00.80]  pedirle para...
[1:36:00.80]-[1:36:02.80]  A mi...
[1:36:02.80]-[1:36:04.80]  Como amigo, sí.
[1:36:04.80]-[1:36:06.80]  Como amigo, era con todo.
[1:36:06.80]-[1:36:08.80]  Pero es que, ¿cómo entonces, por ejemplo,
[1:36:08.80]-[1:36:10.80]  se quiso como...
[1:36:10.80]-[1:36:12.80]  hacerle saber
[1:36:12.80]-[1:36:14.80]  que le gusta, pues,
[1:36:14.80]-[1:36:16.80]  cómo se hizo así que...
[1:36:16.80]-[1:36:20.80]  No sé, eso más que nada, cada uno.
[1:36:22.80]-[1:36:24.80]  Cuando llega una edad,
[1:36:24.80]-[1:36:26.80]  ya dices...
[1:36:26.80]-[1:36:28.80]  ¿Y estuvo usted mucho tiempo de novio?
[1:36:28.80]-[1:36:30.80]  ¿Estuvieron novios mucho tiempo?
[1:36:30.80]-[1:36:32.80]  Sí, cinco o seis años.
[1:36:32.80]-[1:36:34.80]  Sí, sí, sí.
[1:36:34.80]-[1:36:36.80]  ¿Y cuando salían,
[1:36:36.80]-[1:36:38.80]  no salían solo para llevar a alguien,
[1:36:38.80]-[1:36:40.80]  cuando salían a dar un paseo,
[1:36:40.80]-[1:36:42.80]  por ejemplo, les dejaban ir solos?
[1:36:42.80]-[1:36:44.80]  Ay...
[1:36:44.80]-[1:36:46.80]  Ahora sí, solos.
[1:36:46.80]-[1:36:48.80]  Una vez salía un novio, ¿a qué?
[1:36:48.80]-[1:36:50.80]  Tejó muy buenas amigas,
[1:36:50.80]-[1:36:52.80]  y ahora después sí,
[1:36:52.80]-[1:36:54.80]  y yo a su casa también, ¿eh?
[1:36:54.80]-[1:36:56.80]  Sí.
[1:36:58.80]-[1:37:00.80]  ¿Y cuándo dejaban entrar en la casa?
[1:37:00.80]-[1:37:02.80]  Ah, eso cada uno...
[1:37:02.80]-[1:37:04.80]  ¿En la casa de la novia?
[1:37:04.80]-[1:37:06.80]  Que digo que cada uno se unió.
[1:37:06.80]-[1:37:08.80]  Las cosas.
[1:37:08.80]-[1:37:10.80]  Pues, si ahora justo,
[1:37:10.80]-[1:37:12.80]  ya ganan el...
[1:37:12.80]-[1:37:14.80]  Bueno,
[1:37:14.80]-[1:37:16.80]  yo creo que nos vamos a ir,
[1:37:16.80]-[1:37:18.80]  porque ya es casi la hora de comer.
[1:37:18.80]-[1:37:20.80]  Ya nos esperan para comer, sí.
[1:37:20.80]-[1:37:22.80]  ¿A dónde vais a comer?
[1:37:22.80]-[1:37:24.80]  Pues, pues...
[1:37:24.80]-[1:37:26.80]  A Mora de Rubielos.
[1:37:26.80]-[1:37:28.80]  ¿A Mora de Rubielos?
[1:37:28.80]-[1:37:30.80]  Sí, ¿cuánto tardaremos como un cuarto de hora,
[1:37:30.80]-[1:37:32.80]  o así, no?
[1:37:32.80]-[1:37:34.80]  Más.
[1:37:34.80]-[1:37:36.80]  ¿Más?
[1:37:36.80]-[1:37:38.80]  Un cuarto de hora, para bajar a Mora.
[1:37:38.80]-[1:37:40.80]  Es poco.
[1:37:40.80]-[1:37:42.80]  No sé cuánto nos tardará esta mañana.
[1:37:42.80]-[1:37:44.80]  Más o menos.
[1:37:44.80]-[1:37:55.56]  ¡ Que по
