[0:00:00.00]-[0:00:06.00]  ¿Usted cómo se llama?
[1:10:37.00]-[1:10:39.00]  ¿Y no recuerdo usted haber tenido que ir a recoger agua?
[1:10:39.00]-[1:10:41.00]  ¿Agua?
[1:10:41.00]-[1:10:43.00]  ¿Todos los días?
[1:10:43.00]-[1:10:45.00]  ¿Sí? Cuatro, seis, cuatro, cada una.
[1:10:45.00]-[1:10:47.00]  El gasto que tendrían casa.
[1:10:47.00]-[1:10:49.00]  ¿Cuántos novios, cuatro cantarras?
[1:10:49.00]-[1:10:51.00]  ¡Ganda!
[1:10:51.00]-[1:10:53.00]  Y eso no es la verdad.
[1:10:53.00]-[1:10:55.00]  Los novios iban a ver a la fuente.
[1:10:55.00]-[1:10:57.00]  La cita era a la fuente.
[1:10:57.00]-[1:10:59.00]  Sí, hija, sí.
[1:10:59.00]-[1:11:01.00]  La cita a la fuente.
[1:11:01.00]-[1:11:03.00]  A lo mejor llegaban a casa, cogían el cántaro
[1:11:03.00]-[1:11:05.00]  y le volcaban y se iban a por otro, porque no había llegado.
[1:11:05.00]-[1:11:07.00]  Y le esperaba.
[1:11:07.00]-[1:11:09.00]  Allí.
[1:11:09.00]-[1:11:11.00]  Para coger agua.
[1:11:11.00]-[1:11:13.00]  Y los hombres estaban en espera
[1:11:13.00]-[1:11:15.00]  a ver si subía con el cántarito de agua para subirse con la novia.
[1:11:15.00]-[1:11:17.00]  Se subía con un cantarcito.
[1:11:19.00]-[1:11:21.00]  Ay, Dios.
[1:11:21.00]-[1:11:23.00]  El cántaro a la fuente.
[1:11:23.00]-[1:11:25.00]  El cántaro a la fuente.
[1:11:25.00]-[1:11:27.00]  Pues yo no me acuerdo ya de ese cantar.
[1:11:29.00]-[1:11:31.00]  El cántaro a la fuente.
[1:11:31.00]-[1:11:33.00]  Muy bonito, es un rey.
[1:11:33.00]-[1:11:35.00]  Hija, no me digas que
[1:11:35.00]-[1:11:37.00]  el cantarito en la fuente
[1:11:37.00]-[1:11:39.00]  madre, ¿qué creía usted?
[1:11:45.00]-[1:11:47.00]  Ya te han cogido.
[1:11:47.00]-[1:11:51.00]  Ya no soy yo sola.
[1:11:53.00]-[1:11:55.00]  O sea que ir a por agua no era solo ir a por agua.
[1:11:57.00]-[1:11:59.00]  Era toda una cita.
[1:11:59.00]-[1:12:01.00]  Pues sí, había de todo.
[1:12:01.00]-[1:12:03.00]  Se lo pasaba uno bien un rato
[1:12:03.00]-[1:12:05.00]  y pues era la
[1:12:05.00]-[1:12:07.00]  distracción esa.
[1:12:07.00]-[1:12:09.00]  ¿Y luego el agua cómo se calentaba en casa?
[1:12:09.00]-[1:12:11.00]  Pues al alumbre, al fuego,
[1:12:11.00]-[1:12:13.00]  se calentaba bien.
[1:12:13.00]-[1:12:15.00]  Entonces ponías una olla,
[1:12:15.00]-[1:12:17.00]  un caldero, le llenabas de agua,
[1:12:17.00]-[1:12:19.00]  ponías leña
[1:12:19.00]-[1:12:21.00]  o carbón
[1:12:21.00]-[1:12:23.00]  y aquí no había carbón, aquí leña.
[1:12:23.00]-[1:12:25.00]  Leña vegetal, ¿sabes?
[1:12:25.00]-[1:12:27.00]  Metías unos troncos y se
[1:12:27.00]-[1:12:29.00]  calentaba y ya estaba.
[1:12:29.00]-[1:12:31.00]  ¿Y la leña? La leña en los pinos,
[1:12:31.00]-[1:12:33.00]  en los pinares. ¿Sí?
[1:12:33.00]-[1:12:35.00]  ¿Quién iba a recoger la leña? Los señores.
[1:12:35.00]-[1:12:37.00]  ¿Sí? Y las mujeres y quien fuera.
[1:12:37.00]-[1:12:39.00]  ¿Y dónde se guardaba?
[1:12:39.00]-[1:12:41.00]  Porque no sé...
[1:12:41.00]-[1:12:43.00]  ¿Dónde se guardaba?
[1:12:43.00]-[1:12:45.00]  En las casas se guarda la leña.
[1:12:47.00]-[1:12:49.00]  En todas las cocheras
[1:12:49.00]-[1:12:51.00]  tienes leña aquí.
[1:12:51.00]-[1:12:53.00]  ¿Todavía se utiliza?
[1:12:53.00]-[1:12:55.00]  Aquí no hay nada más que cuatro o cinco calefaciones.
[1:12:55.00]-[1:12:57.00]  Pues mira,
[1:12:57.00]-[1:12:59.00]  todas las casas con leña.
[1:12:59.00]-[1:13:01.00]  ¿Sí? Sí. En todas las casas hay una estufa.
[1:13:01.00]-[1:13:03.00]  Todas las casas
[1:13:03.00]-[1:13:05.00]  hay una estufa.
[1:13:05.00]-[1:13:07.00]  Luego hay una cocina también.
[1:13:07.00]-[1:13:09.00]  ¿Y ahora compran la leña? Ahora está la leña cara.
[1:13:09.00]-[1:13:11.00]  Claro. La que no lo tiene y lo tiene
[1:13:11.00]-[1:13:13.00]  que comprar.
[1:13:13.00]-[1:13:15.00]  Lo que es que aquí pasa que
[1:13:15.00]-[1:13:17.00]  la mayoría tiene algún pinarcillo
[1:13:17.00]-[1:13:19.00]  y por ahí se va abasteciendo.
[1:13:19.00]-[1:13:21.00]  Y...
[1:13:21.00]-[1:13:23.00]  Y el que no tiene que comprar.
[1:13:23.00]-[1:13:25.00]  Y el que no pues lo compra también.
[1:13:25.00]-[1:13:27.00]  A ver qué remedio le queda.
[1:13:29.00]-[1:13:31.00]  Señora, me duele.
[1:13:31.00]-[1:13:33.00]  ¿Usted sabría hacer cena?
[1:13:33.00]-[1:13:35.00]  La trama a ti.
[1:13:35.00]-[1:13:37.00]  ¿Ya los matas a los chicos que dicen que se van?
[1:13:37.00]-[1:13:39.00]  Y se ríen de ti.
[1:13:39.00]-[1:13:41.00]  Pues que ellos pues...
[1:13:41.00]-[1:13:43.00]  Y qué bien que no les haya tocado porque hay que ver
[1:13:43.00]-[1:13:45.00]  lo que el personal mayor
[1:13:45.00]-[1:13:47.00]  ha sudado
[1:13:47.00]-[1:13:49.00]  para secar y para
[1:13:49.00]-[1:13:51.00]  hacer todas las cosas del campo.
[1:13:51.00]-[1:13:53.00]  Porque eso eran trabajos, trabajos forzados.
[1:13:53.00]-[1:13:55.00]  Trabajos forzados.
[1:13:55.00]-[1:13:57.00]  Porque no era sólo eso. Es que luego después
[1:13:57.00]-[1:13:59.00]  ahora cogen el grano
[1:13:59.00]-[1:14:01.00]  lo cogen en un
[1:14:01.00]-[1:14:03.00]  chinfín y lo colgan al
[1:14:03.00]-[1:14:05.00]  tractor o con la pala. Pero es que antes
[1:14:05.00]-[1:14:07.00]  llenaban un saco de 100 kilos
[1:14:07.00]-[1:14:09.00]  y se le echaban a la espalda.
[1:14:09.00]-[1:14:11.00]  Y luego lo tenían que subir
[1:14:11.00]-[1:14:13.00]  no lo dejaban
[1:14:13.00]-[1:14:15.00]  abajo, sino que se subía ahí arriba
[1:14:15.00]-[1:14:17.00]  al segundo piso.
[1:14:17.00]-[1:14:19.00]  A los desvanes. Y tenían que subir 20 o 30 escaleras
[1:14:19.00]-[1:14:21.00]  con un saco de trigo.
[1:14:21.00]-[1:14:23.00]  O de cebada y eso. Y trabajaban
[1:14:23.00]-[1:14:25.00]  pues muchísimo la gente.
[1:14:25.00]-[1:14:27.00]  Trabajaban muchísimo la gente.
[1:14:27.00]-[1:14:29.00]  Entonces eran
[1:14:29.00]-[1:14:31.00]  unos trabajos muy grandes en todo.
[1:14:31.00]-[1:14:33.00]  Yo te digo que no hay
[1:14:33.00]-[1:14:35.00]  ni punto de comparación. Que si
[1:14:35.00]-[1:14:37.00]  ahora vieran las personas
[1:14:37.00]-[1:14:39.00]  que nada más que se han muerto
[1:14:39.00]-[1:14:41.00]  hace 40 años y lo vieran
[1:14:41.00]-[1:14:43.00]  dirían pero ¿qué es esto?
[1:14:43.00]-[1:14:45.00]  No lo creían. Muchas de las cosas que se ven.
[1:14:45.00]-[1:14:47.00]  Muchas.
[1:14:51.00]-[1:14:53.00]  Y luego después
[1:14:53.00]-[1:15:05.00]  de desvuelos vas a dormir a ese coche.
