[0:00:00.00]-[0:00:02.00]  Claro, para bailarla, sí.
[1:09:17.00]-[1:09:19.00]  ¿Ya no hace un jabón usted?
[1:09:19.00]-[1:09:20.00]  No, joder.
[1:09:20.00]-[1:09:21.00]  El que dice que va a buscar.
[1:09:21.00]-[1:09:22.00]  ¿Jabón?
[1:09:22.00]-[1:09:23.00]  Un jabón.
[1:09:23.00]-[1:09:25.00]  Yo ya no, ya no.
[1:09:25.00]-[1:09:29.00]  Yo sí lo había hecho, pero ya hace mucho tiempo que no lo hago.
[1:09:29.00]-[1:09:31.00]  ¿Y cómo lo había hecho?
[1:09:31.00]-[1:09:41.00]  Bueno, pues, comprábamos grasa de las ovejas o de una ternera o de una vaca o de eso.
[1:09:41.00]-[1:09:43.00]  De esa que le llaman cebo.
[1:09:43.00]-[1:09:50.00]  Y después le echábamos osa y lo hacíamos.
[1:09:50.00]-[1:09:52.00]  ¿Y lo tardó mucho?
[1:09:52.00]-[1:09:53.00]  Sí.
[1:09:53.00]-[1:09:54.00]  ¿Se lo tardaba mucho?
[1:09:54.00]-[1:09:55.00]  No.
[1:09:55.00]-[1:10:00.00]  Después le dábamos vueltas, vueltas, vueltas, allí, con agua muy caliente.
[1:10:00.00]-[1:10:02.00]  Bueno, como se sabía hacer.
[1:10:02.00]-[1:10:11.00]  Y después de que ya estaba bastante hecho, pues ya lo echábamos para un cacharro.
[1:10:11.00]-[1:10:12.00]  Y ya echábamos los pao en cajoni.
[1:10:12.00]-[1:10:16.00]  Y yo le puse un plástico porque si no, tenía unas rendijas y se me marchaba.
[1:10:16.00]-[1:10:18.00]  Y después quedó repicado por ahí.
[1:10:18.00]-[1:10:20.00]  Pero bueno, quedaba liso así.
[1:10:20.00]-[1:10:22.00]  Y lo necesitábamos en espuma.
[1:10:22.00]-[1:10:24.00]  Con cebo y sosa y ya está.
[1:10:24.00]-[1:10:25.00]  Sí.
[1:10:25.00]-[1:10:26.00]  O aceite.
[1:10:26.00]-[1:10:27.00]  Agua templada, sí.
[1:10:27.00]-[1:10:29.00]  Agua templada, ¿no?
[1:10:29.00]-[1:10:33.00]  Y después lo echábamos para unos cajones que teníamos.
[1:10:33.00]-[1:10:37.00]  Pero yo, pues, más tarde ya comprábamos un poquito de listor para echarle.
[1:10:37.00]-[1:10:38.00]  Sí, sí.
[1:10:38.00]-[1:10:41.00]  Pero antes cuando vas a venir a la luna, ¿o sí?
[1:10:41.00]-[1:10:47.00]  Entonces echármelo cuando el tiempo hace el sabón en el calcaldero, echármelo ya que el puto tiene.
[1:10:47.00]-[1:10:49.00]  Para que yo tante más espuma, si no.
[1:10:49.00]-[1:10:50.00]  La ropa limpia.
[1:10:50.00]-[1:11:02.00]  Bueno, como el cuento de aquellos que ahora veis en la tele, que están vestidos con hojas y también comen, no sé qué comen y ay, Dios mío.
[1:11:02.00]-[1:11:04.00]  ¿Y la sosa la hacían en casa?
[1:11:04.00]-[1:11:07.00]  La sosa la comprábamos.
[1:11:07.00]-[1:11:09.00]  No, eso sí, en casa no.
[1:11:09.00]-[1:11:13.00]  ¿Y ese jabón servía para lavarse las personas también?
[1:11:13.00]-[1:11:17.00]  Bueno, para lavarse nosotros comprábamos ya jabón.
[1:11:17.00]-[1:11:21.00]  Entonces había ya jabón para lavarse.
[1:11:21.00]-[1:11:26.00]  Y para lavar no comprábamos ese jabón, pero para lavar la ropa todo con ese.
[1:11:26.00]-[1:11:28.00]  Y para los platos y eso también.
[1:11:28.00]-[1:11:30.00]  Sí, sí, para eso sí.
[1:11:30.00]-[1:11:32.00]  Para los platos con ese.
[1:11:32.00]-[1:11:35.00]  ¿Y usted ha conocido la perla colada con lecía caliente?
[1:11:35.00]-[1:11:37.00]  ¿Con qué?
[1:11:37.00]-[1:11:42.00]  Lo que llaman lecía caliente, que meten en un cazarro con ceniza.
[1:11:42.00]-[1:11:44.00]  ¿Eso lo ha conocido usted hoy o no?
[1:11:44.00]-[1:11:45.00]  Yo no, yo no.
[1:11:45.00]-[1:11:47.00]  Aquí en este pueblo no había eso.
[1:11:47.00]-[1:11:49.00]  Yo no, yo no.
[1:11:49.00]-[1:11:56.00]  ¿Y aquí ponerme a los novios un yugo, un jugo entre las dos cabezas en la iglesia?
[1:11:56.00]-[1:11:58.00]  Tampoco si estaba...
[1:11:58.00]-[1:12:00.00]  Yo tampoco, ni nunca había oído eso.
[1:12:00.00]-[1:12:01.00]  ¿No?
[1:12:01.00]-[1:12:02.00]  No.
[1:12:02.00]-[1:12:05.00]  ¿En algún sitio lo viste, que hicieron eso?
[1:12:05.00]-[1:12:06.00]  Sí.
[1:12:06.00]-[1:12:08.00]  No, yo eso no, eso no.
[1:12:08.00]-[1:12:09.00]  Ponerle un yugo.
[1:12:09.00]-[1:12:11.00]  Entonces ya sabía esto lo que era el yugo, claro.
[1:12:11.00]-[1:12:13.00]  Decía yo que el yugo lo poníamos en las vacas.
[1:12:13.00]-[1:12:15.00]  ¿Y qué era el yugo?
[1:12:15.00]-[1:12:17.00]  No, yo a los novios nunca sabía.
[1:12:17.00]-[1:12:20.00]  ¿A las ni un trapo, ni una... nada?
[1:12:20.00]-[1:12:22.00]  ¿No está usted de solo?
[1:12:22.00]-[1:12:27.00]  No, nunca, nunca, nunca vi yo nada de lecía, nada, los novios.
[1:12:27.00]-[1:12:29.00]  ¿Acaso no veíamos algún día de hacer...
[1:12:29.00]-[1:12:32.00]  ¿Y aquí carnaval se celebraba?
[1:12:32.00]-[1:12:37.00]  Bueno, pues aquí el carnaval los niños pequeños se vestían.
[1:12:37.00]-[1:12:40.00]  ¿Los personas mayores no? ¿Los críos?
[1:12:40.00]-[1:12:46.00]  No, las personas mayores no. La juventud, yo ya no me doy cuenta.
[1:12:46.00]-[1:12:52.00]  De cuando era, hacía algunos ya que eran bastante mayores ya.
[1:12:52.00]-[1:12:54.00]  Bueno, mozos, que le llamábamos nosotros.
[1:12:54.00]-[1:12:59.00]  Recuerdo a ver a algunos que se vestían hombres de mujeres, de mujer de hombre, y eso.
[1:12:59.00]-[1:13:02.00]  Pero, y después los críos pequeños.
[1:13:02.00]-[1:13:09.00]  Esos críos pequeños sí, un año anduvieron por ahí, pidiendo para las casas, para que le dieran algo.
[1:13:09.00]-[1:13:17.00]  Y esos pequeños sí, se vestían de, no sé cómo le llamaban, de chanfarríos, me parece que le llamaban.
[1:13:17.00]-[1:13:19.00]  Se vestían de chanfarríos.
[1:13:22.00]-[1:13:23.00]  ¿Y aquí?
[1:13:23.00]-[1:13:24.00]  ¿Eso?
[1:13:24.00]-[1:13:26.00]  De vestir de...
[1:13:26.00]-[1:13:27.00]  ¿De carnaval?
[1:13:27.00]-[1:13:29.00]  De carnaval.
[1:13:29.00]-[1:13:36.00]  Y yo de carnaval que sí, un año este año vinieron esos críos pequeños aquí a casa a pedir.
[1:13:36.00]-[1:13:44.00]  Algunos tenían unos vestidones largos, otros tenían una careta, otros estaban desplazados así, no sé, pintados todos.
[1:13:44.00]-[1:13:48.00]  Y yo un año este año vinieron esos pequeños que hay, tres o cuatro.
[1:13:48.00]-[1:13:50.00]  ¿Y aquí se celebraba Santágeda o no?
[1:13:50.00]-[1:13:51.00]  Santágeda no.
[1:13:51.00]-[1:13:52.00]  ¿No?
[1:13:52.00]-[1:13:53.00]  No.
[1:13:53.00]-[1:13:58.00]  Nada, que las mujeres mandaban a los hombres ese día y hacían lo que ellas querían.
[1:13:58.00]-[1:13:59.00]  Eso no existía aquí.
[1:13:59.00]-[1:14:00.00]  No.
[1:14:00.00]-[1:14:02.00]  ¿Y el mayo tampoco se celebraba?
[1:14:02.00]-[1:14:04.00]  El mayo sí, el día de la ascensión.
[1:14:04.00]-[1:14:05.00]  ¿Y qué es lo que hacían?
[1:14:05.00]-[1:14:10.00]  El día de la ascensión ahí a esta fuente que hay ahí, a eso, ahí ponían un palo alto.
[1:14:10.00]-[1:14:11.00]  Sí.
[1:14:11.00]-[1:14:19.00]  Y lo ponían con ramos de berza, que entonces no habría otra cosa, o yo qué sé.
[1:14:19.00]-[1:14:28.00]  Ponían ramos atados al palo y a lo mejor le hacían algún santo.
[1:14:28.00]-[1:14:37.00]  Le vestían algún palo con ropa de hombre o de mujer y ponían allí un espantajo.
[1:14:37.00]-[1:14:40.00]  ¿Y qué le hacían a ese espantajo?
[1:14:40.00]-[1:14:42.00]  Nada, nada, nada.
[1:14:42.00]-[1:14:45.00]  Lo ponían el día de la ascensión.
[1:14:45.00]-[1:14:46.00]  Y ya está.
[1:14:46.00]-[1:14:48.00]  Tenía esa costumbre de...
[1:14:48.00]-[1:14:52.00]  Éramos cuarenta mojos y cuarenta mojas entonces.
[1:14:52.00]-[1:14:53.00]  Entonces sí.
[1:14:53.00]-[1:14:55.00]  Y chicos como vosotros, ¿sí es?
[1:14:55.00]-[1:14:58.00]  Sí, sí, sí.
[1:14:58.00]-[1:15:02.00]  ¿Y los chicos cuando iban a la mil y los mozos hacían alguna celebración especial?
[1:15:02.00]-[1:15:03.00]  No, nada, nada, nada.
[1:15:03.00]-[1:15:05.00]  ¿No pedían comida por las casas?
[1:15:05.00]-[1:15:07.00]  No, no, no, no, no.
[1:15:07.00]-[1:15:11.00]  ¿Iban bien, bien, los padres bien aburridos porque marchaban para allá?
[1:15:11.00]-[1:15:13.00]  Bueno, cuando la guerra, pero...
[1:15:13.00]-[1:15:15.00]  ¿Después de la guerra, en qué pasó la guerra?
[1:15:15.00]-[1:15:17.00]  Después de la guerra, nosotros fuimos chicos de la guerra.
[1:15:17.00]-[1:15:19.00]  Y aquí ya fue en el cuarenta y cuatro.
[1:15:19.00]-[1:15:20.00]  Sí, bueno, bueno.
[1:15:20.00]-[1:15:22.00]  Cuando él estuvo.
[1:15:22.00]-[1:15:25.00]  Él dijo que habían pasado más hambre que el perro de los señuelos.
[1:15:25.00]-[1:15:27.00]  Bueno.
[1:15:27.00]-[1:15:30.00]  Que le daban unos alejos, unos cocines, dijo.
[1:15:30.00]-[1:15:34.00]  Bueno, porque entonces fue luego, al poco que terminó la guerra.
[1:15:34.00]-[1:15:38.00]  Y claro, no había en España, no había entonces comida en España.
[1:15:38.00]-[1:15:39.00]  Estábamos todos.
[1:15:39.00]-[1:15:40.00]  ¿Iban a la mil y personas por todos?
[1:15:40.00]-[1:15:41.00]  No, iban por nadie voluntarios, no.
[1:15:41.00]-[1:15:48.00]  Porque aquí, aquí las pasamos mal, pero en otros sitios las pasaron peor.
[1:15:48.00]-[1:15:50.00]  Cuando la guerra pasaron más hambre que nosotros.
[1:15:50.00]-[1:15:52.00]  En que éramos pobres.
[1:15:52.00]-[1:15:58.00]  Como cosechábamos nosotros las tierras, teníamos nosotros el pan que lo cosechábamos nosotros.
[1:15:58.00]-[1:15:59.00]  Y patatas.
[1:15:59.00]-[1:16:01.00]  Y después llevábamos los cerdos.
[1:16:01.00]-[1:16:04.00]  Y eso pues, aún teníamos que comer.
[1:16:04.00]-[1:16:09.00]  Pero en otras partes, que no las capitales, sí que las pasaron mal.
[1:16:09.00]-[1:16:10.00]  Entonces, cuando la guerra.
[1:16:10.00]-[1:16:16.00]  Por eso que nosotros, cuando la guerra, las pasemos mal, pero no las pasemos tan mal por eso.
[1:16:16.00]-[1:16:21.00]  Porque como cosechábamos nosotros algo, pues, era de otra manera.
[1:16:21.00]-[1:16:24.00]  ¿Y qué se cosechaba? ¿Qué se cultivaba para comer?
[1:16:24.00]-[1:16:26.00]  Pues pan, trigo y centeno.
[1:16:26.00]-[1:16:27.00]  ¿Trigo y centeno?
[1:16:27.00]-[1:16:28.00]  Trigo y centeno y patatas.
[1:16:28.00]-[1:16:29.00]  ¿Y patatas?
[1:16:29.00]-[1:16:30.00]  Y patatas.
[1:16:30.00]-[1:16:34.00]  ¿Y daba sólo para comer o para vender también?
[1:16:34.00]-[1:16:39.00]  Bueno, para comer casi nada más, porque no gastábamos todo.
[1:16:39.00]-[1:16:45.00]  Porque como teníamos los cerdos, el pan que nos sobraba de nosotros, pues nos lo damos a los cerdos.
[1:16:45.00]-[1:16:47.00]  ¿Y las vacas tenían algo?
[1:16:47.00]-[1:16:50.00]  Y las vacas, que nos criaban algún ternerín o eso.
[1:16:50.00]-[1:16:54.00]  Pues también le había que dar algo a las vacas, de ese pan.
[1:16:54.00]-[1:16:56.00]  ¿El ternerín? ¿Y por ahí había que venderlo?
[1:16:56.00]-[1:17:03.00]  Y de esa forma que aquí, cuando la guerra, casi vinimos estando como antes.
[1:17:03.00]-[1:17:05.00]  Lo que no teníamos era ropa.
[1:17:05.00]-[1:17:06.00]  Ropa no.
[1:17:06.00]-[1:17:10.00]  Tuvimos que hacer la ropa, no venía nada de géneros.
[1:17:10.00]-[1:17:15.00]  Y entonces, pues claro, fueron cuatro años, como cinco.
[1:17:15.00]-[1:17:17.00]  Y después la teníamos a la vaca.
[1:17:17.00]-[1:17:19.00]  Y después tuvimos que hacerla de lana.
[1:17:19.00]-[1:17:21.00]  Y gracias que teníamos lana.
[1:17:21.00]-[1:17:30.00]  Como teníamos nosotros las ovejas y la hacíamos nosotras, pues la hacíamos con las faldas de lana, entre seis.
[1:17:30.00]-[1:17:32.00]  Las medias, todo lo hacíamos de lana.
[1:17:32.00]-[1:17:33.00]  Todo, todo.
[1:17:33.00]-[1:17:35.00]  ¿Y entonces si tenían ovejas que con la oveja que...
[1:17:35.00]-[1:17:38.00]  Con la lana de las ovejas, como ahora hacemos.
[1:17:38.00]-[1:17:40.00]  Sí, pero vendían la lana o no.
[1:17:40.00]-[1:17:42.00]  No, la hacíamos nosotras.
[1:17:42.00]-[1:17:44.00]  Y los que trabajaban casa.
[1:17:44.00]-[1:17:49.00]  Los que no tenían ovejas, a lo mejor los vendían una ola de lana de la oveja.
[1:17:49.00]-[1:17:50.00]  Claro, claro.
[1:17:50.00]-[1:17:53.00]  El que no la tenía se la compraba, la otra o se la compraba.
[1:17:53.00]-[1:17:56.00]  ¿Y queso? ¿Hacían queso con la leche de...
[1:17:56.00]-[1:17:57.00]  No, no, queso.
[1:17:57.00]-[1:17:59.00]  ¿No tenías para poder criar al que el tuvieras?
[1:17:59.00]-[1:18:00.00]  No, no, no.
[1:18:00.00]-[1:18:05.00]  Aquí es un sitio muy miserable, porque no comían las ovejas para...
[1:18:05.00]-[1:18:08.00]  Pero antes había más ovejas en el campo que hierbas.
[1:18:08.00]-[1:18:11.00]  Porque ahora no hay más que dos o tres que tengan...
[1:18:11.00]-[1:18:13.00]  Bueno, entonces como ahora, y ahora como entonces.
[1:18:13.00]-[1:18:17.00]  Que ahora porque no están las tierras sembradas y como no están las tierras sembradas, cambia mucho.
[1:18:17.00]-[1:18:22.00]  Bueno, pero entonces había muchas ovejas, muchas y no dejaban casi el campo que echara hierbas,
[1:18:22.00]-[1:18:23.00]  porque todos los llevaban comida.
[1:18:23.00]-[1:18:24.00]  Claro, no, no.
[1:18:24.00]-[1:18:25.00]  Todos aquí no.
[1:18:28.00]-[1:18:34.00]  Bueno, pues ya vos contemos todos, todos los cuentos ya vos contemos ya, con que ya vos dejamos en paz.
[1:18:34.00]-[1:18:37.00]  No, ya no, ya no, ya no nos contamos más porque ya no, ya no estamos...
[1:18:37.00]-[1:18:39.00]  No, es que vamos a marchar.
[1:18:39.00]-[1:18:42.00]  ¿Qué le vais a contar si estáis trabajando? Yo eso de ahora...
[1:18:42.00]-[1:18:43.00]  Ya van a ser...
[1:18:43.00]-[1:18:44.00]  ¿Hacían con la lana?
[1:18:44.00]-[1:18:45.00]  ¿Qué?
[1:18:45.00]-[1:18:47.00]  ¿Hacían cojines también y todo?
[1:18:47.00]-[1:18:48.00]  Sí.
[1:18:48.00]-[1:18:50.00]  Debes con que iros a hacer.
[1:18:50.00]-[1:18:52.00]  ¿Y la leche de vaca tampoco la vendían?
[1:18:52.00]-[1:18:53.00]  No se venía pataca ninguna.
[1:18:53.00]-[1:18:54.00]  ¿No?
[1:18:54.00]-[1:18:55.00]  No.
[1:18:55.00]-[1:18:56.00]  No, venía vaca.
[1:18:56.00]-[1:18:57.00]  ¡Tú y aquí! Aquí leche, está bueno.
[1:18:57.00]-[1:19:00.00]  Aquí la leche es para los terneros.
[1:19:00.00]-[1:19:02.00]  Y, y, y...
[1:19:02.00]-[1:19:05.00]  Y bien poco que comían los pobres.
[1:19:05.00]-[1:19:10.00]  No, es que estábamos hablando con ella todo el día y, y, y...
[1:19:10.00]-[1:19:13.00]  y comer, se le daba poco de comer, está bueno para...
[1:19:13.00]-[1:19:15.00]  O sea que los niños no tomaban leche aquí.
[1:19:15.00]-[1:19:16.00]  Sí, leche.
[1:19:16.00]-[1:19:18.00]  La de la madre, vamos, claro.
[1:19:18.00]-[1:19:19.00]  La de la madre, nada más.
[1:19:19.00]-[1:19:21.00]  Nada más la de la madre.
[1:19:21.00]-[1:19:23.00]  La de la madre, gracias.
[1:19:23.00]-[1:19:28.00]  ¿Y cuando una vaca tenía un ternero había que ayudar a la vaca o...?
[1:19:28.00]-[1:19:30.00]  Bueno, pues un suficiente pan que teníamos.
[1:19:30.00]-[1:19:32.00]  ¿Le dábamos pan a las vacas?
[1:19:32.00]-[1:19:34.00]  De la tercera, pues, yo echaba.
[1:19:34.00]-[1:19:37.00]  Le dábamos harina, de la harina que veníamos de moler.
[1:19:37.00]-[1:19:39.00]  Sí, damos un poquitín.
[1:19:39.00]-[1:19:42.00]  Le dábamos algo de esa harina con el agua para las vacas.
[1:19:42.00]-[1:19:44.00]  Para que pudieran algo los terneros, ¿no?
[1:19:44.00]-[1:19:46.00]  Para que pudieran criar mejor el ternero.
[1:19:46.00]-[1:19:51.00]  Y para si el ternero venía atravesado, ¿se llamaba el veterinario o...?
[1:19:51.00]-[1:19:53.00]  Si llamaba, no había...
[1:19:53.00]-[1:19:54.00]  ¿Sí, qué le pasó?
[1:19:54.00]-[1:19:56.00]  Si venía atravesado, pues atravesado.
[1:19:56.00]-[1:19:57.00]  Una vez que estaba...
[1:19:57.00]-[1:19:58.00]  ¿Qué le pasó a usted?
[1:19:58.00]-[1:20:00.00]  Que venía mal el ternero.
[1:20:00.00]-[1:20:03.00]  Y mi marido mío había marchado a trabajar por ahí adelante.
[1:20:03.00]-[1:20:07.00]  Y entonces yo no acababa de hacer el ternero.
[1:20:07.00]-[1:20:09.00]  No terminaba de hacer el ternero.
[1:20:09.00]-[1:20:11.00]  Y como no lo hacerá, como no lo hacerá,
[1:20:11.00]-[1:20:15.00]  cuando después ya por la mañana, que había sido a la noche,
[1:20:15.00]-[1:20:17.00]  cuando ya llegó por la mañana,
[1:20:17.00]-[1:20:19.00]  fue en casa de otro vecino yo,
[1:20:19.00]-[1:20:22.00]  que le había pedido que entendía un poquitín de eso.
[1:20:22.00]-[1:20:25.00]  Y a llamarlo para que viniera a ver él.
[1:20:25.00]-[1:20:29.00]  Y cuando después sí, ya le metió mano y lo sacó aquel hombre.
[1:20:29.00]-[1:20:32.00]  Se entendía un poquitín de eso aquí en el pueblo.
[1:20:32.00]-[1:20:33.00]  Y ya ha muerto.
[1:20:33.00]-[1:20:37.00]  Y nada más, quedémos sin tenerlo y nada de nada.
[1:20:37.00]-[1:20:40.00]  Y después la vaca que se nos amoló.
[1:20:40.00]-[1:20:42.00]  Y se murió la vaca.
[1:20:42.00]-[1:20:45.00]  Y las ganancias que nos daban a los labradores.
[1:20:45.00]-[1:20:47.00]  Ay, malos santos.
[1:20:47.00]-[1:20:49.00]  Que pasan casos.
[1:20:49.00]-[1:20:54.00]  A todos les pasa, a una donna, a una mani, de una forma y a otros de otra forma.
[1:20:54.00]-[1:20:58.00]  A nosotros pasaban aquellas cosas y a ellos se les pasan otras.
[1:20:58.00]-[1:21:00.00]  Y así es la vida.
[1:21:00.00]-[1:21:03.00]  Ahora está distinta la vida de antes a ahora.
[1:21:03.00]-[1:21:06.00]  ¿Distiense el aceite lo tenían racionado, no?
[1:21:06.00]-[1:21:08.00]  Sí, el aceite no lo daban racionado.
[1:21:08.00]-[1:21:09.00]  Cuando la guerra sí.
[1:21:09.00]-[1:21:10.00]  Sí, cuando la guerra sí.
[1:21:10.00]-[1:21:12.00]  ¿Y cuánto le tocaba a la familia?
[1:21:12.00]-[1:21:13.00]  Pues yo no me acuerdo.
[1:21:13.00]-[1:21:14.00]  No, no te acuerdas.
[1:21:14.00]-[1:21:16.00]  A nosotros no nos acuerdos ya lo que nos daban.
[1:21:16.00]-[1:21:19.00]  Nosotros el aceite la disimulábamos bastante,
[1:21:19.00]-[1:21:22.00]  porque como teníamos de cerdo,
[1:21:22.00]-[1:21:27.00]  pues acionábamos con la carne del cerdo.
[1:21:27.00]-[1:21:31.00]  Con tocino y chorizo y queso del cerdo.
[1:21:31.00]-[1:21:34.00]  Pero eso no nos hacía tanta falta el aceite.
[1:21:34.00]-[1:21:39.00]  ¿Y otras cosas racionadas?
[1:21:39.00]-[1:21:41.00]  ¿La azúcar?
[1:21:41.00]-[1:21:43.00]  Hay muchas cosas racionadas.
[1:21:43.00]-[1:21:44.00]  ¿Azúcar también?
[1:21:44.00]-[1:21:46.00]  Y azúcar y el arroz y todo.
[1:21:46.00]-[1:21:47.00]  ¿Arroz también?
[1:21:47.00]-[1:21:48.00]  También, también.
[1:21:48.00]-[1:21:49.00]  Ay, odora el arroz.
[1:21:49.00]-[1:21:52.00]  ¿Por qué comprarías arroz, mamá?
[1:21:52.00]-[1:21:53.00]  Si no.
[1:21:53.00]-[1:21:55.00]  El arroz como nunca me ha gustado mucho,
[1:21:55.00]-[1:21:57.00]  no creo que me lo haya comprado.
[1:21:57.00]-[1:21:58.00]  Como mejor no me gusta.
[1:21:58.00]-[1:22:02.00]  ¿Y había quien abusaba de la leche en polvo,
[1:22:02.00]-[1:22:05.00]  la leche en pata, que decía comerse yo?
[1:22:05.00]-[1:22:07.00]  Entonces nadie le echaba en polvo ni leche de latas,
[1:22:07.00]-[1:22:08.00]  ni nada de nada.
[1:22:08.00]-[1:22:11.00]  La leche no la conocíamos más que la de vaca,
[1:22:11.00]-[1:22:15.00]  cuando la mamada, el ternero y las ovejas, los corderos.
[1:22:15.00]-[1:22:18.00]  Pero otra cosa no, para tomar a nosotros la gente no.
[1:22:18.00]-[1:22:20.00]  ¿No tomábamos nadie leche?
[1:22:20.00]-[1:22:22.00]  Había vecinos que sí, claro.
[1:22:22.00]-[1:22:24.00]  ¿Quién tomaba leche?
[1:22:24.00]-[1:22:26.00]  Bueno, pues sí, algunos sabía.
[1:22:26.00]-[1:22:28.00]  ¿Qué tiene que ver por qué yo no la tomara?
[1:22:28.00]-[1:22:30.00]  Ahora más tarde ya,
[1:22:30.00]-[1:22:33.00]  cuando se empezaron a comprar las vacas.
[1:22:33.00]-[1:22:36.00]  Esas uizas que empezaron con esas holandesas.
[1:22:36.00]-[1:22:39.00]  Y ya tenían más leche.
[1:22:39.00]-[1:22:41.00]  Entonces ya que las vacas tomaban algo más leche,
[1:22:41.00]-[1:22:44.00]  y entonces empezaron a venir a recoger algo de leche.
[1:22:44.00]-[1:22:46.00]  Ah, eso ya fue ahora.
[1:22:46.00]-[1:22:49.00]  Ahora ya, sí, con papias.
[1:22:49.00]-[1:22:52.00]  ¿Y las abejas no se cultivaban?
[1:22:52.00]-[1:22:54.00]  Aquí no había abejas.
[1:22:54.00]-[1:22:56.00]  No, abejas no.
[1:22:56.00]-[1:22:59.00]  Los pueblos del río sí que tenían abejas.
[1:22:59.00]-[1:23:04.00]  Venían de Filiel, nos la vendían, un pueblo de ese lado, de Buizán.
[1:23:04.00]-[1:23:08.00]  Ahora hay muchas aquí en el pueblo.
[1:23:08.00]-[1:23:10.00]  Ya nos tienen, hay miel aquí, de veras,
[1:23:10.00]-[1:23:12.00]  ya, por lo que queramos.
[1:23:12.00]-[1:23:16.00]  Pero antes lo traían de Filiel y de Buizán.
[1:23:16.00]-[1:23:18.00]  Y de la miel.
[1:23:18.00]-[1:23:20.00]  ¿Qué les han pasado a ambos niños?
[1:23:20.00]-[1:23:23.00]  ¿Y ustedes han trabajado con las abejas?
[1:23:23.00]-[1:23:24.00]  No, no, no.
[1:23:24.00]-[1:23:26.00]  Hay dos vecinos.
[1:23:26.00]-[1:23:28.00]  No, acaso les...
[1:23:28.00]-[1:23:29.00]  Buenas tardes.
[1:23:29.00]-[1:23:32.00]  Las abejas, hay dos, tres vecinos que las tienen.
[1:23:32.00]-[1:23:33.00]  Pocos.
[1:23:33.00]-[1:23:34.00]  Pero ya...
[1:23:34.00]-[1:23:38.00]  Pero vienen a revisárselas también y a...
[1:23:38.00]-[1:23:40.00]  Tienen que ser abejas.
[1:23:40.00]-[1:23:42.00]  Son cosas más inferiores.
[1:23:42.00]-[1:23:44.00]  Es cuando, sí.
[1:23:44.00]-[1:23:47.00]  Vienen a revisar las abejas también, bien atendidas,
[1:23:47.00]-[1:23:50.00]  unos tantos días, para que la miel esté buena y eso, ¿no?
[1:23:50.00]-[1:23:52.00]  Ahora no está la miel...
[1:23:52.00]-[1:23:55.00]  La miel, la miel bien limpia y bien buena.
[1:23:55.00]-[1:23:56.00]  Ahora sí.
[1:23:56.00]-[1:24:00.00]  Si pudiéramos eso quitarse, nosotros lo hubiéramos tenido.
[1:24:00.00]-[1:24:02.00]  Una vez que vinieron los militares por aquí,
[1:24:02.00]-[1:24:05.00]  prisioneros y todos, que fueron allá a dormir,
[1:24:05.00]-[1:24:08.00]  ya nos mandaban ir a dormir a los vecinos.
[1:24:08.00]-[1:24:10.00]  Dos a cada vecino.
[1:24:10.00]-[1:24:13.00]  En nuestra casa dormieron, casa de mi madre, dormieron dos.
[1:24:13.00]-[1:24:16.00]  Le dijeron, apapamos las ropas y eso que estaba...
[1:24:16.00]-[1:24:18.00]  Pero eso fue otra vez, vinieron tantas veces...
[1:24:18.00]-[1:24:20.00]  Y...
[1:24:20.00]-[1:24:24.00]  Y me acuerdo yo que, pues a la noche cuando nos cenábamos,
[1:24:24.00]-[1:24:27.00]  le dimos un trocín de chorizo y un trocín de tocino,
[1:24:27.00]-[1:24:31.00]  cuando para cenar, delante de la comida.
[1:24:31.00]-[1:24:34.00]  Y dijo, ay, dijo uno,
[1:24:34.00]-[1:24:38.00]  ay, qué tocino, esto qué rico, me gusta a mí,
[1:24:38.00]-[1:24:41.00]  si yo tuviera de ese tocino, ay, cuánto me gusta a mí el tocino,
[1:24:41.00]-[1:24:43.00]  yo llamaba tocino.
[1:24:43.00]-[1:24:49.00]  Por eso que también, por otros sitios les pasaba mal, no solo aquí.
[1:24:49.00]-[1:24:52.00]  Bueno, pero cuando nos traían para aquí prisioneros,
[1:24:52.00]-[1:24:54.00]  ya eran los prisioneros, los que ahora los teníamos en la cárcel,
[1:24:54.00]-[1:24:55.00]  como ahora los meten todos a la cárcel,
[1:24:55.00]-[1:24:58.00]  nos traían a hacer carreteras y caminos, curaciles...
[1:24:58.00]-[1:25:00.00]  Sí, hicieron una carretera.
[1:25:00.00]-[1:25:01.00]  Esta carretera la hicieron ellos.
[1:25:01.00]-[1:25:06.00]  Esta carretera, y la que más capachana, pues la hicieron los prisioneros.
[1:25:06.00]-[1:25:11.00]  Pero los pobres estaban, bueno, hacían unas, ahí en un portal,
[1:25:11.00]-[1:25:15.00]  hacían la comida para todos, y unas pirolas, pero...
[1:25:15.00]-[1:25:17.00]  Ah, yo pues se lavaban llenos de viejos,
[1:25:17.00]-[1:25:21.00]  todos la llevábamos, lavábamos la ropa, no sé si a tres, si a cuatro.
[1:25:21.00]-[1:25:24.00]  Pero, pero, tenía más miseria aquella ropa.
[1:25:24.00]-[1:25:26.00]  La nuestra es verdad que la lavábamos en la fuente
[1:25:26.00]-[1:25:30.00]  y poníamos jabones de casa y eso, pero siquiera no estaba como aquella,
[1:25:30.00]-[1:25:33.00]  podrías, aquellos pobres, claro.
