[0:00:00.00]-[0:00:07.00]  ¿Y sin mamar?
[1:20:25.00]-[1:20:27.00]  Vilaza sí.
[1:20:27.00]-[1:20:29.00]  Vilala.
[1:20:29.00]-[1:20:31.00]  Vilala.
[1:20:31.00]-[1:20:33.00]  Es que no lo sé.
[1:20:33.00]-[1:20:35.00]  Yo creo que será una aldea.
[1:20:35.00]-[1:20:37.00]  Una pedanilla o algo así.
[1:20:37.00]-[1:20:39.00]  Desde luego es pequeñísimo.
[1:20:39.00]-[1:20:41.00]  Lo que me han dicho es pequeñísimo.
[1:20:41.00]-[1:20:43.00]  ¿Quieres decirle a su madre si existía el pueblo?
[1:20:43.00]-[1:20:45.00]  ¿Quieres decirle a su madre si existía el pueblo?
[1:20:45.00]-[1:20:47.00]  ¿No?
[1:20:47.00]-[1:20:49.00]  No hay.
[1:20:49.00]-[1:20:51.00]  No hay.
[1:20:51.00]-[1:20:53.00]  No hay.
[1:20:53.00]-[1:20:55.00]  Esperemos que sí.
[1:20:55.00]-[1:20:57.00]  Si no, venimos para acá por los chorizos.
[1:20:57.00]-[1:20:59.00]  Si no, venimos para acá por los chorizos.
[1:20:59.00]-[1:21:01.00]  Bueno.
[1:21:01.00]-[1:21:03.00]  Muchísimas gracias.
[1:21:03.00]-[1:21:05.00]  Muchísimas gracias.
[1:21:05.00]-[1:21:07.00]  Hasta la próxima.
[1:21:07.00]-[1:21:09.00]  Hasta que nos encontremos.
[1:21:09.00]-[1:21:11.00]  Sí, claro.
[1:21:11.00]-[1:21:13.00]  Muchísimas gracias por la ayuda.
[1:21:13.00]-[1:21:15.00]  Muchísimas gracias por la ayuda.
[1:21:15.00]-[1:21:17.00]  Muchísimas gracias por la ayuda.
[1:21:17.00]-[1:21:19.00]  Nos vemos.
[1:21:19.00]-[1:21:21.00]  Esperemos.
[1:21:21.00]-[1:21:23.00]  Llevan el pasito con los coches para allá.
[1:21:23.00]-[1:21:25.00]  Sí, sí.
[1:21:33.00]-[1:21:35.00]  Bueno, pues muchísimas gracias.
[1:21:39.00]-[1:21:41.00]  Bueno, ahí nos vamos a quedar, ¿no?
[1:21:41.00]-[1:21:43.00]  Venga, hasta luego.
[1:21:43.00]-[1:21:49.00]  Muchas gracias.
