[0:00:00.00]-[0:00:04.00]  ¿Cómo se llama usted?
[1:16:54.00]-[1:16:57.00]  Seis equipos de fútbol hay ahora en el pueblo.
[1:16:57.00]-[1:17:00.00]  En el pueblo hay menos cuatro, cinco o seis.
[1:17:00.00]-[1:17:04.00]  Antes había siempre uno, ¿sabes?
[1:17:04.00]-[1:17:07.00]  Hasta ha jugado en regional también.
[1:17:07.00]-[1:17:10.00]  También se ha ido a jugar a otro pueblo.
[1:17:10.00]-[1:17:13.00]  Un viento de estos se ha ido a jugar a la parriguera que está allá.
[1:17:19.00]-[1:17:24.00]  Cuando tienes conocimiento, para, te has ido del pueblo y ahora no te puedes ir a ver.
[1:17:24.00]-[1:17:34.00]  No, ven a verme cuando venga. Si vengas con el que vienes y te diga alguna barbaridad que con la gata ya está lío.
[1:17:36.00]-[1:17:39.00]  El mío está todo el día cegó con que vaya a verlo.
[1:17:39.00]-[1:17:42.00]  El otro día marcó tres goles.
[1:17:42.00]-[1:17:45.00]  Digo, pues mire, yo no voy...
[1:17:45.00]-[1:17:48.00]  Yo, pues, mientras han jugado los nietos iba todo el día.
[1:17:48.00]-[1:17:54.00]  Como gallen, yo, bien.
[1:17:58.00]-[1:18:02.00]  ¿Y con qué jugaba, por ejemplo, cuando usted era niño, con qué jugaba el fútbol?
[1:18:02.00]-[1:18:06.00]  Cuando ya era muy chico, con un saco forrado.
[1:18:06.00]-[1:18:07.00]  ¿Qué, no es de yo?
[1:18:07.00]-[1:18:11.00]  Ese casaro que le has dispuesto, este en su vida se ha colgado un pésaro así.
[1:18:11.00]-[1:18:14.00]  No, en eso tienes toda la razón.
[1:18:14.00]-[1:18:18.00]  Yo tengo dos cada día, de eso.
[1:18:18.00]-[1:18:25.00]  Yo, mira, a lo mejor me enveje el nieto y digo, a mí no hablaré con ese cacharro.
[1:18:25.00]-[1:18:27.00]  Ahora ya para que yo hablan.
[1:18:27.00]-[1:18:35.00]  Yo para ver a los que vivo, tengo que tener para mi televisión un...
[1:18:35.00]-[1:18:39.00]  Si no va a jarrar y no se ha olvidado nadie.
[1:18:39.00]-[1:18:46.00]  ¿Qué me ha dicho que eran unos trapos lo que hacían a la pelota?
[1:18:46.00]-[1:18:48.00]  Un saco, un saco.
[1:18:48.00]-[1:18:50.00]  Rodeado.
[1:18:50.00]-[1:18:54.00]  Me acuerdo tú, que el primer pelotón...
[1:18:54.00]-[1:18:57.00]  Yo no se estorbare, si no me voy a...
[1:18:57.00]-[1:18:59.00]  No.
[1:18:59.00]-[1:19:05.00]  Tú, me acuerdo que Antonio Roy, que aún vive, es el que más viejo que nosotros.
[1:19:05.00]-[1:19:07.00]  Un pelotón azul.
[1:19:07.00]-[1:19:10.00]  Azul, era una... Pero guarda ya la pelota, ni fútbol.
[1:19:10.00]-[1:19:12.00]  Bien, pero si no, nada.
[1:19:12.00]-[1:19:17.00]  Sabes que hay un cine, cuando subís, que pasas cerca de él.
[1:19:17.00]-[1:19:25.00]  Si tiráis la primera calle a la izquierda, que se va a parar donde estaba el campo torre,
[1:19:25.00]-[1:19:32.00]  pues allí, cuando te metes por esa calle, hacia la brecha hay un cine que es el...
[1:19:32.00]-[1:19:35.00]  ¿Y esas casas que hay? ¿Era el cine?
[1:19:35.00]-[1:19:40.00]  Exacto. Esos ladrillos que hay en esa casa de ahí, de la de ellos era el cine.
[1:19:40.00]-[1:19:42.00]  Y ahí llegaba si alguno...
[1:19:42.00]-[1:19:45.00]  Si no había otra cosa que te crees, pues era el cine.
[1:19:45.00]-[1:19:48.00]  ¿Y cuánto tardaban, por ejemplo, en llegar las películas al pueblo?
[1:19:48.00]-[1:19:53.00]  Ah, bien, había de todo, pero oye, si es igual, la fuga de Tomasín.
[1:19:55.00]-[1:19:59.00]  Había una película que decía la fuga de Tomasín.
[1:19:59.00]-[1:20:06.00]  Que no me han seguido. Entonces éramos con nosotros, fuimos a...
[1:20:06.00]-[1:20:12.00]  Ojito que fueras al rey del planeta por la tarde, que a lo mejor me enseñaste respiración.
[1:20:12.00]-[1:20:15.00]  Eso ha sido dicho yo cuando íbamos a fuera.
[1:20:15.00]-[1:20:18.00]  Eso es lo que se lo estoy diciendo yo.
[1:20:18.00]-[1:20:24.00]  Y este, aunque ya cada uno fuera el pueblo, cualquier cosa es lo que uno cree, es la verdad.
[1:20:24.00]-[1:20:31.00]  Sí, les he dicho, que no creas que podíamos ir al baile de Sembra y que queríamos, que no había...
[1:20:34.00]-[1:20:39.00]  Es que ahora se vive de otra forma. Pero yo cuando nos hacen...
[1:20:39.00]-[1:20:43.00]  Yo cuando ya... Porque aún hay viejos, aún hay viejos.
[1:20:43.00]-[1:20:46.00]  Entonces en tu pueblo fanco se hacen.
[1:20:46.00]-[1:20:55.00]  Oye, las comunidades antes agua ciego. Antes era...
[1:20:55.00]-[1:20:59.00]  Pero no se va a comparar en nada.
[1:20:59.00]-[1:21:08.00]  Yo en mi pueblo chico, entonces cuando era chico, se iba a la fonda.
[1:21:08.00]-[1:21:10.00]  ¿Cómo era la fonda?
[1:21:10.00]-[1:21:18.00]  No, no, no. Pero nosotros hasta que nos comíamos los coreanos comíamos.
[1:21:18.00]-[1:21:25.00]  Astor, oye, que a los jóvenes esto les hacía falta un añico, un añico.
[1:21:25.00]-[1:21:26.00]  ¿Qué?
[1:21:26.00]-[1:21:28.00]  Que les hacía falta a los jóvenes un añico de aquello.
[1:21:28.00]-[1:21:29.00]  No.
[1:21:29.00]-[1:21:31.00]  ¿Para qué se enfogueaban?
[1:21:31.00]-[1:21:35.00]  Para que peguen poco los nuestros.
[1:21:35.00]-[1:21:37.00]  Venga.
[1:21:37.00]-[1:21:40.00]  A nosotros fue lo más triste de...
[1:21:40.00]-[1:21:42.00]  No había nada, lo que yo te he dicho yo.
[1:21:42.00]-[1:21:44.00]  Claro.
[1:21:44.00]-[1:21:50.00]  Estaban otros con... con los ingenios y sesánicos cuando se acabó la guerra.
[1:21:50.00]-[1:21:54.00]  Sí, claro, 24 al 39.
[1:21:54.00]-[1:21:57.00]  Al abrar al monte del Tolvía.
[1:21:57.00]-[1:22:01.00]  Cincia años. Adiós, que se van esas...
[1:22:01.00]-[1:22:03.00]  Yo tenía dos hermanos.
[1:22:03.00]-[1:22:04.00]  Bueno.
[1:22:04.00]-[1:22:07.00]  Dos hermanos en la guerra, que uno lo mataron en la guerra, ¿eh?
[1:22:07.00]-[1:22:09.00]  De 18.
[1:22:09.00]-[1:22:13.00]  Aquellas, mira, un año más joven, la que va a decir, un año más joven.
[1:22:13.00]-[1:22:15.00]  Y la otra, un año más viejo, que no otro.
[1:22:15.00]-[1:22:17.00]  Pero fíjate cómo están.
[1:22:17.00]-[1:22:21.00]  El otro vino enfermo de la...
[1:22:21.00]-[1:22:26.00]  Y nosotros, que éramos muy pequeños, un hermano que tenía dos años,
[1:22:26.00]-[1:22:30.00]  que íbamos al monte y para las mulas, que íbamos con mulas,
[1:22:30.00]-[1:22:33.00]  para poderles echar una cosa que se llamaba jugo.
[1:22:33.00]-[1:22:38.00]  Tenías que dejarles un poco pienso para que estuvieran así con el cuello cachado.
[1:22:38.00]-[1:22:41.00]  Para que estuvieran cachados, que si no, no llegabas achado.
[1:22:41.00]-[1:22:42.00]  Fíjate.
[1:22:42.00]-[1:22:44.00]  Y habrán ahora...
[1:22:44.00]-[1:22:47.00]  Y cuando salen esos móricos con la tripa hinchada,
[1:22:47.00]-[1:22:52.00]  les decés que nos vamos a medialentarios, pues si hemos visto nosotros de lo...
[1:22:52.00]-[1:22:54.00]  Pero cuando me sé...
[1:22:54.00]-[1:22:57.00]  Es que... Es que me dice que estoy otro.
[1:22:57.00]-[1:23:00.00]  Ahora tengo yo.
[1:23:00.00]-[1:23:05.00]  Es que yo llevamos 20 años sin dos.
[1:23:05.00]-[1:23:08.00]  Yo, ahora es que año, en diciembre 19.
[1:23:08.00]-[1:23:14.00]  Y ahora cuando algún malero en casa, no me lo tendré a decir, ¿sabes?
[1:23:14.00]-[1:23:20.00]  Porque a mí qué me va a asustar, ya si llevas 20 años solo.
[1:23:20.00]-[1:23:22.00]  Y usted aún lleva más que...
[1:23:22.00]-[1:23:25.00]  Yo llevo 23.
[1:23:25.00]-[1:23:30.00]  Y yo tenía 61 y la Carmen 59 cuando se murió.
[1:23:30.00]-[1:23:35.00]  La mujer mía tenía, cuando se murió, 60 y medio.
[1:23:35.00]-[1:23:37.00]  Y ahora tendría tres menos que yo.
[1:23:37.00]-[1:23:41.00]  Haría este año... Ahora el Ibeacho, para mayo.
[1:23:41.00]-[1:23:43.00]  Era San Pedro para mayo, ¿verdad?
[1:23:43.00]-[1:23:44.00]  Sí.
[1:23:44.00]-[1:23:45.00]  Y me echo...
[1:23:45.00]-[1:23:47.00]  No, para junio. Es igual, es igual, para junio.
[1:23:47.00]-[1:23:49.00]  Ahora para junio los haría.
[1:23:49.00]-[1:23:50.00]  Sí.
[1:23:50.00]-[1:23:53.00]  Y a 80... Este año haría 81.
[1:23:53.00]-[1:23:56.00]  Así que mira, los que llevan...
[1:23:56.00]-[1:23:58.00]  A mí me va a asustar...
[1:23:58.00]-[1:24:02.00]  Oye, es que vamos a hacer fiestas a la feira andando, eh.
[1:24:02.00]-[1:24:05.00]  No pienses que íbamos de 7 kilómetros a la feira.
[1:24:05.00]-[1:24:08.00]  ¿Y si en feira cuando habéis salido de la autopista?
[1:24:08.00]-[1:24:11.00]  Andando íbamos aquí.
[1:24:11.00]-[1:24:15.00]  Y venir por la mañana, pero llegaba así, arrancaba a trabajar.
[1:24:15.00]-[1:24:16.00]  ¿Habéis estado cerca a feira?
[1:24:16.00]-[1:24:17.00]  No.
[1:24:17.00]-[1:24:20.00]  ¿Habéis salido para arriba a la estación?
[1:24:20.00]-[1:24:22.00]  Yo creo que hemos ido por la estación.
[1:24:22.00]-[1:24:23.00]  ¿Habéis salido...?
[1:24:23.00]-[1:24:24.00]  No hemos entrado en feira.
[1:24:24.00]-[1:24:25.00]  No, no.
[1:24:25.00]-[1:24:27.00]  Es que ahí...
[1:24:27.00]-[1:24:30.00]  Es por eso, de pues bajar abajo.
[1:24:30.00]-[1:24:33.00]  En la carretera de Sierra Luna...
[1:24:33.00]-[1:24:34.00]  Sí.
[1:24:34.00]-[1:24:35.00]  ¿Y qué habéis hecho?
[1:24:35.00]-[1:24:37.00]  Sin llegar a feira...
[1:24:37.00]-[1:24:42.00]  Es que hemos ido a Sierra Luna, luego hemos ido a comer...
[1:24:42.00]-[1:24:44.00]  A Gurrea.
[1:24:44.00]-[1:24:45.00]  Gurrea.
[1:24:45.00]-[1:24:47.00]  Pues hemos bajado por el Pau.
[1:24:47.00]-[1:24:50.00]  Por debajo de la autopista.
[1:24:50.00]-[1:24:52.00]  ¿Habéis pasado cuando habéis llegado a feira?
[1:24:52.00]-[1:24:54.00]  La autopista viene por aquí y nosotros hemos bajado...
[1:24:54.00]-[1:24:57.00]  ¿Y habéis subido otra vez a la carretera?
[1:24:57.00]-[1:25:00.00]  ¿Habéis descendido a la estación?
[1:25:00.00]-[1:25:02.00]  Sí, creo que sí.
[1:25:02.00]-[1:25:06.00]  Dice que Gurrea, que está muy pequeño, eh.
[1:25:06.00]-[1:25:08.00]  Hace años que no he estado allí.
[1:25:08.00]-[1:25:10.00]  No habéis estado más pequeño que en este pueblo.
[1:25:10.00]-[1:25:13.00]  La ciudad de Enderciope.
[1:25:13.00]-[1:25:15.00]  En Gurrea hemos estado en la calle principal...
[1:25:15.00]-[1:25:20.00] ...al haber venido de Sierra Luna hasta donde habéis llegado.
[1:25:20.00]-[1:25:22.00]  ¿En qué haces? ¿Tenéis que ir por ahí a comer?
[1:25:22.00]-[1:25:24.00]  Hemos ido hasta Gurrea.
[1:25:24.00]-[1:25:26.00]  Después hemos vuelto y hemos bajado al Pau.
[1:25:26.00]-[1:25:30.00]  Y todos ustedes han escogido una característica que hay en las Pedrosas a la izquierda.
[1:25:30.00]-[1:25:31.00]  Eso es.
[1:25:31.00]-[1:25:34.00]  Y habéis llegado allá adelante y luego a la derecha.
[1:25:34.00]-[1:25:39.00]  Y habéis llegado a Gurrea y habréis pasado el Gallego.
[1:25:39.00]-[1:25:41.00]  Va a pasar a Gurrea.
[1:25:41.00]-[1:25:43.00]  El Gallego es Gurrea del Gallego.
[1:25:43.00]-[1:25:45.00]  Sí, Gurrea del Gallego.
[1:25:45.00]-[1:25:48.00]  Claro que se llama Gurrea del Gallego.
[1:25:48.00]-[1:25:50.00]  Sí, Gurrea del Gallego.
[1:25:50.00]-[1:25:53.00]  Pero hay destaque que no ha crecido.
[1:25:53.00]-[1:25:55.00]  Digo, chicos, voy a hacer muchos años que no he estado.
[1:25:55.00]-[1:25:56.00]  Está muy arrinconado.
[1:25:56.00]-[1:25:58.00]  Lo hemos visto más pequeño que en este pueblo.
[1:25:58.00]-[1:26:02.00]  Nosotros habéis llegado a las Pedrosas y habéis hecho así.
[1:26:02.00]-[1:26:04.00]  A la izquierda.
[1:26:04.00]-[1:26:05.00]  Creo que sí.
[1:26:05.00]-[1:26:07.00]  Y hemos seguido hasta Gurrea.
[1:26:07.00]-[1:26:09.00]  Cuando te vas a salir ya de las Pedrosas, carabajo.
[1:26:09.00]-[1:26:11.00]  Hay que pasar por aquí.
[1:26:11.00]-[1:26:13.00]  Yo he corrido yo mucho.
[1:26:13.00]-[1:26:17.00]  Tú, mira, todas que tienes ahí, no conocemos a ninguna.
[1:26:17.00]-[1:26:21.00]  Tengo dos niñezos ahí dentro.
[1:26:21.00]-[1:26:24.00]  Pero todas, la mayoría nada.
[1:26:24.00]-[1:26:30.00]  Porque si habéis cogido sin pasar el Gallego,
[1:26:30.00]-[1:26:33.00]  a la derecha habéis ido a la Pau.
[1:26:33.00]-[1:26:35.00]  Ahí es donde hemos estado.
[1:26:35.00]-[1:26:36.00]  ¿Habéis estado también?
[1:26:36.00]-[1:26:37.00]  Sí.
[1:26:37.00]-[1:26:39.00]  Ese es más pequeño, ¿verdad?
[1:26:39.00]-[1:26:41.00]  Pero si habéis venido de Gurrea,
[1:26:41.00]-[1:26:44.00]  hemos vuelto y hemos bajado al Pau.
[1:26:44.00]-[1:26:46.00]  Y hacía pasar el Gallego dos veces.
[1:26:46.00]-[1:26:48.00]  Una cara allá y otra cara aquí.
[1:26:48.00]-[1:26:50.00]  Claro, probablemente sí.
[1:26:50.00]-[1:26:54.00]  Pero es Gurrea, lo que dices tú, que está muy arrinconado ahí.
[1:26:54.00]-[1:26:56.00]  Y no la ha ido la gente por ahí.
[1:26:56.00]-[1:26:59.00]  Es un pueblo que está ya arrinconado.
[1:26:59.00]-[1:27:03.00]  Está muy lejos de Huesca, está muy lejos de Zaragoza.
[1:27:03.00]-[1:27:06.00]  Y está a 20 kilómetros.
[1:27:06.00]-[1:27:09.00]  Y además que está al lado del autovista este pueblo.
[1:27:09.00]-[1:27:10.00]  El autovía está al lado.
[1:27:10.00]-[1:27:12.00]  A la vuelta que ha pisado.
[1:27:12.00]-[1:27:14.00]  Sí, hemos dado una vuelta.
[1:27:14.00]-[1:27:19.00]  Y he venido de Francia.
[1:27:19.00]-[1:27:22.00]  Este era estroperlista.
[1:27:22.00]-[1:27:23.00]  El pancrono.
[1:27:23.00]-[1:27:28.00]  Iba a comprar terreno de estroperlo por Ande.
[1:27:28.00]-[1:27:29.00]  Y de Francia.
[1:27:29.00]-[1:27:32.00]  ¿Sabes qué decían unos...
[1:27:32.00]-[1:27:36.00]  Nosotros, muy jóvenes, nos estamos dando la lata.
[1:27:36.00]-[1:27:38.00]  Oye, pues nos vamos ahora.
[1:27:38.00]-[1:27:39.00]  Nosotros.
[1:27:39.00]-[1:27:44.00]  Había uno en Zaragoza cuando era joven.
[1:27:44.00]-[1:27:46.00]  Bueno, era viejo ya.
[1:27:46.00]-[1:27:48.00]  Vale.
[1:27:48.00]-[1:27:51.00]  En Matarero, municipal, ¿sabes dónde está el viejo?
[1:27:51.00]-[1:27:52.00]  No.
[1:27:52.00]-[1:27:53.00]  No, estos no.
[1:27:53.00]-[1:27:56.00]  La carretera Castellón, pero estos no.
[1:27:56.00]-[1:27:58.00]  Que no son de Zaragoza estos.
[1:27:58.00]-[1:28:01.00]  En Matarero, Zaragoza está en Miguel Silve.
[1:28:01.00]-[1:28:05.00]  Sales por San Miguel, coges a feria 8 y vas.
[1:28:05.00]-[1:28:07.00]  Bueno, están de este.
[1:28:07.00]-[1:28:10.00]  Y estábamos allí, hacia uno.
[1:28:10.00]-[1:28:15.00]  Yo he corrido todo a golpe calcetín.
[1:28:15.00]-[1:28:17.00]  Y tengo la montaña.
[1:28:17.00]-[1:28:19.00]  Entonces se corría muy fácil.
[1:28:19.00]-[1:28:20.00]  ¿No había otra cosa?
[1:28:20.00]-[1:28:22.00]  Decías, pegamos a golpe calcetín.
[1:28:22.00]-[1:28:23.00]  ¿Sabes qué era eso?
[1:28:23.00]-[1:28:24.00]  ¿Candando?
[1:28:24.00]-[1:28:26.00]  No.
[1:28:26.00]-[1:28:33.00]  Entonces había unos teleros que vendían telitas.
[1:28:33.00]-[1:28:36.00]  Venían con tela a vender por los pueblos.
[1:28:36.00]-[1:28:43.00]  Sacó todas las costillas a golpe calcetín.
[1:28:43.00]-[1:28:50.00]  Y yo he ido desde Vella y salido por el frente y salido a San Sebastián.
[1:28:50.00]-[1:28:53.00]  Claro, está muy cerca.
[1:28:53.00]-[1:28:55.00]  Bueno, ya vamos a...
[1:28:55.00]-[1:28:57.00]  Bueno, a la pues a la.
[1:28:57.00]-[1:28:59.00]  Necesitábamos una hora y media.
[1:28:59.00]-[1:29:01.00]  Perfecto.
[1:29:01.00]-[1:29:29.00]  Vamos a llevar una noche de aquí a la...
