[0:00:00.00]-[0:00:02.00]  ¿Se quiere granada o...?
[1:17:53.04]-[1:17:56.04]  En Lepe... ¿A dónde habéis estado ustedes?
[1:17:56.04]-[1:17:59.04]  No, a lo mejor estaban con unas villas mías.
[1:17:59.04]-[1:18:00.04]  A ver...
[1:18:00.04]-[1:18:02.04]  ¿No vendería cal la señora?
[1:18:02.04]-[1:18:03.04]  ¿Pero es...?
[1:18:03.04]-[1:18:05.04]  Cal. Cal para pintar las paredes.
[1:18:05.04]-[1:18:08.04]  No, pero en Lepe no hemos estado todavía.
[1:18:08.04]-[1:18:09.04]  No, no.
[1:18:09.04]-[1:18:10.04]  ¿Qué es lo que hay?
[1:18:10.04]-[1:18:11.04]  Es que somos varios grupos.
[1:18:11.04]-[1:18:12.04]  Somos seis grupos.
[1:18:12.04]-[1:18:13.04]  Ah, que confuso.
[1:18:13.04]-[1:18:15.04]  Y nos estamos repartiendo por toda la provincia.
[1:18:15.04]-[1:18:18.04]  Entonces, cada uno tiene pueblos diferentes.
[1:18:18.04]-[1:18:19.04]  Sí.
[1:18:19.04]-[1:18:20.04]  Entonces...
[1:18:20.04]-[1:18:22.04]  ¿A Lepe no pertenece a ustedes?
[1:18:22.04]-[1:18:26.04]  No, ellos entrevistaban en Flacristina hoy.
[1:18:26.04]-[1:18:27.04]  Hoy.
[1:18:27.04]-[1:18:28.04]  Y Lepe y Allamonte.
[1:18:28.04]-[1:18:29.04]  Y Allamonte.
[1:18:29.04]-[1:18:31.04]  Porque usted tiene familia en Lepe.
[1:18:31.04]-[1:18:34.04]  Yo tengo familia en Lepe, tengo en Allamonte...
[1:18:34.04]-[1:18:37.04]  Y en Huerva no.
[1:18:37.04]-[1:18:39.04]  En Huerva no vais ustedes.
[1:18:39.04]-[1:18:41.04]  Eh... No.
[1:18:41.04]-[1:18:43.04]  Pero ya conocimos.
[1:18:43.04]-[1:18:47.04]  No, porque ya no nos da tiempo.
[1:18:47.04]-[1:18:50.04]  No, pero que no tenéis que entrevistar en Huerva, lo que te quiero decir.
[1:18:50.04]-[1:18:52.04]  No, porque solo entrevistamos en los pueblos.
[1:18:52.04]-[1:18:53.04]  En los pueblos.
[1:18:53.04]-[1:18:54.04]  Claro.
[1:18:54.04]-[1:18:56.04]  ¿En San Silvestre vais a estar?
[1:18:56.04]-[1:18:57.04]  Hemos venido de San Silvestre.
[1:18:57.04]-[1:18:59.04]  Hemos estado en El Granado.
[1:18:59.04]-[1:19:00.04]  En El Granado.
[1:19:00.04]-[1:19:01.04]  Esta mañana.
[1:19:01.04]-[1:19:03.04]  ¿Y a dónde estuviste?
[1:19:03.04]-[1:19:05.04]  No te daría la muchacha con un pie roto.
[1:19:05.04]-[1:19:07.04]  ¿Dónde estuviste?
[1:19:07.04]-[1:19:08.04]  Una señora mayor.
[1:19:08.04]-[1:19:15.04]  Y estuvimos con una señora de 76 años que se llama...
[1:19:15.04]-[1:19:18.04]  Y era una señora mayor.
[1:19:18.04]-[1:19:20.04]  Yo vivía al frente del bar.
[1:19:20.04]-[1:19:23.04]  ¿Y en San Luca no? San Luca de Guadia.
[1:19:23.04]-[1:19:24.04]  Todavía no.
[1:19:24.04]-[1:19:25.04]  También tenéis que ir a San Luca.
[1:19:25.04]-[1:19:27.04]  Así no nos teníamos tiempo, no.
[1:19:27.04]-[1:19:29.04]  Hacemos una selección.
[1:19:29.04]-[1:19:35.04]  No podemos ir a todos los sitios porque sería imposible, no, pero...
[1:19:35.04]-[1:19:37.04]  Hacemos una selección que represente la provincia.
[1:19:37.04]-[1:19:38.04]  La provincia.
[1:19:38.04]-[1:19:39.04]  Eso es.
[1:19:39.04]-[1:19:42.04]  Claro, a ver a otra Castillejo.
[1:19:42.04]-[1:19:47.04]  Hemos estado en Castillejo también, pero no hemos encuestado.
[1:19:47.04]-[1:19:54.04]  Es que cada encuesta son casi dos horas, o sea que nos da tiempo hacer una por la mañana y otra por la tarde, pero nada más.
[1:19:54.04]-[1:19:56.04]  ¿Y en Albirvetre tampoco?
[1:19:56.04]-[1:19:59.04]  En San Silvestre hemos pasado, pero no nos hemos obtenido.
[1:19:59.04]-[1:20:03.04]  Hemos preferido hacerlo aquí porque era más pequeño el pueblo.
[1:20:03.04]-[1:20:05.04]  ¿Más pequeño que San Silvestre?
[1:20:05.04]-[1:20:06.04]  No, esto es más grande que...
[1:20:06.04]-[1:20:07.04]  Claro.
[1:20:07.04]-[1:20:09.04]  Pues es que en el mapa parecía que...
[1:20:09.04]-[1:20:11.04]  San Silvestre es mucho más pequeño que esto.
[1:20:11.04]-[1:20:14.04]  Es que no lo sabíamos, nos hemos ido por el mapa.
[1:20:14.04]-[1:20:16.04]  En el mapa parecía que no.
[1:20:16.04]-[1:20:18.04]  A lo mejor, claro, ahora es...
[1:20:18.04]-[1:20:24.04]  Aquí hay cerca de tres mil habitantes, San Silvestre quizá no hay ni dos mil.
[1:20:24.04]-[1:20:25.04]  Ah, sí.
[1:20:25.04]-[1:20:28.04]  Pues no lo sabíamos.
[1:20:28.04]-[1:20:32.04]  Ya digo, es que hacemos una selección de pueblos.
[1:20:32.04]-[1:20:33.04]  De pueblos.
[1:20:33.04]-[1:20:38.04]  ¿Ustedes tienen ovejas?
[1:20:38.04]-[1:20:41.04]  Si nos ha dicho antes que tenían borregas en el campo.
[1:20:41.04]-[1:20:42.04]  Sí, sí.
[1:20:42.04]-[1:20:45.04]  ¿O este no es como era todo lo relacionado con los ovejas?
[1:20:45.04]-[1:20:46.04]  Pues...
[1:20:46.04]-[1:20:48.04]  ¿Para carne, para leche, la lana?
[1:20:48.04]-[1:20:49.04]  No, no, no.
[1:20:49.04]-[1:20:50.04]  Cuéntese un poco.
[1:20:50.04]-[1:20:51.04]  Para con...
[1:20:51.04]-[1:20:53.04]  Criar los corderitos y con menores.
[1:20:53.04]-[1:20:57.04]  Y en esta fecha se pela la oveja.
[1:20:57.04]-[1:20:58.04]  ¿Ustedes han pelado?
[1:20:58.04]-[1:20:59.04]  Yo no.
[1:20:59.04]-[1:21:02.04]  Mi marido lleva un muchacho de aquí para pelársela.
[1:21:02.04]-[1:21:08.04]  Y después la lana se la dábamos a él porque a lo mejor eran cinco o seis ovejas y eso
[1:21:08.04]-[1:21:13.04]  él la iba a varios sitios a pelar y ya nadie quiere la lana y se la daban a él y él la
[1:21:13.04]-[1:21:14.04]  vendía.
[1:21:14.04]-[1:21:16.04]  Y se le pagaba el sueldo, ¿no?
[1:21:16.04]-[1:21:17.04]  de pelarla.
[1:21:17.04]-[1:21:22.04]  No se le lleva a dos euros por oveja o tres euros.
[1:21:22.04]-[1:21:28.04]  Y después los borreguitos, pues cuando la oveja tenía los borreguitos pues se criaban
[1:21:28.04]-[1:21:34.04]  y ya cuando son más grandecitos se les chapienzo y verdura y eso de lo que siembra mi marido
[1:21:34.04]-[1:21:40.04]  y se crían grandecitos con dos arroba así, uno arroba y medio y lo mataban.
[1:21:40.04]-[1:21:42.04]  Pero no vendían.
[1:21:42.04]-[1:21:43.04]  No venderlos, no.
[1:21:43.04]-[1:21:48.04]  Y para las comuniones de las niñas, para los bautizos, de mis nietos, también siempre
[1:21:48.04]-[1:21:49.04]  teníamos uno de nosotros.
[1:21:49.04]-[1:21:58.04]  Y aparte de gallinas y los borregos y las ovejas, ¿tenían más animales?
[1:21:58.04]-[1:22:08.04]  Sí, mi padre tenía vaca, vaca y luego tenía un toro de fermentar y cuando criaban las
[1:22:08.04]-[1:22:12.04]  vacas pues guardábamos los pecerros y los vendíamos en Isla Cristina.
[1:22:12.04]-[1:22:15.04]  ¿O después tenías usted un montón de animales?
[1:22:15.04]-[1:22:21.04]  Sí, y caballos también teníamos, mulos y la finca nuestra ahí en el río Guadiana
[1:22:21.04]-[1:22:23.04]  es preciosa.
[1:22:23.04]-[1:22:30.04]  Se la vendimos a un gallego y después el gallego se volvió atrás.
[1:22:30.04]-[1:22:38.04]  Es el resumen que se la vendió a unos muchachos de aquí del pueblo que son...
[1:22:38.04]-[1:22:41.04]  Los cascos de los caballos.
[1:22:41.04]-[1:22:44.04]  Máquina de esta letra que perra.
[1:22:44.04]-[1:22:46.04]  ¿Y te monta ahí un casino?
[1:22:46.04]-[1:22:48.04]  No, han hecho casita rura.
[1:22:48.04]-[1:22:51.04]  Eso es precioso.
[1:22:51.04]-[1:23:00.04]  Que lo bonito por el carri, entrando cuando te vas para allá al monte, te ve un bloque
[1:23:00.04]-[1:23:04.04]  que eso de antes era un bar que le decían la Macía, por ese carri se coge y en diez
[1:23:04.04]-[1:23:05.04]  minutos está allí.
[1:23:05.04]-[1:23:10.04]  Y allí aquí lampada fines de semana y demás y son preciosas las casas.
[1:23:10.04]-[1:23:15.04]  Las dejaron, las casas antiguas que teníamos nosotros las modificaron un poco y está aquello
[1:23:15.04]-[1:23:17.04]  lindo, lindo, lindo de verdad.
[1:23:17.04]-[1:23:24.04]  La mitad fue un hermano y la otra mitad el otro y le daban treinta millones por la mitad.
[1:23:24.04]-[1:23:27.04]  El hermano no la ha querido vender.
[1:23:27.04]-[1:23:29.04]  ¿Qué mal hicieron ustedes?
[1:23:29.04]-[1:23:33.04]  Porque lo que pasó era que era de mi padre y de mi tío, un hermano de mi padre.
[1:23:33.04]-[1:23:38.04]  Mi tío se puso malo porque le dio un infarto y ya se tuvo que venir al pueblo y mi padre
[1:23:38.04]-[1:23:45.04]  se quedó allí con mi madre y mi madre empezó mala también que tuvo una...
[1:23:45.04]-[1:23:48.04]  A ver si me acuesto.
[1:23:48.04]-[1:23:57.04]  Empezó con el vientre y tenía la apéndice, la tripa seca, le tuvieron que cortar un trozo
[1:23:57.04]-[1:24:00.04]  de tripa seca a ver, apéndice, ¿viste?
[1:24:00.04]-[1:24:06.04]  Y tenía un quiste también luego, le tuvieron que sacar ovario en la tripa, pero era todo
[1:24:06.04]-[1:24:07.04]  bueno.
[1:24:07.04]-[1:24:10.04]  Claro, mi madre cogió una depresión muy grande y ya alguien en el campo no quería
[1:24:10.04]-[1:24:14.04]  en casa y vinieron también para acá, por esta casa, porque es toda la dos calles, la
[1:24:14.04]-[1:24:16.04]  casa esta.
[1:24:16.04]-[1:24:18.04]  ¿Ah, sí, de esa calle también?
[1:24:18.04]-[1:24:20.04]  Esta calle y la carretera.
[1:24:20.04]-[1:24:23.04]  Ustedes tenían coste ya para el apartamiento, ¿no?
[1:24:23.04]-[1:24:24.04]  Sí.
[1:24:24.04]-[1:24:25.04]  ¿En la calle?
[1:24:25.04]-[1:24:29.04]  Ah, en la calle, cállate que yo hago visto ustedes de pasar y de mirar y me parecía que
[1:24:29.04]-[1:24:33.04]  era una sobrina mía cuando ustedes pasaron.
[1:24:33.04]-[1:24:39.04]  Y entonces ya se vinieron para acá para el pueblo, ya yo estaba casada, tenía a la niña
[1:24:39.04]-[1:24:46.04]  mía, la mayor, la de 36 años, tenía dos añitos por ahí y ya pues se quedaron aquí.
[1:24:46.04]-[1:24:52.04]  Y después mi tía también un terreno que también es de mi hermana, esta casa aquí
[1:24:52.04]-[1:24:58.04]  el niño, hizo mi hermana una casa muy buena, había una casa hecha de campo y mi hermana
[1:24:58.04]-[1:25:05.04]  hizo una casa mayor, con cinco habitaciones, su cuarto de baño, el comedor, una casa muy
[1:25:05.04]-[1:25:07.04]  buena.
[1:25:07.04]-[1:25:13.04]  Y ya pues trataron de vender la finca, bueno, se vendió porque mis primos querían venderla,
[1:25:13.04]-[1:25:17.04]  porque nosotros no queríamos, mis hermanos y yo no queríamos.
[1:25:17.04]-[1:25:21.04]  Claro, normal, es que eso es muy bonito tenerlas.
[1:25:21.04]-[1:25:26.04]  Oh, claro, que era una finca muy buena y pegando al nervio guardiato.
[1:25:26.04]-[1:25:29.04]  Pues precioso, pero ahí en el medio de campo.
[1:25:29.04]-[1:25:34.04]  Claro, está nada, cinco minutos está el río esperando ahí.
[1:25:34.04]-[1:25:41.04]  Y no se ha dicho que vendían la lana, pero antiguamente hacían colchones.
[1:25:41.04]-[1:25:47.04]  Sí, y manta que yo la tengo de mi abuela, de la madre de mi padre, tengo yo manta hecha
[1:25:47.04]-[1:25:49.04]  de lana y alfoha.
[1:25:49.04]-[1:25:51.04]  Alfoha no sabe lo que es, ¿no?
[1:25:51.04]-[1:25:53.04]  A ver, te voy a explicar lo que es.
[1:25:53.04]-[1:26:05.04]  Por ejemplo, así, más pequeñito porque para que él se haga.
[1:26:05.04]-[1:26:12.04]  Esto va cocido así, así por aquí, después por aquí le ponían unos flecos, unas bolas
[1:26:12.04]-[1:26:16.04]  de lana y esto se ponía encima del caballo.
[1:26:16.04]-[1:26:24.04]  En vez de ser cerones de esparto, que no sé si lo conoces.
[1:26:24.04]-[1:26:26.04]  Eran de lana.
[1:26:26.04]-[1:26:27.04]  Eran de lana.
[1:26:27.04]-[1:26:33.04]  Para lo mejor si tú ibas de paseo, en vez de llevar un cerón pues llevabas eso para
[1:26:33.04]-[1:26:38.04]  llevar algo de comida o lo que fuera.
[1:26:38.04]-[1:26:44.04]  O una botella con agua, un bocadillo que en las alfohas.
[1:26:44.04]-[1:26:47.04]  Y los colchones, ¿usted ha hecho colchones de lana?
[1:26:47.04]-[1:26:51.04]  Sí, y tengo almohada todavía de lana.
[1:26:51.04]-[1:26:54.04]  Almohada de lana, la de mi madre es de lana.
[1:26:54.04]-[1:26:55.04]  De relleno.
[1:26:55.04]-[1:26:57.04]  Sí.
[1:26:57.04]-[1:27:03.04]  Me la preparó una hermana de mi madre en Lete y después la fui abriendo, como teniendo
[1:27:03.04]-[1:27:10.04]  la cinta, y le tengo la almohada de lana porque no quiere ver a ver.
[1:27:10.04]-[1:27:15.04]  ¿Y antes se lavaba el colchón alguna vez al año o algo así?
[1:27:15.04]-[1:27:16.04]  La lana.
[1:27:16.04]-[1:27:19.04]  Nosotros en el campo teníamos los colchones de lana.
[1:27:19.04]-[1:27:27.04]  La lavábamos nosotros todos los veranos y la atendíamos encima de una estera que se
[1:27:27.04]-[1:27:32.04]  hace, no sé si sabe cómo es eso, de juntito.
[1:27:32.04]-[1:27:33.04]  Se hace la estera.
[1:27:33.04]-[1:27:39.04]  Para poder secar los higos que se cogen de la higuera, para dejar los higos que se compran
[1:27:39.04]-[1:27:41.04]  en el tupe que están pasados.
[1:27:41.04]-[1:27:45.04]  Y entonces poníamos la lana ahí y la íbamos dando vueltas los dos o tres días, como hacía
[1:27:45.04]-[1:27:49.04]  mucho calor en el verano, se secaba rápido.
[1:27:49.04]-[1:27:56.04]  Y cuando mi padre tenía oveja también en el campo, que también lavaba a mi madre la
[1:27:56.04]-[1:28:02.04]  lana, la lavaba con agua caliente en un bidón, y la poníamos también así a secar.
[1:28:02.04]-[1:28:08.04]  Y después la abríamos, la íbamos abriendo, como tejiéndola así, sacándole si tenía
[1:28:08.04]-[1:28:14.04]  alguna mijina de cualquier... porque la oveja se da por los árboles y le quedan mijinas
[1:28:14.04]-[1:28:18.04]  de leña dentro, de palo, de lo que sea, y lo íbamos quitando.
[1:28:18.04]-[1:28:22.04]  ¿Y le golpeaban la lana?
[1:28:22.04]-[1:28:28.04]  Sí, se golpeaban para que se le sacara lo que tenía de efecto de tierra.
[1:28:28.04]-[1:28:30.04]  ¿Con un palo, con una palmeta?
[1:28:30.04]-[1:28:40.04]  Con un palo, pero el palo llevaba algo puesto de tela envuelto porque si no, con el palo
[1:28:40.04]-[1:28:50.04]  la lana se coge y se queda como pillada con el palo y no se despega.
[1:28:50.04]-[1:28:59.04]  Entonces le envolvía algo de tela, como por ejemplo, coger esto y envolverlo, un trozo
[1:28:59.04]-[1:29:05.04]  de loneta o árbol, envolverlo así, así con esto se le pegaba para que ya aquí no
[1:29:05.04]-[1:29:13.04]  pudiera, cuando le pegué el golpe, para despegarla bien, para que se lo despida.
[1:29:13.04]-[1:29:16.04]  ¿Y con la leche de las ovejas?
[1:29:16.04]-[1:29:21.04]  Nosotros nunca hicimos queso, pero una vecina nuestra sí hacía queso.
[1:29:21.04]-[1:29:27.04]  Le echaba el cuajo, le ajuntaba la de la noche con la de la mañana, y la tenía con el cuajo,
[1:29:27.04]-[1:29:34.04]  no sé si eran tres horas o cuatro, y después ya empezaba a hacer, a echar cuajos, los mordes
[1:29:34.04]-[1:29:41.04]  y los ponía en como un tablero, el tablero tenía un pico así, y iba cayendo en un levillo
[1:29:41.04]-[1:29:46.04]  el suero, y ese suero después se lo daba para los lechones chicos y eso que los ponía
[1:29:46.04]-[1:29:48.04]  muy gosos.
[1:29:48.04]-[1:29:54.04]  Y ya a pasarle los quesos, a darle vuelta a un lado, a otro y exprimirlo bien para que
[1:29:54.04]-[1:29:58.04]  se le quitara todo el líquido que tenía.
[1:29:58.04]-[1:30:04.04]  Esto nosotros no tenemos ni idea.
[1:30:04.04]-[1:30:09.04]  Nos fascina, porque hace un año no lo pedí, en el tetrabril.
[1:30:09.04]-[1:30:12.04]  ¿Usted es profesora quizás de la universidad?
[1:30:12.04]-[1:30:17.04]  No, yo soy estudiante, directa de estudiante.
[1:30:17.04]-[1:30:20.04]  La profesora es.
[1:30:20.04]-[1:30:24.04]  ¿Y la leche, qué hacían con la leche?
[1:30:24.04]-[1:30:25.04]  Los quesos.
[1:30:25.04]-[1:30:28.04]  Los quesos, pero ustedes no usaban ni para beber ni nada.
[1:30:28.04]-[1:30:30.04]  Nosotros de las cabras sí.
[1:30:30.04]-[1:30:32.04]  O sea que también tenían cabras.
[1:30:32.04]-[1:30:33.04]  También teníamos cabras.
[1:30:33.04]-[1:30:35.04]  ¿Y qué hacían con la cabra?
[1:30:35.04]-[1:30:42.04]  Pues nada, la cerdeñaba por la mañana y por la tarde, y la gastábamos para nosotros,
[1:30:42.04]-[1:30:47.04]  hacíamos rocón leche, hacíamos leche frita, no sé si saben la leche frita.
[1:30:47.04]-[1:30:50.04]  A mi hija le encanta el joyón.
[1:30:50.04]-[1:30:56.04]  Y para tomarnos el desayuno y la merienda por la tarde, el colacado que era muy rica,
[1:30:56.04]-[1:31:01.04]  la leche de cabra, la hervíamos y la nata, y con la nata la íbamos guardando todos los días,
[1:31:01.04]-[1:31:05.04]  y cuando mi madre amasaba, pues hacíamos torta con la nata.
[1:31:05.04]-[1:31:06.04]  Estaba riquísima.
[1:31:06.04]-[1:31:10.04]  ¿Cómo fue esa leche de cabra?
[1:31:10.04]-[1:31:12.04]  Nosotros le echamos un poquito de agua para relajarla.
[1:31:12.04]-[1:31:14.04]  ¿Tiene sabor especial o...?
[1:31:14.04]-[1:31:15.04]  No la probaba nunca.
[1:31:15.04]-[1:31:16.04]  ¿No?
[1:31:16.04]-[1:31:19.04]  Pues muy rica la leche de cabra.
[1:31:19.04]-[1:31:22.04]  A la de cabra le dice chatear.
[1:31:22.04]-[1:31:28.04]  Con café portugués, de cerveno y zahimaza, como lo hago yo,
[1:31:28.04]-[1:31:32.04]  montenegro y zahimaza.
[1:31:32.04]-[1:31:35.04]  Y la leche de cabra es buenísima.
[1:31:35.04]-[1:31:39.04]  Sí, aquí nos han dicho que no les gusta más que el café portugués en toda esta zona.
[1:31:39.04]-[1:31:41.04]  No toman café español.
[1:31:41.04]-[1:31:43.04]  Yo sí lo hago en mezcla.
[1:31:43.04]-[1:31:47.04]  De mezcla, zahimaza y portugués.
[1:31:47.04]-[1:31:49.04]  Pero tiene mucha fama el portugués.
[1:31:49.04]-[1:31:50.04]  Sí.
[1:31:50.04]-[1:31:52.04]  ¿Queréis un poquito de café?
[1:31:52.04]-[1:31:54.04]  Yo no, pero no sé si...
[1:31:54.04]-[1:31:56.04]  Yo no, gracias.
[1:31:56.04]-[1:31:58.04]  ¿Por qué?
[1:31:58.04]-[1:32:01.04]  Bueno, pues póngannos suavito, un poquito si quieres.
[1:32:01.04]-[1:32:03.04]  Vamos a ver cómo lo encontrar.
[1:32:03.04]-[1:32:04.04]  Pero esto ha terminado, ¿no?
[1:32:04.04]-[1:32:06.04]  No, vaya terminando.
[1:32:06.04]-[1:32:08.04]  Usted siga contando.
[1:32:08.04]-[1:32:15.04]  Yo le iba a preguntar cómo eran antes las relaciones entre las parejas,
[1:32:15.04]-[1:32:20.04]  por ejemplo, cómo se hacían ustedes novios, cómo se llegaba uno a casar,
[1:32:20.04]-[1:32:22.04]  cómo había un baile aquí o...
[1:32:22.04]-[1:32:25.04]  Pues aquí había baile.
[1:32:25.04]-[1:32:28.04]  En la de su madre, en su época, en la de sus hijas.
[1:32:28.04]-[1:32:31.04]  En la de mis hijas ya era discoteca.
[1:32:31.04]-[1:32:34.04]  Y ya no hay ni discoteca acá.
[1:32:34.04]-[1:32:35.04]  Aquí ya no hay.
[1:32:35.04]-[1:32:36.04]  No.
[1:32:36.04]-[1:32:37.04]  Ya no hace falta.
[1:32:37.04]-[1:32:38.04]  Ya no hay discoteca.
[1:32:38.04]-[1:32:41.04]  Se van a Llamonte o a Cidri o a Huelva.
[1:32:41.04]-[1:32:42.04]  O a Huelva.
[1:32:42.04]-[1:32:47.04]  Mi nieta esta fue la otra noche con el novio a un concierto a Huelva.
[1:32:47.04]-[1:32:49.04]  El barrio, parece que vino a Huelva.
[1:32:49.04]-[1:32:52.04]  Ah, sí, me gusta.
[1:32:52.04]-[1:32:54.04]  El barrio.
[1:32:54.04]-[1:32:58.04]  Pues nada, si un muchacho quería una muchacha, la pretendía, le decía,
[1:32:58.04]-[1:33:00.04]  pues me quiero arreglar contigo.
[1:33:00.04]-[1:33:02.04]  Y de antes sabes tú que le pedía la mano al padre.
[1:33:02.04]-[1:33:04.04]  Ahora ya no hay esa historia.
[1:33:04.04]-[1:33:05.04]  Ahora ya no.
[1:33:05.04]-[1:33:06.04]  Ahora no.
[1:33:06.04]-[1:33:13.04]  Ahora de momento entra en casa y ya está, como lo dicen las señoras que van a Juan y medio.
[1:33:13.04]-[1:33:18.04]  Y en el baile había baile en el campo con una cordeón.
[1:33:18.04]-[1:33:22.04]  Y aquí también venía en la otra calle, que eso está cerrado,
[1:33:22.04]-[1:33:24.04]  era bajo de todas las discotecas.
[1:33:24.04]-[1:33:27.04]  También era baile con cordeón y demás.
[1:33:27.04]-[1:33:29.04]  Y era todos los domingos.
[1:33:29.04]-[1:33:31.04]  Y todos los domingos, sí.
[1:33:31.04]-[1:33:33.04]  O sea, que usted conocía a su marido ahí en el barrio.
[1:33:33.04]-[1:33:35.04]  En el barrio lo conocí, sí.
[1:33:35.04]-[1:33:37.04]  Pero quedaba aquí después, ¿no?
[1:33:37.04]-[1:33:39.04]  Él vivía en el campo también.
[1:33:39.04]-[1:33:45.04]  Y yo estaba aquí con una tía mía que era asmática y tenía a mi prima una tienda.
[1:33:45.04]-[1:33:51.04]  Y yo vine para ayudarle, porque mi tía no se podía mover de la cama con su asiciada y demás,
[1:33:51.04]-[1:33:53.04]  para echarle una mano encima.
[1:33:53.04]-[1:33:55.04]  Y fui al baile y él vino al baile también.
[1:33:55.04]-[1:34:02.04]  Nos conocimos y nos llevaríamos un año por ahí hablándonos y nos casamos de seguir.
[1:34:02.04]-[1:34:06.04]  Yo tenía 22 años y él 26.
[1:34:06.04]-[1:34:10.04]  Y luego los dos han trabajado en el campo.
[1:34:10.04]-[1:34:13.04]  Yo, cuando las niñas eran pequeñas, ¿no?
[1:34:13.04]-[1:34:16.04]  Ya cuando fueron más grandes que mi madre, que vino por acá,
[1:34:16.04]-[1:34:20.04]  pues sí, mi madre le preparaba la comida a las niñas y yo iba a trabajar.
[1:34:20.04]-[1:34:22.04]  La llevaba yo tantos años la cotizada.
[1:34:22.04]-[1:34:27.04]  Y mi marido pues estaba siempre trabajando en la ferulosa
[1:34:27.04]-[1:34:34.04]  y en esto de la Junta de Andalucía cortando madera.
[1:34:34.04]-[1:34:38.04]  Y con un motosierre después pues ha estado de guarda san silvestre,
[1:34:38.04]-[1:34:40.04]  de guarda jurado en una finta.
[1:34:40.04]-[1:34:42.04]  Se lleva mucho años.
[1:34:42.04]-[1:34:47.04]  De ahí vino ya, porque le dieron una moto, la moto se estropeó
[1:34:47.04]-[1:34:54.04]  y le dijo al perito que le arreglaran la moto y le dijo que no que llevara el suyo.
[1:34:54.04]-[1:34:58.04]  Y le dijo, pues yo no lo voy a traer porque ustedes tienen posibilidad
[1:34:58.04]-[1:35:00.04]  de poder comprar una moto para arreglarme en mí,
[1:35:00.04]-[1:35:03.04]  a él de ustedes, el que yo traigo todos los días.
[1:35:03.04]-[1:35:06.04]  Y le dijeron que no, lo que quería que se viniera.
[1:35:06.04]-[1:35:10.04]  Entonces le desmijaron porque él estaba fijo
[1:35:10.04]-[1:35:15.04]  y se lo pasó al paro, al paro de régimen general.
[1:35:15.04]-[1:35:19.04]  Como esto de la industria, pues tuvo dos años en el paro de régimen general
[1:35:19.04]-[1:35:23.04]  y después ya está llenado eso de vos.
[1:35:23.04]-[1:35:26.04]  Y es como que sale con leche.
[1:35:26.04]-[1:35:29.04]  Como en el barrio del colegio.
[1:35:29.04]-[1:35:34.04]  Y entonces pues ya ha estado años en el paro, de seguida que terminó el paro
[1:35:34.04]-[1:35:39.04]  ya empezaron a llamarlo, ha estado tres meses contratado por el ayuntamiento también,
[1:35:39.04]-[1:35:43.04]  que no está nunca parado, cuando no el paro trabajando en el ayuntamiento.
[1:35:43.04]-[1:35:47.04]  Y después él sabe podar, es este árbol.
[1:35:47.04]-[1:35:52.04]  Ahora para el marzo, el miércoles va a empezar a otra vez estar con las puñas niños.
[1:35:52.04]-[1:35:54.04]  Sí, perdón, perdón, perdón.
[1:35:54.04]-[1:35:57.04]  A podar árboles para después injertarlos.
[1:35:57.04]-[1:36:00.04]  Mis hijas van a injertar también árboles.
[1:36:00.04]-[1:36:02.04]  ¿Cómo es eso?
[1:36:02.04]-[1:36:05.04]  Pues eso tienes que cortar.
[1:36:05.04]-[1:36:10.04]  Él va con otro muchacho en Marte, van cortando ya los troncos de los árboles.
[1:36:10.04]-[1:36:17.04]  Y después pues llevan la planta, que la tienen que tener en la cámara,
[1:36:17.04]-[1:36:23.04]  y ponen la planta unida a los troncos, los brotes.
[1:36:23.04]-[1:36:29.04]  Y con unas cintas que hay clasificadas, los envuelve y ya está.
[1:36:29.04]-[1:36:33.04]  Y a dejarlo ocho o diez días, tal vez sea brotado o no.
[1:36:33.04]-[1:36:37.04]  Mi hija de Sevilla va a venir con el marido de mi país, para estar con el padre.
[1:36:37.04]-[1:36:40.04]  Y la mayor también sabe jertar.
[1:36:40.04]-[1:36:44.04]  Y mi abuela no sabe, pero dice que termina donde coge naranja el Marte
[1:36:44.04]-[1:36:46.04]  y van ahí a coger aranda a la otra finca.
[1:36:46.04]-[1:36:50.04]  Estas niñas siempre están buscando trabajo por un lado o por otro.
[1:36:50.04]-[1:36:56.04]  Y esta chica está en la cooperativa, mi nieta, lleva seis años,
[1:36:56.04]-[1:36:58.04]  pero termina la cooperativa, la llaman al campo.
[1:36:58.04]-[1:37:00.04]  Termina el campo, la llaman a los colegios.
[1:37:00.04]-[1:37:03.04]  Termina los colegios, la llaman otra vez a la cooperativa.
[1:37:03.04]-[1:37:04.04]  Está siempre trabajando.
[1:37:04.04]-[1:37:07.04]  Y cobra un paro de mil y pico de euros.
[1:37:07.04]-[1:37:11.04]  Pero ella no trabaja en la administrativa, no trabaja en el campo.
[1:37:11.04]-[1:37:15.04]  En el campo, en la cooperativa, plastificando la fuerza.
[1:37:15.04]-[1:37:18.04]  Aquí en esta cooperativa, les he dicho yo que está ahí a la leyenda.
[1:37:18.04]-[1:37:20.04]  Meten a las crezas en los contenedores de plástico.
[1:37:20.04]-[1:37:21.04]  En las carrimas.
[1:37:21.04]-[1:37:23.04]  En las carrimas de plástico.
[1:37:23.04]-[1:37:29.04]  Y la quieren más porque es muy abierta para todo el mundo y es muy trabajadora.
