[0:00:00.00]-[0:00:02.00]  Hola, ¿cómo estás?
[0:59:22.00]-[0:59:24.00]  Que se quieren ir con la novia
[0:59:24.00]-[0:59:26.00]  Que se lo lleven de brazos
[0:59:26.00]-[0:59:28.00]  Que se quieren ir de casa de soltero
[0:59:28.00]-[0:59:30.00]  Yo estoy haciendo agua para ellos
[0:59:30.00]-[0:59:32.00]  Para lo que les dé la gana
[0:59:32.00]-[0:59:34.00]  La vida es moderna, de otra manera
[0:59:34.00]-[0:59:36.00]  Yo no me asusto
[0:59:36.00]-[0:59:38.00]  Mi marido, bueno, ya lleva 11 años muerto
[0:59:38.00]-[0:59:40.00]  Pero que...
[0:59:40.00]-[0:59:42.00]  De hoy me dice a los nietos
[0:59:42.00]-[0:59:44.00]  Cuando queráis, se vais
[0:59:48.00]-[0:59:50.00]  ¿Y cómo es su relación con sus nietos?
[0:59:50.00]-[0:59:52.00]  ¿Nota usted que es diferente?
[0:59:52.00]-[0:59:54.00]  Que cuando era usted pequeña
[0:59:54.00]-[0:59:56.00]  Sí, yo...
[0:59:56.00]-[0:59:58.00]  Ya te digo que yo era un poquillo...
[0:59:58.00]-[1:00:00.00]  Pero vaya, con mis tías abuelas
[1:00:00.00]-[1:00:02.00]  Le hablaba y le contaba mis cosas
[1:00:02.00]-[1:00:04.00]  Y lo que subían, lo mejor le contaban a ellas
[1:00:04.00]-[1:00:06.00]  Yo hablaba con mis tías abuelas
[1:00:06.00]-[1:00:08.00]  Ellas se reían
[1:00:08.00]-[1:00:10.00]  Si yo decía
[1:00:10.00]-[1:00:12.00]  Vigo, estaba en la calle Estepa
[1:00:12.00]-[1:00:14.00]  Y fulanito me ha tirado un nabo
[1:00:14.00]-[1:00:16.00]  Nabo era una cosa que se pegaba al pelo
[1:00:16.00]-[1:00:18.00]  Y yo me suelo caminar
[1:00:18.00]-[1:00:20.00]  Como me pongo otro nabo de estos
[1:00:20.00]-[1:00:22.00]  Me tiro en la cabeza
[1:00:22.00]-[1:00:24.00]  Y ellas pues se reían
[1:00:24.00]-[1:00:26.00]  Ya sabían que los niños los me han tirado para hablar con las niñas
[1:00:26.00]-[1:00:28.00]  Y yo iba y lo contaba todo
[1:00:28.00]-[1:00:30.00]  Lo que subían, lo contaban
[1:00:30.00]-[1:00:32.00]  Era más...
[1:00:32.00]-[1:00:34.00]  Si ya se iba diferenciando
[1:00:34.00]-[1:00:36.00]  Y yo con mis niñas
[1:00:36.00]-[1:00:38.00]  Yo con 13 años
[1:00:38.00]-[1:00:40.00]  No sabía por donde venían los niños
[1:00:40.00]-[1:00:42.00]  Pero me parece a mí que ellas me lo podían haber dicho, ¿no?
[1:00:42.00]-[1:00:44.00]  Nada
[1:00:44.00]-[1:00:46.00]  Y una amiga mía
[1:00:46.00]-[1:00:48.00]  Me decía
[1:00:48.00]-[1:00:50.00]  Lo tiene en la barriga
[1:00:50.00]-[1:00:52.00]  Una vecina que estaba embarazada
[1:00:52.00]-[1:00:54.00]  Lo tiene en la barriga
[1:00:54.00]-[1:00:56.00]  Y yo, bueno...
[1:00:56.00]-[1:00:58.00]  Y yo...
[1:00:58.00]-[1:01:00.00]  Y yo...
[1:01:00.00]-[1:01:02.00]  Mamá, dice...
[1:01:02.00]-[1:01:04.00]  Que el niño lo tiene en la barriga
[1:01:04.00]-[1:01:06.00]  ¿Qué es?
[1:01:06.00]-[1:01:08.00]  ¿Que lo caga mamá o le rana la barriga como al lobo?
[1:01:08.00]-[1:01:10.00]  No, mujer
[1:01:10.00]-[1:01:12.00]  Tú te pones ahí en la ventana
[1:01:12.00]-[1:01:14.00]  Que hoy va a venir una mujer en un coche
[1:01:14.00]-[1:01:16.00]  Y trae una cartera
[1:01:16.00]-[1:01:18.00]  Tú mira cómo trae la cartera y ahí trae el niño
[1:01:18.00]-[1:01:20.00]  Por eso con 13 años
[1:01:20.00]-[1:01:22.00]  ¿Verdad?
[1:01:22.00]-[1:01:24.00]  En la ventana para ver que vivía al lado de mi casa
[1:01:24.00]-[1:01:26.00]  Pero me daba un rato venía
[1:01:26.00]-[1:01:28.00]  Estaba chillando y estaba llorando
[1:01:28.00]-[1:01:30.00]  ¿Qué pasa?
[1:01:30.00]-[1:01:32.00]  ¿Es el niño que trae la barriga?
[1:01:32.00]-[1:01:34.00]  ¿Que le va a dar raya a la barriga?
[1:01:34.00]-[1:01:36.00]  Ella tampoco lo sabía
[1:01:36.00]-[1:01:38.00]  Ella no lo sabía
[1:01:38.00]-[1:01:40.00]  Pero sabía que el niño estaba en la barriga
[1:01:40.00]-[1:01:42.00]  Y yo darle la lata a mi madre
[1:01:42.00]-[1:01:44.00]  No me lo digo
[1:01:44.00]-[1:01:46.00]  Ya con 13 años
[1:01:46.00]-[1:01:48.00]  Y cuando me desarrollé tonta perdía
[1:01:48.00]-[1:01:50.00]  Porque como no tenía hermanas, no había visto otro
[1:01:50.00]-[1:01:52.00]  Pues yo digo, ¡Ay mamá!
[1:01:52.00]-[1:01:54.00]  Aquí tengo que tener un grano
[1:01:54.00]-[1:01:56.00]  Y mi madre dice, sí que tienes un grano
[1:01:56.00]-[1:01:58.00]  Mira, ponte este trapito ahí
[1:01:58.00]-[1:02:00.00]  Para el grano que no te salga la sangre
[1:02:00.00]-[1:02:02.00]  No sé qué
[1:02:02.00]-[1:02:04.00]  Luego llegaba a mis tías, mis primas
[1:02:04.00]-[1:02:06.00]  Las mayores
[1:02:06.00]-[1:02:08.00]  Mira, ¿se ha caído por la escalera?
[1:02:08.00]-[1:02:10.00]  Y yo digo, mamá
[1:02:10.00]-[1:02:12.00]  Que yo no me he caído por la escalera
[1:02:12.00]-[1:02:14.00]  Es que tengo un grano
[1:02:14.00]-[1:02:16.00]  Pero yo por la escalera no me he caído
[1:02:16.00]-[1:02:18.00]  Y yo dije, niña
[1:02:18.00]-[1:02:20.00]  Eso va a tenerlo todos los meses
[1:02:20.00]-[1:02:22.00]  Esto, lo otro, esto
[1:02:22.00]-[1:02:24.00]  Yo a mi niña
[1:02:24.00]-[1:02:26.00]  Fui con mi padre a la Jarrón
[1:02:26.00]-[1:02:28.00]  Y tenía los 12
[1:02:28.00]-[1:02:30.00]  Y ella 100 para 13
[1:02:30.00]-[1:02:32.00]  Y yo dije, si un día te va a dar sangre algo
[1:02:32.00]-[1:02:34.00]  Que la desee, toma, llévate los pañitos
[1:02:34.00]-[1:02:36.00]  Por si acaso te desarrolla
[1:02:36.00]-[1:02:38.00]  Mira, que tú ya estás en una edad
[1:02:38.00]-[1:02:40.00]  Que te va a desarrollar
[1:02:40.00]-[1:02:42.00]  Que si te duele la barriguita abajo o algo
[1:02:42.00]-[1:02:44.00]  Que se lo diga la abuela
[1:02:44.00]-[1:02:46.00]  Y si te pones mala con sangre
[1:02:46.00]-[1:02:48.00]  Que no te asusta, que te ponga esto, esto
[1:02:48.00]-[1:02:50.00]  Lo he dicho
[1:02:50.00]-[1:02:52.00]  Pero a mí no me lo dieron
[1:02:52.00]-[1:02:54.00]  Yo no sé por qué era eso aquello tan tapado
[1:02:54.00]-[1:02:58.00]  Si era algo de la naturaleza, no?
[1:02:58.00]-[1:03:00.00]  Pues, a casal cambia mucho
[1:03:00.00]-[1:03:02.00]  Bueno, y ya mi nieta
[1:03:02.00]-[1:03:04.00]  Por 5 años
[1:03:04.00]-[1:03:06.00]  Sabía que su hermana estaba en la barriguita
[1:03:06.00]-[1:03:08.00]  Y su madre, que chiquichí, chiquichú
[1:03:08.00]-[1:03:10.00]  Y lo sabía todo
[1:03:10.00]-[1:03:12.00]  Y mi marido decía
[1:03:12.00]-[1:03:14.00]  Mira que las cosas que le han enseñado
[1:03:14.00]-[1:03:16.00]  Y yo, que va a hacer
[1:03:16.00]-[1:03:18.00]  Si lo tiene su madre en la barriguita
[1:03:18.00]-[1:03:20.00]  Ella sabe que lo tiene, le toca
[1:03:20.00]-[1:03:22.00]  Y ella decía hermanito, hermanito
[1:03:22.00]-[1:03:24.00]  Luego era una hermanita
[1:03:24.00]-[1:03:26.00]  Y mi marido se asustaba
[1:03:26.00]-[1:03:28.00]  Uff, esas cosas
[1:03:28.00]-[1:03:30.00]  Enseñar esas cosas
[1:03:30.00]-[1:03:32.00]  Yo era muy rescatado
[1:03:32.00]-[1:03:34.00]  Y eso de bañarnos los dos juntos
[1:03:34.00]-[1:03:36.00]  Yo entraba a darles la espalda
[1:03:36.00]-[1:03:38.00]  A los otros
[1:03:38.00]-[1:03:40.00]  Y yo decía, pues, me da la espalda
[1:03:40.00]-[1:03:42.00]  Se sentaba en la tina
[1:03:42.00]-[1:03:44.00]  Pero yo miraba lo que lo vieron, nada
[1:03:44.00]-[1:03:46.00]  Eramos rescatados demasiado
[1:03:46.00]-[1:03:48.00]  Mis niñas se bañan
[1:03:48.00]-[1:03:50.00]  Con su marido, van lo que sea
[1:03:50.00]-[1:03:52.00]  Se entran los dos al cuarto de baño
[1:03:52.00]-[1:03:54.00]  Eso también ha cambiado mucho
[1:03:54.00]-[1:03:56.00]  Mi marido es que era muy antiguo
[1:03:56.00]-[1:03:58.00]  Pero no era pa otra
[1:04:00.00]-[1:04:02.00]  ¿Qué más queréis saber?
[1:04:02.00]-[1:04:04.00]  Pues, que no me describí yo
[1:04:04.00]-[1:04:06.00]  Sobre... ¿Las comidas?
[1:04:06.00]-[1:04:08.00]  Sí, por ejemplo, las comidas
[1:04:08.00]-[1:04:10.00]  Exacto
[1:04:10.00]-[1:04:12.00]  Las comidas también han cambiado
[1:04:12.00]-[1:04:14.00]  Porque...
[1:04:16.00]-[1:04:18.00]  Mi madre decía que la ensalada
[1:04:20.00]-[1:04:22.00]  La ensalada era como un postre
[1:04:22.00]-[1:04:24.00]  Y yo también
[1:04:24.00]-[1:04:26.00]  Mi padre se comía la ensalada a lo último
[1:04:26.00]-[1:04:28.00]  La había a las caroles
[1:04:28.00]-[1:04:30.00]  Que la hacían con ajo frito
[1:04:30.00]-[1:04:32.00]  Y se la echaban a las caroles
[1:04:32.00]-[1:04:34.00]  Y si era invierno, ponían una mitad
[1:04:34.00]-[1:04:36.00]  De agua a templar
[1:04:36.00]-[1:04:38.00]  Y en el verano me había la otra
[1:04:38.00]-[1:04:40.00]  La ensalada, los cojollos, ¿cómo le llamáis ustedes?
[1:04:40.00]-[1:04:42.00]  Los cojollos
[1:04:42.00]-[1:04:44.00]  Los cojollos y las ensaladas, que hay de las dos cosas
[1:04:44.00]-[1:04:46.00]  En invierno que había esa risa
[1:04:48.00]-[1:04:50.00]  La hacían con los ajos fritos
[1:04:50.00]-[1:04:52.00]  Y ahora la ensalada
[1:04:52.00]-[1:04:54.00]  La ponemos nosotros
[1:04:54.00]-[1:04:56.00]  Desde el principio hacemos la ensaladilla
[1:04:56.00]-[1:04:58.00]  En el principio ponemos la ensalada
[1:04:58.00]-[1:05:00.00]  Con cebolla, con pimientos
[1:05:00.00]-[1:05:02.00]  Pero la ponemos de principio
[1:05:02.00]-[1:05:04.00]  Antes se ponía
[1:05:04.00]-[1:05:06.00]  A lo último como un postre
[1:05:06.00]-[1:05:08.00]  Como tampoco había tanta fruta
[1:05:08.00]-[1:05:10.00]  Porque ahora tenemos en invierno
[1:05:10.00]-[1:05:12.00]  Naranja, tenemos de todo porque las traemos
[1:05:12.00]-[1:05:14.00]  De otro lado
[1:05:14.00]-[1:05:16.00]  Y antes era el tiempo de los pimientos
[1:05:16.00]-[1:05:18.00]  Eso sí, guardar los pimientos
[1:05:18.00]-[1:05:20.00]  Guardaban muchas cosas con aceite
[1:05:20.00]-[1:05:22.00]  Ahora como tenemos las neveras
[1:05:22.00]-[1:05:24.00]  Pues yo me meto
[1:05:24.00]-[1:05:26.00]  Mi desayuno
[1:05:26.00]-[1:05:34.70]  Hoy estaba mi
[1:05:34.70]-[1:05:36.70]  La hierbabuena la guardo
[1:05:36.70]-[1:05:38.70]  La tengo en la nevera y saco
[1:05:38.70]-[1:05:40.70]  Porque a nosotros nos gusta mucho
[1:05:40.70]-[1:05:42.70]  Esta parte de Andalucía
[1:05:42.70]-[1:05:44.70]  Usaban mucho la hierbabuena
[1:05:44.70]-[1:05:46.70]  Y en la parte de Jaén
[1:05:46.70]-[1:05:48.70]  Lo que usan mucho es el comino
[1:05:48.70]-[1:05:50.70]  El comino
[1:05:50.70]-[1:05:52.70]  Tú has dicho que eres de Madrid
[1:05:52.70]-[1:05:54.70]  Bueno, mis abuelos son de Ciudad Real
[1:05:54.70]-[1:05:56.70]  De Ciudad Real, bueno
[1:05:56.70]-[1:05:58.70]  Pero de La Mancha
[1:05:58.70]-[1:06:00.70]  De La Mancha
[1:06:00.70]-[1:06:02.70]  Así es, está ahí más cerca
[1:06:02.70]-[1:06:04.70]  Nosotros estamos más lejos
[1:06:04.70]-[1:06:06.70]  Hasta el manzal
[1:06:06.70]-[1:06:08.70]  ¿Y tú?
[1:06:08.70]-[1:06:10.70]  Yo de Madrid también
[1:06:10.70]-[1:06:12.70]  ¿Y tu padre? ¿Y tu abuelo?
[1:06:12.70]-[1:06:14.70]  Mi padre es de Madrid
[1:06:14.70]-[1:06:16.70]  Mi abuela, tengo una abuela de la Carolina
[1:06:16.70]-[1:06:18.70]  Que está ahí en Jaén
[1:06:18.70]-[1:06:20.70]  Hola, hola
[1:06:20.70]-[1:06:22.70]  Este es mi niño
[1:06:22.70]-[1:06:24.70]  Bueno, niño mayor
[1:06:24.70]-[1:06:26.70]  Se llama como yo
[1:06:26.70]-[1:06:28.70]  Y su marido
[1:06:28.70]-[1:06:30.70]  Mira, estas dos españoles
[1:06:30.70]-[1:06:32.70]  Estas dos españoles y estas dos romanas
[1:06:32.70]-[1:06:34.70]  Bueno, pues entonces
[1:06:34.70]-[1:06:36.70]  Ahora luego venimos
[1:06:36.70]-[1:06:38.70]  ¿A dónde vais?
[1:06:38.70]-[1:06:40.70]  A ver, darte una vuelta a ver
[1:06:40.70]-[1:06:42.70]  Pero veo que está muy bien
[1:06:42.70]-[1:06:44.70]  ¿A dónde nos mandas?
[1:06:44.70]-[1:06:46.70]  Parece que se va a ir mañana
[1:06:46.70]-[1:06:48.70]  Bueno, cuando tú te vienes para allá
[1:06:48.70]-[1:06:50.70]  Ahora luego venimos
[1:06:50.70]-[1:06:52.70]  Yo venía a darle un poquito
[1:06:52.70]-[1:06:54.70]  Este chino es muy malo
[1:06:54.70]-[1:06:56.70]  Porque ahora tengo una medicina
[1:06:56.70]-[1:06:58.70]  Este niño dice que le doy la patilla para él
[1:06:58.70]-[1:07:00.70]  Adiós
[1:07:00.70]-[1:07:02.70]  Esta es la segunda
[1:07:02.70]-[1:07:04.70]  Pero yo el niño
[1:07:04.70]-[1:07:06.70]  Es la que apaciguaba a su marido
[1:07:06.70]-[1:07:08.70]  Cuando
[1:07:08.70]-[1:07:10.70]  No, no, esta es muy moderna
[1:07:10.70]-[1:07:12.70]  Esta es la que hablaba a mi marido
[1:07:12.70]-[1:07:14.70]  Nosotros le decimos la predileta
[1:07:14.70]-[1:07:16.70]  Porque
[1:07:16.70]-[1:07:18.70]  Para que con los niños
[1:07:18.70]-[1:07:20.70]  El otro
[1:07:20.70]-[1:07:22.70]  Ella es patada
[1:07:22.70]-[1:07:24.70]  Tiene un cáncer
[1:07:24.70]-[1:07:26.70]  Tiene un pecho
[1:07:26.70]-[1:07:28.70]  Lleva ya 8 años
[1:07:28.70]-[1:07:30.70]  Y le digo, vamos
[1:07:30.70]-[1:07:32.70]  Tiene que andar
[1:07:32.70]-[1:07:34.70]  Tiene pastillitas, tiene cosas
[1:07:34.70]-[1:07:36.70]  Que lo hace casa, pero después va
[1:07:36.70]-[1:07:38.70]  Va delante de todo
[1:07:38.70]-[1:07:40.70]  Pero vaya para los vecinos allí
[1:07:40.70]-[1:07:42.70]  En la calle, que ellos viven más
[1:07:42.70]-[1:07:44.70]  Pues detrás del cambio
[1:07:44.70]-[1:07:46.70]  Oye, aquí es lo que hay, unas islas preciosas
[1:07:46.70]-[1:07:48.70]  Pues a ver si ahora las podemos ir a visitar
[1:07:48.70]-[1:07:50.70]  Que estos son
[1:07:50.70]-[1:07:52.70]  Que hay, ¿cómo se llama?
[1:07:52.70]-[1:07:54.70]  Ay, ay, ay
[1:07:54.70]-[1:07:56.70]  Cuando entra
[1:07:56.70]-[1:07:58.70]  A los grandes, ¿cómo se llama?
[1:07:58.70]-[1:08:00.70]  Cuando el gobierno dice esto es nacional
[1:08:00.70]-[1:08:02.70]  ¿Cómo se llama?
[1:08:02.70]-[1:08:04.70]  Eso antes no me pasaba
[1:08:04.70]-[1:08:06.70]  Pero es que hace dos años
[1:08:06.70]-[1:08:08.70]  Me dio una trombosis
[1:08:08.70]-[1:08:10.70]  Me cogí un poquito este lado
[1:08:10.70]-[1:08:12.70]  El médico me dio pelotitas
[1:08:12.70]-[1:08:14.70]  Y me puse a hacer ya crochet
[1:08:14.70]-[1:08:16.70]  Y hago mucho crochet, eso es por eso le estoy haciendo
[1:08:16.70]-[1:08:18.70]  Cosas a los nietos
[1:08:18.70]-[1:08:20.70]  Y entonces tardó
[1:08:20.70]-[1:08:22.70]  En decir las cosas
[1:08:22.70]-[1:08:24.70]  Y bueno
[1:08:24.70]-[1:08:26.70]  Yo nunca me ha gustado la gramática
[1:08:26.70]-[1:08:28.70]  Ni
[1:08:28.70]-[1:08:30.70]  Los números
[1:08:30.70]-[1:08:32.70]  Se hasta dividir
[1:08:32.70]-[1:08:34.70]  Pero ya está
[1:08:34.70]-[1:08:36.70]  Y del otro
[1:08:36.70]-[1:08:38.70]  Los verbos a la fuerza
[1:08:38.70]-[1:08:40.70]  Aprende los verbos
[1:08:40.70]-[1:08:42.70]  Sin embargo la historia sagrada, la historia de España
[1:08:42.70]-[1:08:44.70]  La geografía
[1:08:44.70]-[1:08:46.70]  O los mapas, eso
[1:08:46.70]-[1:08:48.70]  Hubo una cosa que pasó en Mississippi
[1:08:48.70]-[1:08:50.70]  Eso es en América
[1:08:50.70]-[1:08:52.70]  En el colegio como había un mapa grande
[1:08:52.70]-[1:08:54.70]  Y yo iba a ir a buscar
[1:08:54.70]-[1:08:56.70]  No me gustó trabajar contra Mississippi
[1:08:56.70]-[1:08:58.70]  Esas cosas
[1:08:58.70]-[1:09:00.70]  Si me gustan mucho
[1:09:00.70]-[1:09:02.70]  Y hay un nieto mío que está estudiando
[1:09:02.70]-[1:09:04.70]  Historia
[1:09:04.70]-[1:09:06.70]  Digo vaya, va a salir a mí
[1:09:06.70]-[1:09:08.70]  Pero los números
[1:09:08.70]-[1:09:10.70]  Nada
[1:09:10.70]-[1:09:12.70]  La gramática tampoco
[1:09:12.70]-[1:09:14.70]  Ahora si
[1:09:14.70]-[1:09:16.70]  Voy a escribir
[1:09:16.70]-[1:09:18.70]  Pero si falta lo que sea
[1:09:18.70]-[1:09:20.70]  Pero ya escribo también
[1:09:20.70]-[1:09:22.70]  Y que va
[1:09:22.70]-[1:09:24.70]  ¿Qué me estabas diciendo?
[1:09:24.70]-[1:09:26.70]  Los novios ya te he dicho
[1:09:26.70]-[1:09:28.70]  Los novios en los tiempos de mi madre
[1:09:28.70]-[1:09:30.70]  Le mandaban una tarjetita
[1:09:30.70]-[1:09:32.70]  Que las conservo yo, las tarjetas
[1:09:32.70]-[1:09:34.70]  A alguno que la quería
[1:09:34.70]-[1:09:36.70]  Y ella si contestaba dándole las gracias
[1:09:36.70]-[1:09:38.70]  Y si no daba las gracias ya sabía que no había nada que hacer
[1:09:38.70]-[1:09:40.70]  Y
[1:09:40.70]-[1:09:42.70]  Y luego después ya se acercaba
[1:09:42.70]-[1:09:44.70]  Procuraban siempre
[1:09:44.70]-[1:09:46.70]  Las clases porque yo tengo un sobrino
[1:09:46.70]-[1:09:48.70]  Mío
[1:09:48.70]-[1:09:50.70]  Un poquito mayor que mi hijo
[1:09:50.70]-[1:09:52.70]  Pues le gustaba a una niña
[1:09:52.70]-[1:09:54.70]  Y la niña a ellos también, pero como era
[1:09:54.70]-[1:09:56.70]  De la aristocracia
[1:09:56.70]-[1:09:58.70]  Y ellos eran más de media clase
[1:09:58.70]-[1:10:00.70]  Y su padre luego daba mucho dinero
[1:10:00.70]-[1:10:02.70]  Su padre tenía una tienda
[1:10:02.70]-[1:10:04.70]  No le parecía bien
[1:10:04.70]-[1:10:06.70]  Y no, rompieron, eran del instituto y rompieron
[1:10:06.70]-[1:10:08.70]  Luego se casó con mi madre
[1:10:08.70]-[1:10:10.70]  Y luego un niño
[1:10:10.70]-[1:10:12.70]  Venía a nuestra casa
[1:10:12.70]-[1:10:14.70]  Que quería colocarse
[1:10:14.70]-[1:10:16.70]  Y le dio
[1:10:16.70]-[1:10:18.70]  Y mi marido dice, uy
[1:10:18.70]-[1:10:20.70]  Mi sobrino estuvo detrás de tu madre
[1:10:20.70]-[1:10:22.70]  Que le gustaba mucho
[1:10:22.70]-[1:10:24.70]  Pero no
[1:10:24.70]-[1:10:26.70]  No llegaron a eso
[1:10:26.70]-[1:10:28.70]  Y dice, hasta que el niño se lo dijo
[1:10:28.70]-[1:10:30.70]  Y la madre nos mandó un regalo
[1:10:30.70]-[1:10:32.70]  Y la que estaba loca por ahí era yo
[1:10:32.70]-[1:10:34.70]  Y dice, médica
[1:10:34.70]-[1:10:36.70]  Está de separar del marido
[1:10:36.70]-[1:10:38.70]  Y nos echamos buenísimas
[1:10:38.70]-[1:10:40.70]  Y se hubieran sido también felices
[1:10:40.70]-[1:10:42.70]  Luego se casó ella
[1:10:42.70]-[1:10:46.70]  Fue feliz y ha sido de Sevilla
[1:10:46.70]-[1:10:48.70]  Como se llama
[1:10:48.70]-[1:10:52.70]  Pues trae venía con guardaespaldas
[1:10:52.70]-[1:10:54.70]  A un alcalde o...
[1:10:54.70]-[1:10:56.70]  No, no, no
[1:10:56.70]-[1:10:58.70]  Concejal
[1:10:58.70]-[1:11:00.70]  Concejal de las cosas del gobierno
[1:11:00.70]-[1:11:02.70]  De la Junta de Andalucía
[1:11:02.70]-[1:11:06.70]  No es que fuera mucho político era
[1:11:06.70]-[1:11:08.70]  Porque en bolito
[1:11:08.70]-[1:11:10.70]  La carrera la hizo todo
[1:11:10.70]-[1:11:14.70]  Con las becas que las ganaba
[1:11:14.70]-[1:11:16.70]  Bueno, el colegio
[1:11:16.70]-[1:11:18.70]  Mi suegro se venía contentísimo
[1:11:18.70]-[1:11:20.70]  Mira la beca que le andaba a mi niño
[1:11:20.70]-[1:11:22.70]  Mira que le andaba a otro
[1:11:22.70]-[1:11:24.70]  Mi marido también lo quería mucho a su sobrino
[1:11:24.70]-[1:11:26.70]  Estuviera en un accidente
[1:11:26.70]-[1:11:30.70]  En el parlamento de Andalucía
[1:11:30.70]-[1:11:32.70]  Estaba metido ahí
[1:11:32.70]-[1:11:34.70]  Mi niño que te lo diga si queréis saberlo
[1:11:34.70]-[1:11:36.70]  Y tuvo un accidente
[1:11:36.70]-[1:11:40.70]  Tuve un accidente y le dio una rama del otro
[1:11:40.70]-[1:11:42.70]  Que se metió en el coche
[1:11:42.70]-[1:11:44.70]  De la parte de la carretera
[1:11:44.70]-[1:11:46.70]  En la avena Horta
[1:11:46.70]-[1:11:48.70]  Y se murió
[1:11:48.70]-[1:11:50.70]  Uy, tiene dos niños
[1:11:50.70]-[1:11:54.70]  No sé por qué iba yo a decir eso
[1:11:56.70]-[1:12:00.70]  Estábamos antes hablando de las comidas
[1:12:00.70]-[1:12:02.70]  Que ponía la ensalada de postre
[1:12:02.70]-[1:12:04.70]  Luego se comía mucho cocido
[1:12:04.70]-[1:12:08.70]  El cocido que es como...
[1:12:08.70]-[1:12:10.70]  Me gustaba mucho cuando se hacía cola
[1:12:10.70]-[1:12:14.70]  De la papá de los cerdos
[1:12:14.70]-[1:12:18.70]  No sé si le llamaban a la papá
[1:12:18.70]-[1:12:20.70]  Yo creo que se le llama algo de aquí
[1:12:20.70]-[1:12:24.70]  Que lleva como si fuera jamoncito
[1:12:24.70]-[1:12:26.70]  Es muy bueno ese tocino
[1:12:26.70]-[1:12:28.70]  Y se le echaba costillas
[1:12:28.70]-[1:12:30.70]  O no cuesta dañejo
[1:12:30.70]-[1:12:32.70]  Y la carne, carne de ternera
[1:12:32.70]-[1:12:34.70]  Aquí no te queda mucho la ternera
[1:12:34.70]-[1:12:36.70]  Y entonces se ponía el cocido
[1:12:36.70]-[1:12:40.70]  Sacaba la carne y eso
[1:12:40.70]-[1:12:42.70]  La ponía la carne y con el tocino después
[1:12:42.70]-[1:12:46.70]  Te ponía la cola, te ponía la bichuela
[1:12:46.70]-[1:12:48.70]  También nos gustaba mucho tarragina
[1:12:48.70]-[1:12:54.70]  Es una cosa del campo que son risailla
[1:12:54.70]-[1:12:56.70]  Son muy buenas, como los cardillos
[1:12:56.70]-[1:12:58.70]  Pero las tarraginas son más finas
[1:12:58.70]-[1:13:00.70]  Que los cardillos
[1:13:00.70]-[1:13:02.70]  Aquí también se le echaba eso
[1:13:02.70]-[1:13:04.70]  Se echaban sus papas y sus garbanzas
[1:13:04.70]-[1:13:06.70]  Y ese era el primer plato
[1:13:06.70]-[1:13:08.70]  Y eso se lo tiene en su carne
[1:13:08.70]-[1:13:16.70]  Ya vino más la moda de poner un pescado
[1:13:16.70]-[1:13:18.70]  Conmigo sí
[1:13:18.70]-[1:13:20.70]  Yo ya había visto pescado todos los días aquí
[1:13:20.70]-[1:13:22.70]  Pero antes un pescado todos los días no venía
[1:13:22.70]-[1:13:24.70]  Venía algún hombre de Ivala
[1:13:24.70]-[1:13:26.70]  Que traía pescado fresco
[1:13:26.70]-[1:13:30.70]  Y entonces compraban más el pescado
[1:13:30.70]-[1:13:34.70]  Pero ya la casa se usaba mucho
[1:13:34.70]-[1:13:36.70]  Y ahora con esto del congelado
[1:13:36.70]-[1:13:38.70]  Tenemos de todas las plazas de pescado
[1:13:38.70]-[1:13:40.70]  Pero entonces no era tampoco...
[1:13:40.70]-[1:13:44.70]  Yo íbamos a la plaza a lo mejor por melusa
[1:13:44.70]-[1:13:46.70]  No había que al día melusa
[1:13:46.70]-[1:13:48.70]  Mamá ya sacaba la melusa
[1:13:48.70]-[1:13:50.70]  Cuando me voy yo ya no
[1:13:50.70]-[1:13:52.70]  Porque yo he sido una niña también
[1:13:52.70]-[1:13:54.70]  Mi madre nunca ha ido a la plaza
[1:13:54.70]-[1:13:56.70]  La muchacha
[1:13:56.70]-[1:13:58.70]  Y mi amiga sí
[1:13:58.70]-[1:14:00.70]  Tampoco
[1:14:00.70]-[1:14:02.70]  Conmigo era calante porque estaba tan lejos
[1:14:02.70]-[1:14:04.70]  Yo tenía que no iba nada a la plaza
[1:14:04.70]-[1:14:06.70]  Y a mí me gustaba ir a la plaza
[1:14:06.70]-[1:14:08.70]  Yo tenía que ir con la muchacha a la plaza
[1:14:08.70]-[1:14:10.70]  Pero luego yo iba sola
[1:14:10.70]-[1:14:12.70]  Que me gustaba ir a comprar yo sola
[1:14:12.70]-[1:14:14.70]  El pescado, lo que yo quisiera
[1:14:14.70]-[1:14:16.70]  Yo era un raro aquello
[1:14:16.70]-[1:14:18.70]  Yo era media clase
[1:14:18.70]-[1:14:20.70]  Mi padre era dependiente de tejido
[1:14:20.70]-[1:14:22.70]  No era yo rica, rica
[1:14:22.70]-[1:14:24.70]  Pero me consideraban como señorita
[1:14:24.70]-[1:14:26.70]  Mi abuelo había sido más
[1:14:26.70]-[1:14:28.70]  Mi padre había sido menos
[1:14:28.70]-[1:14:30.70]  Por la novia
[1:14:30.70]-[1:14:32.70]  Porque mi padre me dio la decisión de correo
[1:14:32.70]-[1:14:36.70]  Pero tu amigo llegaron dos que se examinaron con él director
[1:14:36.70]-[1:14:38.70]  Pero mi padre pues no hizo del lado de la novia
[1:14:38.70]-[1:14:40.70]  Pues se metió a tejido
