[0:00:00.00]-[0:00:02.00]  ¿Dónde estudiáis vosotras?
[1:03:42.00]-[1:03:46.00]  les dice a uno de los músicos que estoy diciendo que eran tan graciosos,
[1:03:46.00]-[1:03:49.00]  le dice, oiga, ¿por qué no tocamos Moliendo el café?
[1:03:49.00]-[1:03:53.00]  Y tal como le dice, ¿por qué no tocamos Moliendo el café?
[1:03:53.00]-[1:03:56.00]  Le dice, pues mira, estoy muy sencillo, porque si nos ha roto el molinillo.
[1:03:56.00]-[1:03:59.00]  No lo sabían, ni siquiera sabían.
[1:03:59.00]-[1:04:03.00]  Lo habían ensalado porque los pobreros, los que sabían y lo están,
[1:04:03.00]-[1:04:07.00]  y a aquel chico, bueno, sí, muy bien, oiga, ¿por qué no tocamos ustedes Moliendo el café?
[1:04:07.00]-[1:04:10.00]  Y yo, bueno, muy sencillo, pero usted, ¿por qué no nos ha roto el molinillo?
[1:04:10.00]-[1:04:14.00]  Mira, está que estábamos allí todos, cómo nos reíamos con ellos, qué rísta.
[1:04:14.00]-[1:04:17.00]  Y todos los juzgaban luego, les decían cosas para que dijeran,
[1:04:17.00]-[1:04:19.00]  que eran muy graciosos.
[1:04:19.00]-[1:04:23.00]  Y bueno, esa era nuestra fiesta, y a mí, nuestra fiesta.
[1:04:23.00]-[1:04:25.00]  ¿Usted se acuerda de esa canción?
[1:04:25.00]-[1:04:28.00]  ¿De Moliendo el café? Bueno, veré, cómo no, pero que pues que...
[1:04:28.00]-[1:04:29.00]  ¿Canté en Holanda?
[1:04:29.00]-[1:04:32.00]  No, ¿cómo te lo voy a cantar si yo no tendré ni eso?
[1:04:32.00]-[1:04:36.00]  Pero que sé, cuando le decía, dice, Moliendo el café.
[1:04:36.00]-[1:04:40.00]  Es que no me sale a mí ni me acuerdo de la letra,
[1:04:40.00]-[1:04:44.00]  pero era así, Moliendo el café.
[1:04:44.00]-[1:04:47.00]  Y era, entonces digo, muy graciosa, que entonces tenía mucho ritmo,
[1:04:47.00]-[1:04:50.00]  y claro, a los veneres les gustaba, ¿no?
[1:04:50.00]-[1:04:54.00]  Pero aquí no lo tocaban, porque ellos tocaban lo que sabían.
[1:04:54.00]-[1:04:57.00]  Entonces digo, tres músicos de los pobres de pueblo, pero bueno, lo que sabían.
[1:04:57.00]-[1:04:59.00]  Y claro, como no lo sabían esa canción,
[1:04:59.00]-[1:05:01.00]  decíle, pues mire usted, porque no lo sabemos,
[1:05:01.00]-[1:05:04.00]  pues me dice, ah, pues muy sencillo, como se ha roto el molinillo,
[1:05:04.00]-[1:05:08.00]  y con la risa, pues se quedó por tocar Moliendo el café.
[1:05:08.00]-[1:05:10.00]  Así que bueno, esas cosas así.
[1:05:10.00]-[1:05:12.00]  ¿Y qué instrumentos tocaban?
[1:05:12.00]-[1:05:14.00]  Ah, yo no entiendo de esas cosas.
[1:05:14.00]-[1:05:19.00]  Uno era de esos, es que tienen la... no sé, ¿se llama un trombón?
[1:05:19.00]-[1:05:21.00]  ¿Se llama eso que tiene la boca así?
[1:05:21.00]-[1:05:26.00]  Hombre, aquí finito y luego aquí esto tan gordo, ¿no?
[1:05:26.00]-[1:05:31.00]  Y luego me parece de sasofón, pueden ser, uno que son así parecido al flauta, así finito,
[1:05:31.00]-[1:05:33.00]  pueden ser también.
[1:05:33.00]-[1:05:39.00]  Y luego los estos, un esto muy grande que tenían también,
[1:05:39.00]-[1:05:43.00]  digamos un tambó, no sé cómo se llamará eso, un tambó grande así también,
[1:05:43.00]-[1:05:46.00]  y los platillos, y yo no sé si era una cocina más,
[1:05:46.00]-[1:05:50.00]  estamos fuertes, ya movían de lo que había, pero vamos, poquitas cosas, eran dos o tres ellos,
[1:05:50.00]-[1:05:55.00]  eran tres hermanos y unos cuantos también, que eran hermanos ellos también,
[1:05:55.00]-[1:05:57.00]  que se juntaban, unas veces se juntaban todos,
[1:05:57.00]-[1:05:59.00]  y otras, y tocaban también en el medio de la plaza,
[1:05:59.00]-[1:06:05.00]  y una banda pobrecita, pero vamos, pero así como estilo de una banda, ¿sí?
[1:06:05.00]-[1:06:09.00]  Y cuando había toro, porque aquí tenemos plaza de toros también, allí en la ermita,
[1:06:09.00]-[1:06:12.00]  pues iban ellos a tocarles cuando había toro,
[1:06:12.00]-[1:06:16.00]  eso que tocan para salir los toros y esas cosas, ¿no?
[1:06:16.00]-[1:06:19.00]  Pero fíjate lo pobre lo que ganarían cuando se tuvieron que ir a Barcelona,
[1:06:19.00]-[1:06:23.00]  porque no tenían nada, así que las cosas entonces estaban tan malas,
[1:06:23.00]-[1:06:27.00]  que bueno, pero bueno, el tiempo que estuvieron aquí pues mira,
[1:06:27.00]-[1:06:31.00]  luego ya empezaron los tocadiscos y las cosas, ya los chicos se reunían, ¿no?
[1:06:31.00]-[1:06:35.00]  y empezaron los tocadiscos y eso, luego ya no, porque luego yo me casé,
[1:06:35.00]-[1:06:38.00]  luego se murieron mis padres, primero mi madre, luego mis padres, en fin,
[1:06:38.00]-[1:06:41.00]  que ya, yo luego ya no fui ya más a los bailes,
[1:06:41.00]-[1:06:43.00]  a mi marido no le gustaba el baile tampoco,
[1:06:43.00]-[1:06:45.00]  y yo luego ya no sé, pero vamos, que más,
[1:06:45.00]-[1:06:48.00]  normalmente ya cuando se fueron los músicos, eso, los tocadiscos, las cosas esas que había antes,
[1:06:48.00]-[1:06:51.00]  que se reunían donde fueran, como ahora mismo incluso,
[1:06:51.00]-[1:06:53.00]  porque ahora pastel Botellón ahora mismo no lo hacen donde quiera,
[1:06:53.00]-[1:06:57.00]  ahora mismo lo hacen en el castillo, que lo hacen, allí tienen detrás de la gasolinera,
[1:06:57.00]-[1:07:00.00]  que lo hacen, pues bueno, pues se reunían donde fueran,
[1:07:00.00]-[1:07:03.00]  entonces tocaban y bailaban eso a su manera y ya está, pero vamos,
[1:07:03.00]-[1:07:10.00]  eso ya no, eso ya no, no estuve, eso ya, yo ya me había recogido de la juventud,
[1:07:10.00]-[1:07:14.00]  porque yo ya me metí en casa con los lutos, entonces, porque entonces había muchos lutos,
[1:07:14.00]-[1:07:17.00]  muchas cosas y ya, un poco ya no, yo no vuelvo más a ir al baile,
[1:07:17.00]-[1:07:20.00]  a bailar, a bailar, no vuelvo más.
[1:07:20.00]-[1:07:23.00]  ¿Y eran los domingos por la tarde?
[1:07:23.00]-[1:07:27.00]  Los domingos por la tarde-noche, tarde-noche, porque aquí se trabajaba,
[1:07:27.00]-[1:07:30.00]  los del campo trabajaban ahí mismo los sábados y los domingos,
[1:07:30.00]-[1:07:33.00]  que todo, todo oscurecidito ya, tardecito por la tarde,
[1:07:33.00]-[1:07:36.00]  cuando ya venía y se lavaba y se preparaba y se vestía,
[1:07:36.00]-[1:07:42.00]  los pobres pues hasta que se iban al baile, así que más bien por la tarde-noche y hasta las 12,
[1:07:42.00]-[1:07:46.00]  luego la fiesta gorda de la de Virgen del Valle y eso,
[1:07:46.00]-[1:07:51.00]  por lo mejor hasta las 3 o 4 de la mañana, pero eso era la fiesta de,
[1:07:51.00]-[1:07:58.00]  digamos la fiesta grande del pueblo, pero normalmente las 12, las 12, las 12,
[1:07:58.00]-[1:08:05.00]  las 1, algunas veces y era una excepción de alguna fiesta de algo, pero no.
[1:08:05.00]-[1:08:08.00]  ¿Y había que pagar entrada para...?
[1:08:08.00]-[1:08:14.00]  Para bailar los hombres, las mujeres no, las mujeres tenían preferencias,
[1:08:14.00]-[1:08:16.00]  las mujeres no pagaban los hombres.
[1:08:16.00]-[1:08:17.00]  ¿Nunca?
[1:08:17.00]-[1:08:21.00]  En el baile no, en el baile no, en el cine sí, en el cine sí pagaban más,
[1:08:21.00]-[1:08:25.00]  teníamos cine también aquí, teníamos cine, sí, teníamos cine,
[1:08:25.00]-[1:08:31.00]  en el verano y en el invierno, sí, sí, sí que, luego ya se acabó todo,
[1:08:31.00]-[1:08:34.00]  luego el cine se acababa, porque ya te digo, la verdad que se dieron a ni la gente,
[1:08:34.00]-[1:08:37.00]  todo se quedó esto muy mal.
[1:08:37.00]-[1:08:39.00]  ¿Y en el baile se conocían los chicos?
[1:08:39.00]-[1:08:42.00]  Hombre, claro, y paseando, ¡ah!
[1:08:42.00]-[1:08:46.00]  Ahora cuando seguís, ahora cuando seguís, ya está arriba,
[1:08:46.00]-[1:08:52.00]  si veis lo de la cafetería cocido de la 3M, pues aquí digamos, ahí está la cafetería,
[1:08:52.00]-[1:08:55.00]  ahí justo cuando vais a subir para arriba la vais a ver desde el frente,
[1:08:55.00]-[1:08:58.00]  bueno por la calle, así para arriba, mano derecha, cuando vais para allá,
[1:08:58.00]-[1:09:03.00]  a mano derecha la calle que te va para arriba, para arriba, para abajo, para abajo, para arriba,
[1:09:03.00]-[1:09:07.00]  pero vamos a venirte a la calle, las amigas, los amigos, todos juntos,
[1:09:07.00]-[1:09:09.00]  no hicimos tonteras, pero hicimos tonteras, ya está,
[1:09:09.00]-[1:09:12.00]  porque cuando no teníamos dinero podíamos ver una copita, las de esas cosas,
[1:09:12.00]-[1:09:14.00]  además eso estaba muy mal visto entonces,
[1:09:14.00]-[1:09:16.00]  pues venga que está arriba y que está abajo,
[1:09:16.00]-[1:09:20.00]  cuando era el invierno, que tanto frío, pero donde íbamos, pues allí teníamos que estar,
[1:09:20.00]-[1:09:25.00]  y decíamos, ¡uy, las medinejas madre, cómo soplan hoy, cómo soplan hoy las medinejas!
[1:09:25.00]-[1:09:28.00]  Porque la carretera de Medina, ¿por dónde habéis venido vosotros?
[1:09:28.00]-[1:09:31.00]  La carretera, ¿de dónde venís vosotras ahora?
[1:09:31.00]-[1:09:34.00]  De Zafra, si venís de Zafra, pues esa carretera que traéis vosotros,
[1:09:34.00]-[1:09:38.00]  esa carretera que es la calle de Mallorca, habréis entrado por ahí,
[1:09:38.00]-[1:09:42.00]  para el centro aquí del pueblo, pues esa calle, por ahí, hasta esa calle,
[1:09:42.00]-[1:09:45.00]  y vamos a pasear, vamos en la otra que os he dicho de la cafetería,
[1:09:45.00]-[1:09:50.00]  la 3M para arriba, pero de ahí venía la carretera de Medina,
[1:09:50.00]-[1:09:52.00]  cuando hacía tanto frío, que venía el aire de ahí, pues decíamos,
[1:09:52.00]-[1:09:57.00]  ¡anda, que las medinejas, uy, cómo soplan hoy las medinejas!
[1:09:57.00]-[1:10:00.00]  Pero con frío y todo, y decíamos, hasta que llegaba la hora de venir,
[1:10:00.00]-[1:10:04.00]  porque si nos decían hasta la hora aquí, pues teníamos que estar hasta la hora aquí,
[1:10:04.00]-[1:10:10.00]  porque si era nuestra juventud, y luego los carnavales, entrojábamos, entrojábamos,
[1:10:10.00]-[1:10:13.00]  a ver, tu diga, ¿y esa palabra qué es?
[1:10:13.00]-[1:10:17.00]  Yo no se me ocurrió buscarla en el diccionario, pero yo creo que se la habrá.
[1:10:17.00]-[1:10:21.00]  Entrojábamos, tú me dices a mí qué es eso.
[1:10:21.00]-[1:10:24.00]  Pues mira, todo lo que teníamos antes, como teníamos que ir a la Fuente por Agua,
[1:10:24.00]-[1:10:26.00]  ¡ay, que os tengo aquí todo el día, eh!, ¡no, por Dios!, ¡ay, ay, ay!
[1:10:26.00]-[1:10:29.00]  ¿Es lo que tengo que hacer? ¡que me lo paséis!
[1:10:29.00]-[1:10:33.00]  Mira, cuando se rompió un cántar, teníamos que ir a la Fuente por Agua,
[1:10:33.00]-[1:10:37.00]  y nos ayudamos con los cántaros de tiesto, unos cántaros que había grandes,
[1:10:37.00]-[1:10:40.00]  unos más grandes o más chicos, según la fuerza que tuvieras, así, tiraba de los más grandes
[1:10:40.00]-[1:10:45.00]  a los más chicos, pues a lo mejor se le abría un agujero, y ahí, pues no lo tiramos,
[1:10:45.00]-[1:10:49.00]  para el carnaval, para el carnaval, pues guardábamos arriba en el doblado, para el carnaval.
[1:10:49.00]-[1:10:53.00]  Y luego, en el carnaval, el día del carnaval, pues como entonces no se podían vestir
[1:10:53.00]-[1:10:57.00]  la gente de máscara, porque era la cosa de la guerra y eso, y entonces teníamos prohibido
[1:10:57.00]-[1:11:02.00]  vestirse, como se podían poner cualquier cosa, pero sin tapacarán ni nada de esas cosas.
[1:11:02.00]-[1:11:07.00]  Y nos llevábamos el tiempo en la calle, estrojando, como he dicho antes, entrojando, entrojando.
[1:11:07.00]-[1:11:09.00]  ¡Mira tú qué palabra! ¡Mira qué palabra!
[1:11:09.00]-[1:11:13.00]  Nos juntábamos una cantidad de chicas, ¿no?, en el medio de la calle.
[1:11:13.00]-[1:11:17.00]  Ahí mismo, por ejemplo, que eso era tan grande ahí, ahora ya es menos grande porque la Fuente
[1:11:17.00]-[1:11:20.00]  no la han puesto ahora en el medio, la Fuente estaba antes más para aquel lado
[1:11:20.00]-[1:11:23.00]  y había más terreno para aquí, pero bueno, pues ahí nos poníamos.
[1:11:23.00]-[1:11:27.00]  Todo un corro, como estamos aquí ahora mismo los cinco que estamos, ¿no?, dos, tres, cuatro, cinco, seis,
[1:11:27.00]-[1:11:30.00]  bueno, para el bote estábamos doce o catorce, ¿no? digamos.
[1:11:30.00]-[1:11:35.00]  Y entonces ese cántaro que estaba roto nos lo teníamos que ir tirando una a otra, una a otra.
[1:11:35.00]-[1:11:39.00]  Pero claro que no se rompía el auto, porque como no se rompía el auto entonces ya se acababa el juego,
[1:11:39.00]-[1:11:40.00]  hasta que se rompía.
[1:11:40.00]-[1:11:44.00]  Porque claro, nada más que se te escapara uno que se le escapara, pues ya se rompía, ya se acababa el juego.
[1:11:44.00]-[1:11:45.00]  ¡Ah, papá! ¡Papá! ¡Fernita!
[1:11:45.00]-[1:11:48.00]  Pues ve tú a ver si tienes... ¡Ay sí! ¡Por mi abuela tenía, por mi madre!
[1:11:48.00]-[1:11:54.00]  Y a carrear, a carrear cacharros, pues, rotos, para jugar a entro, ¿eh? ¿Qué te parece?
[1:11:54.00]-[1:11:57.00]  Y así, así pasábamos la tarde, ¿qué te parece?
[1:11:57.00]-[1:12:01.00]  Las mocitas, ¡las mocitas! Y mira con qué poquita cosa nos divertíamos.
[1:12:02.00]-[1:12:03.00]  ¿Eso eran carnavales?
[1:12:03.00]-[1:12:06.00]  Eso eran los carnavales, los carnavales.
[1:12:06.00]-[1:12:07.00]  ¿Cómo era el carnaval?
[1:12:07.00]-[1:12:13.00]  Pues el carnaval antes aquí, eso que os digo, como yo, de lo que yo me acuerdo es cuando había pasado la guerra y eso,
[1:12:13.00]-[1:12:15.00]  y entonces estaba prohibido todas esas cosas y...
[1:12:15.00]-[1:12:21.00]  Pues no, yo y el carnaval antiguo, antiguo, que me contaba misma yo, y era muy bonito, según dicen, muy bonito.
[1:12:21.00]-[1:12:23.00]  Pero claro, luego ya no.
[1:12:23.00]-[1:12:30.00]  Ya yo de mi juventud, ahora ya, tú otra vez sí, ahora ya otra vez hace unos añitos que está, se celebra mucho aquí el carnaval.
[1:12:30.00]-[1:12:36.00]  En una nave que hay municipal, allí para el lado del cementerio, más allá arriba, allí traen una orquesta también,
[1:12:36.00]-[1:12:44.00]  y dan bailes y luego se presentan a concurso las comparsas y las...
[1:12:44.00]-[1:12:47.00]  Vamos, poquita gente, porque el pueblo no es de mucha gente, pero las poquitas que hay,
[1:12:47.00]-[1:12:57.00]  una de niños, otra de los niños del colegio, se visten todos, cada aula, digamos, de los niños, va de una forma vestida, ¿no?
[1:12:57.00]-[1:13:02.00]  Va el maestro, la maestra, van vestidos igual que los niños, y la mamá que lo acompañen también se visten igual,
[1:13:02.00]-[1:13:08.00]  ya tengo un pasacalle, y ahora sí, ahora sí, esto es muy bonito, ahora sí, se celebran aquí mucho ahora los carnavales,
[1:13:08.00]-[1:13:14.00]  pero vamos, yo de mi juventud no, mi juventud los carnavales, entonces ya no, porque estaban prohibidos, no se...
[1:13:14.00]-[1:13:19.00]  se ponían a lo mejor cualquier cosa, por llamar un poquillo la atención, pero nada, nada más porque se querían vestir, ¿no?,
[1:13:19.00]-[1:13:22.00]  y si te presentaban cualquiera, y... ¡ay, ay, ay!
[1:13:22.00]-[1:13:25.00]  ¡Ay, bueno! ¡Mira qué cojínas las fulanitas, las que fueran, no!
[1:13:25.00]-[1:13:30.00]  ¿Pues no estamos en los carnavales? Pues venga, pa' que me veas, a ver qué te parece, pa' ver, algunas tonterías de esas así, ¿no?,
[1:13:30.00]-[1:13:33.00]  entre los vecinos, pero vamos, no fiesta a fiesta.
[1:13:33.00]-[1:13:39.00]  En mi juventud, digamos, yo luego, me contaron de antiguamente sí, antes de la guerra se celebraba mucho,
[1:13:39.00]-[1:13:46.00]  y ahora yo te digo, se está celebrando bastante, sí, los niños muy sanados todos, vestidos, y muy bien.
[1:13:46.00]-[1:13:49.00]  ¿Y cuéntanos más cómo se conocían antes el chico y la chica?
[1:13:49.00]-[1:13:54.00]  Pues eso, en el baile, en el baile o en el paseo, en el paseo se que os digo,
[1:13:54.00]-[1:13:59.00]  pues un chico hermoso te empezaba a acercar, ¿no?, y... ¡hola, buenas noches! ¿Qué tal los otros? ¿Qué es lo que hay?
[1:13:59.00]-[1:14:04.00]  ¿Y qué estoy haciendo? Pues paseando, pues pensando un rato, y ya charlando, charlando, pues se iba, pues se iba,
[1:14:04.00]-[1:14:09.00]  y ya venía una vez, y venía otra vez, y venía otra vez, y... ¡uh, madre de este, uh!
[1:14:09.00]-[1:14:12.00]  ¡Uhh, este quiere algo, este... no entiendo!
[1:14:12.00]-[1:14:18.00]  ¿Sí? Y así, si te gustaba, pues bueno, pues lo dejaba que se te viniera contigo, y te paseaba, lo que fuera,
[1:14:18.00]-[1:14:24.00]  pero si no te hacía mucha gracia, pues cuando lo veías que venía como queriendo... ¡no!
[1:14:24.00]-[1:14:30.00]  Yo tenía un primo hermano mío, entonces aquí había telégrafos,
[1:14:30.00]-[1:14:37.00]  y él era el que llevaba las cosas del telégrafo, y tenía donde vivían, tenía dos puertas, como me pasa la vida,
[1:14:37.00]-[1:14:42.00]  mi casa está aquí, y otra, así por la otra calle, pues era no tanto, no tan larga, pero bueno,
[1:14:42.00]-[1:14:48.00]  tenían dos puertas, una por una calle, y otra por otra, y entonces nos queríamos que venía el que fuera,
[1:14:48.00]-[1:14:51.00]  que no nos gustaba, la que fuera, de nosotros, de las amigas, nos metíamos, y donde mi primo,
[1:14:51.00]-[1:14:57.00]  y claro, como luego nos subimos por la otra puerta, pues ya, se nos despistábamos, nos despistábamos,
[1:14:57.00]-[1:15:03.00]  y así, esa cosa, que lácteis, que tiempo.
[1:15:03.00]-[1:15:06.00]  ¿Y las chicas se podían quedar antes con los chicos?
[1:15:06.00]-[1:15:17.00]  No, no, no, no, no, mira, te voy a contar, te voy a contar, tengo que suspirar, tengo un año,
[1:15:17.00]-[1:15:22.00]  tengo que suspirar porque es de verdad, es verdad, mira, un año, solamente un año,
[1:15:22.00]-[1:15:29.00]  desde que yo me eché mi novio, vivió mi madre, un año, y mientras mi madre vivió, ellos se sentaban aquí,
[1:15:29.00]-[1:15:35.00]  aquí, cuidado, que no era esto ni mucho menos, ahí era la candela, madre mía, ahí una cantarera con cántaros,
[1:15:35.00]-[1:15:43.00]  de tal agua, bueno, esto está sentidito, pero entonces, que esto era, bueno, pues aquel pasito,
[1:15:43.00]-[1:15:49.00]  aquel pasito, me puso mi madre mía una camisita allí, y entonces para que hablara yo con mi novio,
[1:15:49.00]-[1:15:54.00]  no tuviera que estar por las calles, porque por las calles no, entonces le dieron la entrada allá,
[1:15:54.00]-[1:15:59.00]  cuando parecieron que la cosa iba a formar, y entonces nos sentábamos nosotros allí, ellos aquí,
[1:15:59.00]-[1:16:03.00]  que tampoco estábamos, ellos nos estaban viendo desde aquí, que tampoco pedíamos nada, nada,
[1:16:03.00]-[1:16:07.00]  pero bueno, pero estábamos allí, pero es que al morirse mi madre, pobrecita,
[1:16:07.00]-[1:16:12.00]  que me duró, ya te digo, un año de noviajo, hasta tres años más que tuve de novio,
[1:16:12.00]-[1:16:22.00]  yo mi sitio era aquel, el de mi novio cuando llegaba ahí, mi padre aquí, mi hermana aquí,
[1:16:22.00]-[1:16:27.00]  una señora esa semana, le decíamos, señora, la pobrecita ya estaba muerta hace muchos años,
[1:16:27.00]-[1:16:31.00]  se venía todas las noches, todas las noches, la noche venía aquí con nosotros, ahí,
[1:16:31.00]-[1:16:38.00]  y mi madrina, no me acuerdo, si mi madrina y el señor de aquí, la cosa es que estaban esas dos, señora,
[1:16:38.00]-[1:16:45.00]  por la noche se me ha caído, nena, se me ha caído, esas dos señoras ahí con nosotros,
[1:16:45.00]-[1:16:50.00]  yo me ponía con mis labores, de mi ajuaje, mis cosas, yo hacía el croceo, hacía lo que tuve haciendo,
[1:16:50.00]-[1:16:55.00]  mis labores, mis cosas, y ya está, y mi novio, si se hablaba de algo se hablaba,
[1:16:55.00]-[1:16:59.00]  y si no, hasta mañana, hasta mañana, si yo quiero, hasta mañana, hasta mañana, y ya está,
[1:16:59.00]-[1:17:02.00]  y buenas noches, hasta mañana, y yo no me iba a levantar a despedirle a la puerta,
[1:17:02.00]-[1:17:06.00]  que mi padre estaba aquí todo el mundo, así que imagínate, venía el pobre del campo,
[1:17:06.00]-[1:17:11.00]  si estuviera aquí me lo tendría que estar diciendo, lo que no pasó, lo que no pasó,
[1:17:11.00]-[1:17:16.00]  y eso es lo que había, eso es lo que había, y con el luto no se podía salir, por ahí,
[1:17:16.00]-[1:17:22.00]  con el luto de mi madre no se podía salir tampoco, así que imagínate tú, qué juventud,
[1:17:22.00]-[1:17:27.00]  pero bueno, entonces era lo que había, y ahora es lo que hay, y ya está, qué más hay.
[1:17:27.00]-[1:17:29.00]  ¿Y cuándo entraba el chico a casa?
[1:17:29.00]-[1:17:32.00]  El chico, ya te digo, cuando estaba en vellas que a lo mejor llevaba un tiempo,
[1:17:32.00]-[1:17:36.00]  pues sí, pues mira, pues parece que sí, pues parece que me gusta,
[1:17:36.00]-[1:17:40.00]  pues parece que, y mi madre siempre el consejo que nos daba, ¿no?,
[1:17:40.00]-[1:17:43.00]  que ella nunca se quería meter, y es verdad, con mis hermanos, ni con nadie,
[1:17:43.00]-[1:17:47.00]  nunca se le metió, ni ella ni mi padre, cuidado, nada más que yo,
[1:17:47.00]-[1:17:52.00]  sí es un buen chico, y es educado, es trabajador, es más o menos como nosotros,
[1:17:52.00]-[1:17:55.00]  que no queremos ni con dinero, ni sin dinero, ni nada más que lo que sea,
[1:17:55.00]-[1:18:00.00]  buena persona, y trabajador y ya está, y si a ti te gusta, porque si no te gusta,
[1:18:00.00]-[1:18:05.00]  no tienes por qué aguantarlo ni consentirlo, mi madre decía siempre eso,
[1:18:05.00]-[1:18:08.00]  ni consentirlo, una persona se debe consentir si no lo quiere,
[1:18:08.00]-[1:18:12.00]  pues así, así, así, y cuando ya viene que la cosa iba a formar,
[1:18:12.00]-[1:18:16.00]  pues entonces ya, pues dile que esta noche pase,
[1:18:16.00]-[1:18:19.00]  dice mi madre, dile que pase ya esta noche,
[1:18:19.00]-[1:18:22.00]  y ya ve que pase, ya ha pasado, y ya está,
[1:18:22.00]-[1:18:26.00]  pues ya viene toda la noche, no se puede, bueno, mañana, ya está.
[1:18:26.00]-[1:18:28.00]  ¿Y las mujeres iban a casa del novio?
[1:18:28.00]-[1:18:31.00]  Las mujeres a casa del novio, madre mía, se puso mal una vez mi novio,
[1:18:31.00]-[1:18:33.00]  ¡ay madre querida!
[1:18:33.00]-[1:18:35.00]  Y yo dije, ay yo no, por Dios, ay yo no, yo lo siento,
[1:18:35.00]-[1:18:37.00]  porque tenían casa también aquí en el pueblo,
[1:18:37.00]-[1:18:39.00]  ellos vivían en el campo, pero tenían casa aquí en el pueblo,
[1:18:39.00]-[1:18:43.00]  pero vamos, a lo mejor con, no sé, si era una gripe, si era poca cosa,
[1:18:43.00]-[1:18:45.00]  gracias a Dios está siempre un gusanito,
[1:18:45.00]-[1:18:48.00]  y dice mi hermana, bueno pues yo voy contigo,
[1:18:48.00]-[1:18:51.00]  porque a lo mejor los padres están en el campo, y nada más que te va la hermana,
[1:18:51.00]-[1:18:53.00]  y digo, porque por qué tú delante,
[1:18:53.00]-[1:18:55.00]  y si está su hermana, entonces vamos,
[1:18:55.00]-[1:18:58.00]  pero si está su madre o su padre, no vamos,
[1:18:58.00]-[1:19:00.00]  si está su madre o su padre, no vamos,
[1:19:00.00]-[1:19:04.00]  por lo menos no voy, total que fue mi hermana delante,
[1:19:04.00]-[1:19:07.00]  y estaba su madre, y la hermana mayor,
[1:19:07.00]-[1:19:10.00]  viene y dice, pues está su madre y la hermana mayor,
[1:19:10.00]-[1:19:12.00]  y digo, entonces no voy,
[1:19:12.00]-[1:19:14.00]  y dice, ¿cómo no vas a ir?
[1:19:14.00]-[1:19:17.00]  Si yo ya le he dicho que tú ya venías, que venías que íbamos ahí a verlo,
[1:19:17.00]-[1:19:20.00]  que yo ya le he dicho, que tú estabas ahí también, que íbamos,
[1:19:20.00]-[1:19:22.00]  y ya mi hermana me empujó,
[1:19:22.00]-[1:19:25.00]  y ya fuimos, bueno mucha vergüenza,
[1:19:25.00]-[1:19:27.00]  nada más que preguntarle cómo estaba y cómo no,
[1:19:27.00]-[1:19:29.00]  y nos vimos y nos vinimos para atrás, y ya está.
[1:19:29.00]-[1:19:31.00]  Así que tiene querida.
[1:19:31.00]-[1:19:34.00]  ¿Y la novia de sus hermanos, si que venían aquí?
[1:19:34.00]-[1:19:37.00]  No, tampoco, no, no, ni hablar.
[1:19:37.00]-[1:19:42.00]  Y luego, espérate, que cuando llevaban mis hermanos a las novias a su casa,
[1:19:42.00]-[1:19:45.00]  el mayor no, porque tenía una hermana a ella,
[1:19:45.00]-[1:19:47.00]  y entonces iban a acompañar, iban las dos hermanas,
[1:19:47.00]-[1:19:49.00]  con las dos parejas, las dos novios,
[1:19:49.00]-[1:19:52.00]  pero esta otra, que era ella sola,
[1:19:52.00]-[1:19:55.00]  la que se iba con mi hermano ya, del baile,
[1:19:55.00]-[1:19:57.00]  de a lo mejor las fiestas que estoy contando de él,
[1:19:57.00]-[1:20:00.00]  de que ya estaban las camas tarde por ahí,
[1:20:00.00]-[1:20:04.00]  pues me tenía yo que ir con ella para que su madre viera que no iban solos.
[1:20:04.00]-[1:20:07.00]  Su madre quería que yo iba por delante con ella.
[1:20:07.00]-[1:20:09.00]  Si no, madre mía.
[1:20:09.00]-[1:20:12.00]  Así que yo hacía de lafarizo.
[1:20:12.00]-[1:20:15.00]  Dejad usted, es decir, mi padre,
[1:20:15.00]-[1:20:18.00]  mi hermana, mi padre, dejad usted con nosotros,
[1:20:18.00]-[1:20:21.00]  dejad usted con nosotros, que cuando nos vayamos nosotros nos la llevamos.
[1:20:21.00]-[1:20:23.00]  O sea, llevad hasta otro ratito aquí con nosotros.
[1:20:23.00]-[1:20:25.00]  Y como ya mi padre sabía por lo que era,
[1:20:25.00]-[1:20:28.00]  pues ya, me dejaba allí un ratito ya con ellos ya,
[1:20:28.00]-[1:20:30.00]  y entonces ya cuando se iban a venir, para que todos venían con ellos,
[1:20:30.00]-[1:20:32.00]  y me echaban a mí siempre por delante,
[1:20:32.00]-[1:20:35.00]  porque la madre de mi cuñada, diara que todo estaba allí con ellos.
[1:20:35.00]-[1:20:37.00]  Se quedaba la mujer tan tranquila.
[1:20:37.00]-[1:20:39.00]  Y así eran las cosas de antes, mía.
[1:20:39.00]-[1:20:41.00]  Y fíjate si pasaban cosas,
[1:20:41.00]-[1:20:43.00]  porque ya la habréis oído en todas las historias,
[1:20:43.00]-[1:20:46.00]  que fíjate si pasaban cosas, y mira si tenían niños antes de tiempo,
[1:20:46.00]-[1:20:49.00]  y mira si se tenían que casar, porque hacían lo que no podían,
[1:20:49.00]-[1:20:53.00]  y no lo daban a fe, pero pasaba de todo, ¿no?
