[0:00:00.00]-[0:00:02.00]  Diganme tus nombres.
[1:00:21.00]-[1:00:23.00]  En todas esas casas que se mataba al cerdo
[1:00:23.00]-[1:00:25.00]  Pues iban los...
[1:00:25.00]-[1:00:27.00]  Primero se los llevaban
[1:00:27.00]-[1:00:29.00]  Y ahora nos llevaban todos tortetas
[1:00:29.00]-[1:00:31.00]  Y muertos
[1:00:31.00]-[1:00:33.00]  Y después por la noche nos reunían
[1:00:33.00]-[1:00:35.00]  Todos en cada casa
[1:00:35.00]-[1:00:37.00]  En las 4 casas que nos reuníamos todos en una casa
[1:00:37.00]-[1:00:39.00]  Y allá asabanos tortetas a la brasa
[1:00:39.00]-[1:00:41.00]  Y después pa' postre
[1:00:41.00]-[1:00:43.00]  Uva
[1:00:43.00]-[1:00:45.00]  Se criaba allí, uva y agua con azúcar
[1:00:45.00]-[1:00:47.00]  ¿Y los cerdos?
[1:00:47.00]-[1:00:49.00]  ¿Los criaban allí?
[1:00:49.00]-[1:00:51.00]  Los cerdos los criaban allí también
[1:00:51.00]-[1:00:53.00]  ¿De Martín?
[1:00:53.00]-[1:00:55.00]  ¿Los cerdos los criaban en casa?
[1:00:55.00]-[1:00:57.00]  Sí, pues unos corraletes pequeños
[1:00:57.00]-[1:00:59.00]  Que había que limpiarlos
[1:00:59.00]-[1:01:01.00]  Y había que echarles masa
[1:01:01.00]-[1:01:03.00]  Que se limpían
[1:01:03.00]-[1:01:05.00]  Yo he escuchado
[1:01:05.00]-[1:01:07.00]  Que antiguamente los baños estaban fuera de las casas
[1:01:07.00]-[1:01:09.00]  Y eso sí había
[1:01:09.00]-[1:01:11.00]  Tampoco había
[1:01:11.00]-[1:01:13.00]  No había baño
[1:01:13.00]-[1:01:15.00]  Al campo
[1:01:15.00]-[1:01:17.00]  Y si no al corral
[1:01:17.00]-[1:01:19.00]  Y si no al corral
[1:01:19.00]-[1:01:21.00]  Y si no al corral
[1:01:21.00]-[1:01:23.00]  Yo me sé que en el agua
[1:01:23.00]-[1:01:25.00]  No había un grifo
[1:01:25.00]-[1:01:27.00]  Bueno pobreta
[1:01:27.00]-[1:01:29.00]  Pues era terrible, si toda la teníamos que llevar a calderetas
[1:01:29.00]-[1:01:31.00]  Cada vez teníamos que llevar a calderetas
[1:01:31.00]-[1:01:33.00]  Cada mañana
[1:01:33.00]-[1:01:35.00]  A llenar allí viajes y viajes de agua
[1:01:35.00]-[1:01:37.00]  Para todo
[1:01:37.00]-[1:01:39.00]  Claro, la paliza la tenía muy lejos
[1:01:39.00]-[1:01:41.00]  Pues entonces
[1:01:41.00]-[1:01:43.00]  La tenía
[1:01:43.00]-[1:01:45.00]  Casi un cuarto de hora
[1:01:45.00]-[1:01:47.00]  Casi un cuarto de hora
[1:01:47.00]-[1:01:49.00]  De subir y bajar
[1:01:49.00]-[1:01:51.00]  Hacía buena pasion
[1:01:51.00]-[1:01:53.00]  Casi se conservan ahora
[1:01:53.00]-[1:01:55.00]  Cuando estemos nosotros fuera
[1:01:55.00]-[1:01:57.00]  Pues no lo podremos mover
[1:01:59.00]-[1:02:01.00]  Ahora si tenemos todo
[1:02:01.00]-[1:02:03.00]  Para lavar la ropa y todo
[1:02:03.00]-[1:02:05.00]  Todo nada
[1:02:05.00]-[1:02:07.00]  No teníamos que salir de casa, había unos lavaderos
[1:02:07.00]-[1:02:09.00]  Si no al río
[1:02:09.00]-[1:02:11.00]  Al río a lavar
[1:02:11.00]-[1:02:13.00]  Bueno si, está cerca
[1:02:13.00]-[1:02:15.00]  Pero había que lavar a mano
[1:02:15.00]-[1:02:17.00]  Había que lavar a mano
[1:02:17.00]-[1:02:19.00]  Y planchar con planchas de carbón
[1:02:19.00]-[1:02:21.00]  Planchaba nosotros
[1:02:21.00]-[1:02:23.00]  Que tampoco teníamos luz
[1:02:23.00]-[1:02:25.00]  Tampoco teníamos luz
[1:02:25.00]-[1:02:27.00]  Como candilers de cálculo
[1:02:27.00]-[1:02:29.00]  Que se decían, pues con aquellos alumbrabanos por las noches
[1:02:29.00]-[1:02:31.00]  Y candilers de aceite
[1:02:31.00]-[1:02:33.00]  Y había algún día especial
[1:02:33.00]-[1:02:35.00]  Cuando se hablaba de planchar
[1:02:35.00]-[1:02:37.00]  Y todo eso
[1:02:37.00]-[1:02:39.00]  Bueno, pues nada
[1:02:39.00]-[1:02:41.00]  No lo veis
[1:02:41.00]-[1:02:43.00]  Por ejemplo en mi pueblo sí
[1:02:43.00]-[1:02:45.00]  Porque las mujeres se reunían
[1:02:45.00]-[1:02:47.00]  En el río y cantaban
[1:02:47.00]-[1:02:49.00]  Y ahí pues eso
[1:02:49.00]-[1:02:51.00]  Si que nos reunían
[1:02:51.00]-[1:02:53.00]  A veces estaba en el lavadero
[1:02:53.00]-[1:02:55.00]  Y ahí nos reunían a nosotros
[1:02:55.00]-[1:02:57.00]  Cuatro, cinco mujeres
[1:02:57.00]-[1:02:59.00]  Si iban mujeres y los hombres iban a trabajar
[1:02:59.00]-[1:03:01.00]  Sí, sí
[1:03:01.00]-[1:03:03.00]  Los hombres iban a trabajar al campo
[1:03:03.00]-[1:03:05.00]  Las mujeres de Chachará a lavar
[1:03:05.00]-[1:03:07.00]  A lavar
[1:03:07.00]-[1:03:09.00]  Eso no ha cambiado
[1:03:09.00]-[1:03:11.00]  Eso no ha cambiado
[1:03:11.00]-[1:03:13.00]  Pero bueno, ahora vivimos mejor
[1:03:13.00]-[1:03:15.00]  Hemos trabajado mucho, pero ahora vivimos mejor
[1:03:15.00]-[1:03:17.00]  Ahora tenemos de tasco madrigal
[1:03:17.00]-[1:03:19.00]  Tenemos agua caliente
[1:03:19.00]-[1:03:21.00]  Agua fría
[1:03:21.00]-[1:03:23.00]  Agua caliente en el baño
[1:03:23.00]-[1:03:25.00]  Agua fría en la cocina
[1:03:25.00]-[1:03:27.00]  Y por todo
[1:03:27.00]-[1:03:29.00]  Y buena calefacción
[1:03:29.00]-[1:03:31.00]  Eso, eso es importante
[1:03:31.00]-[1:03:33.00]  Y ahora lo tenemos todo
[1:03:33.00]-[1:03:35.00]  En un hogar sin suelo
[1:03:35.00]-[1:03:37.00]  Con leña, abocaos
[1:03:37.00]-[1:03:39.00]  Tenías que cocinar
[1:03:39.00]-[1:03:41.00]  Abocaos
[1:03:41.00]-[1:03:43.00]  ¿Y cocina algo diferente que hoy?
[1:03:43.00]-[1:03:45.00]  No sé, más o menos
[1:03:45.00]-[1:03:47.00]  ¿De dónde sacaban la comida?
[1:03:47.00]-[1:03:49.00]  De lo que criaban nosotros
[1:03:49.00]-[1:03:51.00]  En casa, del huerto
[1:03:51.00]-[1:03:53.00]  Y luego teníamos ganado
[1:03:53.00]-[1:03:55.00]  Teníamos conejos, teníamos pollos
[1:03:55.00]-[1:03:57.00]  Vinas, huevos
[1:03:57.00]-[1:03:59.00]  Pues eso te arreglabas con lo que tenías en casa
[1:03:59.00]-[1:04:01.00]  Entonces no había dinero para ir a comprar
[1:04:01.00]-[1:04:03.00]  Como ahora
[1:04:03.00]-[1:04:05.00]  Y tampoco había tanta cosa
[1:04:05.00]-[1:04:07.00]  Y tampoco había tantas cosas
[1:04:07.00]-[1:04:09.00]  Pero entonces tenías que arreglarte con lo que había en casa
[1:04:09.00]-[1:04:11.00]  Que no había pensiones, ni había nada
[1:04:11.00]-[1:04:13.00]  Y en casa había muy poquito dinero
[1:04:13.00]-[1:04:15.00]  Había muy poco dinero
[1:04:15.00]-[1:04:17.00]  Y no creas que luego...
[1:04:17.00]-[1:04:19.00]  Dice que era como ideas
[1:04:19.00]-[1:04:21.00]  Que había muy pocas personas
[1:04:21.00]-[1:04:23.00]  ¿Cómo se entraba de las noticias?
[1:04:23.00]-[1:04:25.00]  ¿Tenía radio?
[1:04:25.00]-[1:04:27.00]  Bueno, pues mira, cuando pasaba alguna cosa
[1:04:27.00]-[1:04:29.00]  Pues tenían que ir de una aldea a otra a avisar
[1:04:29.00]-[1:04:31.00]  Cuando fallecía alguna, pues iban por todo el pueblo
[1:04:31.00]-[1:04:33.00]  A avisar a una persona
[1:04:33.00]-[1:04:35.00]  Pues como que había fallecido
[1:04:35.00]-[1:04:37.00]  Y ahora la quedan en entierro
[1:04:37.00]-[1:04:39.00]  Y luego había arriba un...
[1:04:39.00]-[1:04:41.00]  Un barrio
[1:04:41.00]-[1:04:43.00]  Y ahí te reunías todos
[1:04:43.00]-[1:04:45.00]  Pero...
[1:04:45.00]-[1:04:47.00]  No había radio, no había teléfonos
[1:04:47.00]-[1:04:49.00]  Como nada
[1:04:49.00]-[1:04:51.00]  No había nada entonces, en aquellos tiempos
[1:04:51.00]-[1:04:53.00]  No, no, nada
[1:04:53.00]-[1:04:55.00]  Allí tenías que ir a una persona
[1:04:55.00]-[1:04:57.00]  A avisar a los pueblos
[1:04:57.00]-[1:04:59.00]  Había muchas casas
[1:04:59.00]-[1:05:01.00]  Estaba Luján, estaba Lecina
[1:05:01.00]-[1:05:03.00]  Estaba Susiás, estaba Plana
[1:05:03.00]-[1:05:05.00]  La Corona, Ministerio
[1:05:05.00]-[1:05:07.00]  El humo, la única aldea que existe
[1:05:07.00]-[1:05:09.00]  ¿Has oído la lumbra de las pategas de clave?
[1:05:09.00]-[1:05:11.00]  Sí
[1:05:11.00]-[1:05:13.00]  Pues esa es la aldea que...
[1:05:13.00]-[1:05:15.00]  Ah, pues creo que viendo para acá la hemos visto
[1:05:15.00]-[1:05:17.00]  El cartel, creo
[1:05:17.00]-[1:05:19.00]  Sí, seguro
[1:05:19.00]-[1:05:21.00]  Pues esa era la única aldea que existe
[1:05:21.00]-[1:05:23.00]  De todo el pueblo que estaba
[1:05:23.00]-[1:05:25.00]  Que había 30 casas y todas están...
[1:05:25.00]-[1:05:27.00]  Estas están espaldadas
[1:05:27.00]-[1:05:29.00]  Todo ha ido la gente
[1:05:29.00]-[1:05:31.00]  Pero se podía estar allí en aquellas condiciones
[1:05:31.00]-[1:05:33.00]  Sin luz y luego si había niños
[1:05:33.00]-[1:05:35.00]  Pues no había ya ni colegio ni nada
[1:05:35.00]-[1:05:37.00]  Porque ya quitaron la escuela
[1:05:37.00]-[1:05:39.00]  Porque cada vez había menos gente
[1:05:39.00]-[1:05:41.00]  Y ya quitaron la escuela
[1:05:41.00]-[1:05:43.00]  Y ahora había niños
[1:05:43.00]-[1:05:45.00]  Y la gente, pues todos nos...
[1:05:45.00]-[1:05:47.00]  Poco a poco todos nos fuimos
[1:05:47.00]-[1:05:49.00]  Yo tenía dos chicos y la uno
[1:05:49.00]-[1:05:51.00]  Pues nos fuimos que tenía año y medio
[1:05:51.00]-[1:05:53.00]  Pero la otra tenía cuatro años
[1:05:53.00]-[1:05:55.00]  Y ella tenía que ir al colegio
[1:05:55.00]-[1:05:57.00]  Y...
[1:05:57.00]-[1:05:59.00]  Pues están solteros
[1:05:59.00]-[1:06:01.00]  Nos han casado
[1:06:01.00]-[1:06:03.00]  Están esperando a la persona adecuada
[1:06:03.00]-[1:06:05.00]  La persona adecuada pero no se sabe
[1:06:05.00]-[1:06:07.00]  Donde estarán la persona adecuada
[1:06:07.00]-[1:06:09.00]  Y cómo fue
[1:06:09.00]-[1:06:11.00]  Porque, bueno, imagino que
[1:06:11.00]-[1:06:13.00]  Supongo que viviendo usted así
[1:06:13.00]-[1:06:15.00]  Bastante tiempo
[1:06:15.00]-[1:06:17.00]  Que una vez que llegó el primer coche
[1:06:17.00]-[1:06:19.00]  La primera televisora o la primera lavadora
[1:06:19.00]-[1:06:21.00]  Tuvo que ser un intacto, ¿no?
[1:06:21.00]-[1:06:23.00]  Hombre, pero mucho, pero esto ya...
[1:06:23.00]-[1:06:25.00]  Allí ya no lo vimos, pero
[1:06:25.00]-[1:06:27.00]  Vivimos aquí en un pueblo
[1:06:27.00]-[1:06:29.00]  Que estuvimos aquí 14 años
[1:06:29.00]-[1:06:31.00]  Aquí pero tampoco teníamos lavadora
[1:06:31.00]-[1:06:33.00]  Entonces vivimos aquí en un pueblo
[1:06:33.00]-[1:06:35.00]  14 años, pero aquí
[1:06:35.00]-[1:06:37.00]  Ya teníamos escuela, tenían escuela los hijos
[1:06:37.00]-[1:06:39.00]  Aquí en el barrio, aquí donde estamos ahora
[1:06:39.00]-[1:06:41.00]  Aquí había escuela
[1:06:41.00]-[1:06:43.00]  Y una maestra
[1:06:43.00]-[1:06:45.00]  Y luego pues ya estaba Insa, después ya empezaron a recogerlos
[1:06:45.00]-[1:06:47.00]  En autobuses y ya iban a Insa
[1:06:47.00]-[1:06:49.00]  Últimamente ya iban a Insa este día
[1:06:49.00]-[1:06:51.00]  Sí, pero y ahora pues siguen
[1:06:51.00]-[1:06:53.00]  Por todos los pueblos igual los llevan
[1:06:53.00]-[1:06:55.00]  En autobuses y todos están reconcentrados
[1:06:55.00]-[1:06:57.00]  En Insa, claro
[1:06:57.00]-[1:06:59.00]  Sí
[1:06:59.00]-[1:07:01.00]  Y ya si me vas preguntando
[1:07:01.00]-[1:07:03.00]  Ya...
[1:07:03.00]-[1:07:05.00]  ¿Usted tiene hijos?
[1:07:05.00]-[1:07:07.00]  Dos, 42 y 46
[1:07:07.00]-[1:07:09.00]  Bueno
[1:07:09.00]-[1:07:11.00]  Nos ha convencido que uno trabaja en el extranjero
[1:07:11.00]-[1:07:13.00]  Sí, realmente
[1:07:13.00]-[1:07:15.00]  Que una pregunta
[1:07:15.00]-[1:07:17.00]  Esto...
[1:07:17.00]-[1:07:19.00]  ¿Sus hijos
[1:07:19.00]-[1:07:21.00]  Viven en el pueblo?
[1:07:21.00]-[1:07:23.00]  No, no, sí, viven con nosotros
[1:07:23.00]-[1:07:25.00]  Vivimos aquí en Insa
[1:07:25.00]-[1:07:27.00]  Sí
[1:07:27.00]-[1:07:29.00]  ¿Habéis planteado Insa a una ciudad grande?
[1:07:29.00]-[1:07:31.00]  No
[1:07:31.00]-[1:07:33.00]  No, no, no, nos ha gustado
[1:07:33.00]-[1:07:35.00]  ¿Les gusta esto?
[1:07:35.00]-[1:07:37.00]  Nos ha recogido
[1:07:37.00]-[1:07:39.00]  Nos ha recogido, es más tranquilo
[1:07:39.00]-[1:07:41.00]  Sí, el pequeño trabaja en un bar
[1:07:41.00]-[1:07:43.00]  Ahí donde vivimos
[1:07:43.00]-[1:07:45.00]  Trabaja en el bar
[1:07:45.00]-[1:07:47.00]  Y el mayor pues no trabaja
[1:07:47.00]-[1:07:49.00]  Es que tuvo pasión, muchas depresiones
[1:07:49.00]-[1:07:51.00]  Y tiene una pensión y no trabaja
[1:07:51.00]-[1:07:53.00]  ¿Me trataste bien?
[1:07:53.00]-[1:07:55.00]  Pues eso es ante todo
[1:07:55.00]-[1:07:57.00]  ¿Y en el pueblo?
[1:07:57.00]-[1:07:59.00]  Sí
[1:07:59.00]-[1:08:01.00]  ¿Y hay envidias en los pueblos?
[1:08:01.00]-[1:08:03.00]  No
[1:08:03.00]-[1:08:05.00]  Se llevan todo el día
[1:08:05.00]-[1:08:07.00]  Sí, ahí todos nos llevamos bien
[1:08:07.00]-[1:08:09.00]  Tenemos muy buenos vecinos
[1:08:09.00]-[1:08:11.00]  Hay tres loquers de viviendas
[1:08:11.00]-[1:08:13.00]  Y nos llevamos todos muy bien
[1:08:13.00]-[1:08:15.00]  Nos habíamos con un hombre
[1:08:15.00]-[1:08:17.00]  Y le dije al hombre que hay envidias
[1:08:17.00]-[1:08:19.00]  Que a lo mejor uno se compraba un tractor
[1:08:19.00]-[1:08:21.00]  Y estaba ahí el otro
[1:08:21.00]-[1:08:23.00]  Y hasta se compraba un tractor
[1:08:23.00]-[1:08:25.00]  No, pues aquí no
[1:08:25.00]-[1:08:27.00]  Ahora no
[1:08:27.00]-[1:08:29.00]  Aquí no, aquí nos llevamos todos bien
[1:08:29.00]-[1:08:31.00]  Mejor, porque ya que eso es muy bueno
[1:08:31.00]-[1:08:33.00]  Sí, pues eso
[1:08:33.00]-[1:08:35.00]  Por lo menos tenemos todos muy buenos vecinos
[1:08:35.00]-[1:08:37.00]  Y nos llevamos todos muy bien
[1:08:37.00]-[1:08:39.00]  Pues mucho mejor
[1:08:39.00]-[1:08:41.00]  ¿Y ahora siguen criando?
[1:08:41.00]-[1:08:43.00]  Nada
[1:08:43.00]-[1:08:45.00]  Nada, nada
[1:08:45.00]-[1:08:47.00]  Una vez que estuvimos en ese pueblo
[1:08:47.00]-[1:08:49.00]  Que teníamos 14 años
[1:08:49.00]-[1:08:51.00]  Ya nos bajamos aquí a esa
[1:08:51.00]-[1:08:53.00]  Y ahora hemos tenido más animales
[1:08:53.00]-[1:08:55.00]  Yo he ido a trabajar 24 años
[1:08:55.00]-[1:08:57.00]  Y ahora ya estoy jubilada
[1:08:57.00]-[1:08:59.00]  ¿En qué trabajaba?
[1:08:59.00]-[1:09:01.00]  De asistente empleada de hogar
[1:09:01.00]-[1:09:03.00]  Y ahora ya tengo mi jubilación
[1:09:03.00]-[1:09:05.00]  A descansar
[1:09:05.00]-[1:09:07.00]  Ya, a descansar
[1:09:07.00]-[1:09:09.00]  Que he trabajado 24 años
[1:09:09.00]-[1:09:11.00]  Haciéndolo de casa y haciéndolo de fuera
[1:09:11.00]-[1:09:13.00]  Yo me levantaba
[1:09:13.00]-[1:09:15.00]  A las 6 y media de la mañana
[1:09:15.00]-[1:09:17.00]  Hasta las 12 de la noche
[1:09:17.00]-[1:09:19.00]  Así que ahora ya
[1:09:19.00]-[1:09:21.00]  ¿Y su marido en qué trabajaba?
[1:09:21.00]-[1:09:23.00]  Pues en la construcción
[1:09:23.00]-[1:09:25.00]  Trabajaba, trabajaban los dos
[1:09:25.00]-[1:09:27.00]  ¿Y un huerto?
[1:09:27.00]-[1:09:29.00]  Huerto ahora tampoco
[1:09:29.00]-[1:09:31.00]  Teníamos un huerto, pero ya
[1:09:31.00]-[1:09:33.00]  Ya le dolían mucho los riñones
[1:09:33.00]-[1:09:35.00]  Y ya lo dejé
[1:09:35.00]-[1:09:37.00]  Era mucho trabajo
[1:09:37.00]-[1:09:39.00]  Y ahora pues todo lo compramos
[1:09:39.00]-[1:09:41.00]  ¿Y como todo?
[1:09:41.00]-[1:09:43.00]  Todo, todo
[1:09:43.00]-[1:09:45.00]  ¿Y ahora se va por el tobago?
[1:09:45.00]-[1:09:47.00]  Es que a la gente joven no le gustan los huertos
[1:09:47.00]-[1:09:49.00]  Sí, a mí sí
[1:09:49.00]-[1:09:51.00]  Sí
[1:09:51.00]-[1:09:53.00]  Tiene que ser duro traerlo
[1:09:53.00]-[1:09:55.00]  Pues un poco, que con duro
[1:09:55.00]-[1:09:57.00]  Este estará ahí picando a boca oscura
[1:09:57.00]-[1:09:59.00]  Además tiene que estar pendiente de cuando
[1:09:59.00]-[1:10:01.00]  Cuando hay agua, cuando no hay agua
[1:10:01.00]-[1:10:03.00]  Y cuando hay calor
[1:10:03.00]-[1:10:05.00]  Y pues eso
[1:10:05.00]-[1:10:07.00]  Y ahí no, las plantas no saben de fiesta
[1:10:07.00]-[1:10:09.00]  Y de hoy el fiesta no te reflejo
[1:10:09.00]-[1:10:11.00]  Eso, eso
[1:10:11.00]-[1:10:13.00]  Pero además que ahora están viviendo
[1:10:13.00]-[1:10:15.00]  Hace muchísimo frío aquí, ¿no?
[1:10:15.00]-[1:10:17.00]  Sí, ya es un frío, sí
[1:10:17.00]-[1:10:19.00]  ¿Y algunas veces no quedan comunicados?
[1:10:19.00]-[1:10:21.00]  No, nunca
[1:10:21.00]-[1:10:23.00]  Nunca
[1:10:23.00]-[1:10:25.00]  Ahora lleva muy poco, el año pasado no nevamos
[1:10:25.00]-[1:10:27.00]  Y bueno, una se hacía
[1:10:27.00]-[1:10:29.00]  Claro, aquí no traía mucho tiempo
[1:10:29.00]-[1:10:31.00]  Hacían para calentárselo
[1:10:31.00]-[1:10:33.00]  Una horera, un...
[1:10:33.00]-[1:10:35.00]  Pues eso, una cocina que había ahí, y ahí podías echar mucha leña
[1:10:35.00]-[1:10:37.00]  Sí, ahí los juntaban todos, ¿no?
[1:10:37.00]-[1:10:39.00]  Sí, muchas veces sí
[1:10:39.00]-[1:10:41.00]  Y para dormir
[1:10:41.00]-[1:10:43.00]  ¿Ya estás a punto?
[1:10:43.00]-[1:10:45.00]  Sí
[1:10:45.00]-[1:10:47.00]  Pues eso que teníamos
[1:10:47.00]-[1:10:49.00]  Pues ya teníamos habitaciones
[1:10:49.00]-[1:10:51.00]  Para cada uno teníamos habitaciones
[1:10:51.00]-[1:10:53.00]  Para dormir, sí
[1:10:53.00]-[1:10:55.00]  Pero se habanas rechias de cañemo
[1:10:55.00]-[1:10:57.00]  De aquellos tiempos
[1:10:57.00]-[1:10:59.00]  Pero no hay sabanas como ahora
[1:10:59.00]-[1:11:01.00]  Sabanas rechias que las helaban en casa
[1:11:01.00]-[1:11:03.00]  Y las mandaban a tejer
[1:11:03.00]-[1:11:05.00]  Se hacían en casa
[1:11:05.00]-[1:11:07.00]  De cañemo
[1:11:07.00]-[1:11:09.00]  ¿Qué son?
[1:11:09.00]-[1:11:11.00]  Casi como estos rechiles
[1:11:11.00]-[1:11:13.00]  Sí
[1:11:13.00]-[1:11:15.00]  Sabanas y rechiles
[1:11:15.00]-[1:11:17.00]  De todo
[1:11:17.00]-[1:11:19.00]  De todo
[1:11:19.00]-[1:11:21.00]  Los caquellars daban frío, más que calor, daban frío
[1:11:21.00]-[1:11:23.00]  Yo algo
[1:11:23.00]-[1:11:25.00]  Yo vivía ahí en ese barrio
[1:11:25.00]-[1:11:27.00]  Y no me daba frío
[1:11:27.00]-[1:11:29.00]  Y yo también no me daba frío
[1:11:29.00]-[1:11:31.00]  Porque la noche nada más de frío
[1:11:31.00]-[1:11:33.00]  Le daban frío a todos los sabanos de cañemo
[1:11:33.00]-[1:11:35.00]  Ahora no, ahora no
[1:11:35.00]-[1:11:37.00]  Ahora igual
[1:11:37.00]-[1:11:39.00]  Y en invierno y en verano tengo
[1:11:39.00]-[1:11:41.00]  La misma, la sábar y el edredón
[1:11:41.00]-[1:11:43.00]  Pero si tengo la calización
[1:11:43.00]-[1:11:45.00]  Tengo un punto
[1:11:45.00]-[1:11:47.00]  Y ahora con aquel punto ya
[1:11:47.00]-[1:11:49.00]  Pero menos en verano cuando se me toca el cuento
[1:11:49.00]-[1:11:51.00]  No se nada
[1:11:51.00]-[1:11:53.00]  Ahora ya no hay que ver a nadie
[1:11:53.00]-[1:11:55.00]  Yo el cambio que yo
[1:11:55.00]-[1:11:57.00]  Tiene un poco menos que yo
[1:11:57.00]-[1:11:59.00]  Pero
[1:11:59.00]-[1:12:01.00]  El cambio que hemos visto
[1:12:01.00]-[1:12:03.00]  En esta
[1:12:03.00]-[1:12:05.00]  Generación de mierda
[1:12:05.00]-[1:12:07.00]  Es algo
[1:12:07.00]-[1:12:09.00]  Yo he labrado con muglas, con bueyes
[1:12:09.00]-[1:12:11.00]  Y ahora tengo los tractores
[1:12:11.00]-[1:12:13.00]  Trabajo en la tierra
[1:12:13.00]-[1:12:15.00]  Pues
[1:12:15.00]-[1:12:17.00]  Si, bueno no trabajo, pero estoy jubilado
[1:12:17.00]-[1:12:19.00]  Y no estoy muy
[1:12:19.00]-[1:12:21.00]  Trabaja
[1:12:21.00]-[1:12:23.00]  Este chiquito
[1:12:23.00]-[1:12:25.00]  Es socio
[1:12:25.00]-[1:12:27.00]  Hacemoslo juntos
[1:12:27.00]-[1:12:29.00]  O sea oficialmente es él porque yo estoy jubilado
[1:12:29.00]-[1:12:31.00]  Pero como hacemos
[1:12:31.00]-[1:12:33.00]  Trabajamos bastante
[1:12:33.00]-[1:12:35.00]  Renda labrando
[1:12:35.00]-[1:12:37.00]  Los ganaderos pueden pagar más
[1:12:37.00]-[1:12:39.00]  Y luego yo
[1:12:39.00]-[1:12:41.00]  Ya no puedo trabajar tanto como
[1:12:41.00]-[1:12:43.00]  Porque
[1:12:43.00]-[1:12:45.00]  Los me...
[1:12:45.00]-[1:12:47.00]  Dos años ya
[1:12:47.00]-[1:12:49.00]  ¿Cuantos años te crees que tengo?
[1:12:49.00]-[1:12:51.00]  Pues yo soy muy mala para adivinar la edad
[1:12:51.00]-[1:12:53.00]  Se lo digo
[1:12:53.00]-[1:12:55.00]  No es de 65
[1:12:55.00]-[1:12:57.00]  O no tanto
[1:12:57.00]-[1:12:59.00]  65, 71
[1:12:59.00]-[1:13:01.00]  71
[1:13:01.00]-[1:13:03.00]  Y claro, ya
[1:13:03.00]-[1:13:05.00]  Pues me cansó
[1:13:05.00]-[1:13:07.00]  Luego
[1:13:07.00]-[1:13:09.00]  Estoy sol en trigo
[1:13:09.00]-[1:13:11.00]  Me parece que ya
[1:13:11.00]-[1:13:13.00]  Tengo el cupo hecho
[1:13:13.00]-[1:13:15.00]  Trabajo mucho y muy duro
[1:13:15.00]-[1:13:17.00]  Y los trabajos más duros
[1:13:17.00]-[1:13:19.00]  Porque aparte de la agricultura
[1:13:19.00]-[1:13:21.00]  Mi padre empezó a comprar
[1:13:21.00]-[1:13:23.00]  Árboles en el monte
[1:13:23.00]-[1:13:25.00]  Y yo cortaba árboles con el hacha
[1:13:25.00]-[1:13:27.00]  Antes de haber motosierras
[1:13:27.00]-[1:13:29.00]  Una motosierra y coge este árbol
[1:13:29.00]-[1:13:31.00]  Pero antes escogíamos un árbol
[1:13:31.00]-[1:13:33.00]  Como este
[1:13:33.00]-[1:13:35.00]  Y más golgos
[1:13:35.00]-[1:13:37.00]  Y nos ponían dos hombres
[1:13:37.00]-[1:13:39.00]  Uno por cada lado, hacíamos una muesca por cada lado
[1:13:39.00]-[1:13:41.00]  Hasta que ¡Pum! el árbol caía
[1:13:41.00]-[1:13:43.00]  Y después cortaron las ramas
[1:13:43.00]-[1:13:45.00]  Y la primer semana
[1:13:45.00]-[1:13:47.00]  Se quedaban los dedos
[1:13:47.00]-[1:13:49.00]  Del mango del hacha
[1:13:49.00]-[1:13:51.00]  Que se quedaban los dedos agarrotados
[1:13:51.00]-[1:13:53.00]  Y la botalabue
[1:13:53.00]-[1:13:55.00]  Y vamos a ver
[1:13:55.00]-[1:13:57.00]  Veníamos vino de aquí
[1:13:57.00]-[1:13:59.00]  Y vamos a otros
[1:13:59.00]-[1:14:01.00]  Y aquí el vino se acaba a muy pocos grados
[1:14:01.00]-[1:14:03.00]  Pero ya nos trajo
[1:14:03.00]-[1:14:05.00]  El vino en la botalabue
[1:14:05.00]-[1:14:07.00]  Y cuando íbamos a cortar el vino
[1:14:07.00]-[1:14:09.00]  Como era muy duro
[1:14:09.00]-[1:14:11.00]  Pues llevábamos siempre
[1:14:11.00]-[1:14:13.00]  Si cortábamos este árbol
[1:14:13.00]-[1:14:15.00]  Lo dejábamos al lado y al terminar el árbol
[1:14:15.00]-[1:14:17.00]  Apretar bien la botalabue
[1:14:17.00]-[1:14:19.00]  Cuanto más se aprieta
[1:14:19.00]-[1:14:21.00]  Es más de peso
[1:14:21.00]-[1:14:23.00]  Hoy nos han intentado
[1:14:23.00]-[1:14:25.00]  Enseñar a beber en porrón
[1:14:25.00]-[1:14:27.00]  Y en casa en porrón
[1:14:27.00]-[1:14:29.00]  Pero aquí el vino era
[1:14:29.00]-[1:14:31.00]  Ahora el vino que compraste
[1:14:31.00]-[1:14:33.00]  Si lo quieras
[1:14:33.00]-[1:14:35.00]  Aunque tenga pocos grados
[1:14:35.00]-[1:14:37.00]  Que compras vino
[1:14:37.00]-[1:14:39.00]  Hay vinos de 12 grados
[1:14:39.00]-[1:14:41.00]  Y aquí pues se acaba
[1:14:41.00]-[1:14:43.00]  Cuando más se sacaba 11 grados
[1:14:43.00]-[1:14:45.00]  O alguno salía de 12
[1:14:45.00]-[1:14:47.00]  Pero era auténtico
[1:14:47.00]-[1:14:49.00]  No llevaba
