[0:00:00.00]-[0:00:02.00]  Están en misa ahora.
[0:54:07.00]-[0:54:11.00]  Bueno, pero ellos son jóvenes y en sus novias tienen sus...
[0:54:11.00]-[0:54:12.00]  Yo lo entiendo.
[0:54:12.00]-[0:54:16.00]  Y luego serán ya más mayores y tener un mujer y tener unos hijos y...
[0:54:16.00]-[0:54:18.00]  Bueno, pero se tienen que ir con ellas.
[0:54:18.00]-[0:54:23.00]  Pero cuando estén en su casa, con ellas, que sean sus mujeres, pues estarán en su casa.
[0:54:23.00]-[0:54:25.00]  Y luego si es nuera.
[0:54:25.00]-[0:54:27.00]  Hombre, ¿qué te ve que sean nueras?
[0:54:27.00]-[0:54:29.00]  Pero coño, si es buena persona es...
[0:54:29.00]-[0:54:31.00]  Ah, pero cambia mucho de nuera hija, eh.
[0:54:31.00]-[0:54:32.00]  No, ya no ha tenido...
[0:54:32.00]-[0:54:34.00]  No, ya ha cambiado la vida.
[0:54:34.00]-[0:54:35.00]  Mira, que yo...
[0:54:35.00]-[0:54:36.00]  No, ya no ha tenido nuera.
[0:54:36.00]-[0:54:39.00]  No ha tenido nuera, pero las ha tenido mi abuela, que es la que me ha criado a mí.
[0:54:39.00]-[0:54:40.00]  Cambia mucho.
[0:54:40.00]-[0:54:41.00]  Y yo que me he criado a mi abuela.
[0:54:41.00]-[0:54:44.00]  Que suegra de hija no es igual que de hijo.
[0:54:44.00]-[0:54:45.00]  ¿Eh?
[0:54:45.00]-[0:54:46.00]  Que suegra de hija no es igual que de hijo.
[0:54:46.00]-[0:54:47.00]  Mira, mira, mira, callen.
[0:54:47.00]-[0:54:49.00]  Eso, los años que tiene lo tienen que saber.
[0:54:49.00]-[0:54:51.00]  Oh, pues sí te lo digo.
[0:54:51.00]-[0:54:52.00]  Mira, ¿por qué te vas a los nietos?
[0:54:52.00]-[0:54:54.00]  ¿Por qué no salen de allí?
[0:54:54.00]-[0:54:55.00]  Mira.
[0:54:55.00]-[0:54:56.00]  ¿Ni los ves?
[0:54:56.00]-[0:54:57.00]  Y la hija...
[0:54:57.00]-[0:55:00.00]  Mira, mira, mi tía...
[0:55:00.00]-[0:55:01.00]  Mi tía...
[0:55:01.00]-[0:55:02.00]  Que mi tía...
[0:55:02.00]-[0:55:03.00]  No es tía, es mi tía...
[0:55:03.00]-[0:55:05.00]  Sí, es tía, es mana de mi padre.
[0:55:05.00]-[0:55:06.00]  Mi tía...
[0:55:06.00]-[0:55:07.00]  Ni mi tía...
[0:55:07.00]-[0:55:08.00]  Ni la...
[0:55:08.00]-[0:55:09.00]  Esas no son tías.
[0:55:09.00]-[0:55:11.00]  Son mujeres de mis pies.
[0:55:11.00]-[0:55:12.00]  ¿Eh?
[0:55:12.00]-[0:55:15.00]  Y yo no puedo decirte a cuál de todas las quería más.
[0:55:15.00]-[0:55:16.00]  Porque a mí la...
[0:55:16.00]-[0:55:17.00]  Me ha cosido...
[0:55:17.00]-[0:55:18.00]  Me hacía pargatas.
[0:55:18.00]-[0:55:19.00]  ¿Eh?
[0:55:19.00]-[0:55:20.00]  Cuando yo era pequeña.
[0:55:20.00]-[0:55:21.00]  Pero si igual cambia mucho.
[0:55:21.00]-[0:55:22.00]  Me hacía la suegra...
[0:55:22.00]-[0:55:23.00]  A madre que le he mostrado.
[0:55:23.00]-[0:55:24.00]  Y de no era hija cambia mucho.
[0:55:24.00]-[0:55:25.00]  Y mi tía...
[0:55:25.00]-[0:55:26.00]  Cambia mucho.
[0:55:26.00]-[0:55:27.00]  Y mi tía...
[0:55:27.00]-[0:55:28.00]  Que estaba mi abuela allí.
[0:55:28.00]-[0:55:29.00]  Porque todo lo...
[0:55:29.00]-[0:55:32.00]  En octubre mi tío la llevaba allí.
[0:55:32.00]-[0:55:33.00]  ¿Eh?
[0:55:33.00]-[0:55:34.00]  Allí.
[0:55:34.00]-[0:55:37.00]  Y mi tía necesitó ayuda.
[0:55:37.00]-[0:55:38.00]  Cambia mucho.
[0:55:38.00]-[0:55:41.00]  Le llamó la cifra y le dijo...
[0:55:41.00]-[0:55:43.00]  Mándame a alguna de las crías.
[0:55:43.00]-[0:55:46.00]  Dice porque necesito que la abuela está mala.
[0:55:46.00]-[0:55:47.00]  Te he hecho un cuento.
[0:55:47.00]-[0:55:48.00]  Aunque yo soy más joven que tú.
[0:55:48.00]-[0:55:49.00]  Te he hecho un cuento que yo soy más joven que tú.
[0:55:49.00]-[0:55:50.00]  No, pero es cuento.
[0:55:50.00]-[0:55:51.00]  Es cuento.
[0:55:51.00]-[0:55:52.00]  Yo te estoy contando la verdadero.
[0:55:52.00]-[0:55:53.00]  Cuento para verdad.
[0:55:53.00]-[0:55:56.00]  Se juntan dos muchachas jóvenes casas.
[0:55:56.00]-[0:55:57.00]  Al revés.
[0:55:57.00]-[0:55:59.00]  Se juntan dos mujeres.
[0:55:59.00]-[0:56:00.00]  Bien mayores.
[0:56:00.00]-[0:56:01.00]  Y le dice la una a la otra.
[0:56:01.00]-[0:56:02.00]  Le dice la una a la otra.
[0:56:02.00]-[0:56:04.00]  Ay, cuando el tipo sin verte se saluda.
[0:56:04.00]-[0:56:05.00]  Dice, ¿y tu hija?
[0:56:05.00]-[0:56:07.00]  Y dice, oiga, mi amija tiene una suerte.
[0:56:07.00]-[0:56:09.00]  Se levanta todos los días a medio día.
[0:56:09.00]-[0:56:10.00]  Ay, qué suerte, camarino.
[0:56:10.00]-[0:56:11.00]  Sí, sí, sí.
[0:56:11.00]-[0:56:12.00]  No me lo cuentes.
[0:56:12.00]-[0:56:15.00]  ¿Y tenía una de una suerte la bandura que se manda todos los días a las 11?
[0:56:15.00]-[0:56:17.00]  O sea, que mira si cambia.
[0:56:17.00]-[0:56:19.00]  Bueno, pero eso ya no era la nuera.
[0:56:19.00]-[0:56:20.00]  Era la suerte.
[0:56:20.00]-[0:56:21.00]  Pero tú cuando se juntan dos, no era la suerte.
[0:56:21.00]-[0:56:22.00]  Pero se juntan dos muchachas jóvenes.
[0:56:22.00]-[0:56:23.00]  Dice la una a la otra.
[0:56:23.00]-[0:56:24.00]  Y tu madre.
[0:56:24.00]-[0:56:25.00]  Ay, mi madre, pobrecilla.
[0:56:25.00]-[0:56:26.00]  Le duele todo esta mala que para qué dice.
[0:56:26.00]-[0:56:29.00]  Y tú se la dices, y mi suegra más mala y más gitana que es.
[0:56:29.00]-[0:56:31.00]  Que se come todo lo que le das y para qué con ella.
[0:56:31.00]-[0:56:32.00]  Al revés, tómalo.
[0:56:32.00]-[0:56:37.00]  La suegra ha tómalo.
[0:56:37.00]-[0:56:38.00]  Es que cambia mucho.
[0:56:38.00]-[0:56:39.00]  Bueno, yo no puedo contar.
[0:56:39.00]-[0:56:40.00]  Yo no puedo contar.
[0:56:40.00]-[0:56:45.00]  Y yo sabes que eso no era.
[0:56:45.00]-[0:56:47.00]  Y mi suegra me ha creado más que las de los hijas.
[0:56:47.00]-[0:56:48.00]  Lo sabes.
[0:56:48.00]-[0:56:49.00]  Lo sabes.
[0:56:49.00]-[0:56:50.00]  Pero cambia mucho.
[0:56:50.00]-[0:56:51.00]  Pero te estoy contando.
[0:56:51.00]-[0:56:54.00]  Porque todo el mundo no es igual.
[0:56:54.00]-[0:56:58.00]  Y yo te estoy hablando por lo positivo, no por el negativo.
[0:56:58.00]-[0:57:03.00]  Y yo te estoy diciendo por lo malo.
[0:57:03.00]-[0:57:04.00]  No, no, no, no.
[0:57:04.00]-[0:57:05.00]  Déjate.
[0:57:05.00]-[0:57:06.00]  Dejate.
[0:57:06.00]-[0:57:07.00]  Que lo malo ya viene sin pensarlo.
[0:57:07.00]-[0:57:08.00]  Si lo estás pensando, te viene.
[0:57:08.00]-[0:57:09.00]  Si yo tengo a mi muchacha a casa, y cada vez que tiene que ir con la suegra, ¿por qué
[0:57:09.00]-[0:57:10.00]  si la mujer no se aporta mal con ella?
[0:57:10.00]-[0:57:11.00]  Es que soy una pesada, siempre me temo.
[0:57:11.00]-[0:57:12.00]  Con la vida estoy aquí todo el día.
[0:57:12.00]-[0:57:13.00]  Digo que la mujer, ¿por qué te ha hecho la mujer?
[0:57:13.00]-[0:57:14.00]  ¿Por qué te ha hecho la mujer?
[0:57:14.00]-[0:57:15.00]  Y menos mal que tú le hablas, viva.
[0:57:15.00]-[0:57:16.00]  Me digo, tienes que ir a mi suegra porque es que es la madre de tu marido.
[0:57:16.00]-[0:57:17.00]  La mujer.
[0:57:17.00]-[0:57:18.00]  No, ella.
[0:57:18.00]-[0:57:19.00]  Nosotros aquí.
[0:57:19.00]-[0:57:20.00]  Nosotros aquí.
[0:57:20.00]-[0:57:21.00]  Nosotros aquí.
[0:57:21.00]-[0:57:32.00]  Por ir a Villora.
[0:57:32.00]-[0:57:33.00]  Serás mala.
[0:57:33.00]-[0:57:34.00]  Digo, ¿por qué te ha hecho la mujer?
[0:57:34.00]-[0:57:35.00]  Le digo yo, ¿por qué te ha hecho la mujer?
[0:57:35.00]-[0:57:36.00]  Al contrario, siempre dándole, soltándole.
[0:57:36.00]-[0:57:37.00]  ¿Por qué te ha hecho la mujer?
[0:57:37.00]-[0:57:38.00]  Me decía, ahora Villora, con la hija de la suegra.
[0:57:38.00]-[0:57:39.00]  Es que va a ir una pesada de tres de la mañana.
[0:57:39.00]-[0:57:40.00]  ¿Qué hago yo ahí?
[0:57:40.00]-[0:57:41.00]  ¿Tú ya lo comes dos?
[0:57:41.00]-[0:57:42.00]  Bueno, pero a lo mejor es porque no le gusta Villora.
[0:57:42.00]-[0:57:43.00]  No porque no quiera ir.
[0:57:43.00]-[0:57:44.00]  A lo mejor ella va a gusto a comer y luego se quiere venir a comer.
[0:57:44.00]-[0:57:45.00]  Y yo le digo, ¿por qué te ha hecho la mujer?
[0:57:45.00]-[0:57:46.00]  Y ella me dice, no, no, no, no.
[0:57:46.00]-[0:57:47.00]  No, no, no, no.
[0:57:47.00]-[0:57:48.00]  No, no, no, no.
[0:57:48.00]-[0:57:53.20]  A lo mejor ella va a gusto a comer y luego se quiere venir aquí porque, ¿sabes tú que
[0:57:53.20]-[0:57:54.20]  hay mucha gente?
[0:57:54.20]-[0:57:59.20]  La paquita, la de el cojo, la de Manuel del cojo.
[0:57:59.20]-[0:58:02.56]  ¿Sabes que es de Villora?
[0:58:02.56]-[0:58:06.20]  Y viven en Valencia y ellos vienen aquí, al pueblo este.
[0:58:06.20]-[0:58:11.40]  No, a su pueblo, que está en un pasillo, está a diez minutos de aquí.
[0:58:11.40]-[0:58:14.00]  Y la chica es de allí y en cambio, pues viene aquí.
[0:58:14.00]-[0:58:18.20]  Casi me contó toda esta vida.
[0:58:18.20]-[0:58:19.20]  Uy, si yo contara.
[0:58:19.20]-[0:58:20.20]  Madre, y así me escribís un libro.
[0:58:20.20]-[0:58:21.20]  ¿Te echas la reta?
[0:58:21.20]-[0:58:22.20]  ¿Te echas la reta?
[0:58:22.20]-[0:58:23.20]  ¿Me escribís un libro?
[0:58:23.20]-[0:58:24.20]  Uy, no, porque tendríamos que estar aquí un mes.
[0:58:24.20]-[0:58:29.20]  A veces digo, le digo a mi tío, digo yo voy a escribir un libro.
[0:58:29.20]-[0:58:32.00]  Me cago en ese con lo que yo tengo en este mundo.
[0:58:32.00]-[0:58:33.32]  Y que contar y que...
[0:58:33.32]-[0:58:37.48]  Y siempre yo con optimismo y siempre con bueno.
[0:58:37.48]-[0:58:39.04]  Y dice, ya, ya, yo te lo escribiré.
[0:58:39.04]-[0:58:41.00]  Digo, uy, a veces te decís ¿qué va a ser?
[0:58:41.00]-[0:58:44.20]  Y empezar a escribir y ya terminarlo, digo, pues no es largo esto.
[0:58:44.20]-[0:58:45.20]  No es largo esto.
[0:58:45.20]-[0:58:47.40]  Oye, pero de verdad que me gustaría.
[0:58:47.40]-[0:58:50.60]  Lo que pasa es que, fíjate, soy muy gandula para escribir.
[0:58:50.60]-[0:58:54.60]  Que soy yo muy trabajadora, pero para escribir me cuesta.
[0:58:54.60]-[0:58:56.60]  Hombre, un poquito, un poquito sí.
[0:58:56.60]-[0:58:59.00]  Porque no sabemos, yo por la mano no sé mucho escribir.
[0:58:59.00]-[0:59:00.00]  Como con lo más justo.
[0:59:00.00]-[0:59:01.40]  Porque ahora con nueve años ya estaba yo trabajando,
[0:59:01.40]-[0:59:02.80]  que hacía patraba, comer y la escuela.
[0:59:02.80]-[0:59:04.20]  Pero con nueve años ya he ido a la escuela.
[0:59:04.20]-[0:59:05.80]  Oye, pues eso es lo que tienes que poner.
[0:59:05.80]-[0:59:06.80]  ¿Cómo? ¿A tu manera?
[0:59:06.80]-[0:59:10.40]  Luego lo llevas a la editorial y allí te corrigen las faltas.
[0:59:10.40]-[0:59:11.40]  ¡Uy! Pues así pocas.
[0:59:11.40]-[0:59:13.40]  Y si no, con las faltas y todo.
[0:59:13.40]-[0:59:15.40]  A los nueve años yo no iba a la escuela porque tenía que trabajar.
[0:59:15.40]-[0:59:17.40]  Que a la mayor de mi casa para de comer y ya me acababa.
[0:59:17.40]-[0:59:19.00]  Mira, cállate, cállate y no me cuentes.
[0:59:19.00]-[0:59:19.80]  ¿A dónde te vas?
[0:59:19.80]-[0:59:20.40]  De eso.
[0:59:20.40]-[0:59:21.40]  Y eso?
[0:59:21.40]-[0:59:23.40]  A los nueve años, a los nueve años tú estabas aquí, ¿eh?
[0:59:23.40]-[0:59:26.40]  Es como el inmuente caroscillo, dice que no va a la tele, a ver.
[0:59:26.40]-[0:59:30.40]  Este Nico, yo a los nueve años me tuve que ir a, me fui a Valencia.
[0:59:30.40]-[0:59:33.40]  Y para mí a los trece me fui yo a Gerona, al de Cristo Patiol Gorote, a mamá.
[0:59:33.40]-[0:59:34.40]  A los nueve, a los nueve.
[0:59:34.40]-[0:59:35.40]  ¿Qué te piensas?
[0:59:35.40]-[0:59:40.40]  Que pasó mi vida mucho. Tú todo el día llorando, todo el día llorando, todo el día llorando.
[0:59:40.40]-[0:59:43.40]  Si a este sí tenía conocimiento, que quería que me llamaran que mi madre estaba malo para venirme al pueblo.
[0:59:43.40]-[0:59:45.40]  ¿A este sí tenía conocimiento?
[0:59:45.40]-[0:59:46.40]  Nada, ninguno.
[0:59:46.40]-[0:59:49.40]  Yo solo quería que me viniera al pueblo y yo, si mi madre se ponía mala que me llamaran.
[0:59:49.40]-[0:59:51.40]  Tú veate, tú veate qué cabezas.
[0:59:51.40]-[0:59:52.40]  ¿Me ve? Así.
[0:59:52.40]-[0:59:54.40]  Ay, ay, ay, ¿están bien vivís ahora?
[0:59:54.40]-[0:59:56.40]  Sí.
[0:59:56.40]-[1:00:01.40]  Así que cualquier cosa de conciencia, vosotras hacerla.
[1:00:01.40]-[1:00:09.40]  Porque de todas maneras lo demás luego a lo mejor son remordimientos o son pesadillas o son porque habéis hecho esto.
[1:00:09.40]-[1:00:15.40]  Lo único que queda, de verdad, de verdad, es lo que has hecho positivo, lo que has hecho bueno.
[1:00:15.40]-[1:00:23.40]  No te importe que digan, uy pues esto o aquello, o otro, nada. Tú siempre que sea todo bueno.
[1:00:23.40]-[1:00:30.40]  Porque mira, si se te cierra, a lo mejor a una persona que le has hecho un bien, a lo mejor luego esa persona te da una pata.
[1:00:30.40]-[1:00:39.40]  Eh, pero se te abren otras puertas que vienen por otro sitio para compensar el bien que has hecho.
[1:00:39.40]-[1:00:44.40]  Y en todo no me refiero ya a hacer bien, sino tus cosas, el divertirte.
[1:00:44.40]-[1:00:47.40]  ¡Aún estamos! ¡Uy, tenemos cuerda para todos los demás!
[1:00:47.40]-[1:00:52.40]  Mira, mi hija, yo tengo una hija que quisiera que la... bueno, ya lo sabe la...
[1:00:52.40]-[1:00:54.40]  Vale, está loco, ya estoy a la comida.
[1:00:54.40]-[1:00:57.40]  Ella ni bebe, ella ni fuma.
[1:00:57.40]-[1:01:02.40]  ¿Habrá quien se divierta más que ella? Está como una cabra.
[1:01:02.40]-[1:01:04.40]  Para trabajar, para trabajar.
[1:01:04.40]-[1:01:07.40]  Para ser muy extrema, para cosas de estar de pueblo, eso es ya...
[1:01:07.40]-[1:01:10.40]  Mira, mira si es extrema.
[1:01:10.40]-[1:01:18.40]  Están haciendo un ese de apartamentos, en una casa que tienen ahí, de apartamentos.
[1:01:18.40]-[1:01:21.40]  Están trabajando el marido y ella como medros porque vamos...
[1:01:21.40]-[1:01:24.40]  Es que aquí falta... al verano falta casas.
[1:01:24.40]-[1:01:29.40]  Ella porque la gente de acá y te quedan de meterse.
[1:01:29.40]-[1:01:32.40]  No veas la gente que quiere venir.
[1:01:32.40]-[1:01:34.40]  Como hubiera estado aquí ella.
[1:01:34.40]-[1:01:37.40]  Uy, si está aquí ella, es peor que yo.
[1:01:37.40]-[1:01:39.40]  Ella tiene dos horas más que yo.
[1:01:39.40]-[1:01:41.40]  No más que tengo la comida.
[1:01:41.40]-[1:01:43.40]  Yo me voy a poner la comida.
[1:01:43.40]-[1:01:45.40]  Yo os he dicho, Ana, que tenéis que bien hablar.
[1:01:45.40]-[1:01:47.40]  Pues me he ido y digo, me voy a dejar ya la comida.
[1:01:47.40]-[1:01:56.40]  Yo para, yo para.
[1:01:56.40]-[1:01:57.40]  A mí no me cojo.
[1:01:57.40]-[1:01:59.40]  No tienes sitio, si comprar un piso ya no hay sitio para la abuela.
[1:01:59.40]-[1:02:00.40]  No hay sitio.
[1:02:00.40]-[1:02:01.40]  Ya no hay sitio para la abuela.
[1:02:01.40]-[1:02:02.40]  Seguro.
[1:02:02.40]-[1:02:03.40]  Ya no hay sitio para la abuela.
[1:02:03.40]-[1:02:04.40]  No, no, no, no.
[1:02:04.40]-[1:02:06.40]  ¿Qué hacíamos antes? Lo primero, el sitio mejor para la abuela.
[1:02:06.40]-[1:02:08.40]  Ahora no, ahora comprar un piso ya no hay sitio.
[1:02:08.40]-[1:02:09.40]  Es que tengo el piso y yo no puedo...
[1:02:09.40]-[1:02:11.40]  A mí que no me digan eso, eh.
[1:02:11.40]-[1:02:14.40]  Porque yo duermo debajo la cava.
[1:02:14.40]-[1:02:16.40]  Mira, duermo en la cama de...
[1:02:16.40]-[1:02:17.40]  Duermo en la de la...
[1:02:17.40]-[1:02:18.40]  Duermo en la...
[1:02:18.40]-[1:02:19.40]  Hay que sacar.
[1:02:19.40]-[1:02:20.40]  Duermo en la de la...
[1:02:20.40]-[1:02:22.40]  Duermo en la mía, en mi casa.
[1:02:22.40]-[1:02:23.40]  Duermo en Valencia.
[1:02:23.40]-[1:02:24.40]  Duermo en cuenta.
[1:02:24.40]-[1:02:26.40]  Tú te das cuenta que tu a residencia no vas a ir.
[1:02:26.40]-[1:02:27.40]  No vas a residencia.
[1:02:27.40]-[1:02:29.40]  Por la mentalidad de tu hija que no vas a residencia.
[1:02:29.40]-[1:02:32.40]  Pero yo ya en mis años voy a residencia.
[1:02:32.40]-[1:02:33.40]  Con mucho dolor de corazón.
[1:02:33.40]-[1:02:36.40]  Hombre, mira, nadie puede decir nada de nada.
[1:02:36.40]-[1:02:40.40]  Porque ahora, yo si tienen que llevarme a la residencia,
[1:02:40.40]-[1:02:42.40]  mañana voy y pido plaza aquí.
[1:02:42.40]-[1:02:44.40]  Ahora, te pongo ya que estoy en tu pueblo.
[1:02:44.40]-[1:02:46.40]  Vas a comer, te sales después por dar una vuelta.
[1:02:46.40]-[1:02:48.40]  Hasta la hora de cenar que estás en tu pueblo.
[1:02:48.40]-[1:02:50.40]  Ya ya un pueblo está y te pate por medio.
[1:02:50.40]-[1:02:51.40]  Y ves la que...
[1:02:51.40]-[1:02:52.40]  Donde estaba.
[1:02:52.40]-[1:02:55.40]  Pues sus hijos tranquilos porque sabían que su madre estaba acompañada.
[1:02:55.40]-[1:02:56.40]  Eso yo lo veo bien.
[1:02:56.40]-[1:02:59.40]  Pero aquí, en su pueblo, mientras que la mujer ha podido aguantar.
[1:02:59.40]-[1:03:01.40]  Cuando la mujer ya no ha podido, pues el año...
[1:03:01.40]-[1:03:02.40]  Me voy que no vamos a comer hoy.
[1:03:02.40]-[1:03:03.40]  Ahora, bueno, vamos a comer.
[1:03:03.40]-[1:03:04.40]  Están todas estas mozas.
[1:03:04.40]-[1:03:05.40]  Venga.
[1:03:05.40]-[1:03:06.40]  Muchas gracias.
[1:03:06.40]-[1:03:07.40]  Gracias.
[1:03:07.40]-[1:03:09.40]  ¿Os ha servido de algo?
[1:03:09.40]-[1:03:10.40]  Venga, hasta luego.
[1:03:10.40]-[1:03:11.40]  Ya, gracias.
[1:03:11.40]-[1:03:13.40]  Bueno, pues tenéis que venir a la ermita de San Antonio otro día.
[1:03:13.40]-[1:03:14.40]  Que vengáis.
[1:03:14.40]-[1:03:16.40]  O si queréis, por ejemplo, ir a Vicerogoche, por supuesto.
[1:03:16.40]-[1:03:17.40]  Me imagino.
[1:03:17.40]-[1:03:18.40]  Sí, sí.
[1:03:18.40]-[1:03:21.40]  Os pido que os acompañe a San Antonio.
[1:03:21.40]-[1:03:27.40]  San Antonio es una ermita del pueblo donde estaba, pues, viejísimo todo.
[1:03:27.40]-[1:03:29.40]  Ya ya tendrá 300, 400 años.
[1:03:29.40]-[1:03:31.40]  Yo no lo sé cómo tendrá.
[1:03:31.40]-[1:03:32.40]  Ahora lo hemos arreglado.
[1:03:32.40]-[1:03:35.40]  Hemos hecho un merendero con sus barbacoas.
[1:03:35.40]-[1:03:37.40]  Viste ahí, mozos.
[1:03:37.40]-[1:03:38.40]  ¡Comiendo!
[1:03:38.40]-[1:03:39.40]  ¡Ay!
[1:03:39.40]-[1:03:40.40]  Está mi hijo.
[1:03:40.40]-[1:03:43.40]  ¿Por qué no me dices por favor que está mi madre?
[1:03:43.40]-[1:03:46.40]  Está, unos amigos que están comiendo allí.
[1:03:46.40]-[1:03:49.40]  Y, y, hay barbacoas ahí.
[1:03:49.40]-[1:03:51.40]  Bien, muy bonito.
[1:03:51.40]-[1:03:52.40]  La han arreglado.
[1:03:52.40]-[1:03:54.40]  Y, dentro, hemos puesto luz.
[1:03:54.40]-[1:03:57.40]  Y, está ahí San Antonio, que es nuestro patrón.
[1:03:57.40]-[1:04:03.40]  Y el día uno de junio, vamos a por él, que está allí, para celebrar aquí la fiesta.
[1:04:03.40]-[1:04:04.40]  Que es el día 13.
[1:04:04.40]-[1:04:09.40]  Y hacen allí pa' ellas, y hacen allí de todo, y pasamos el día estupendamente.
[1:04:09.40]-[1:04:11.40]  Pero eso sí que me gustaría saber.
[1:04:11.40]-[1:04:13.40]  ¿Qué hay ahí?
[1:04:13.40]-[1:04:15.40]  No lo podías hacer.
[1:04:15.40]-[1:04:20.40]  Pero, ellos son mozos que escuchan.
[1:04:20.40]-[1:04:23.40]  Son mozos, son vuestros compañeros.
[1:04:23.40]-[1:04:24.40]  ¡Ay, coño!
[1:04:24.40]-[1:04:26.40]  Y yo aquí metiendo la...
[1:04:26.40]-[1:04:29.40]  ¡Ahh!
[1:04:29.40]-[1:04:30.40]  No pasa nada.
[1:04:30.40]-[1:04:34.40]  Bueno, pero hay una que está libre.
[1:04:34.40]-[1:04:36.40]  Hay una que está libre.
[1:04:36.40]-[1:04:39.40]  No, oye, es verdad, sí podéis ir, sí, de veras.
[1:04:39.40]-[1:04:41.40]  Y a lo mejor os invitan a comer y todo.
[1:04:41.40]-[1:04:43.40]  Bueno, pues estoy viendo, eh.
[1:04:43.40]-[1:04:45.40]  Están, no, es que están allí.
[1:04:45.40]-[1:04:48.40]  Te pregunto yo, pero ¿qué es comida en San Antonio?
[1:04:48.40]-[1:04:50.40]  No, es comida en San Antonio.
[1:04:50.40]-[1:04:51.40]  O sea que es...
[1:04:51.40]-[1:04:53.40]  Tu pierre de amigos.
[1:04:53.40]-[1:04:56.40]  Que se juntan y se invitan, y ya, y ahí están.
[1:04:56.40]-[1:04:57.40]  Y está cerquita de aquí.
[1:04:57.40]-[1:04:58.40]  ¿Pero dónde está?
[1:04:58.40]-[1:05:00.40]  Está... ya.
[1:05:00.40]-[1:05:03.40]  ¿Qué os voy a decir?
[1:05:03.40]-[1:05:06.40]  Si salís para abajo, a la derecha de la carretera,
[1:05:06.40]-[1:05:09.40]  y luego otra vez a la derecha,
[1:05:09.40]-[1:05:12.40]  la carretera que sube, y todo para arriba, para arriba, para allá,
[1:05:12.40]-[1:05:15.40]  sin dejarla, sin dejarla, y ya veréis aquí la mitad.
[1:05:15.40]-[1:05:18.40]  O sea que no está lejos, pues como en coche,
[1:05:18.40]-[1:05:21.40]  pues cinco minutos o menos.
[1:05:21.40]-[1:05:24.40]  Y ahí está la fuente, está...
[1:05:24.40]-[1:05:26.40]  O sea que es muy bien, está muy bien, muy bien.
[1:05:26.40]-[1:05:29.40]  Y San Antonio, hombre, yo no sé si tendrán ellos la llave,
[1:05:29.40]-[1:05:32.40]  o no la tendrán, porque si fuereis,
[1:05:32.40]-[1:05:35.40]  ya que estáis, podíais pasar a ver a San Antonio.
[1:05:35.40]-[1:05:38.40]  Bueno, si tenéis la llave o no tenéis que pedirlo, ¿no?
[1:05:38.40]-[1:05:44.40]  Tengo una chica, pobre, que viene aquí,
[1:05:44.40]-[1:05:47.40]  que está la pobre, está por su imparidad.
[1:05:47.40]-[1:05:52.40]  Y llego yo aquí, a San Antonio, que me lo regaló mi hija,
[1:05:52.40]-[1:05:56.40]  y dice, oye, hija, yo me quiero comprar este San Antonio.
[1:05:56.40]-[1:05:59.40]  Y digo, sí, digo, mira, cómprate lo que aquí viene una chica.
[1:05:59.40]-[1:06:03.40]  Y dice, me lo compro pa' que me salga novio.
[1:06:03.40]-[1:06:06.40]  Como no me salga novio, lo tiro en pez.
[1:06:06.40]-[1:06:08.40]  Digo, pero hombre, ¿qué te dices loco?
[1:06:08.40]-[1:06:10.40]  No, le vas a pedir novio y luego te...
[1:06:10.40]-[1:06:14.40]  y luego digas, pues pa' qué me salga este novio, hombre, ¿no?
[1:06:14.40]-[1:06:15.40]  Bueno, hijas.
[1:06:15.40]-[1:06:17.40]  Bueno, muchas gracias.
[1:06:17.40]-[1:06:30.40]  Muchas gracias.
