[0:00:00.00]-[0:00:02.00]  ¿Usted nació aquí entonces?
[0:58:37.62]-[0:58:39.62]  porque estoy topeado de las piernas.
[0:58:39.62]-[0:58:41.62]  Pero ahí todavía hay...
[0:58:41.62]-[0:58:43.62]  Bueno, ¿qué queréis más?
[0:58:43.62]-[0:58:45.62]  Que de la cebada no nos afecte nada,
[0:58:45.62]-[0:58:47.62]  y a los demás cereales.
[0:58:47.62]-[0:58:49.62]  Ah, del trigo, queréis saber.
[0:58:49.62]-[0:58:51.62]  Claro.
[0:58:51.62]-[0:58:53.62]  Cuando conviene poner el trigo.
[0:58:53.62]-[0:58:55.62]  A sembrarle.
[0:58:55.62]-[0:58:57.62]  No, a rotularle eso no se ha roturado.
[0:58:57.62]-[0:58:59.62]  Bueno, esto de las tierras
[0:58:59.62]-[0:59:01.62]  se harán,
[0:59:01.62]-[0:59:03.62]  lo harán la primera vez
[0:59:03.62]-[0:59:05.62]  se hará en el invierno,
[0:59:05.62]-[0:59:07.62]  o en febrero, ¿verdad?
[0:59:07.62]-[0:59:09.62]  Lo tienen al lado.
[0:59:09.62]-[0:59:11.62]  Y esto se siembra,
[0:59:11.62]-[0:59:13.62]  lo harán en octubre.
[0:59:13.62]-[0:59:15.62]  Y lo harán,
[0:59:15.62]-[0:59:17.62]  lo vuelven a dar una vuelta de arada,
[0:59:17.62]-[0:59:19.62]  ahora lo tienen arado,
[0:59:19.62]-[0:59:21.62]  se llama vinar.
[0:59:21.62]-[0:59:23.62]  Pero ¿qué harán?
[0:59:23.62]-[0:59:25.62]  Lo que no esté sembrado,
[0:59:25.62]-[0:59:27.62]  lo que no está sembrado lo harán ahora.
[0:59:27.62]-[0:59:29.62]  Lo harán ahora y después lo arrastran.
[0:59:29.62]-[0:59:31.62]  Quitan la brocha,
[0:59:31.62]-[0:59:33.62]  o sea, el asunto es eliminar las brochas
[0:59:33.62]-[0:59:35.62]  que tengan, o la sequía.
[0:59:35.62]-[0:59:37.62]  Y lo harán, y después llegas
[0:59:37.62]-[0:59:39.62]  en el mes de octubre,
[0:59:39.62]-[0:59:41.62]  y lo vuelven a dar otra pasada de arrastra,
[0:59:41.62]-[0:59:43.62]  para quedarlo,
[0:59:43.62]-[0:59:45.62]  pues, como se dice, quedarlo bien molido,
[0:59:45.62]-[0:59:47.62]  para que después al tiempo de sembrar
[0:59:47.62]-[0:59:49.62]  no haya ni estos,
[0:59:49.62]-[0:59:51.62]  ¿cómo se llaman?
[0:59:51.62]-[0:59:53.62]  camones, ni con la deda,
[0:59:53.62]-[0:59:55.62]  que esté, pues, como la harina,
[0:59:55.62]-[0:59:57.62]  porque así se siembra mejor y sale mucho mejor
[0:59:57.62]-[0:59:59.62]  el gran y todo.
[0:59:59.62]-[1:00:01.62]  Y que muelen el terreno.
[1:00:01.62]-[1:00:03.62]  Lo muelen a fuerza de dar
[1:00:03.62]-[1:00:05.62]  vueltas con los tractores, con la arrastra,
[1:00:05.62]-[1:00:07.62]  con las gradas, y que le daba todo eso.
[1:00:07.62]-[1:00:09.62]  Y lo van volviendo hasta que lo quedan hecho,
[1:00:09.62]-[1:00:11.62]  pues, como se llama, dina.
[1:00:11.62]-[1:00:13.62]  Tierra, lo que no he hecho, tierra.
[1:00:13.62]-[1:00:15.62]  Porque no se está acabado ninguno,
[1:00:15.62]-[1:00:17.62]  lo quedan para la alma.
[1:00:17.62]-[1:00:19.62]  Ahora quedan los campos que no...
[1:00:19.62]-[1:00:21.62]  Claro, con la fuerza que tienen ahora con los tractores,
[1:00:21.62]-[1:00:23.62]  llevan unas razas que vienen a lo mejor
[1:00:23.62]-[1:00:25.62]  pues cuatro metros,
[1:00:25.62]-[1:00:27.62]  y tendrán de peso poco,
[1:00:27.62]-[1:00:29.62]  300 kilos o más, 100 de peso.
[1:00:29.62]-[1:00:31.62]  Lo que llevan cuatro barras,
[1:00:31.62]-[1:00:33.62]  es de ancha así,
[1:00:33.62]-[1:00:35.62]  pero de larga unos cuatro metros,
[1:00:35.62]-[1:00:37.62]  con esta anchura, que lleva una barra así,
[1:00:37.62]-[1:00:39.62]  otra barra así, otra barra así, son cuatro barras de alta.
[1:00:39.62]-[1:00:41.62]  Dos en el medio y los dos laterales, cuatro barras.
[1:00:41.62]-[1:00:43.62]  Y esas barras van con pinchos.
[1:00:45.62]-[1:00:47.62]  Y los pinchos esos no pasan todos por un sitio.
[1:00:47.62]-[1:00:49.62]  Cada uno pasa por un sitio.
[1:00:49.62]-[1:00:51.62]  Mira.
[1:00:51.62]-[1:00:53.62]  No está bueno.
[1:00:53.62]-[1:00:55.62]  Ya verás.
[1:00:55.62]-[1:00:57.62]  Aquí lo voy a poner.
[1:00:59.62]-[1:01:01.62]  Y esta es la arrastra.
[1:01:01.62]-[1:01:03.62]  ¿Vale?
[1:01:03.62]-[1:01:05.62]  Esto es la arrastra.
[1:01:05.62]-[1:01:07.62]  Vamos a poner más cerca el reguazo.
[1:01:07.62]-[1:01:09.62]  Esta es la arrastra.
[1:01:09.62]-[1:01:11.62]  Pero aquí va un pincho.
[1:01:11.62]-[1:01:13.62]  Aquí va otro.
[1:01:15.62]-[1:01:17.62]  Mira,
[1:01:17.62]-[1:01:19.62]  por el que pasa este,
[1:01:19.62]-[1:01:21.62]  aquí pasa uno.
[1:01:21.62]-[1:01:23.62]  Pero este ya va cruzando en medio este.
[1:01:23.62]-[1:01:25.62]  A ver si lo entiendes.
[1:01:25.62]-[1:01:33.62]  A ver si lo entiendes.
[1:01:33.62]-[1:01:35.62]  Para que encaje.
[1:01:35.62]-[1:01:37.62]  Para que no vayan todos en el mismo sitio.
[1:01:37.62]-[1:01:39.62]  Y cada uno va cruzando por un lado.
[1:01:39.62]-[1:01:41.62]  Este va y pasa por aquí.
[1:01:41.62]-[1:01:43.62]  Pero déjase de...
[1:01:49.62]-[1:01:51.62]  Hola,
[1:01:51.62]-[1:01:53.62]  aquí viene un camión Pisterna.
[1:01:53.62]-[1:01:55.62]  Antes vendían dos camiones.
[1:01:55.62]-[1:01:57.62]  Y eso va siempre rompiendo.
[1:01:57.62]-[1:01:59.62]  Siempre va rompiendo.
[1:01:59.62]-[1:02:01.62]  Va rompiendo y se acaba.
[1:02:01.62]-[1:02:03.62]  Claro porque como van cada uno
[1:02:03.62]-[1:02:05.62]  y van pasando distinto.
[1:02:05.62]-[1:02:07.62]  Y lo arrastran bien arrastradito,
[1:02:07.62]-[1:02:09.62]  ¿verdad?
[1:02:09.62]-[1:02:11.62]  Y llegas en el medio de octubre y en el mes
[1:02:11.62]-[1:02:13.62]  y en el medio de noviembre esta la siembra que se llama.
[1:02:13.62]-[1:02:15.62]  Siembra el acebar lo supone.
[1:02:15.62]-[1:02:17.62]  ¿Cómo siembra?
[1:02:17.62]-[1:02:19.62]  Ahora lo siembra un tráctol.
[1:02:19.62]-[1:02:21.62]  Antes era, con el par de mulas se llamaba.
[1:02:21.62]-[1:02:22.62]  ¿Y todos los tiguanos?
[1:02:22.62]-[1:02:23.62]  Sí, todos los tiguanos.
[1:02:23.62]-[1:02:26.62]  ¿Y cómo se sembraban?
[1:02:26.62]-[1:02:33.62]  Antiguamente los sembraban con un par de mulas, un eradico, y se iban sembrando, ¿verdad?
[1:02:33.62]-[1:02:38.62]  Y era a mano, así, se cogía así, con un chile que se llamaba... ¿cómo se llama?
[1:02:38.62]-[1:02:45.62]  O sea, como una farvela con una cuerda, y la ponían así.
[1:02:45.62]-[1:02:51.62]  Me tiró así por la cabeza y por debajo, y con la otra mano y me hacía así, con la derecha.
[1:02:51.62]-[1:02:54.62]  Y se iba sembrando.
[1:02:54.62]-[1:02:57.62]  Y se iba sembrando, eso se llevó.
[1:02:57.62]-[1:03:00.62]  Y detrás iba, pues, un arauta palo, se hará.
[1:03:00.62]-[1:03:02.62]  ¿Tanto la cebada como el trigo?
[1:03:02.62]-[1:03:04.62]  Lo mismo, se sembraba igual. La cebada y el trigo se sembraban lo mismo.
[1:03:04.62]-[1:03:06.62]  Y el acentero y la vena lo mismo.
[1:03:06.62]-[1:03:09.62]  Esos cereales todos se sembraban.
[1:03:09.62]-[1:03:10.62]  No es como la legume.
[1:03:10.62]-[1:03:15.62]  La legume la sembraban, pues, el guisante o la mola, así, a puño así,
[1:03:15.62]-[1:03:19.62]  iba al arauta, ¿verdad? Y hacía un surgo que se llamaba.
[1:03:19.62]-[1:03:23.62]  Y detrás iba el arauta, al otro lado, tapando.
[1:03:23.62]-[1:03:26.62]  O sea, tapaba porque si no te la comían los animales.
[1:03:26.62]-[1:03:27.62]  Eso era la legume.
[1:03:27.62]-[1:03:30.62]  Pero los cereales todos se sembraban de esa forma.
[1:03:30.62]-[1:03:34.62]  Y el legume antes, entre el octubre y noviembre.
[1:03:34.62]-[1:03:36.62]  Y ahora, ahora, claro, entonces, era entonces.
[1:03:36.62]-[1:03:40.62]  Los cereales estaban cortos, no siempre se sembraban.
[1:03:40.62]-[1:03:42.62]  Porque se tardaban mucho sembrarnos como ahora.
[1:03:42.62]-[1:03:44.62]  ¿Y cómo se empacaban, entonces?
[1:03:44.62]-[1:03:46.62]  Empacar antes nada, ahora sí.
[1:03:46.62]-[1:03:47.62]  Entonces no quedaba eso.
[1:03:47.62]-[1:03:48.62]  Ah, pensaba yo.
[1:03:48.62]-[1:03:52.62]  Entonces, nada, entonces se tiraba el grano con los tiros
[1:03:52.62]-[1:03:56.62]  y se hacían unas parvas, o más grandes o más pequeñas,
[1:03:56.62]-[1:03:57.62]  y después se limpiaba.
[1:03:57.62]-[1:03:58.62]  Entonces se limpiaba bien.
[1:03:58.62]-[1:04:02.62]  Entonces, pusimos máquinas de estas limpiadoras, las lavabas con una mano.
[1:04:02.62]-[1:04:05.62]  Después llegaron y vinieron las máquinas elevadoras,
[1:04:05.62]-[1:04:07.62]  que ya llevan su motor.
[1:04:07.62]-[1:04:11.62]  Y es un elevador que me había bajado desde así en la máquina
[1:04:11.62]-[1:04:14.62]  y un señor iba remando así y lo iba elevando.
[1:04:14.62]-[1:04:17.62]  Un chico que va haciendo así y lo va elevando.
[1:04:17.62]-[1:04:23.62]  O sea, es una lona con unos tirantes así, unas barras, así de madera.
[1:04:23.62]-[1:04:25.62]  Pero esto era así, ¿verdad?
[1:04:25.62]-[1:04:27.62]  Y iba tirando así y eso lo iba elevando.
[1:04:27.62]-[1:04:28.62]  ¿Pero el que va elevando?
[1:04:28.62]-[1:04:32.62]  Está la muesa, está la trigo ya.
[1:04:32.62]-[1:04:33.62]  Ah, la trigo.
[1:04:33.62]-[1:04:35.62]  La paja y el trigo.
[1:04:35.62]-[1:04:36.62]  Para limpiarlo.
[1:04:36.62]-[1:04:37.62]  Eso era para limpiarlo.
[1:04:37.62]-[1:04:39.62]  La paja y el trigo y los entieros, todos eran igual.
[1:04:39.62]-[1:04:41.62]  Todos limpiaban lo mío.
[1:04:41.62]-[1:04:44.62]  Pero antes era mano y cuando yo tenía ese trigo que tenía yo, se limpiaba.
[1:04:44.62]-[1:04:47.62]  Y después ya me vino la ventadora.
[1:04:47.62]-[1:04:50.62]  Las máquinas de la ventadora que se llamaban, la limpiadora.
[1:04:50.62]-[1:04:57.62]  Eso iba con una ceranda dentro y se movía por medio tuyo, por la mano tuya.
[1:04:57.62]-[1:05:02.62]  Unas aspas que van dentro en el bombo, un bombo, y van las aspas dentro.
[1:05:02.62]-[1:05:04.62]  Y ese aire es el que lo limpia.
[1:05:04.62]-[1:05:07.62]  Y eso va en una ceranda atrás y lo va al tras, tras, tras, tras, tras.
[1:05:07.62]-[1:05:09.62]  La ves moviendo el rodíz y con el aire lo va limpiando.
[1:05:09.62]-[1:05:12.62]  Y va tirando la paja para ahí y luego sale por delante.
[1:05:12.62]-[1:05:15.62]  Eso es un limpio de luz y ahora no hay ningún.
[1:05:15.62]-[1:05:17.62]  ¿Y luego la paja para qué usa?
[1:05:17.62]-[1:05:18.62]  Para los animales.
[1:05:18.62]-[1:05:20.62]  La paja se usa para los animales y como ahora.
[1:05:20.62]-[1:05:21.62]  La paja siempre.
[1:05:21.62]-[1:05:22.62]  Y la paja se usa siempre para la lumbre.
[1:05:22.62]-[1:05:24.62]  Para la lumbre y para hacer abono.
[1:05:24.62]-[1:05:26.62]  Pero se echa, ¿cómo?
[1:05:26.62]-[1:05:27.62]  La paja, ¿cómo se echa?
[1:05:27.62]-[1:05:29.62]  Si, la paja se usa.
[1:05:29.62]-[1:05:33.62]  ¿El abono ese con la paja cómo se hacía? ¿En los establos?
[1:05:33.62]-[1:05:36.62]  Si hombre, el que tenía ovejas le echaban en los establos, ¿verdad?
[1:05:36.62]-[1:05:39.62]  Y otra vez echaba cama para los animales, para las mulas.
[1:05:39.62]-[1:05:40.62]  ¿En la cuadra?
[1:05:40.62]-[1:05:42.62]  En la cuadra que se llamaba.
[1:05:42.62]-[1:05:44.62]  Y claro, con la basura de los animales de ella.
[1:05:44.62]-[1:05:50.62]  Y los orines y eso pues se la corrompían allí y toda la semana limpiaba la cuadra que se llamaba.
[1:05:50.62]-[1:05:52.62]  Limpiaba la cuadra y la quedaba a correr.
[1:05:52.62]-[1:05:55.62]  Y después de correr los sacaban con el carro, de varas o de par,
[1:05:55.62]-[1:05:58.62]  para llevarlo a las tierras y hacían un montón.
[1:05:58.62]-[1:06:02.62]  Un uno yo ahí pegando al polvo, yo tengo un model en esa tierra.
[1:06:02.62]-[1:06:05.62]  Y hacían un montón, pues grandísimo, pero grande.
[1:06:05.62]-[1:06:07.62]  Y luego después poco a poco lo iban echando.
[1:06:07.62]-[1:06:10.62]  El tipo de la sementera que le llaman, antes de empezar a sembrar,
[1:06:10.62]-[1:06:12.62]  pues llevaban el abono a las tierras.
[1:06:12.62]-[1:06:15.62]  Y lo echaban en montones.
[1:06:15.62]-[1:06:18.62]  Una tierra de dos tierras, pues un carre...
[1:06:18.62]-[1:06:19.62]  Por montones pequeños.
[1:06:19.62]-[1:06:21.62]  Otro carro, si, hasta que la terminaban.
[1:06:21.62]-[1:06:27.62]  Y luego después con una pulgadera, con una pala, a esparramar, que se llamaba.
[1:06:27.62]-[1:06:32.62]  Y se tiraban los montones esos, cubriendo toda la finca, toda la tierra.
[1:06:32.62]-[1:06:34.62]  Cubriera toda de abono.
[1:06:34.62]-[1:06:36.62]  Y luego ese abono le tapaban.
[1:06:36.62]-[1:06:37.62]  Le agaban.
[1:06:37.62]-[1:06:41.62]  Y después de agarles, cuando volvían a la siembra, bueno, sembraban.
[1:06:41.62]-[1:06:43.62]  Es mejor que ahora, seguro, que sería este abono.
[1:06:43.62]-[1:06:47.62]  No, ahora tiran el mineral que se llama, que dice que produce más ahora.
[1:06:47.62]-[1:06:48.62]  Sí, que produce más.
[1:06:48.62]-[1:06:50.62]  Pero también echan de abono...
[1:06:50.62]-[1:06:55.62]  Porque tiene abono de oveja y abono de estiércol, que se llama el abalquercó.
[1:06:55.62]-[1:06:56.62]  Todavía le echan.
[1:06:56.62]-[1:07:00.62]  Sí, sí, porque dicen que es muy bueno.
[1:07:00.62]-[1:07:04.62]  O sea, al envolverle el abono de estiércol, ese que se llama,
[1:07:04.62]-[1:07:08.62]  al envolverle con la tierra, pues hace una masa.
[1:07:08.62]-[1:07:12.62]  O sea, la tierra la pone más amorosa y todo.
[1:07:12.62]-[1:07:13.62]  Y se vuelve.
[1:07:13.62]-[1:07:16.62]  Al envolver eso, pues es una compasión que va...
[1:07:16.62]-[1:07:20.62]  Como te dirás, el mineral de este compuesto, eso lo tiran con máquinas ahora.
[1:07:20.62]-[1:07:23.62]  Lo tiran y da mucho, ¿verdad?
[1:07:23.62]-[1:07:25.62]  Porque dicen que tiene mucha fuerza.
[1:07:25.62]-[1:07:28.62]  Pero les gusta echar, al que tiene abono, le echan abono de ese.
[1:07:28.62]-[1:07:29.62]  Y animal.
[1:07:29.62]-[1:07:32.62]  Y la paja me ha dicho usted que...
[1:07:32.62]-[1:07:33.62]  No, no, no.
[1:07:33.62]-[1:07:36.62]  Que usaban la paja para los animales.
[1:07:36.62]-[1:07:39.62]  Sí, para comer los animales.
[1:07:39.62]-[1:07:41.62]  Claro, para comer los animales.
[1:07:41.62]-[1:07:42.62]  Está la trinidad de morir.
[1:07:42.62]-[1:07:44.62]  ¿Cómo que un bote iba a alimentar?
[1:07:44.62]-[1:07:46.62]  Si el animal se alimentaba de la paja iba a llevarla.
[1:07:46.62]-[1:07:48.62]  Está la trinidad de morir.
[1:07:48.62]-[1:07:49.62]  Ibaría para la lumbre.
[1:07:49.62]-[1:07:53.62]  Entonces, cuando se hacía pan en casa, que se arreciaban los panes.
[1:07:53.62]-[1:07:54.62]  Entonces, claro.
[1:07:54.62]-[1:07:55.62]  Entonces se cocía en casa.
[1:07:55.62]-[1:07:57.62]  No creas que se cocía como ahora para la vida.
[1:07:57.62]-[1:07:58.62]  Se hacía el pan en casa.
[1:07:58.62]-[1:07:59.62]  Entonces, en casa el animal...
[1:07:59.62]-[1:08:00.62]  Para arrosar los ojos.
[1:08:00.62]-[1:08:06.62]  Cada ocho días, pues mi madre cocía cada ocho días dos arróbicas de harina para los ocho días.
[1:08:06.62]-[1:08:08.62]  Veintitantos, treinta panes.
[1:08:08.62]-[1:08:12.62]  Y se comía el pan duro, que se comía el pan como ahora, que se comía...
[1:08:12.62]-[1:08:14.62]  ¿Te acuerdas de cómo se hacía el pan?
[1:08:14.62]-[1:08:16.62]  Sí, porque dije yo, con mi madre que...
[1:08:16.62]-[1:08:17.62]  Entendí, intenté eso.
[1:08:17.62]-[1:08:20.62]  Pues el pan, te voy a decir cómo se hacía.
[1:08:20.62]-[1:08:21.62]  El pan, la harina.
[1:08:21.62]-[1:08:24.62]  Primero es una olla de agua.
[1:08:24.62]-[1:08:26.62]  Por primera vez me da por la olla de agua.
[1:08:26.62]-[1:08:27.62]  A la lumbre caliente.
[1:08:27.62]-[1:08:28.62]  Se ponía agua caliente.
[1:08:28.62]-[1:08:29.62]  No es bien, ¿no?
[1:08:29.62]-[1:08:30.62]  No va a ir...
[1:08:30.62]-[1:08:32.62]  Lo mejor lo caliente con un puño de sal.
[1:08:32.62]-[1:08:34.62]  Y le echaban un puño...
[1:08:34.62]-[1:08:37.62]  Echaban la sal que correspondía para las dos arróbicas de harina.
[1:08:37.62]-[1:08:39.62]  Y ya salía por...
[1:08:39.62]-[1:08:41.62]  Con tantos de esos, por el puño...
[1:08:41.62]-[1:08:42.62]  Un puño, por acá...
[1:08:42.62]-[1:08:43.62]  Por dos puños, o tres, tal.
[1:08:43.62]-[1:08:44.62]  Sí, para que saliera...
[1:08:44.62]-[1:08:46.62]  Y no salía ni eso, ni eso, no salía exactamente.
[1:08:46.62]-[1:08:47.62]  Salía el charco.
[1:08:47.62]-[1:08:48.62]  Miran tontos.
[1:08:48.62]-[1:08:50.62]  Salía, pero bien bien salían todos.
[1:08:50.62]-[1:08:54.62]  Bueno, pues después llegabas en una artesa.
[1:08:54.62]-[1:08:58.62]  No, allá no, yo nunca he estado en una artesa, pero yo dije, ya, eso es barato, ya no existe.
[1:08:58.62]-[1:08:59.62]  Una artesa que era...
[1:08:59.62]-[1:09:00.62]  De madera.
[1:09:00.62]-[1:09:01.62]  Madera.
[1:09:01.62]-[1:09:03.62]  Era grande.
[1:09:03.62]-[1:09:05.62]  Una artesa que hacían de un árbol.
[1:09:05.62]-[1:09:13.62]  Yo ya que tuve un árbol que pasaste, era de un árbol, y le escondieron todo con un escoplo, como fuera.
[1:09:13.62]-[1:09:15.62]  Lo escondieron todo al centro.
[1:09:15.62]-[1:09:18.62]  Y quedó el volumen de la artesa por un hueco, todo un hueco.
[1:09:18.62]-[1:09:20.62]  Y ahí hacían el pan.
[1:09:20.62]-[1:09:21.62]  Una de esas artesas.
[1:09:21.62]-[1:09:27.62]  Bueno, pues después, le hacían la masa, lo movían con el agua.
[1:09:27.62]-[1:09:28.62]  Y lo quedaban ahí.
[1:09:28.62]-[1:09:30.62]  Después había unos merguines.
[1:09:30.62]-[1:09:32.62]  Como he dicho, que la masa lo movían con el agua.
[1:09:32.62]-[1:09:34.62]  Claro, la harían con el agua.
[1:09:34.62]-[1:09:36.62]  Para hacerse una masa.
[1:09:36.62]-[1:09:42.62]  O tú ahora echas, ya te diría yo, unos pocos, y quieres hacer un líquido, tienes que echar agua.
[1:09:42.62]-[1:09:46.62]  Pero entonces, no le iba a recargar agua porque si no se humía el pan.
[1:09:46.62]-[1:09:52.62]  Tenías que darle un punto y se echaba una chima que se llamaba esta, el oriento.
[1:09:52.62]-[1:09:54.62]  El oriento es una...
[1:09:54.62]-[1:09:55.62]  El heladura.
[1:09:55.62]-[1:09:56.62]  El heladura.
[1:09:56.62]-[1:09:57.62]  Entonces, el oriento...
[1:09:57.62]-[1:10:00.62]  Entonces quedaba como un medio pan.
[1:10:00.62]-[1:10:04.62]  Un pan le quedaba hacer masa y se ponía ácido.
[1:10:04.62]-[1:10:05.62]  Y ese pan se ponía ácido.
[1:10:05.62]-[1:10:07.62]  A los ocho días pasaba a cocer.
[1:10:07.62]-[1:10:10.62]  Y eso valía para cocer para los ocho días.
[1:10:10.62]-[1:10:15.62]  Luego, bueno, lo amasabas, lo amasabas y lo quedabas en un punto muy bien.
[1:10:15.62]-[1:10:18.62]  Después había un breguil, que se llamaba un breguil.
[1:10:18.62]-[1:10:20.62]  Un breguil, ¿cómo te diría que es?
[1:10:20.62]-[1:10:21.62]  De madera.
[1:10:21.62]-[1:10:22.62]  De madera.
[1:10:22.62]-[1:10:24.62]  Con dos agarraderes, dos...
[1:10:24.62]-[1:10:27.62]  Una manilla estelaria y otra manilla y dos tornos.
[1:10:27.62]-[1:10:29.62]  Dos palos así.
[1:10:29.62]-[1:10:30.62]  Dos tornos así.
[1:10:30.62]-[1:10:33.62]  Y en el medio ese se metía la masa.
[1:10:33.62]-[1:10:34.62]  La masa.
[1:10:34.62]-[1:10:38.62]  Y ibas dando y la daba a lo mejor por veinte vueltas, por suponer.
[1:10:38.62]-[1:10:42.62]  Hasta que la daba en un punto ya que quedaba para quedar el pan como es debido.
[1:10:42.62]-[1:10:43.62]  Es amoroso.
[1:10:43.62]-[1:10:45.62]  Es amoroso.
[1:10:45.62]-[1:10:46.62]  No quedaba como en las mañanas.
[1:10:46.62]-[1:10:49.62]  Quedaba un pan, pues... ¿cómo te llevaba el pan?
[1:10:49.62]-[1:10:52.62]  Pues como me queda ahora, aproximadamente.
[1:10:52.62]-[1:10:53.62]  Pues un pan.
[1:10:53.62]-[1:10:55.62]  Quedaba así el pan.
[1:10:55.62]-[1:11:00.62]  Y luego, pues, había que amoldar.
[1:11:00.62]-[1:11:01.62]  Que se había así.
[1:11:01.62]-[1:11:04.62]  Se amoldaba así y le iba recogiendo así.
[1:11:04.62]-[1:11:05.62]  Hacías un bol así.
[1:11:05.62]-[1:11:07.62]  Hacía un bol de dos, un, un, un.
[1:11:07.62]-[1:11:08.62]  Y lo hacía con un par de patates.
[1:11:08.62]-[1:11:10.62]  Y había un amoldar que se llamaba.
[1:11:10.62]-[1:11:12.62]  Y había un amoldar.
[1:11:12.62]-[1:11:13.62]  Y luego ascendar.
[1:11:13.62]-[1:11:18.62]  Y un cacho le hacías como una pelota le hacías.
[1:11:18.62]-[1:11:19.62]  Un balón así.
[1:11:19.62]-[1:11:21.62]  Le hacías así, redondo y hasta altura.
[1:11:21.62]-[1:11:24.62]  Y al remate se quedaba así, pues un chume así y le cortaba.
[1:11:24.62]-[1:11:27.62]  Y luego, bim, bim, bim, bim, bim, bim, y así.
[1:11:27.62]-[1:11:29.62]  Hasta que hacías, pues, la, la, el pan.
[1:11:29.62]-[1:11:30.62]  La torta, el pan.
[1:11:30.62]-[1:11:31.62]  Se hacía el pan.
[1:11:31.62]-[1:11:34.62]  Le formaba la torta y la remataba.
[1:11:34.62]-[1:11:35.62]  Le espalmaba ya.
[1:11:35.62]-[1:11:40.62]  Y se quedaba hasta que fomentaba, supone, se llamaba el ruedo.
[1:11:40.62]-[1:11:41.62]  ¿Cómo ha dicho que le empalmaba?
[1:11:41.62]-[1:11:43.62]  No sé, fomentar.
[1:11:43.62]-[1:11:44.62]  Fomentar.
[1:11:44.62]-[1:11:51.62]  Después de estar espalmado, le dejabas, pues, una tres cuartos de hora o veinte minutos.
[1:11:51.62]-[1:11:52.62]  No es una hora nada.
[1:11:52.62]-[1:11:53.62]  Eh.
[1:11:53.62]-[1:11:54.62]  No es una hora nada.
[1:11:54.62]-[1:11:59.62]  O ochocientos minutos le dejabas a que se pusieran, si llamaba, ni se pusiera el ruedo nada.
[1:11:59.62]-[1:12:00.62]  Para que se ruedan.
[1:12:00.62]-[1:12:01.62]  Se pusiera su punto.
[1:12:01.62]-[1:12:02.62]  Para que se pusiera su punto.
[1:12:02.62]-[1:12:05.62]  Y luego después de estar así ya, le mirabas y ya está.
[1:12:05.62]-[1:12:06.62]  Ya está el pan.
[1:12:06.62]-[1:12:07.62]  Todo así.
[1:12:07.62]-[1:12:09.62]  Y cuando hacía, pa, pa, estaba el pan.
[1:12:09.62]-[1:12:11.62]  Para llevarle al horno.
[1:12:11.62]-[1:12:13.62]  En el horno regabas.
[1:12:13.62]-[1:12:17.62]  Le arrosiabas el horno con un manócoli, paja, que tirabas del horno.
[1:12:17.62]-[1:12:24.62]  Cuando el horno ya era escaldado por dentro, pues, lo limpiabas con unas estas...
[1:12:24.62]-[1:12:26.62]  Con un palo y unos trapos.
[1:12:26.62]-[1:12:31.62]  Que se mojaban en agua para limpiarlo del suelo por el suelo de los hornos.
[1:12:31.62]-[1:12:32.62]  Era de baldosa.
[1:12:32.62]-[1:12:33.62]  Era de baldosa.
[1:12:33.62]-[1:12:34.62]  Sobre el horno es baldosa.
[1:12:34.62]-[1:12:35.62]  No era barco.
[1:12:35.62]-[1:12:36.62]  No es como ahora que son ya de...
[1:12:36.62]-[1:12:38.62]  Fabricaban ustedes el horno.
[1:12:38.62]-[1:12:41.62]  Sí, la hacían los amañiles, hacían el horno.
[1:12:41.62]-[1:12:42.62]  Sí, sí.
[1:12:42.62]-[1:12:43.62]  Sí, sí.
[1:12:43.62]-[1:12:44.62]  Y ahora también los hacían en el horno.
[1:12:44.62]-[1:12:47.62]  Y se pasaba el trapo mojado.
[1:12:47.62]-[1:12:48.62]  Se pasaba unas tocas.
[1:12:48.62]-[1:12:49.62]  Las llamaban unas tocas.
[1:12:49.62]-[1:12:50.62]  Claro, pero bueno.
[1:12:50.62]-[1:12:56.62]  Lo metías en agua, lo limpiabas todo el suelo y después con una pala, una pala de hierro así.
[1:12:56.62]-[1:12:59.62]  Así, la pala de hierro era esta.
[1:12:59.62]-[1:13:00.62]  Casi en redonda.
[1:13:00.62]-[1:13:01.62]  ¿Ves?
[1:13:01.62]-[1:13:02.62]  ¿Ves?
[1:13:02.62]-[1:13:03.62]  Esta era la pala.
[1:13:03.62]-[1:13:04.62]  Esta era la pala.
[1:13:04.62]-[1:13:06.62]  Y se lo llevaba al tamal.
[1:13:06.62]-[1:13:08.62]  Ahí ponías el pan.
[1:13:08.62]-[1:13:12.62]  Y así le metías el pan para adentro y hasta que...
[1:13:12.62]-[1:13:16.62]  Ya después tapabas cuando metías 20 panes o 30 panes, lo que digas.
[1:13:16.62]-[1:13:18.62]  Tapabas el horno.
[1:13:18.62]-[1:13:19.62]  ¿Y todos los panes adentro?
[1:13:19.62]-[1:13:20.62]  Todos adentro.
[1:13:20.62]-[1:13:21.62]  ¿Todos los panes adentro?
[1:13:21.62]-[1:13:22.62]  No creas que se quemaban ninguno.
[1:13:22.62]-[1:13:25.62]  Pero ¿dónde ponían los panes?
[1:13:25.62]-[1:13:26.62]  En el horno...
[1:13:26.62]-[1:13:28.62]  O sea, ¿todos los panes?
[1:13:28.62]-[1:13:29.62]  Primero...
