[0:00:00.00]-[0:00:02.00]  Una miaja, ¿no?
[0:55:43.00]-[0:55:45.00]  ¿Los domingos qué se hacían?
[0:55:45.00]-[0:55:47.00]  Pues lo hacíamos, el domingo no se trabajaba.
[0:55:47.00]-[0:55:49.00]  Vamos a trabajar por la mañana al rato,
[0:55:49.00]-[0:55:51.00]  pero ya está.
[0:55:51.00]-[0:55:53.00]  ¿Y cómo las conocían?
[0:55:53.00]-[0:55:55.00]  ¿Cómo las conocíamos?
[0:55:55.00]-[0:55:57.00]  Hombre, pues de esa manera.
[0:55:57.00]-[0:55:59.00]  Pero había baile el domingo.
[0:55:59.00]-[0:56:01.00]  Se hacían baile, entonces hacían muchos baile,
[0:56:01.00]-[0:56:03.00]  entonces allí conocías.
[0:56:03.00]-[0:56:05.00]  Pero por ejemplo,
[0:56:05.00]-[0:56:07.00]  ¿usted cómo conocía a su mujer?
[0:56:07.00]-[0:56:09.00]  Pues así, de esa manera, te digo.
[0:56:09.00]-[0:56:11.00]  En un baile.
[0:56:11.00]-[0:56:13.00]  Sí, de esa manera.
[0:56:13.00]-[0:56:15.00]  Yo, una vez,
[0:56:15.00]-[0:56:17.00]  estábamos en un baile,
[0:56:17.00]-[0:56:19.00]  y la vez que entré,
[0:56:19.00]-[0:56:21.00]  la mujer que tengo, me quedó así,
[0:56:21.00]-[0:56:23.00]  y dijo, chacho, ¿me gustó?
[0:56:23.00]-[0:56:25.00]  Digo, tengo que probar aquella pañeta,
[0:56:25.00]-[0:56:27.00]  y así fue.
[0:56:27.00]-[0:56:29.00]  Y así fue.
[0:56:29.00]-[0:56:31.00]  A los dos o tres meses,
[0:56:31.00]-[0:56:33.00]  que estaba pidiendo la paqueta,
[0:56:33.00]-[0:56:35.00]  entonces fui a su casa.
[0:56:37.00]-[0:56:39.00]  ¿Y tuvo que pedir permiso a sus padres?
[0:56:39.00]-[0:56:41.00]  No pedí, pero...
[0:56:41.00]-[0:56:43.00]  Entonces, me plantó la sogra delante,
[0:56:43.00]-[0:56:45.00]  y dice que era muy joven.
[0:56:45.00]-[0:56:47.00]  Digo,
[0:56:47.00]-[0:56:49.00]  ya lo haremos viejo.
[0:56:49.00]-[0:56:51.00]  Esas palabras se cruzaron.
[0:56:51.00]-[0:56:53.00]  Ya está.
[0:56:53.00]-[0:56:55.00]  Mira, si lo muero, voy a dejar.
[0:56:55.00]-[0:56:57.00]  Yo ya voy en 80 años,
[0:56:57.00]-[0:56:59.00]  yo ya en 77.
[0:56:59.00]-[0:57:01.00]  Ya veo, ya.
[0:57:01.00]-[0:57:03.00]  ¿La gente en el pueblo tendría que pedir permiso a los padres?
[0:57:03.00]-[0:57:05.00]  Sí, la mayoría, sí, habría que pedir permiso.
[0:57:05.00]-[0:57:07.00]  ¿Y si al padre no le gustaba?
[0:57:07.00]-[0:57:09.00]  Si al padre no, pues...
[0:57:09.00]-[0:57:11.00]  Sí, pero ellos se querían los padres,
[0:57:11.00]-[0:57:13.00]  tenían que joderse.
[0:57:13.00]-[0:57:15.00]  ¿Tenían que joderse?
[0:57:15.00]-[0:57:17.00]  Aguantarse.
[0:57:17.00]-[0:57:19.00]  Ah, tenían que aguantarse.
[0:57:19.00]-[0:57:23.00]  O sea, que normalmente los padres tenían que tragar con lo que...
[0:57:23.00]-[0:57:25.00]  Hombre.
[0:57:25.00]-[0:57:27.00]  Otros, pues no llegaban a...
[0:57:27.00]-[0:57:29.00]  a llegar, pero la mayoría...
[0:57:29.00]-[0:57:31.00]  Sí, ellos se querían a quibazar el padre.
[0:57:31.00]-[0:57:33.00]  Ya.
[0:57:33.00]-[0:57:35.00]  Claro, de que era cosa...
[0:57:35.00]-[0:57:37.00]  A la rí.
[0:57:37.00]-[0:57:39.00]  Pero a veces se iban, ¿no?
[0:57:39.00]-[0:57:41.00]  ¿Eh?
[0:57:41.00]-[0:57:43.00]  Se iban, si no el padre no quería...
[0:57:43.00]-[0:57:45.00]  Claro, pues ellos se iban y buscaban otra.
[0:57:45.00]-[0:57:47.00]  Ya está.
[0:57:47.00]-[0:57:51.00]  Pero si estaban de acuerdo de ella, pues el padre tenía que aguantarse.
[0:57:51.00]-[0:57:53.00]  Claro.
[0:57:53.00]-[0:57:55.00]  ¿Y mientras estaban de novios?
[0:57:55.00]-[0:57:57.00]  ¿Podían estar solos?
[0:57:57.00]-[0:57:59.00]  ¿No podías... usted...
[0:57:59.00]-[0:58:01.00]  ¿Solos? Todas las madres solos que podían estar.
[0:58:01.00]-[0:58:03.00]  Estaba la madre siempre con los ojos atras.
[0:58:03.00]-[0:58:05.00]  ¿Sí?
[0:58:05.00]-[0:58:07.00]  No es como ahora que se van a contar que tienen diez años ya.
[0:58:07.00]-[0:58:09.00]  Ahora entonces no.
[0:58:09.00]-[0:58:11.00]  Si había un buéile, la madre iba con la hija.
[0:58:11.00]-[0:58:13.00]  Y no asustaban ni poco ni nada.
[0:58:13.00]-[0:58:21.00]  Entonces, hacía un repico de pegar a la novia, valía más que todo lo que hacen ahora.
[0:58:23.00]-[0:58:25.00]  ¿Tan difícil era?
[0:58:25.00]-[0:58:27.00]  ¿Eh?
[0:58:27.00]-[0:58:29.00]  ¿Tan difícil era?
[0:58:29.00]-[0:58:31.00]  Sí, sí, sí. Ya no creo. Ahora tan aquí ahora.
[0:58:31.00]-[0:58:33.00]  A los cuatro días, uno del otro.
[0:58:33.00]-[0:58:35.00]  Y antes, al costar más...
[0:58:35.00]-[0:58:37.00]  ¿Eh?
[0:58:37.00]-[0:58:39.00]  Y antes al costar más duraba más la cosa, ¿o qué?
[0:58:39.00]-[0:58:41.00]  ¿Cómo más?
[0:58:41.00]-[0:58:43.00]  ¿Que si costaba más, entonces duraba más la cosa, o qué?
[0:58:43.00]-[0:58:45.00]  Yo mismo fui siete años novio de mi mujer.
[0:58:45.00]-[0:58:47.00]  ¿Siete años?
[0:58:47.00]-[0:58:49.00]  Siete años.
[0:58:49.00]-[0:58:51.00]  ¿Siete años con la madre detrás?
[0:58:51.00]-[0:58:53.00]  Siete años.
[0:58:53.00]-[0:58:55.00]  Todas las noches, la casa, todas las noches, todas.
[0:58:57.00]-[0:58:59.00]  ¿Iba dentro de la casa?
[0:58:59.00]-[0:59:01.00]  Dentro de la casa, sí.
[0:59:01.00]-[0:59:03.00]  ¿Y qué hacían? ¿Hablaban?
[0:59:03.00]-[0:59:05.00]  Pues hablaban, claro que iba a ver.
[0:59:05.00]-[0:59:07.00]  ¿Y de qué hablaban?
[0:59:07.00]-[0:59:09.00]  Pues hablaba Dios, eso ya.
[0:59:09.00]-[0:59:11.00]  ¿De qué hablaban?
[0:59:11.00]-[0:59:13.00]  No puedo ir a bajar, eh. Sí.
[0:59:13.00]-[0:59:15.00]  Ya no creo. Pues nada.
[0:59:15.00]-[0:59:17.00]  Hacen muy mal.
[0:59:17.00]-[0:59:19.00]  ¿Y cuando se casaron, su mujer fue vestida de...
[0:59:19.00]-[0:59:21.00]  ¿Cómo fue su mujer vestida?
[0:59:21.00]-[0:59:23.00]  Pues de novia.
[0:59:23.00]-[0:59:25.00]  ¿De qué color?
[0:59:25.00]-[0:59:27.00]  A ver, que se come a puerto ya.
[0:59:29.00]-[0:59:31.00]  ¿Que antes se casaban de blanco?
[0:59:31.00]-[0:59:33.00]  ¿Eh? Sí, sí se casaban también de blanco, sí.
[0:59:33.00]-[0:59:35.00]  ¿Todo el mundo?
[0:59:35.00]-[0:59:39.00]  A cada uno se le gustaba.
[0:59:39.00]-[0:59:41.00]  ¿Usted recuerda vestirse también...?
[0:59:41.00]-[0:59:43.00]  Claro, pues un traje nuevo.
[0:59:45.00]-[0:59:47.00]  Con mi corbata, que entonces nos llevaban corbatas, todo eso.
[0:59:49.00]-[0:59:51.00]  ¿Hicieron convite?
[0:59:51.00]-[0:59:53.00]  Hombre, claro.
[0:59:53.00]-[0:59:55.00]  ¿Y cómo fue?
[0:59:55.00]-[0:59:57.00]  Pues el convite se hizo ahí en mi casa.
[0:59:59.00]-[1:00:01.00]  Se mataron muchos conejos,
[1:00:01.00]-[1:00:03.00]  los pollos,
[1:00:03.00]-[1:00:05.00]  de todo.
[1:00:05.00]-[1:00:07.00]  Y se hicieron unos parados de arroz grande, eh.
[1:00:09.00]-[1:00:11.00]  Buenas convite.
[1:00:11.00]-[1:00:13.00]  ¿Y quién hacía eso?
[1:00:13.00]-[1:00:15.00]  Por las mismas madres, las mismas hermanas de la madre,
[1:00:15.00]-[1:00:17.00]  el cuñado,
[1:00:17.00]-[1:00:19.00]  entonces juntaban todos ahí, ¿o no?
[1:00:19.00]-[1:00:21.00]  Entonces no había bobas como ahora.
[1:00:23.00]-[1:00:25.00]  ¿7.000 presentes de resfuyo de las bobas?
[1:00:25.00]-[1:00:27.00]  Mira a ver.
[1:00:27.00]-[1:00:29.00]  ¿Ah sí? ¿Porque eso quién lo...?
[1:00:29.00]-[1:00:31.00]  7.000 presentes.
[1:00:31.00]-[1:00:33.00]  Mira a ver.
[1:00:35.00]-[1:00:37.00]  Es como ahora que recogen un millón, dos millones...
[1:00:37.00]-[1:00:39.00]  Mi hijo se casó con dos millones de presentes.
[1:00:41.00]-[1:00:43.00]  Y yo 7.000 presentes de cofee.
[1:00:43.00]-[1:00:45.00]  Mira a ver la boba.
[1:00:47.00]-[1:00:49.00]  Pero tú estás bien valido más, ¿no?
[1:00:49.00]-[1:00:51.00]  Pues sí, pero ¿qué tiene con eso?
[1:00:51.00]-[1:00:53.00]  Claro, entonces ganaba un jornal.
[1:00:53.00]-[1:00:55.00]  Para hacíamos cuatro duros un jornal
[1:00:55.00]-[1:00:57.00]  todo el día trabajando por ahí.
[1:00:57.00]-[1:00:59.00]  ¿Cuatro duros?
[1:00:59.00]-[1:01:01.00]  Cuando yo empecé a trabajar,
[1:01:01.00]-[1:01:03.00]  ganaba tres duros.
[1:01:03.00]-[1:01:05.00]  15 presentes.
[1:01:05.00]-[1:01:07.00]  Todo el día trabajando, para que uno lo haga un tocomando.
[1:01:07.00]-[1:01:09.00]  Pero sí que mira a ver.
[1:01:09.00]-[1:01:11.00]  Las mujeres,
[1:01:11.00]-[1:01:13.00]  que iban a escargar los cementeros,
[1:01:13.00]-[1:01:15.00]  con todas esas cargas en los cementeros,
[1:01:15.00]-[1:01:17.00]  con las saicas pequeñas, a quitar la hierba de los cementeros.
[1:01:17.00]-[1:01:19.00]  ¿Vamos?
[1:01:19.00]-[1:01:21.00]  7 presentes, ganaban las mujeres.
[1:01:21.00]-[1:01:23.00]  Todo el día comando con las saicas.
[1:01:25.00]-[1:01:27.00]  ¿Y usted hizo la mili?
[1:01:27.00]-[1:01:29.00]  Sí, ¿dónde?
[1:01:29.00]-[1:01:31.00]  Cartagena.
[1:01:31.00]-[1:01:33.00]  ¿Y qué tal?
[1:01:33.00]-[1:01:35.00]  Adiós, aquello para mí fue oro.
[1:01:35.00]-[1:01:37.00]  ¿Oro?
[1:01:37.00]-[1:01:39.00]  ¿Y eso por qué?
[1:01:39.00]-[1:01:41.00]  Porque me enchufé con un capitán,
[1:01:41.00]-[1:01:43.00]  el asistente,
[1:01:43.00]-[1:01:45.00]  y el capitán no tenía hijo ninguno.
[1:01:45.00]-[1:01:47.00]  La mujer ya nada más.
[1:01:47.00]-[1:01:49.00]  Yo estaba acá hasta mañana,
[1:01:49.00]-[1:01:51.00]  más que comprar los churros y el periódico.
[1:01:51.00]-[1:01:53.00]  Ya estaba en ese ámbito de abajo de hacer la mili.
[1:01:53.00]-[1:01:55.00]  Estaba un mes allí y otro aquí.
[1:01:55.00]-[1:01:57.00]  Después de no encontrar a todos mis amigos,
[1:01:57.00]-[1:01:59.00]  se quedaba el asistente de un teniente
[1:01:59.00]-[1:02:01.00]  y yo del capitán.
[1:02:01.00]-[1:02:03.00]  Se quedaba para los dos y yo me venía.
[1:02:03.00]-[1:02:05.00]  Entonces llegaba yo, se venía y yo me quedaba.
[1:02:05.00]-[1:02:07.00]  Aquello fue un gloria.
[1:02:07.00]-[1:02:09.00]  ¿Y cómo consiguió usted enchufarse con ese capitán?
[1:02:09.00]-[1:02:11.00]  Pues me lo digo.
[1:02:11.00]-[1:02:13.00]  Había unos aquí que tenían un pariente allí,
[1:02:13.00]-[1:02:15.00]  en Cartagena,
[1:02:15.00]-[1:02:17.00]  y les dijo,
[1:02:17.00]-[1:02:19.00]  ve hasta el sitio, que era un brigada,
[1:02:19.00]-[1:02:21.00]  y aquí este...
[1:02:21.00]-[1:02:23.00]  y aquí este...
[1:02:23.00]-[1:02:25.00]  bueno, pues fuimos allí,
[1:02:25.00]-[1:02:27.00]  y yo iba con él,
[1:02:27.00]-[1:02:29.00]  y cuando dice,
[1:02:29.00]-[1:02:31.00]  ¿tú qué tal?
[1:02:31.00]-[1:02:33.00]  Y a mí,
[1:02:33.00]-[1:02:35.00]  todo me dijo a mí que yo no iba para...
[1:02:35.00]-[1:02:37.00]  Digo, pues mira,
[1:02:37.00]-[1:02:39.00]  el único que es primo de la mujer,
[1:02:39.00]-[1:02:41.00]  de ese hombre que usted dice,
[1:02:41.00]-[1:02:43.00]  pues yo...
[1:02:43.00]-[1:02:45.00]  Entonces allí me coloqué.
[1:02:45.00]-[1:02:47.00]  Allí fue donde me lo coloqué.
[1:02:47.00]-[1:02:49.00]  En el campamento ni se me da una imaginaria,
[1:02:49.00]-[1:02:51.00]  ni se me da una instrucción, nada.
[1:02:51.00]-[1:02:53.00]  En el campamento,
[1:02:53.00]-[1:02:55.00]  el tiempo que estuve,
[1:02:55.00]-[1:02:57.00]  el capitán,
[1:02:57.00]-[1:02:59.00]  me llama,
[1:02:59.00]-[1:03:01.00]  ¿y qué quiere?
[1:03:01.00]-[1:03:03.00]  Y dice, usted tiene cara de agricultor.
[1:03:03.00]-[1:03:05.00]  El capitán.
[1:03:05.00]-[1:03:07.00]  Entonces dice,
[1:03:07.00]-[1:03:09.00]  ¿usted quisiera sembrarle unas matas,
[1:03:09.00]-[1:03:11.00]  de tomate, de pimiento,
[1:03:11.00]-[1:03:13.00]  de todo eso?
[1:03:13.00]-[1:03:15.00]  Eso fue en los depósitos de Estibilla,
[1:03:15.00]-[1:03:17.00]  regabo con agua de Estibilla.
[1:03:17.00]-[1:03:19.00]  Yo sí,
[1:03:19.00]-[1:03:21.00]  yo lo quise,
[1:03:21.00]-[1:03:23.00]  pero yo no tenía nada que ver con tomate,
[1:03:23.00]-[1:03:25.00]  pimiento, de todo.
[1:03:25.00]-[1:03:27.00]  Y aquí yo me decía,
[1:03:27.00]-[1:03:29.00]  aquí yo no daba un día para aquello,
[1:03:29.00]-[1:03:31.00]  estaban chochos por medio.
[1:03:31.00]-[1:03:33.00]  Pero ya cuando me coloqué,
[1:03:33.00]-[1:03:35.00]  en el otro lado,
[1:03:35.00]-[1:03:37.00]  ya tuve que dar su otro,
[1:03:37.00]-[1:03:39.00]  yo se lo quería.
[1:03:39.00]-[1:03:41.00]  Pero entonces el capitán,
[1:03:41.00]-[1:03:43.00]  sí me dijo,
[1:03:43.00]-[1:03:45.00]  dice, mira,
[1:03:45.00]-[1:03:47.00]  me creo que no hay que apreciarte mucho esto.
[1:03:47.00]-[1:03:49.00]  Y lo mismo que fue.
[1:03:49.00]-[1:03:51.00]  Y luego ya cuando
[1:03:51.00]-[1:03:53.00]  subí a una vez al campamento,
[1:03:53.00]-[1:03:55.00]  estaba el capitán, dice, ¿qué?
[1:03:55.00]-[1:03:57.00]  Digo, estupendo,
[1:03:57.00]-[1:03:59.00]  esto me da yesta.
[1:03:59.00]-[1:04:01.00]  ¿Y en los días de descanso qué hacían?
[1:04:03.00]-[1:04:05.00]  ¿Cómo se divertían?
[1:04:05.00]-[1:04:07.00]  Descanso andea.
[1:04:07.00]-[1:04:09.00]  ¿En la mini?
[1:04:09.00]-[1:04:11.00]  Por allí, claro, a cine.
[1:04:11.00]-[1:04:13.00]  ¿Y qué películas veían?
[1:04:13.00]-[1:04:15.00]  Pues a Dios,
[1:04:15.00]-[1:04:17.00]  yo vi Antonio Muni,
[1:04:17.00]-[1:04:19.00]  Antonio Muni cuando empezó,
[1:04:19.00]-[1:04:21.00]  Lola Flores cuando empezó,
[1:04:21.00]-[1:04:23.00]  todos esos artistas.
[1:04:23.00]-[1:04:25.00]  Lola Flores, Antonio Muni,
[1:04:25.00]-[1:04:27.00]  los tres meses antes de ti,
[1:04:27.00]-[1:04:29.00]  no quedó más entrada para verlo.
[1:04:29.00]-[1:04:31.00]  Tres meses,
[1:04:31.00]-[1:04:33.00]  hicieron cuatro posiciones cada uno allí,
[1:04:33.00]-[1:04:35.00]  y tres meses para coger las entradas,
[1:04:35.00]-[1:04:37.00]  antes de que me ieras.
[1:04:37.00]-[1:04:39.00]  No te estupes.
[1:04:39.00]-[1:04:41.00]  Sí, sí.
[1:04:41.00]-[1:04:43.00]  Y Lola Flores,
[1:04:43.00]-[1:04:45.00]  que es el subjugeo,
[1:04:45.00]-[1:04:47.00]  el pequeño,
[1:04:47.00]-[1:04:49.00]  el pequeño,
[1:04:49.00]-[1:04:51.00]  ¿estamos?
[1:04:51.00]-[1:04:53.00]  ¿Sí va con el capitán al cine?
[1:04:53.00]-[1:04:55.00]  ¿Cómo?
[1:04:55.00]-[1:04:57.00]  ¿Sí va con el capitán al cine?
[1:04:57.00]-[1:04:59.00]  No, no, yo no,
[1:04:59.00]-[1:05:01.00]  yo ya con mi amigo,
[1:05:01.00]-[1:05:03.00]  ahí en Cartagena.
[1:05:03.00]-[1:05:05.00]  Ahí en Cartagena, sí.
[1:05:05.00]-[1:05:07.00]  Sí, sí.
[1:05:07.00]-[1:05:09.00]  Y nos han contado que muchas veces
[1:05:09.00]-[1:05:11.00]  las películas estaban un poco recortadas, ¿no?
[1:05:11.00]-[1:05:13.00]  Claro.
[1:05:13.00]-[1:05:15.00]  No soñaba tanto las
[1:05:15.00]-[1:05:17.00]  cannes como ahora.
[1:05:19.00]-[1:05:21.00]  Todas las maquillas que guayas te quedabas.
[1:05:21.00]-[1:05:23.00]  Sí.
[1:05:23.00]-[1:05:25.00]  Y antes de la película solían poner algo,
[1:05:25.00]-[1:05:27.00]  ¿verdad?
[1:05:27.00]-[1:05:29.00]  Antes de la película, antes de que empezara,
[1:05:29.00]-[1:05:31.00]  echaban otra cosa.
[1:05:31.00]-[1:05:33.00]  Sí, echaban, no sé,
[1:05:33.00]-[1:05:35.00]  ¿eso qué era?
[1:05:35.00]-[1:05:37.00]  Pues yo que sé,
[1:05:37.00]-[1:05:39.00]  pues cosas allí,
[1:05:39.00]-[1:05:41.00]  cosas de aquello no era...
[1:05:41.00]-[1:05:43.00]  Sí, claro,
[1:05:43.00]-[1:05:45.00]  sí, esto de acá.
[1:05:45.00]-[1:05:47.00]  Yo me acuerdo que yo pequeño,
[1:05:47.00]-[1:05:49.00]  pequeño, de 88 años,
[1:05:49.00]-[1:05:51.00]  y mi padre llevaba,
[1:05:51.00]-[1:05:53.00]  espartos, lo llevaba a Lonca en el carro.
[1:05:55.00]-[1:05:57.00]  Y aquí anoche, donde estamos en Lonca.
[1:05:57.00]-[1:05:59.00]  Y yo iba al Sao Siete Carreros,
[1:05:59.00]-[1:06:01.00]  seis, siete hombres,
[1:06:01.00]-[1:06:03.00]  pues yo iba con ellos.
[1:06:03.00]-[1:06:05.00]  Mi padre y yo mismo,
[1:06:05.00]-[1:06:07.00]  yo siempre estaba en la punta delante,
[1:06:07.00]-[1:06:09.00]  y me acuerdo,
[1:06:09.00]-[1:06:11.00]  que eran los viejos,
[1:06:11.00]-[1:06:13.00]  que hemos visto en la cámara aquello.
[1:06:13.00]-[1:06:15.00]  Y eran artistas allí,
[1:06:15.00]-[1:06:17.00]  bailaban y tal.
[1:06:17.00]-[1:06:19.00]  Me acuerdo de los viejos,
[1:06:19.00]-[1:06:21.00]  porque yo era un querido de mis tres leches.
[1:06:21.00]-[1:06:23.00]  Pero los viejos,
[1:06:23.00]-[1:06:25.00]  cuando veníamos para la posada para acostarnos,
[1:06:25.00]-[1:06:27.00]  mirábamos los autos y dijeron,
[1:06:27.00]-[1:06:29.00]  ¡oh, ya hemos visto un poco, eh!
[1:06:29.00]-[1:06:31.00]  La vuelta del artista la habían visto un poco,
[1:06:31.00]-[1:06:33.00]  y se daba, otra noche no vamos a ver más.
[1:06:33.00]-[1:06:35.00]  Tú date cuenta,
[1:06:35.00]-[1:06:37.00]  que deberían un poco la...
[1:06:37.00]-[1:06:39.00]  un poco la...
[1:06:39.00]-[1:06:41.00]  El tubillo.
[1:06:41.00]-[1:06:43.00]  Eso está.
[1:06:43.00]-[1:06:45.00]  Y así mira, se va a hacer como ahora.
[1:06:45.00]-[1:06:47.00]  ¿Y aquello era en el camino, se ponían ahí los artistas?
[1:06:47.00]-[1:06:49.00]  ¿En una fonda o cómo es?
[1:06:49.00]-[1:06:51.00]  No, más que había allí.
[1:06:51.00]-[1:06:53.00]  Y en la cámara,
[1:06:53.00]-[1:06:55.00]  un poco del escenario,
[1:06:55.00]-[1:06:57.00]  allí se había, los del bar,
[1:06:57.00]-[1:06:59.00]  los traían, haciéndolos de fuera.
[1:06:59.00]-[1:07:01.00]  Y después la gente, claro,
[1:07:01.00]-[1:07:03.00]  pues yo monté allí, y la gente estaba perra en ver.
[1:07:03.00]-[1:07:05.00]  En el mundo.
[1:07:05.00]-[1:07:07.00]  Cada uno, este.
[1:07:07.00]-[1:07:09.00]  Dice que iban ustedes en carro.
[1:07:09.00]-[1:07:11.00]  Iban en carro, sí.
[1:07:11.00]-[1:07:13.00]  Los carros de antes no existen, ¿ya no?
[1:07:13.00]-[1:07:15.00]  No, ya no, aquí hay algunos viejos por ahí,
[1:07:15.00]-[1:07:17.00]  no sé si ahora algunos no.
[1:07:17.00]-[1:07:19.00]  ¿Y cómo eran? ¿Eh?
[1:07:19.00]-[1:07:21.00]  ¿Cómo eran esos carros? Pues cómo eran,
[1:07:21.00]-[1:07:23.00]  pues yo iba dos ruedas, y todas las...
[1:07:23.00]-[1:07:25.00]  Eso no. ¿Dos ruedas?
[1:07:25.00]-[1:07:27.00]  Sí, dos ruedas,
[1:07:27.00]-[1:07:29.00]  y subía esa, pues, a la bestia a tirar.
[1:07:29.00]-[1:07:31.00]  Y a la bestia,
[1:07:31.00]-[1:07:33.00]  ¿cómo se enganchaba?
[1:07:33.00]-[1:07:35.00]  Hombre, la bestia llevaba suba peros,
[1:07:35.00]-[1:07:37.00]  para engancharlas, en el carro.
[1:07:37.00]-[1:07:39.00]  ¿Qué llevaba? ¿Como unas...?
[1:07:39.00]-[1:07:41.00]  Sí, sí.
[1:07:41.00]-[1:07:43.00]  Llevaba dos palos en los lados,
[1:07:43.00]-[1:07:45.00]  con eso que le ponía a la bestia,
[1:07:45.00]-[1:07:47.00]  con los ganchos que enganchaba,
[1:07:47.00]-[1:07:49.00]  y ya ve.
[1:07:49.00]-[1:07:51.00]  ¿Y para manejar a las bestias?
[1:07:51.00]-[1:07:53.00]  Pues llevaba dos sogas, una por cada lado,
[1:07:53.00]-[1:07:55.00]  tiraba, giraba, y así.
[1:07:55.00]-[1:07:57.00]  Y las ruedas eran...
[1:07:57.00]-[1:07:59.00]  ¿de hierro?
[1:07:59.00]-[1:08:01.00]  De hierro y madera.
[1:08:01.00]-[1:08:03.00]  ¿De madera también?
[1:08:03.00]-[1:08:05.00]  Sí, sí. El hierro fue fuera,
[1:08:05.00]-[1:08:07.00]  y por dentro va la madera ya,
[1:08:07.00]-[1:08:09.00]  que la fabricaban,
[1:08:09.00]-[1:08:11.00]  a su cuenta, pues, voy a fabricar.
[1:08:11.00]-[1:08:13.00]  ¿Una sola pieza de madera?
[1:08:13.00]-[1:08:15.00]  No, no.
[1:08:15.00]-[1:08:17.00]  Pues las ruedas re hondas,
[1:08:17.00]-[1:08:19.00]  tenían que ser varias piezas.
[1:08:19.00]-[1:08:21.00]  Por aquello, he hecho así la base.
[1:08:21.00]-[1:08:23.00]  ¿Iban huecas las ruedas?
[1:08:23.00]-[1:08:25.00]  Eh, no, huecas no, macizas.
[1:08:25.00]-[1:08:27.00]  ¿Y en el centro de las ruedas había...?
[1:08:27.00]-[1:08:29.00]  Pues, el eje que se decía,
[1:08:29.00]-[1:08:31.00]  igual que el eje de un coche,
[1:08:31.00]-[1:08:33.00]  un tazón,
[1:08:33.00]-[1:08:35.00]  aquí, bueno,
[1:08:35.00]-[1:08:37.00]  la rueda en cada lado.
[1:08:37.00]-[1:08:39.00]  Muy bien.
[1:08:39.00]-[1:08:41.00]  ¿Y se subían muchos al carro?
[1:08:41.00]-[1:08:43.00]  Pues claro, todos los que cogían,
[1:08:43.00]-[1:08:45.00]  pues, a ver, daban dios moses,
[1:08:45.00]-[1:08:47.00]  al carro.
[1:08:47.00]-[1:08:49.00]  ¿Y qué rutas hacían? ¿Para dónde iban?
[1:08:49.00]-[1:08:51.00]  Para donde iban, a Lorca, llevaban esparto.
[1:08:51.00]-[1:08:53.00]  Esparto sí que teníamos que coger,
[1:08:53.00]-[1:08:55.00]  lo llevaban a Lorca,
[1:08:55.00]-[1:08:57.00]  y las camisas también iban
[1:08:57.00]-[1:08:59.00]  con esparto.
[1:08:59.00]-[1:09:01.00]  Hasta águilas llevaban.
[1:09:01.00]-[1:09:03.00]  Y ese que te digo que hacían ropa con esparto.
[1:09:05.00]-[1:09:07.00]  ¿Y la ropa de ustedes, toda era esparto?
[1:09:07.00]-[1:09:09.00]  Entonces sí.
[1:09:09.00]-[1:09:11.00]  ¿Las camisas, no?
[1:09:11.00]-[1:09:13.00]  No, esparto creo que no era más que la pana.
[1:09:13.00]-[1:09:15.00]  La pana.
[1:09:15.00]-[1:09:17.00]  ¿Y los zapatos?
[1:09:17.00]-[1:09:19.00]  Los zapatos, pues igual que ahora.
[1:09:19.00]-[1:09:21.00]  Más malos, más buenos,
[1:09:21.00]-[1:09:23.00]  pues igual que ahora.
[1:09:23.00]-[1:09:25.00]  Sí, los zapatos, no,
[1:09:25.00]-[1:09:27.00]  pero los zapatates que se iban,
[1:09:27.00]-[1:09:29.00]  es realmente esparto, las suelas.
[1:09:29.00]-[1:09:31.00]  Ah, y eso era para ir a labrar,
[1:09:31.00]-[1:09:33.00]  se llevaba eso.
[1:09:33.00]-[1:09:35.00]  Una esparteña que decíamos
[1:09:35.00]-[1:09:37.00]  que la hacíamos nosotros mismos.
[1:09:37.00]-[1:09:39.00]  Ah, sí. Cuéntennos cómo se hacen.
[1:09:39.00]-[1:09:41.00]  ¿Cómo se hacen?
[1:09:41.00]-[1:09:43.00]  Pues la esparteña, hacemos la soga,
[1:09:43.00]-[1:09:45.00]  la ponemos en trazas,
[1:09:45.00]-[1:09:47.00]  la forma del pie,
[1:09:49.00]-[1:09:51.00]  lo grande que tú tienes el pie,
[1:09:51.00]-[1:09:53.00]  y el que mejor o menos,
[1:09:53.00]-[1:09:55.00]  entonces la cosemos.
[1:09:55.00]-[1:09:57.00]  ¿Vamos?
[1:09:57.00]-[1:09:59.00]  Cosemos la suela,
[1:09:59.00]-[1:10:01.00]  y entonces hacemos la quita muy pequeñica,
[1:10:01.00]-[1:10:03.00]  hacemos el talón,
[1:10:03.00]-[1:10:05.00]  y la cara,
[1:10:05.00]-[1:10:07.00]  con la quita que hayas pequeña.
[1:10:07.00]-[1:10:09.00]  Yo la he hecho.
[1:10:09.00]-[1:10:11.00]  Sí, sí.
[1:10:11.00]-[1:10:13.00]  Claro, creo.
[1:10:13.00]-[1:10:15.00]  ¿Y no se deshacían? ¿Cómo?
[1:10:15.00]-[1:10:17.00]  No, no, no, sí duraba.
[1:10:17.00]-[1:10:19.00]  ¿Duraba? Duraba mucho.
[1:10:19.00]-[1:10:21.00]  ¿Cómo hacían para que no se deshicieran?
